municipality2011,year,population
ec101,1996,46824.1101
ec102,1996,34577.1393
ec103,1996,10517.89056
ec104,1996,77655.53808
ec105,1996,46513.5539
ec106,1996,45537.44219
ec107,1996,17089.0903
ec108,1996,63240.5492
ec109,1996,28203.788
ec121,1996,255747.7308
ec122,1996,286591.9535
ec123,1996,40086.3085
ec124,1996,136461.1804
ec126,1996,93320.43801
ec127,1996,144160.6125
ec128,1996,24792.299
ec131,1996,57871.6143
ec132,1996,35103.9968
ec133,1996,19425.8543
ec134,1996,176365.4946
ec135,1996,164447.8081
ec136,1996,130669.6712
ec137,1996,165040.6953
ec138,1996,65223.67908
ec141,1996,134887.9896
ec142,1996,131257.571
ec143,1996,32242.1976
ec144,1996,29610.1778
ec153,1996,245363.0624
ec154,1996,145956.5273
ec155,1996,260798.8568
ec156,1996,200517.5895
ec157,1996,396311.8498
ec441,1996,200867.1966
ec442,1996,193447.7684
ec443,1996,235505.0767
ec444,1996,119764.7043
buf,1996,685726.6786
nma,1996,969518.0041
fs161,1996,35448.7103
fs162,1996,50017.06939
fs163,1996,36238.13632
fs164,1996,24912.40767
fs181,1996,65851.13416
fs182,1996,26767.3432
fs183,1996,51647.51977
fs184,1996,476763.075
fs185,1996,82140.68522
fs191,1996,109767.8722
fs192,1996,107797.7445
fs193,1996,64283.94948
fs194,1996,353237.7108
fs195,1996,46657.0891
fs196,1996,50081.14082
fs201,1996,169439.935
fs203,1996,120007.4292
fs204,1996,106911.8868
fs205,1996,52005.48343
man,1996,603528.1258
gt421,1996,597285.1374
gt422,1996,53353.1263
gt423,1996,66205.91178
gt481,1996,226445.7117
gt482,1996,107710.8445
gt483,1996,115591.9549
gt484,1996,209726.6623
eku,1996,2026977.853
jhb,1996,2638471.014
tsh,1996,1792356.81
kzn213,1996,166829.8422
kzn214,1996,82102.7872
kzn215,1996,47546.8239
kzn216,1996,191200.5939
kzn211,1996,99609.5291
kzn212,1996,54201.0932
kzn221,1996,114924.0085
kzn222,1996,69741.5663
kzn223,1996,25512.22737
kzn224,1996,39957.3903
kzn225,1996,524266.085
kzn226,1996,45174.3265
kzn227,1996,62098.80234
kzn232,1996,178514.4946
kzn233,1996,98478.3191
kzn234,1996,47693.38583
kzn235,1996,119342.1521
kzn236,1996,112521.6097
kzn271,1996,128616.116
kzn272,1996,151747.0857
kzn273,1996,28857.2238
kzn274,1996,65977.5662
kzn275,1996,128559.0445
kzn282,1996,196894.1063
kzn286,1996,129493.4172
kzn281,1996,96460.9651
kzn283,1996,72705.1177
kzn284,1996,230205.1476
kzn285,1996,36826.66884
kzn431,1996,94510.80341
kzn432,1996,11930.4751
kzn433,1996,34731.04355
kzn434,1996,78541.58503
kzn435,1996,165349.2099
kzn241,1996,44401.7577
kzn242,1996,151496.6142
kzn244,1996,160149.3308
kzn245,1996,90250.0992
kzn252,1996,287659.0829
kzn253,1996,23914.84403
kzn254,1996,99216.38857
kzn263,1996,167903.6199
kzn261,1996,65367.99864
