municipality2016,year,u5mr,cd
cpt,2009,21,25971
wc011,2009,25,818
wc012,2009,32,592
wc013,2009,27,517
wc014,2009,25,1241
wc015,2009,23,1063
wc022,2009,31,1886
wc023,2009,14,702
wc024,2009,26,1826
wc025,2009,25,1763
wc026,2009,32,1532
wc031,2009,21,928
wc032,2009,41,1020
wc033,2009,48,555
wc034,2009,18,223
wc041,2009,15,57
wc042,2009,26,503
wc043,2009,15,286
wc044,2009,22,1657
wc045,2009,21,636
wc047,2009,25,353
wc048,2009,23,598
wc051,2009,51,42
wc052,2009,27,159
wc053,2009,35,949
buf,2009,25,7022
ec101,2009,26,783
ec102,2009,41,433
ec104,2009,21,421
ec105,2009,30,742
ec106,2009,33,918
ec108,2009,29,1273
ec109,2009,26,351
ec121,2009,46,5767
ec122,2009,42,3971
ec123,2009,39,468
ec124,2009,30,999
ec126,2009,35,727
ec129,2009,31,1478
ec131,2009,54,1000
ec135,2009,50,2032
ec137,2009,73,3791
ec138,2009,35,775
ec139,2009,38,3096
ec136,2009,38,1131
ec141,2009,38,1771
ec142,2009,46,2454
ec145,2009,37,1226
ec153,2009,85,11978
ec154,2009,52,3781
ec155,2009,61,8646
ec156,2009,40,2804
ec157,2009,38,7867
ec441,2009,50,4454
ec442,2009,59,4974
ec443,2009,73,10865
ec444,2009,80,4805
nma,2009,19,6712
nc451,2009,92,3592
nc452,2009,58,3088
nc453,2009,35,642
nc061,2009,49,215
nc062,2009,42,499
nc064,2009,21,50
nc065,2009,43,370
nc066,2009,55,324
nc067,2009,42,162
nc071,2009,42,415
nc072,2009,64,952
nc073,2009,56,872
nc074,2009,52,156
nc075,2009,47,229
nc076,2009,53,241
nc077,2009,25,217
nc078,2009,36,625
nc082,2009,75,2109
nc084,2009,47,460
nc085,2009,27,430
nc086,2009,35,379
nc087,2009,34,1578
nc091,2009,27,2812
nc092,2009,31,809
nc093,2009,41,427
nc094,2009,69,1749
fs161,2009,44,625
fs162,2009,56,1380
fs163,2009,47,839
fs181,2009,56,1832
fs182,2009,49,743
fs183,2009,114,2506
fs184,2009,41,7850
fs185,2009,67,2818
fs191,2009,73,3435
fs192,2009,43,2586
fs193,2009,32,866
fs194,2009,60,8891
fs195,2009,83,1699
fs196,2009,56,1193
fs204,2009,43,3305
fs205,2009,57,1257
fs201,2009,47,2318
fs203,2009,51,2884
man,2009,33,10183
kz212,2009,52,3017
kz213,2009,55,3162
kz214,2009,62,2884
kz216,2009,35,4454
kz221,2009,58,2287
kz222,2009,50,2003
kz224,2009,43,501
kz225,2009,31,6701
kz226,2009,24,364
kz227,2009,59,1102
kz223,2009,162,2686
kz235,2009,74,4828
kz237,2009,47,4136
kz238,2009,48,7337
kz241,2009,48,1437
kz242,2009,46,2962
kz244,2009,63,2978
kz245,2009,63,2933
kz252,2009,47,8276
kz253,2009,65,1229
kz254,2009,39,1797
kz261,2009,87,3375
kz262,2009,65,4073
kz263,2009,52,5389
kz265,2009,55,4434
kz266,2009,48,3963
kz271,2009,29,1446
kz272,2009,40,2389
kz275,2009,59,4862
kz276,2009,49,2237
kz281,2009,54,2335
kz282,2009,37,5637
kz284,2009,30,2198
kz285,2009,33,1047
kz286,2009,50,1705
kz291,2009,97,4766
kz292,2009,46,5698
kz293,2009,55,3101
kz294,2009,45,1392
kz433,2009,40,1586
kz434,2009,69,2609
kz435,2009,52,4063
kz436,2009,47,1456
eth,2009,38,46949
nw371,2009,45,3555
nw372,2009,37,8504
nw373,2009,35,9493
nw374,2009,69,1682
nw375,2009,58,3949
nw381,2009,105,5554
nw383,2009,45,6038
nw384,2009,54,3614
nw385,2009,36,1856
nw382,2009,85,4196
nw392,2009,73,2294
nw393,2009,69,2002
nw394,2009,81,5050
nw396,2009,68,1844
nw397,2009,74,3535
nw403,2009,51,8757
nw404,2009,104,3325
nw405,2009,68,4641
gt422,2009,42,1246
gt421,2009,26,7227
gt423,2009,72,3117
gt481,2009,33,5713
gt484,2009,36,3183
gt485,2009,27,3038
eku,2009,31,45094
jhb,2009,27,52445
