municipality2016,lat,lng,name,province
ec101,24.09312846,-32.84896265,Camdeboo/Ikwezi/Baviaans,EC
ec104,26.40902782,-33.23770128,Makana,EC
ec105,26.74502083,-33.5217414,Ndlambe,EC
ec121,28.5762205,-32.1316495,Mbhashe,EC
ec122,28.16019554,-32.34384433,Mnquma,EC
ec131,25.32948414,-31.86026895,Inxuba Yethemba,EC
ec137,28.09363998,-31.68365052,Engcobo,EC
ec141,28.33202697,-30.92491702,Elundini,EC
ec142,27.55827629,-30.86269185,Senqu,EC
ec153,29.62566295,-31.24134732,Ngquza Hill,EC
ec154,29.41916467,-31.53782654,Port St Johns,EC
ec155,29.06795798,-31.59244814,Nyandeni,EC
ec156,28.78701453,-31.20217575,Mhlontlo,EC
ec157,28.67299157,-31.76493196,King Sabata Dalindyebo,EC
ec441,28.80035712,-30.34623838,Matatiele,EC
fs161,25.01144016,-29.36267454,Letsemeng,FS
fs162,25.64363909,-29.97979091,Kopanong,FS
fs163,26.71002327,-30.21021532,Mohokare,FS
fs181,26.61605029,-28.62995194,Masilonyana,FS
fs182,25.36001692,-28.47290507,Tokologo,FS
fs183,25.92943336,-28.05708352,Tswelopele,FS
fs184,26.91836736,-28.04080209,Matjhabeng,FS
fs185,26.44795384,-27.61802065,Nala,FS
fs191,27.6097834,-28.59956464,Setsoto,FS
fs192,28.29452027,-28.35924239,Dihlabeng,FS
fs193,28.24636221,-27.8535151,Nketoana,FS
fs194,29.02199208,-28.33736513,Maluti a Phofung,FS
fs195,29.23145356,-27.68019137,Phumelela,FS
fs196,27.21377116,-29.14119587,Mantsopa,FS
fs201,27.1921524,-27.49322125,Moqhaka,FS
fs203,27.73471787,-27.29645448,Ngwathe,FS
fs204,28.04115445,-26.93075934,Metsimaholo,FS
fs205,28.60505559,-27.2718231,Mafube,FS
gt481,27.67720096,-25.99027321,Mogale City,GT
gt485,27.62916516,-26.31164364,New,GT
gt484,27.40029543,-26.41017102,Merafong City,GT
tsh,28.43670535,-25.66535081,City of Tshwane,GT
kzn212,30.56618414,-30.26210924,Umdoni,KZN
kzn214,29.8789353,-30.63970198,uMuziwabantu,KZN
kzn216,30.26221755,-30.77836487,Hibiscus Coast,KZN
kzn238,29.85901396,-28.46434034,New,KZN
kzn237,29.82188796,-28.98459942,New,KZN
kzn235,29.30854732,-28.75481122,Okhahlamba,KZN
kzn241,30.30081345,-28.16336307,Endumeni,KZN
