concept,name,concept_type,tooltip,indicator_url,drill_up,domain
children_per_woman_total_fertility,Children per woman (total fertility),measure,Total fertility rate. The number of children that would be born to each woman with prevailing age-specific fertility rates. ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj0TAlJeCEzcGQ,,
co2_emissions_tonnes_per_person,CO2 emissions (tonnes per person),measure,Carbon dioxide emissions from the burning of fossil fuels (metric tonnes of CO2 per person). ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj1gkNuUEXOGag,,
income_per_person_gdppercapita_ppp_inflation_adjusted,"Income per person (GDP/capita, PPP$ inflation-adjusted)",measure,"Gross domestic product per person adjusted for differences in purchasing power (in international dollars, fixed 2005 prices, PPP based on 2005 ICP). ",http://spreadsheets.google.com/pub?key=phAwcNAVuyj1jiMAkmq1iMg,,
child_mortality_0_5_year_olds_dying_per_1000_born,"Child mortality (0-5 year-olds dying per 1,000 born)",measure,"Death of children under five years of age per 1,000 live births ",http://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCcGhBd2NOQVZ1eWowNVpSNjl1c3lRSWc,,
life_expectancy_years,Life expectancy (years),measure,The average number of years a newborn child would live if current mortality patterns were to stay the same. ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj2tPLxKvvnNPA,,
aid_given_2007_us,Aid given (2007 US$),measure,"Total amount of allocable aid for official development assistance (ODA) given by the donor countries, expressed in constant 2007 US$.",http://spreadsheets.google.com/pub?key=tFOn62dEO9QCyIKK6kgSYRQ,,
aid_given_per_person_2007_us,Aid given per person (2007 US$),measure,Total amount of official development assistance (ODA) aid that has been given during this year divided by the population of the country (2007 US$),http://spreadsheets.google.com/pub?key=tGTst0WEm8V8zI9LOYvGmTg,,
aid_given_percent_of_gni,Aid given (% of GNI),measure,Percentage of the gross national income (GNI) of each recepient country that has been given as official development assistance (ODA) aid during this year. ,http://spreadsheets.google.com/pub?key=tQR7RhlZdPjBkVCDPPF4zUg,,
water_and_sanitation_aid_given_percent_of_aid,Water and sanitation aid given (% of aid),measure,Percentage of total allocable aid for official development assistance (ODA) given by the donor countries that has been used in water and sanitation.,http://spreadsheets.google.com/pub?key=tXn3DSfvsYujaBP9bvH6acg,,
economical_infrastructure_aid_given_percent_of_aid,Economical infrastructure aid given (% of aid),measure,Percentage of total allocable aid for official development assistance (ODA) given by the donor countries that has been used in economical infrastructures.,http://spreadsheets.google.com/pub?key=tMxqFNS7BC5QyLrhBO8DXqQ,,
production_sector_aid_given_percent_of_aid,Production sector aid given (% of aid),measure,"Percentage of total allocable aid for official development assistance (ODA) given by the donor countries that has been used in production sectors, including agriculture and industry, etc.",http://spreadsheets.google.com/pub?key=tMjW0fdVf9VJaxVk_VFSUhg,,
multisector_cross_cutting_aid_given_percent_of_aid,Multisector cross-cutting aid given (% of aid),measure,Percentage of total allocable aid for official development assistance (ODA) given by the donor countries that has been used in multisector cross-cutting.,http://spreadsheets.google.com/pub?key=tBJ1rYQ-nA6fqI6_Gn3mBNg,,
education_aid_given_percent_of_aid,Education aid given (% of aid),measure,Percentage of total allocable aid for official development assistance (ODA) given by the donor countries that has been used in education.,http://spreadsheets.google.com/pub?key=tQQaILpdu-vGtSkJLr2VQCw,,
health_aid_given_percent_of_aid,Health aid given (% of aid),measure,Percentage of total allocable aid for official development assistance (ODA) given by the donor countries that has been used in health.,http://spreadsheets.google.com/pub?key=tRybjVoG5Ah9yhKcEx16u5Q,,
population_policies_aid_given_percent_of_aid,Population policies aid given (% of aid),measure,Percentage of total allocable aid for official development assistance (ODA) given by the donor countries that has been used in population policies/programs and reproductive health.,http://spreadsheets.google.com/pub?key=tjFf_YqwB6tgSG9L0r0Ywdg,,
government_and_society_aid_given_percent_of_aid,Government and society aid given (% of aid),measure,Percentage of total allocable aid for official development assistance (ODA) given by the donor countries that has been used in government and civil societies.,http://spreadsheets.google.com/pub?key=t3IAEOsfHK-z6rvGLCDR74g,,
other_social_services_aid_given_percent_of_aid,Other social services aid given (% of aid),measure,Percentage of total allocable aid for official development assistance (ODA) given by the donor countries that has been used in other social infrastructures and services.,http://spreadsheets.google.com/pub?key=tqjUijP4mi_dHKkCZjOn0oA,,
aid_received_total_us_inflation_adjusted,"Aid received, total (US$, inflation-adjusted)",measure,"The sum of aid each recepient country gets during this year from all donor countries in all sectors, expressed in fixed 2007 US$.",https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdHVuNVpKdnNCa08yV3NOd0Zsal9JaWc,,
aid_received_per_person_current_us,Aid received per person (current US$),measure,"The average amount of aid each person in the recepient country gets during this year from all donor countries in all sectors, expressed in current US$.",http://spreadsheets.google.com/pub?key=t9GL1nIZdtxszJbjKErN2Hg,,
aid_received_percent_of_gni,Aid received (% of GNI),measure,Percentage of the gross national income (GNI) of each recepient country that comes from official development assistance (ODA) aid during this year. ,http://spreadsheets.google.com/pub?key=tzK6dx2JltRfVXFI1ADh84w,,
dollar_billionaires_per_million_people,Dollar billionaires per million people,measure,"Number of billionaires among every 1 million people in the country of their citizenship, calculation based on data from Forbes.com",http://spreadsheets.google.com/pub?key=tAQpQeQkuyA1-ZovdDJ7JAw,,
average_age_of_dollar_billionaires_years,Average age of dollar billionaires (years),measure,"The average age of billionaires in the country of their citizenship, calculation based on data from Forbes.com",http://spreadsheets.google.com/pub?key=t_KhYe1qTGh4c90N61AUDSg,,
total_number_of_dollar_billionaires,Total number of dollar billionaires,measure,"Total number of billionaires in the country of their citizenship, provided by Forbes.com",http://spreadsheets.google.com/pub?key=tNWhbu-1UIPPxtmRHtnINOQ,,
debt_to_foreigners_by_public_and_private_percent_of_gni,Debt to foreigners by public & private (% of GNI),measure,"External debt, total (% of GNI)",https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdDlSTTVWUkU3Z254aEhERmVuQWZaeWc,,
total_reserves_percent_of_debt_to_foreigners,Total reserves (% of debt to foreigners),measure,Total reserves (% of external debt),https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdC1iMVRuVUFUd08tVDM0ZDF0cnFtekE,,
total_gdp_us_inflation_adjusted,"Total GDP (US$, inflation-adjusted)",measure,Total GDP (constant exchange rate US$),http://spreadsheets.google.com/pub?key=pyj6tScZqmEfI4sLVvEQtHw,,
gdppercapita_us_inflation_adjusted,"GDP/capita (US$, inflation-adjusted)",measure,GDP per capita in exchange rate terms and adjusted for inflation (2000 US$),https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdHo5S0J6ekhVOF9QaVhod05QSGV4T3c,,
gdpperemployee_us_inflation_adjusted,"GDP/employee (US$, inflation-adjusted)",measure,"The average Gross Domestic Products per each employee during the given year, counted by constant 1990 US$.",http://spreadsheets.google.com/pub?key=rcTO3doih5lvJCjgLSvlajA,,
gdpperworking_hour_us_inflation_adjusted,"GDP/working hour (US$, inflation-adjusted)",measure,"The average Gross Domestic Products per hour per person, counted by constant 1990 US$.",http://spreadsheets.google.com/pub?key=r6kTHMinnVedj8gPsUtfZ0g,,
gdppercapita_growth_over_next_10_years,GDP/capita growth over next 10 years,measure,"Average growth in GDP per capita over the subsequent 10 years, i.e. the data for 1980 concerns the average growth 1980-90. The data is based on income per person v12. Projections after 2005.",http://spreadsheets.google.com/pub?key=tvllZwGIbhwxLD7EXFhPeXQ,,
gdppercapita_growth_percent_per_year,GDP/capita growth (% per year),measure,Annual growth in GDP pc. Based on World Bank data.,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdEdDWHhBcFpjMUo4MGE2X2Q4WXFQRGc,,
total_gni_ppp_current_international,"Total GNI (PPP, current international $)",measure,PPP GNI (formerly PPP GNP) is gross national income converted to international dollars using purchasing power parity rates. An international dollar has the same purchasing power over GNI as a U.S. dollar has in the United States.,https://docs.google.com/spreadsheet/pub?key=0ArfEDsV3bBwCdFl6cDkxcmZxM0pVNXBUYjE1ZmNqVUE,,
gnipercapita_constant_2000_us,GNI/capita (constant 2000 US$),measure,GNI per capita (constant 2000 US$),https://docs.google.com/spreadsheet/pub?key=0ArfEDsV3bBwCdFdqZ0NOdjluMmoyUTBTWTRjWWQzQVE,,
gnipercapita_atlasmethod_current_us,"GNI/capita (Atlas method, current US$)",measure,"GNI per capita, Atlas method (current US$)",https://docs.google.com/spreadsheet/pub?key=0ArfEDsV3bBwCdFVrVDZQUnRwZ2lqT2lPMXcySXZwRmc,,
