geo,aged_15_24_employment_rate_percent,time
afg,50.4,1991
afg,50.2,1992
afg,50.4,1993
afg,50.0,1994
afg,50.0,1995
afg,50.0,1996
afg,50.1,1997
afg,50.1,1998
afg,50.1,1999
afg,50.2,2000
afg,50.8,2001
afg,50.6,2002
afg,47.8,2003
afg,50.0,2004
afg,45.9,2005
afg,48.8,2006
afg,48.0,2007
alb,38.9,1991
alb,38.5,1992
alb,38.6,1993
alb,38.8,1994
alb,38.8,1995
alb,38.2,1996
alb,38.4,1997
alb,38.1,1998
alb,37.7,1999
alb,37.4,2000
alb,37.0,2001
alb,36.8,2002
alb,36.4,2003
alb,35.9,2004
alb,35.5,2005
alb,35.2,2006
alb,35.6,2007
dza,25.4,1991
dza,24.7,1992
dza,25.2,1993
dza,25.1,1994
dza,23.7,1995
dza,24.6,1996
dza,25.3,1997
dza,24.8,1998
dza,24.3,1999
dza,23.2,2000
dza,24.9,2001
dza,25.7,2002
dza,26.9,2003
dza,31.0,2004
dza,32.5,2005
dza,34.8,2006
dza,34.0,2007
ago,69.1,1991
ago,68.5,1992
ago,69.0,1993
ago,68.9,1994
ago,69.9,1995
ago,69.9,1996
ago,69.5,1997
ago,69.1,1998
ago,68.9,1999
ago,68.9,2000
ago,68.8,2001
ago,68.7,2002
ago,68.4,2003
ago,68.3,2004
ago,68.1,2005
ago,67.5,2006
ago,67.7,2007
arg,42.9,1991
arg,43.3,1992
arg,43.3,1993
arg,43.8,1994
arg,43.5,1995
arg,44.0,1996
arg,44.0,1997
arg,43.3,1998
arg,42.3,1999
arg,42.2,2000
arg,41.3,2001
arg,40.0,2002
arg,41.3,2003
arg,40.7,2004
arg,40.0,2005
arg,39.4,2006
arg,39.0,2007
arm,23.8,1991
arm,21.6,1992
arm,21.0,1993
arm,22.5,1994
arm,21.4,1995
arm,22.3,1996
arm,21.9,1997
arm,22.2,1998
arm,22.0,1999
arm,22.9,2000
arm,23.9,2001
arm,24.2,2002
arm,24.5,2003
arm,24.0,2004
arm,24.1,2005
arm,23.8,2006
arm,25.6,2007
aus,57.5,1991
aus,55.9,1992
aus,55.9,1993
aus,58.5,1994
aus,60.9,1995
aus,60.6,1996
aus,59.1,1997
aus,59.9,1998
aus,61.1,1999
aus,62.1,2000
aus,61.2,2001
aus,61.1,2002
aus,61.8,2003
aus,62.3,2004
aus,63.4,2005
aus,63.9,2006
aus,64.3,2007
aut,61.3,1991
aut,61.7,1992
aut,58.8,1993
aut,59.3,1994
aut,57.3,1995
aut,55.6,1996
aut,54.9,1997
aut,54.2,1998
aut,53.9,1999
aut,53.0,2000
aut,51.7,2001
aut,51.8,2002
aut,51.4,2003
aut,51.9,2004
aut,53.1,2005
aut,54.2,2006
aut,52.5,2007
aze,38.1,1991
aze,38.1,1992
aze,37.9,1993
aze,38.1,1994
aze,36.2,1995
aze,36.7,1996
aze,37.1,1997
aze,36.7,1998
aze,37.0,1999
aze,37.1,2000
aze,37.0,2001
aze,36.9,2002
aze,37.3,2003
aze,38.7,2004
aze,36.8,2005
aze,35.2,2006
aze,39.2,2007
bhs,45.2,1991
bhs,43.1,1992
bhs,45.3,1993
bhs,45.1,1994
bhs,46.8,1995
bhs,44.3,1996
bhs,44.1,1997
bhs,46.2,1998
bhs,45.6,1999
bhs,45.5,2000
bhs,45.6,2001
bhs,43.5,2002
bhs,41.2,2003
bhs,42.0,2004
bhs,43.5,2005
bhs,45.3,2006
bhs,43.3,2007
bhr,32.0,1991
bhr,32.1,1992
bhr,32.1,1993
bhr,32.2,1994
bhr,32.4,1995
bhr,32.5,1996
bhr,31.8,1997
bhr,32.4,1998
bhr,32.9,1999
bhr,33.0,2000
bhr,33.1,2001
bhr,32.7,2002
bhr,32.3,2003
bhr,31.8,2004
bhr,31.5,2005
bhr,30.8,2006
bhr,30.4,2007
bgd,66.6,1991
bgd,61.9,1992
bgd,63.8,1993
bgd,61.4,1994
bgd,58.3,1995
bgd,59.3,1996
bgd,58.0,1997
bgd,58.7,1998
bgd,57.1,1999
bgd,56.3,2000
bgd,56.9,2001
bgd,57.4,2002
bgd,58.1,2003
bgd,56.8,2004
bgd,56.3,2005
bgd,55.8,2006
bgd,55.9,2007
brb,41.6,1991
brb,37.2,1992
brb,36.2,1993
brb,37.2,1994
brb,40.7,1995
brb,46.8,1996
brb,44.2,1997
brb,46.6,1998
brb,46.6,1999
brb,46.8,2000
brb,44.0,2001
brb,42.9,2002
brb,40.9,2003
brb,43.5,2004
brb,44.4,2005
brb,44.9,2006
brb,44.6,2007
blr,40.0,1991
blr,39.6,1992
blr,39.2,1993
blr,38.8,1994
blr,38.2,1995
blr,38.1,1996
blr,38.2,1997
blr,37.0,1998
blr,35.7,1999
blr,35.5,2000
blr,35.0,2001
blr,34.8,2002
blr,34.7,2003
blr,34.4,2004
blr,33.8,2005
blr,33.1,2006
blr,33.9,2007
bel,31.4,1991
bel,31.2,1992
bel,27.8,1993
bel,27.1,1994
bel,26.3,1995
bel,26.1,1996
bel,25.5,1997
bel,26.3,1998
bel,25.6,1999
bel,30.3,2000
bel,28.1,2001
bel,28.1,2002
bel,26.7,2003
bel,27.7,2004
bel,26.5,2005
bel,26.3,2006
bel,26.8,2007
blz,38.5,1991
blz,39.3,1992
blz,40.9,1993
blz,40.6,1994
blz,38.6,1995
blz,37.1,1996
blz,38.0,1997
blz,37.5,1998
blz,39.2,1999
blz,40.5,2000
blz,42.4,2001
blz,41.8,2002
blz,41.7,2003
blz,41.7,2004
blz,41.8,2005
blz,42.6,2006
blz,41.7,2007
ben,64.3,1991
ben,66.2,1992
ben,66.1,1993
ben,65.9,1994
ben,65.6,1995
ben,65.2,1996
ben,64.6,1997
ben,64.1,1998
ben,63.5,1999
ben,63.0,2000
ben,62.4,2001
ben,61.9,2002
ben,61.4,2003
ben,60.9,2004
ben,60.4,2005
ben,59.9,2006
ben,59.4,2007
btn,42.9,1991
btn,41.5,1992
btn,41.2,1993
btn,39.9,1994
btn,39.0,1995
btn,38.9,1996
btn,38.6,1997
btn,38.5,1998
btn,38.5,1999
btn,39.3,2000
btn,40.5,2001
btn,40.9,2002
btn,43.1,2003
btn,44.2,2004
btn,45.8,2005
btn,45.4,2006
btn,42.5,2007
bol,47.8,1991
bol,45.9,1992
bol,44.7,1993
bol,43.4,1994
bol,42.0,1995
bol,41.0,1996
bol,49.8,1997
bol,49.5,1998
bol,49.0,1999
bol,48.1,2000
bol,47.8,2001
bol,47.6,2002
bol,47.6,2003
bol,47.6,2004
bol,47.6,2005
bol,47.6,2006
bol,49.0,2007
bih,28.2,1991
bih,26.2,1992
bih,23.8,1993
bih,23.4,1994
bih,23.8,1995
bih,23.4,1996
bih,21.9,1997
bih,21.4,1998
bih,20.5,1999
bih,19.7,2000
bih,20.3,2001
bih,19.2,2002
bih,19.5,2003
bih,17.6,2004
bih,18.4,2005
bih,14.7,2006
bih,16.2,2007
bwa,38.6,1991
bwa,33.8,1992
bwa,28.7,1993
bwa,23.0,1994
bwa,22.5,1995
bwa,22.1,1996
bwa,28.6,1997
bwa,35.8,1998
bwa,34.7,1999
bwa,33.6,2000
bwa,23.4,2001
bwa,25.4,2002
bwa,23.8,2003
bwa,21.6,2004
bwa,19.2,2005
bwa,25.0,2006
bwa,25.6,2007
bra,53.6,1991
bra,59.5,1992
bra,59.1,1993
bra,58.7,1994
bra,58.1,1995
bra,55.1,1996
bra,54.5,1997
bra,52.6,1998
bra,52.1,1999
bra,51.6,2000
bra,51.1,2001
bra,51.8,2002
bra,51.0,2003
bra,52.8,2004
bra,52.3,2005
bra,53.3,2006
bra,53.1,2007
brn,41.5,1991
brn,41.5,1992
brn,41.2,1993
brn,41.2,1994
brn,41.3,1995
brn,41.5,1996
brn,41.8,1997
brn,42.3,1998
brn,42.8,1999
brn,43.2,2000
brn,43.4,2001
brn,43.1,2002
brn,42.6,2003
brn,42.2,2004
brn,41.9,2005
brn,41.8,2006
brn,42.0,2007
bgr,27.5,1991
bgr,33.2,1992
bgr,27.1,1993
bgr,26.4,1994
bgr,27.4,1995
bgr,27.0,1996
bgr,25.1,1997
bgr,24.2,1998
bgr,21.3,1999
bgr,17.9,2000
bgr,21.1,2001
bgr,20.9,2002
bgr,21.7,2003
bgr,22.9,2004
bgr,23.6,2005
bgr,25.7,2006
bgr,25.5,2007
bfa,76.5,1991
bfa,76.5,1992
bfa,76.4,1993
bfa,76.5,1994
bfa,76.6,1995
bfa,76.5,1996
bfa,76.4,1997
bfa,76.5,1998
bfa,76.3,1999
bfa,76.1,2000
bfa,75.9,2001
bfa,75.6,2002
bfa,75.2,2003
bfa,74.9,2004
bfa,74.6,2005
bfa,74.3,2006
bfa,74.3,2007
bdi,72.6,1991
bdi,72.9,1992
bdi,73.4,1993
bdi,73.9,1994
bdi,74.4,1995
bdi,74.9,1996
bdi,75.4,1997
bdi,75.5,1998
bdi,75.5,1999
bdi,75.4,2000
bdi,74.9,2001
bdi,74.3,2002
bdi,73.6,2003
bdi,73.0,2004
bdi,72.4,2005
bdi,72.1,2006
bdi,72.0,2007
khm,67.7,1991
khm,67.0,1992
khm,67.2,1993
khm,66.9,1994
khm,64.6,1995
khm,62.1,1996
khm,62.5,1997
khm,65.3,1998
khm,66.5,1999
khm,68.1,2000
khm,70.8,2001
khm,72.1,2002
khm,73.5,2003
khm,74.6,2004
khm,74.2,2005
khm,72.7,2006
khm,74.9,2007
cmr,38.6,1991
cmr,38.7,1992
cmr,38.6,1993
cmr,38.5,1994
cmr,38.3,1995
cmr,39.5,1996
cmr,39.0,1997
cmr,38.5,1998
cmr,38.0,1999
cmr,37.7,2000
cmr,37.0,2001
cmr,36.7,2002
cmr,36.4,2003
cmr,36.1,2004
cmr,35.7,2005
cmr,35.3,2006
cmr,34.7,2007
can,57.3,1991
can,54.7,1992
can,53.3,1993
can,53.7,1994
can,53.8,1995
can,52.7,1996
can,51.6,1997
can,52.6,1998
can,54.6,1999
can,56.3,2000
can,56.3,2001
can,57.5,2002
can,58.1,2003
can,57.9,2004
can,57.6,2005
can,58.5,2006
can,60.6,2007
cpv,55.9,1991
cpv,55.5,1992
cpv,54.8,1993
cpv,53.9,1994
cpv,52.8,1995
cpv,51.7,1996
cpv,50.5,1997
cpv,49.1,1998
cpv,47.8,1999
cpv,46.4,2000
cpv,45.3,2001
cpv,44.2,2002
cpv,43.2,2003
cpv,42.4,2004
cpv,41.2,2005
cpv,40.3,2006
cpv,38.8,2007
caf,57.3,1991
caf,57.4,1992
caf,57.2,1993
caf,57.0,1994
caf,56.7,1995
caf,56.6,1996
caf,56.8,1997
caf,56.7,1998
caf,56.7,1999
caf,56.7,2000
caf,56.7,2001
caf,56.7,2002
caf,56.8,2003
caf,56.9,2004
caf,56.7,2005
caf,56.3,2006
caf,56.7,2007
tcd,50.1,1991
tcd,50.2,1992
tcd,50.2,1993
tcd,50.3,1994
tcd,50.3,1995
tcd,50.4,1996
tcd,50.4,1997
tcd,50.3,1998
tcd,50.3,1999
tcd,50.4,2000
tcd,50.5,2001
tcd,50.4,2002
tcd,49.9,2003
tcd,49.6,2004
tcd,49.2,2005
tcd,49.1,2006
tcd,49.1,2007
chl,34.0,1991
chl,35.6,1992
chl,37.4,1993
chl,36.5,1994
chl,35.2,1995
chl,33.3,1996
chl,32.3,1997
chl,29.7,1998
chl,27.6,1999
chl,25.9,2000
chl,25.5,2001
chl,24.7,2002
chl,24.7,2003
chl,26.0,2004
chl,26.0,2005
chl,26.7,2006
chl,24.0,2007
chn,72.1,1991
chn,72.2,1992
chn,71.3,1993
chn,70.3,1994
chn,68.9,1995
chn,67.7,1996
chn,66.4,1997
chn,64.8,1998
chn,63.5,1999
chn,62.2,2000
chn,60.8,2001
chn,59.5,2002
chn,58.2,2003
chn,57.0,2004
chn,56.1,2005
chn,55.4,2006
chn,55.7,2007
col,37.1,1991
col,37.5,1992
col,39.3,1993
col,37.7,1994
col,37.8,1995
col,36.9,1996
col,35.5,1997
col,36.1,1998
col,39.1,1999
col,39.0,2000
col,40.1,2001
col,39.3,2002
col,40.5,2003
col,40.8,2004
col,42.4,2005
col,40.9,2006
col,43.9,2007
com,55.6,1991
com,55.0,1992
com,54.3,1993
com,53.7,1994
com,53.1,1995
com,52.3,1996
com,51.4,1997
com,50.6,1998
com,49.8,1999
com,49.3,2000
com,48.9,2001
com,48.7,2002
com,48.6,2003
com,48.4,2004
com,48.2,2005
com,47.9,2006
com,47.3,2007
cog,47.7,1991
cog,47.6,1992
cog,47.3,1993
cog,47.1,1994
cog,45.4,1995
cog,44.9,1996
cog,45.5,1997
cog,45.5,1998
cog,45.1,1999
cog,44.9,2000
cog,44.7,2001
cog,44.8,2002
cog,44.9,2003
cog,44.9,2004
cog,44.8,2005
cog,44.6,2006
cog,44.6,2007
cod,58.1,1991
cod,58.8,1992
cod,59.1,1993
cod,59.3,1994
cod,59.5,1995
cod,59.7,1996
cod,59.8,1997
cod,59.9,1998
cod,59.9,1999
cod,60.1,2000
cod,60.3,2001
cod,60.5,2002
cod,60.6,2003
cod,60.6,2004
cod,60.6,2005
cod,60.7,2006
cod,60.7,2007
cri,48.3,1991
cri,48.8,1992
cri,49.4,1993
cri,49.2,1994
cri,47.7,1995
cri,44.2,1996
cri,45.9,1997
cri,48.3,1998
cri,46.4,1999
cri,45.8,2000
cri,44.9,2001
cri,44.2,2002
cri,43.3,2003
cri,41.7,2004
cri,42.4,2005
cri,42.9,2006
cri,44.0,2007
civ,51.0,1991
civ,50.8,1992
civ,51.1,1993
civ,51.4,1994
civ,51.5,1995
civ,50.7,1996
civ,49.9,1997
civ,49.0,1998
civ,48.2,1999
civ,47.7,2000
civ,47.3,2001
civ,47.0,2002
civ,46.9,2003
civ,46.6,2004
civ,46.2,2005
civ,45.7,2006
civ,45.4,2007
hrv,25.1,1991
hrv,24.7,1992
hrv,24.3,1993
hrv,31.8,1994
hrv,31.8,1995
hrv,31.9,1996
hrv,31.8,1997
hrv,29.7,1998
hrv,27.9,1999
hrv,26.0,2000
hrv,23.1,2001
hrv,26.2,2002
hrv,25.8,2003
hrv,26.5,2004
hrv,26.0,2005
hrv,26.7,2006
hrv,28.8,2007
cub,38.9,1991
cub,38.2,1992
cub,38.9,1993
cub,38.5,1994
cub,34.2,1995
cub,33.9,1996
cub,33.1,1997
cub,32.3,1998
cub,30.7,1999
cub,30.1,2000
cub,30.3,2001
cub,30.3,2002
cub,30.9,2003
cub,31.1,2004
cub,31.5,2005
cub,31.8,2006
cub,31.6,2007
cyp,56.4,1991
cyp,50.4,1992
cyp,50.1,1993
cyp,50.7,1994
cyp,50.0,1995
cyp,48.1,1996
cyp,47.3,1997
cyp,46.1,1998
cyp,43.2,1999
cyp,44.3,2000
cyp,45.7,2001
cyp,36.8,2002
cyp,37.4,2003
cyp,37.1,2004
cyp,35.6,2005
cyp,36.8,2006
cyp,35.9,2007
cze,44.5,1991
cze,45.5,1992
cze,47.4,1993
cze,47.8,1994
cze,46.6,1995
cze,45.4,1996
cze,43.5,1997
cze,42.3,1998
cze,39.6,1999
cze,38.2,2000
cze,36.3,2001
cze,34.0,2002
cze,31.7,2003
cze,28.7,2004
cze,27.4,2005
cze,27.5,2006
cze,28.8,2007
dnk,65.1,1991
dnk,63.3,1992
dnk,60.5,1993
dnk,62.3,1994
dnk,66.1,1995
dnk,66.2,1996
dnk,68.3,1997
dnk,66.8,1998
dnk,66.6,1999
dnk,67.2,2000
dnk,61.9,2001
dnk,64.4,2002
dnk,59.3,2003
dnk,61.6,2004
dnk,62.0,2005
dnk,63.8,2006
dnk,61.5,2007
dom,28.2,1991
dom,26.8,1992
dom,27.6,1993
dom,31.3,1994
dom,32.5,1995
dom,32.2,1996
dom,33.5,1997
dom,34.8,1998
dom,35.8,1999
dom,37.6,2000
dom,38.2,2001
dom,41.1,2002
dom,34.5,2003
dom,33.0,2004
dom,33.2,2005
dom,33.4,2006
dom,32.7,2007
tls,50.9,1991
tls,50.8,1992
tls,50.8,1993
tls,50.8,1994
tls,50.8,1995
tls,50.6,1996
tls,50.2,1997
tls,49.8,1998
tls,50.0,1999
tls,50.7,2000
tls,51.8,2001
tls,53.2,2002
tls,54.5,2003
tls,55.3,2004
tls,55.8,2005
tls,55.9,2006
tls,58.0,2007
ecu,39.0,1991
ecu,39.7,1992
ecu,40.1,1993
ecu,40.1,1994
ecu,40.3,1995
ecu,40.4,1996
ecu,40.3,1997
ecu,40.4,1998
ecu,41.0,1999
ecu,40.7,2000
ecu,39.9,2001
ecu,39.7,2002
ecu,39.6,2003
ecu,39.5,2004
ecu,39.2,2005
ecu,38.9,2006
ecu,39.0,2007
egy,21.5,1991
egy,22.9,1992
egy,22.0,1993
egy,22.5,1994
egy,22.7,1995
egy,24.0,1996
egy,23.8,1997
egy,23.6,1998
egy,27.6,1999
egy,23.9,2000
egy,20.8,2001
egy,23.2,2002
egy,22.4,2003
egy,21.5,2004
egy,19.7,2005
egy,21.8,2006
egy,21.6,2007
slv,41.9,1991
slv,45.1,1992
slv,42.4,1993
slv,44.8,1994
slv,45.0,1995
slv,43.0,1996
slv,42.1,1997
slv,45.5,1998
slv,44.4,1999
slv,43.3,2000
slv,42.1,2001
slv,41.6,2002
slv,44.0,2003
slv,42.5,2004
slv,41.9,2005
slv,41.3,2006
slv,40.7,2007
gnq,58.6,1991
gnq,59.4,1992
gnq,59.2,1993
gnq,59.5,1994
gnq,59.7,1995
gnq,60.7,1996
gnq,62.1,1997
gnq,60.3,1998
gnq,60.5,1999
gnq,60.4,2000
gnq,61.3,2001
gnq,60.6,2002
gnq,60.5,2003
gnq,60.9,2004
gnq,60.3,2005
gnq,60.1,2006
gnq,60.5,2007
eri,58.4,1991
eri,58.7,1992
eri,59.1,1993
eri,59.1,1994
eri,59.0,1995
eri,58.8,1996
eri,58.5,1997
eri,58.2,1998
eri,57.7,1999
eri,57.4,2000
eri,56.8,2001
eri,55.8,2002
eri,54.8,2003
eri,54.1,2004
eri,53.7,2005
eri,53.5,2006
eri,52.7,2007
est,43.7,1991
est,44.7,1992
est,42.8,1993
est,42.0,1994
est,41.2,1995
est,38.6,1996
est,36.5,1997
est,36.7,1998
est,33.6,1999
est,32.3,2000
est,31.1,2001
est,27.8,2002
est,28.7,2003
est,27.4,2004
est,28.7,2005
est,28.0,2006
est,29.9,2007
eth,64.8,1991
eth,65.6,1992
eth,67.5,1993
eth,70.3,1994
eth,66.9,1995
eth,71.2,1996
eth,73.5,1997
eth,72.6,1998
eth,69.5,1999
eth,70.0,2000
eth,70.7,2001
eth,71.1,2002
eth,71.6,2003
eth,72.0,2004
eth,73.4,2005
eth,72.6,2006
eth,73.6,2007
fji,41.4,1991
fji,41.3,1992
fji,40.2,1993
fji,39.9,1994
fji,39.6,1995
fji,38.8,1996
fji,39.0,1997
fji,39.6,1998
fji,38.7,1999
fji,40.0,2000
fji,39.8,2001
fji,39.5,2002
fji,40.5,2003
fji,40.6,2004
fji,40.6,2005
fji,40.3,2006
fji,40.2,2007
fin,45.2,1991
fin,36.4,1992
fin,31.6,1993
fin,29.2,1994
fin,30.0,1995
fin,30.7,1996
fin,33.8,1997
fin,35.3,1998
fin,39.1,1999
fin,40.2,2000
fin,41.0,2001
fin,40.3,2002
fin,39.0,2003
fin,38.5,2004
fin,39.8,2005
fin,41.1,2006
fin,43.7,2007
fra,27.5,1991
fra,26.5,1992
fra,23.8,1993
fra,21.8,1994
fra,22.1,1995
fra,22.0,1996
fra,20.8,1997
fra,21.6,1998
fra,21.5,1999
fra,23.7,2000
fra,24.3,2001
fra,23.8,2002
fra,27.7,2003
fra,27.1,2004
fra,26.7,2005
fra,26.2,2006
fra,28.8,2007
gab,37.2,1991
gab,37.0,1992
gab,40.6,1993
gab,40.4,1994
gab,40.1,1995
gab,39.8,1996
gab,39.5,1997
gab,39.0,1998
gab,38.3,1999
gab,38.0,2000
gab,37.5,2001
gab,36.6,2002
gab,36.0,2003
gab,35.3,2004
gab,34.8,2005
gab,34.2,2006
gab,33.9,2007
gmb,57.8,1991
gmb,57.8,1992
gmb,57.7,1993
gmb,57.6,1994
gmb,57.4,1995
gmb,57.4,1996
gmb,57.0,1997
gmb,56.7,1998
gmb,56.3,1999
gmb,56.0,2000
gmb,55.6,2001
gmb,55.5,2002
gmb,55.3,2003
gmb,55.0,2004
gmb,54.6,2005
gmb,54.1,2006
gmb,53.9,2007
geo,27.8,1991
geo,26.3,1992
geo,23.3,1993
geo,23.3,1994
geo,23.0,1995
geo,25.6,1996
geo,26.2,1997
geo,25.6,1998
geo,27.8,1999
geo,28.4,2000
geo,28.4,2001
geo,23.4,2002
geo,27.7,2003
geo,22.2,2004
geo,23.4,2005
geo,23.0,2006
geo,22.3,2007
deu,57.8,1991
deu,55.4,1992
deu,52.8,1993
deu,51.2,1994
deu,49.2,1995
deu,47.5,1996
deu,46.4,1997
deu,47.2,1998
deu,47.8,1999
deu,47.6,2000
deu,47.0,2001
deu,44.6,2002
deu,42.2,2003
deu,41.9,2004
deu,42.7,2005
deu,44.0,2006
deu,43.4,2007
gha,40.3,1991
gha,40.4,1992
gha,41.0,1993
gha,41.6,1994
gha,42.2,1995
gha,42.9,1996
gha,43.5,1997
gha,44.2,1998
gha,44.4,1999
gha,45.0,2000
gha,44.2,2001
gha,43.2,2002
gha,42.3,2003
gha,41.3,2004
gha,40.4,2005
gha,39.5,2006
gha,40.4,2007
grc,30.8,1991
grc,30.2,1992
grc,28.7,1993
grc,28.2,1994
grc,28.5,1995
grc,27.7,1996
grc,26.8,1997
grc,29.3,1998
grc,28.2,1999
grc,28.1,2000
grc,26.5,2001
grc,27.4,2002
grc,26.6,2003
grc,28.4,2004
grc,25.8,2005
grc,25.5,2006
grc,28.2,2007
glp,23.0,1991
glp,23.6,1992
glp,22.0,1993
glp,21.7,1994
