geo,aged_15plus_labour_force_participation_rate_percent,time
afg,59.4,1980
afg,59.4,1981
afg,59.3,1982
afg,59.3,1983
afg,59.2,1984
afg,59.2,1985
afg,59.1,1986
afg,59.1,1987
afg,59.0,1988
afg,59.0,1989
afg,58.9,1990
afg,58.8,1991
afg,58.7,1992
afg,58.7,1993
afg,58.6,1994
afg,58.5,1995
afg,58.5,1996
afg,58.4,1997
afg,58.4,1998
afg,58.4,1999
afg,58.5,2000
afg,58.5,2001
afg,58.6,2002
afg,58.8,2003
afg,58.9,2004
afg,59.0,2005
afg,59.2,2006
afg,59.6,2007
alb,75.6,1980
alb,75.3,1981
alb,75.1,1982
alb,74.8,1983
alb,74.5,1984
alb,74.6,1985
alb,74.4,1986
alb,75.0,1987
alb,75.6,1988
alb,74.7,1989
alb,75.9,1990
alb,61.6,1991
alb,61.3,1992
alb,61.6,1993
alb,61.8,1994
alb,61.9,1995
alb,61.9,1996
alb,61.4,1997
alb,61.4,1998
alb,61.3,1999
alb,61.1,2000
alb,60.9,2001
alb,60.8,2002
alb,60.8,2003
alb,60.6,2004
alb,60.4,2005
alb,60.2,2006
alb,60.3,2007
dza,44.7,1980
dza,44.9,1981
dza,44.8,1982
dza,44.8,1983
dza,44.8,1984
dza,44.9,1985
dza,45.7,1986
dza,46.5,1987
dza,47.3,1988
dza,48.1,1989
dza,48.9,1990
dza,49.7,1991
dza,50.5,1992
dza,51.3,1993
dza,52.1,1994
dza,52.8,1995
dza,53.5,1996
dza,54.0,1997
dza,54.3,1998
dza,54.6,1999
dza,55.0,2000
dza,55.6,2001
dza,55.9,2002
dza,56.1,2003
dza,56.4,2004
dza,56.6,2005
dza,57.0,2006
dza,57.3,2007
ago,81.4,1980
ago,81.4,1981
ago,81.5,1982
ago,81.5,1983
ago,81.5,1984
ago,81.6,1985
ago,81.6,1986
ago,81.7,1987
ago,81.8,1988
ago,81.8,1989
ago,81.9,1990
ago,81.9,1991
ago,82.0,1992
ago,81.9,1993
ago,82.0,1994
ago,81.8,1995
ago,81.8,1996
ago,81.8,1997
ago,81.8,1998
ago,81.8,1999
ago,81.7,2000
ago,81.6,2001
ago,81.6,2002
ago,81.6,2003
ago,81.6,2004
ago,81.5,2005
ago,81.5,2006
ago,81.7,2007
arg,52.3,1980
arg,52.5,1981
arg,52.8,1982
arg,53.1,1983
arg,53.0,1984
arg,53.0,1985
arg,53.0,1986
arg,53.0,1987
arg,53.1,1988
arg,53.1,1989
arg,53.1,1990
arg,57.2,1991
arg,57.4,1992
arg,57.6,1993
arg,57.9,1994
arg,58.2,1995
arg,58.5,1996
arg,58.9,1997
arg,59.3,1998
arg,59.7,1999
arg,60.1,2000
arg,60.4,2001
arg,60.8,2002
arg,61.2,2003
arg,61.6,2004
arg,61.9,2005
arg,62.3,2006
arg,62.3,2007
arm,74.9,1980
arm,74.3,1981
arm,74.1,1982
arm,73.7,1983
arm,73.2,1984
arm,72.8,1985
arm,73.1,1986
arm,73.2,1987
arm,72.4,1988
arm,72.5,1989
arm,72.5,1990
arm,64.0,1991
arm,62.4,1992
arm,61.0,1993
arm,60.5,1994
arm,60.5,1995
arm,60.3,1996
arm,60.0,1997
arm,60.2,1998
arm,60.1,1999
arm,60.1,2000
arm,60.2,2001
arm,60.3,2002
arm,60.4,2003
arm,60.3,2004
arm,60.2,2005
arm,60.1,2006
arm,61.0,2007
aus,61.5,1980
aus,61.3,1981
