geo,aged_15plus_unemployment_rate_percent,time
aus,8.1,1986
aus,8.0,1987
aus,7.2,1988
aus,6.1,1989
aus,6.9,1990
aus,9.5,1991
aus,10.4,1992
aus,10.5,1993
aus,9.4,1994
aus,8.2,1995
aus,8.2,1996
aus,8.2,1997
aus,7.7,1998
aus,6.9,1999
aus,6.2,2000
aus,6.7,2001
aus,6.4,2002
aus,6.0,2003
aus,5.5,2004
aus,5.1,2005
can,7.6,1981
can,11.0,1982
can,11.9,1983
can,11.3,1984
can,10.6,1985
can,9.6,1986
can,8.8,1987
can,7.7,1988
can,7.5,1989
can,8.1,1990
can,10.3,1991
can,11.1,1992
can,11.3,1993
can,10.3,1994
can,9.4,1995
can,9.6,1996
can,9.1,1997
can,8.3,1998
can,7.6,1999
can,6.8,2000
can,7.2,2001
can,7.6,2002
can,7.6,2003
can,7.2,2004
can,6.7,2005
cze,4.3,1993
cze,4.3,1994
cze,4.0,1995
cze,3.9,1996
cze,4.8,1997
cze,6.4,1998
cze,8.7,1999
cze,8.8,2000
cze,8.2,2001
cze,7.3,2002
cze,7.8,2003
cze,8.3,2004
cze,8.3,2005
est,13.7,2000
est,12.5,2001
est,10.2,2002
est,10.0,2003
est,9.5,2004
est,7.9,2005
fin,4.8,1981
fin,5.3,1982
fin,5.4,1983
fin,5.0,1984
fin,4.9,1985
fin,5.2,1986
fin,5.0,1987
fin,4.4,1988
fin,3.1,1989
fin,3.1,1990
fin,6.5,1991
fin,11.6,1992
fin,16.1,1993
fin,16.4,1994
fin,15.2,1995
fin,14.4,1996
fin,12.6,1997
fin,11.3,1998
fin,10.2,1999
fin,9.7,2000
fin,9.1,2001
fin,9.0,2002
fin,9.0,2003
fin,8.8,2004
fin,8.3,2005
fra,7.4,1981
fra,8.1,1982
fra,8.4,1983
fra,9.8,1984
fra,10.2,1985
fra,10.4,1986
fra,10.5,1987
fra,10.0,1988
fra,9.4,1989
fra,8.9,1990
fra,9.4,1991
fra,10.2,1992
fra,11.5,1993
fra,12.1,1994
fra,11.4,1995
fra,12.0,1996
fra,12.1,1997
fra,11.5,1998
fra,10.8,1999
fra,9.5,2000
fra,8.7,2001
fra,9.0,2002
fra,9.8,2003
fra,10.0,2004
fra,9.9,2005
deu,5.6,1991
deu,6.6,1992
deu,7.9,1993
deu,8.4,1994
deu,8.1,1995
deu,8.9,1996
deu,9.8,1997
deu,9.2,1998
deu,8.6,1999
deu,8.1,2000
deu,8.2,2001
deu,8.7,2002
deu,10.0,2003
deu,11.0,2004
deu,11.1,2005
hkg,3.0,1985
hkg,2.7,1986
hkg,1.7,1987
hkg,1.3,1988
hkg,1.1,1989
hkg,1.3,1990
hkg,1.7,1991
hkg,1.9,1992
hkg,1.9,1993
hkg,1.9,1994
hkg,3.1,1995
hkg,2.7,1996
hkg,2.1,1997
hkg,4.6,1998
hkg,6.1,1999
hkg,4.8,2000
hkg,5.1,2001
hkg,7.3,2002
hkg,7.9,2003
hkg,6.8,2004
hkg,5.6,2005
irl,13.6,1983
irl,15.4,1984
irl,16.8,1985
irl,17.1,1986
irl,16.9,1987
irl,16.3,1988
irl,15.1,1989
irl,12.9,1990
irl,14.7,1991
irl,15.1,1992
irl,15.7,1993
irl,14.7,1994
irl,12.2,1995
irl,11.9,1996
irl,10.3,1997
irl,7.8,1998
irl,5.7,1999
irl,4.3,2000
irl,3.6,2001
irl,4.2,2002
irl,4.4,2003
irl,4.4,2004
irl,4.3,2005
jpn,2.2,1981
jpn,2.3,1982
jpn,2.6,1983
jpn,2.7,1984
jpn,2.6,1985
jpn,2.8,1986
jpn,2.8,1987
jpn,2.5,1988
jpn,2.2,1989
jpn,2.1,1990
jpn,2.1,1991
jpn,2.2,1992
jpn,2.5,1993
jpn,2.9,1994
jpn,3.2,1995
jpn,3.4,1996
jpn,3.4,1997
jpn,4.1,1998
jpn,4.7,1999
jpn,4.7,2000
jpn,5.0,2001
jpn,5.4,2002
jpn,5.2,2003
jpn,4.7,2004
jpn,4.4,2005
kor,2.5,1992
kor,2.9,1993
kor,2.5,1994
kor,2.0,1995
kor,2.0,1996
kor,2.6,1997
kor,6.9,1998
kor,6.3,1999
kor,4.4,2000
kor,4.0,2001
kor,3.2,2002
kor,3.5,2003
kor,3.6,2004
kor,3.7,2005
lva,20.7,1996
lva,15.2,1997
lva,14.1,1998
lva,14.3,1999
lva,14.5,2000
lva,13.1,2001
lva,11.9,2002
lva,10.6,2003
lva,10.5,2004
lva,8.6,2005
ltu,13.2,1998
ltu,14.5,1999
ltu,16.3,2000
ltu,17.3,2001
ltu,13.7,2002
ltu,12.4,2003
ltu,11.3,2004
ltu,8.2,2005
nld,9.6,1987
nld,9.2,1988
nld,8.3,1989
nld,7.5,1990
nld,7.0,1991
nld,5.5,1992
nld,6.2,1993
nld,6.8,1994
nld,7.1,1995
nld,6.4,1996
nld,5.4,1997
nld,4.2,1998
nld,3.4,1999
nld,2.9,2000
nld,2.8,2001
nld,3.2,2002
nld,4.4,2003
nld,5.1,2004
nld,5.2,2005
nzl,4.0,1986
nzl,4.0,1987
nzl,5.5,1988
nzl,7.1,1989
nzl,7.7,1990
nzl,10.1,1991
nzl,10.2,1992
nzl,9.4,1993
nzl,8.1,1994
nzl,6.3,1995
nzl,6.1,1996
nzl,6.6,1997
nzl,7.4,1998
nzl,6.8,1999
nzl,6.0,2000
nzl,5.3,2001
nzl,5.2,2002
nzl,4.6,2003
nzl,3.9,2004
nzl,3.7,2005
nor,2.0,1981
nor,2.6,1982
nor,3.5,1983
nor,3.1,1984
nor,2.6,1985
nor,1.9,1986
nor,2.1,1987
nor,3.2,1988
nor,4.9,1989
nor,5.2,1990
nor,5.5,1991
nor,5.9,1992
nor,5.9,1993
nor,5.4,1994
nor,4.9,1995
nor,4.8,1996
nor,4.1,1997
nor,3.2,1998
nor,3.1,1999
nor,3.4,2000
nor,3.6,2001
nor,3.9,2002
nor,4.5,2003
nor,4.5,2004
nor,4.6,2005
phl,10.9,1986
phl,10.7,1987
phl,9.5,1988
phl,9.2,1989
phl,8.4,1990
phl,10.6,1991
phl,7.3,1992
phl,6.7,1993
phl,7.0,1994
phl,7.2,1995
phl,6.4,1996
phl,8.8,1997
phl,7.8,1998
phl,7.5,1999
phl,8.9,2000
phl,8.6,2001
phl,9.1,2002
phl,8.9,2003
phl,9.3,2004
phl,7.8,2005
pol,13.9,1993
pol,14.3,1994
pol,13.2,1995
pol,12.3,1996
pol,11.2,1997
pol,10.5,1998
pol,13.9,1999
pol,16.0,2000
pol,18.2,2001
pol,19.9,2002
pol,19.6,2003
pol,18.9,2004
pol,17.7,2005
prt,4.1,1992
prt,5.4,1993
prt,6.7,1994
prt,7.1,1995
prt,7.1,1996
prt,6.6,1997
prt,4.9,1998
prt,4.4,1999
prt,3.9,2000
prt,4.0,2001
prt,5.0,2002
prt,6.3,2003
prt,6.6,2004
prt,7.6,2005
rou,8.8,1994
rou,8.7,1995
rou,7.3,1996
rou,6.5,1997
rou,6.9,1998
rou,7.5,1999
rou,7.8,2000
rou,7.2,2001
rou,8.9,2002
rou,7.4,2003
rou,8.4,2004
rou,7.5,2005
sgp,2.7,1981
sgp,2.4,1982
sgp,2.8,1983
sgp,2.6,1984
sgp,3.9,1985
sgp,5.5,1986
sgp,4.1,1987
sgp,2.8,1988
sgp,1.9,1989
sgp,1.7,1990
sgp,1.9,1991
sgp,2.3,1992
sgp,2.3,1993
sgp,2.3,1994
sgp,2.4,1995
sgp,2.5,1996
sgp,2.2,1997
sgp,3.4,1998
sgp,4.1,1999
sgp,3.8,2001
sgp,5.0,2002
sgp,5.1,2003
sgp,4.8,2004
svk,11.8,1997
svk,12.5,1998
svk,16.2,1999
svk,18.6,2000
svk,19.2,2001
svk,18.5,2002
svk,17.4,2003
svk,18.1,2004
svn,9.0,1993
svn,9.1,1994
svn,7.4,1995
svn,7.2,1996
svn,7.1,1997
svn,7.7,1998
svn,7.4,1999
svn,7.2,2000
svn,5.8,2001
svn,5.9,2002
svn,6.5,2003
svn,6.0,2004
svn,6.5,2005
esp,13.8,1981
esp,15.6,1982
esp,17.0,1983
esp,19.7,1984
esp,21.1,1985
esp,20.8,1986
esp,20.1,1987
esp,19.1,1988
esp,16.9,1989
esp,15.9,1990
esp,16.0,1991
esp,18.1,1992
esp,22.6,1993
esp,24.1,1994
esp,22.9,1995
esp,22.1,1996
esp,20.6,1997
esp,18.6,1998
esp,15.6,1999
esp,13.9,2000
esp,10.6,2001
esp,11.5,2002
esp,11.5,2003
esp,11.0,2004
esp,9.2,2005
swe,2.5,1981
swe,3.2,1982
swe,3.5,1983
swe,3.1,1984
swe,2.8,1985
swe,2.7,1986
swe,2.3,1987
swe,1.9,1988
swe,1.6,1989
swe,1.8,1990
swe,3.3,1991
swe,5.8,1992
swe,9.5,1993
swe,9.8,1994
swe,9.2,1995
swe,10.0,1996
swe,10.2,1997
swe,8.4,1998
swe,7.1,1999
swe,5.9,2000
swe,5.1,2001
swe,5.3,2002
swe,5.6,2003
swe,6.6,2004
swe,7.8,2005
che,1.8,1991
che,2.8,1992
che,3.7,1993
che,3.9,1994
che,3.3,1995
che,3.7,1996
che,4.1,1997
che,3.6,1998
che,3.1,1999
che,2.7,2000
che,2.5,2001
che,2.9,2002
che,4.1,2003
che,4.3,2004
che,4.4,2005
tur,8.0,1991
tur,8.5,1992
tur,8.9,1993
tur,8.6,1994
tur,7.6,1995
tur,6.6,1996
tur,6.8,1997
tur,6.9,1998
tur,7.7,1999
tur,6.5,2000
tur,8.4,2001
tur,10.3,2002
tur,10.5,2003
tur,10.3,2004
tur,10.3,2005
gbr,4.8,2001
gbr,5.1,2002
gbr,4.8,2003
gbr,4.6,2004
gbr,4.6,2005
usa,7.5,1981
usa,9.5,1982
usa,9.4,1983
usa,7.4,1984
usa,7.1,1985
usa,6.9,1986
usa,6.1,1987
usa,5.4,1988
usa,5.2,1989
usa,5.5,1990
usa,6.7,1991
usa,7.4,1992
usa,6.8,1993
usa,6.0,1994
usa,5.6,1995
usa,5.4,1996
usa,4.9,1997
usa,4.5,1998
usa,4.2,1999
usa,4.0,2000
usa,4.7,2001
usa,5.8,2002
usa,6.0,2003
usa,5.5,2004
usa,5.1,2005
