geo,aged_25_54_labour_force_participation_rate_percent,time
afg,66.5,1980
afg,66.3,1981
afg,66.2,1982
afg,66.1,1983
afg,66.0,1984
afg,65.9,1985
afg,65.7,1986
afg,65.6,1987
afg,65.5,1988
afg,65.4,1989
afg,65.3,1990
afg,65.1,1991
afg,64.9,1992
afg,64.8,1993
afg,64.7,1994
afg,64.6,1995
afg,64.5,1996
afg,64.4,1997
afg,64.3,1998
afg,64.3,1999
afg,64.3,2000
afg,64.3,2001
afg,64.4,2002
afg,64.5,2003
afg,64.6,2004
afg,64.7,2005
afg,64.9,2006
afg,64.8,2007
alb,89.4,1980
alb,89.3,1981
alb,89.2,1982
alb,89.0,1983
alb,88.9,1984
alb,88.9,1985
alb,88.8,1986
alb,89.0,1987
alb,89.2,1988
alb,88.9,1989
alb,89.4,1990
alb,74.1,1991
alb,73.7,1992
alb,74.4,1993
alb,75.1,1994
alb,75.6,1995
alb,76.2,1996
alb,75.6,1997
alb,76.3,1998
alb,76.9,1999
alb,77.2,2000
alb,77.5,2001
alb,77.6,2002
alb,77.8,2003
alb,78.0,2004
alb,78.1,2005
alb,78.2,2006
alb,78.5,2007
dza,57.2,1980
dza,57.4,1981
dza,57.6,1982
dza,57.6,1983
dza,57.7,1984
dza,57.8,1985
dza,58.3,1986
dza,58.8,1987
dza,59.3,1988
dza,59.9,1989
dza,60.5,1990
dza,61.1,1991
dza,61.7,1992
dza,62.3,1993
dza,62.9,1994
dza,63.5,1995
dza,64.1,1996
dza,64.7,1997
dza,65.2,1998
dza,65.8,1999
dza,66.4,2000
dza,66.9,2001
dza,67.4,2002
dza,67.8,2003
dza,68.2,2004
dza,68.6,2005
dza,68.9,2006
dza,69.6,2007
ago,86.9,1980
ago,86.9,1981
ago,87.0,1982
ago,87.0,1983
ago,87.1,1984
ago,87.1,1985
ago,87.1,1986
ago,87.2,1987
ago,87.6,1988
ago,87.5,1989
ago,87.5,1990
ago,87.4,1991
ago,87.9,1992
ago,86.9,1993
ago,87.7,1994
ago,86.5,1995
ago,86.6,1996
ago,86.6,1997
ago,86.9,1998
ago,87.1,1999
ago,87.0,2000
ago,87.0,2001
ago,87.3,2002
ago,87.2,2003
ago,87.4,2004
ago,87.7,2005
ago,88.2,2006
ago,88.5,2007
arg,64.6,1980
arg,64.0,1981
arg,63.6,1982
arg,63.2,1983
arg,64.2,1984
arg,65.1,1985
arg,65.3,1986
arg,65.4,1987
arg,65.7,1988
arg,65.8,1989
arg,66.0,1990
arg,72.6,1991
arg,72.9,1992
arg,73.2,1993
arg,73.4,1994
arg,73.7,1995
arg,74.4,1996
arg,75.1,1997
arg,75.7,1998
arg,76.4,1999
arg,77.1,2000
arg,77.7,2001
arg,78.4,2002
arg,79.0,2003
arg,79.7,2004
arg,80.3,2005
arg,80.9,2006
arg,81.0,2007
arm,92.3,1980
arm,92.3,1981
arm,92.3,1982
arm,92.4,1983
arm,92.4,1984
arm,92.4,1985
arm,92.5,1986
arm,92.6,1987
arm,92.4,1988
arm,92.6,1989
arm,92.8,1990
arm,84.0,1991
arm,82.1,1992
arm,81.0,1993
arm,81.1,1994
arm,82.0,1995
arm,82.5,1996
arm,82.6,1997
arm,83.3,1998
arm,83.5,1999
arm,83.8,2000
arm,84.2,2001
arm,84.7,2002
arm,85.1,2003
arm,85.3,2004
arm,85.5,2005
arm,85.6,2006
arm,86.2,2007
aus,74.2,1980
aus,74.3,1981
aus,74.4,1982
aus,74.3,1983
aus,74.9,1984
aus,75.6,1985
aus,77.2,1986
aus,77.6,1987
aus,78.4,1988
aus,79.3,1989
aus,80.2,1990
aus,80.2,1991
aus,80.0,1992
aus,79.9,1993
aus,79.8,1994
aus,80.6,1995
aus,80.3,1996
aus,80.2,1997
aus,80.1,1998
aus,80.0,1999
aus,80.5,2000
aus,80.7,2001
aus,80.9,2002
aus,81.2,2003
aus,80.9,2004
aus,82.0,2005
aus,82.3,2006
aus,82.1,2007
aut,76.1,1980
aut,76.5,1981
aut,76.6,1982
aut,76.3,1983
aut,76.8,1984
aut,77.1,1985
aut,77.5,1986
aut,77.8,1987
aut,78.0,1988
aut,78.4,1989
aut,79.3,1990
aut,79.8,1991
aut,80.9,1992
aut,81.8,1993
aut,82.3,1994
aut,83.3,1995
aut,83.1,1996
aut,83.8,1997
aut,84.1,1998
aut,84.6,1999
aut,85.0,2000
aut,85.2,2001
aut,86.4,2002
aut,87.1,2003
aut,86.4,2004
aut,86.5,2005
aut,87.2,2006
aut,87.6,2007
aze,92.1,1980
aze,91.9,1981
aze,91.9,1982
aze,91.8,1983
aze,91.7,1984
aze,91.6,1985
aze,91.7,1986
aze,91.8,1987
aze,91.6,1988
aze,91.9,1989
aze,92.1,1990
aze,84.9,1991
aze,84.3,1992
aze,83.8,1993
aze,82.5,1994
aze,81.5,1995
aze,81.8,1996
aze,82.2,1997
aze,83.0,1998
aze,83.6,1999
aze,84.5,2000
aze,85.0,2001
aze,85.4,2002
aze,85.7,2003
aze,86.0,2004
aze,86.5,2005
aze,86.7,2006
aze,87.4,2007
bhs,81.7,1980
bhs,82.1,1981
bhs,82.5,1982
bhs,82.9,1983
bhs,83.3,1984
bhs,83.7,1985
bhs,84.1,1986
bhs,84.4,1987
bhs,84.8,1988
bhs,85.1,1989
bhs,85.4,1990
bhs,85.3,1991
bhs,85.0,1992
bhs,85.2,1993
bhs,85.0,1994
bhs,85.0,1995
bhs,85.5,1996
bhs,85.8,1997
bhs,86.2,1998
bhs,86.5,1999
bhs,86.9,2000
bhs,86.8,2001
bhs,86.8,2002
bhs,87.1,2003
bhs,87.2,2004
bhs,87.5,2005
bhs,87.8,2006
bhs,87.8,2007
bhr,72.1,1980
bhr,72.8,1981
bhr,73.1,1982
bhr,73.3,1983
bhr,73.5,1984
bhr,73.8,1985
bhr,74.2,1986
bhr,74.6,1987
bhr,75.1,1988
bhr,75.6,1989
bhr,76.1,1990
bhr,76.7,1991
bhr,77.0,1992
bhr,77.2,1993
bhr,77.4,1994
bhr,77.6,1995
bhr,77.7,1996
bhr,77.8,1997
bhr,77.8,1998
bhr,77.8,1999
bhr,77.8,2000
bhr,77.9,2001
bhr,77.5,2002
bhr,77.2,2003
bhr,76.9,2004
bhr,76.6,2005
bhr,76.3,2006
bhr,76.3,2007
bgd,78.8,1980
bgd,79.1,1981
bgd,79.5,1982
bgd,79.8,1983
bgd,80.1,1984
bgd,80.4,1985
bgd,80.7,1986
bgd,81.1,1987
bgd,81.4,1988
bgd,81.7,1989
bgd,82.0,1990
bgd,82.2,1991
bgd,81.8,1992
bgd,81.4,1993
bgd,81.0,1994
bgd,80.5,1995
bgd,80.0,1996
bgd,80.2,1997
bgd,80.3,1998
bgd,80.4,1999
bgd,80.5,2000
bgd,80.9,2001
bgd,81.2,2002
bgd,81.4,2003
bgd,81.6,2004
bgd,81.8,2005
bgd,82.0,2006
bgd,82.3,2007
brb,81.4,1980
brb,82.6,1981
brb,83.7,1982
brb,84.7,1983
brb,85.2,1984
brb,85.7,1985
brb,86.1,1986
brb,88.0,1987
brb,90.0,1988
brb,89.5,1989
brb,89.2,1990
brb,87.8,1991
brb,88.5,1992
brb,89.4,1993
brb,90.1,1994
brb,91.0,1995
brb,89.7,1996
brb,90.3,1997
brb,90.4,1998
brb,90.4,1999
brb,90.4,2000
brb,90.4,2001
brb,90.4,2002
brb,90.5,2003
brb,91.0,2004
brb,91.1,2005
brb,91.3,2006
brb,91.3,2007
blr,95.4,1980
blr,95.3,1981
blr,95.3,1982
blr,95.3,1983
blr,95.3,1984
blr,95.3,1985
blr,95.4,1986
blr,95.4,1987
blr,95.3,1988
blr,95.4,1989
blr,95.0,1990
blr,94.6,1991
blr,94.1,1992
blr,93.6,1993
blr,93.0,1994
blr,92.3,1995
blr,91.4,1996
blr,90.5,1997
blr,89.4,1998
blr,88.2,1999
blr,88.2,2000
blr,88.2,2001
blr,88.3,2002
blr,88.3,2003
blr,88.3,2004
blr,88.3,2005
blr,88.3,2006
blr,87.7,2007
bel,73.5,1980
bel,74.1,1981
bel,74.5,1982
bel,74.6,1983
bel,75.6,1984
bel,75.9,1985
bel,76.0,1986
bel,75.9,1987
bel,76.1,1988
bel,76.6,1989
bel,76.7,1990
bel,78.1,1991
bel,78.4,1992
bel,79.2,1993
bel,79.8,1994
bel,80.3,1995
bel,80.7,1996
bel,81.0,1997
bel,81.2,1998
bel,82.4,1999
bel,82.7,2000
bel,80.9,2001
bel,81.6,2002
bel,81.8,2003
bel,82.7,2004
bel,84.4,2005
bel,84.5,2006
bel,84.6,2007
blz,58.6,1980
blz,58.6,1981
blz,58.6,1982
blz,58.4,1983
blz,58.4,1984
blz,58.4,1985
blz,58.4,1986
blz,59.3,1987
blz,59.9,1988
blz,61.0,1989
blz,61.5,1990
blz,62.3,1991
blz,64.5,1992
blz,66.9,1993
blz,69.2,1994
blz,69.7,1995
blz,70.2,1996
blz,70.8,1997
blz,71.3,1998
blz,71.9,1999
blz,72.5,2000
blz,73.0,2001
blz,73.6,2002
blz,74.2,2003
blz,74.8,2004
blz,75.3,2005
blz,75.9,2006
blz,76.0,2007
ben,68.3,1980
ben,68.5,1981
ben,68.5,1982
ben,68.2,1983
ben,68.4,1984
ben,68.5,1985
ben,68.5,1986
ben,70.2,1987
ben,72.0,1988
ben,73.7,1989
ben,75.5,1990
ben,77.2,1991
ben,78.9,1992
ben,79.0,1993
ben,79.3,1994
ben,79.5,1995
ben,79.7,1996
ben,80.0,1997
ben,80.1,1998
ben,80.3,1999
ben,80.6,2000
ben,80.9,2001
ben,81.2,2002
ben,81.4,2003
ben,81.5,2004
ben,81.7,2005
ben,81.9,2006
ben,82.1,2007
btn,68.9,1980
btn,68.5,1981
btn,67.9,1982
