geo,agricultural_water_withdrawal_percent_of_total,time
afg,99.0,1987
afg,98.0,2002
alb,80.0,1992
alb,61.0,2002
dza,74.0,1982
dza,60.0,1992
dza,64.0,2002
ago,76.0,1987
ago,60.0,2002
atg,20.0,1992
arg,75.3,1997
arg,73.0,2002
arm,71.0,1982
arm,71.0,1987
arm,67.3,1992
arm,66.0,1997
arm,65.75,2002
arm,65.7,2007
aus,75.0,2002
aze,77.0,1977
aze,75.4,1982
aze,72.5,1987
aze,72.5,1992
aze,81.1,1997
aze,75.3,2002
aze,76.0,2007
bhr,56.4,1992
bhr,56.0,2002
bhr,44.54,2007
bgd,96.0,2002
brb,22.0,2002
blr,36.7,1982
blr,36.1,1987
blr,34.6,1992
blr,30.0,2002
bel,4.0,1982
bel,1.0,2002
blz,90.0,1987
blz,17.0,1997
blz,20.0,2002
ben,58.1,1987
ben,45.3,2002
btn,90.0,2002
bol,85.0,1987
bol,80.0,2002
bwa,47.7,1992
bwa,41.0,2002
bra,60.0,1997
bra,61.0,2002
bgr,21.7,1992
bgr,18.0,2002
bfa,79.0,1987
bfa,80.5,1992
bfa,86.0,2002
bdi,64.0,1987
bdi,77.0,2002
khm,90.0,2002
cmr,35.0,1987
cmr,35.0,1992
cmr,73.0,2002
can,11.0,2002
cpv,90.0,2002
caf,4.0,2002
tcd,81.7,1987
tcd,82.0,2002
chl,63.0,2002
chn,88.1,1982
chn,87.0,1987
chn,80.0,1992
chn,77.5,1997
chn,67.0,2002
col,45.0,2002
com,47.0,2002
cog,11.0,1987
cog,8.69,2002
cri,80.1,1997
cri,53.0,2002
civ,66.9,1987
civ,60.0,1997
civ,60.0,2002
cub,51.1,1997
cub,68.0,2002
cyp,83.0,1977
cyp,79.0,1982
cyp,77.5,1987
cyp,73.4,1992
cyp,73.9,1997
cyp,71.14,2002
cze,2.0,2002
prk,54.0,2002
cod,30.0,2002
dnk,43.0,1992
dnk,42.0,2002
dji,87.5,1987
dji,15.78,2002
dom,88.5,1997
dom,66.0,2002
ecu,82.0,1997
ecu,82.0,2002
egy,80.0,1997
egy,80.0,2002
slv,46.0,1992
slv,59.0,2002
gnq,6.0,1987
gnq,0.92,2002
eri,96.0,2002
eri,94.0,2007
est,5.06,1997
est,5.06,2002
eth,93.6,2002
fji,60.0,1987
fji,71.0,2002
fin,2.6,2002
fra,9.0,2002
gab,6.0,1987
gab,41.0,2002
gmb,91.0,1982
gmb,65.0,2002
geo,50.3,1987
geo,58.9,1992
geo,65.0,2007
deu,2.0,2002
gha,52.0,1972
gha,66.3,2002
grc,80.0,2002
gtm,80.0,2002
gin,87.0,1987
gin,90.0,2002
gnb,36.14,1992
gnb,82.2,1997
gnb,82.2,2002
guy,98.4,1992
guy,90.0,2002
hti,94.35,1992
hti,93.0,2002
hnd,80.0,2002
hun,36.0,1987
hun,32.0,2002
isl,0.133,2002
ind,90.0,1977
ind,90.0,1987
ind,90.0,1992
ind,86.0,2002
idn,93.1,1992
idn,90.0,2002
irn,90.0,1997
irn,90.0,2002
irn,90.0,2007
irq,97.0,1977
irq,90.0,1987
irq,92.0,1992
irq,70.0,2002
irl,10.0,1982
irl,0.017,2002
isr,79.8,1972
isr,72.6,1982
isr,67.4,1992
isr,55.7,2002
isr,57.7,2007
ita,60.0,1972
ita,45.0,2002
jam,77.3,1997
jam,40.0,2002
jpn,60.0,1982
jpn,60.0,1992
jpn,62.0,2002
jor,64.9,1977
jor,74.4,1987
jor,74.8,1992
jor,64.95,2007
kaz,70.0,1982
kaz,81.4,1987
kaz,80.3,1992
kaz,81.4,1997
kaz,81.0,2002
ken,76.4,1992
ken,63.0,2002
ken,79.1,2007
kwt,60.2,1997
