geo,time,aid_received_percent_of_gni
afg,1960,3.13
afg,1961,6.191
afg,1962,3.035
afg,1963,4.783
afg,1964,5.661
afg,1965,5.253
afg,1966,3.524
afg,1967,2.376
afg,1968,2.085
afg,1969,1.895
afg,1970,1.547
afg,1971,2.378
afg,1972,3.383
afg,1973,3.159
afg,1974,2.233
afg,1975,2.872
afg,1976,2.736
afg,1977,2.837
afg,1978,2.448
afg,1979,2.793
afg,1980,0.8559
afg,1981,0.6451
afg,2002,32.06
afg,2003,34.78
afg,2004,43.68
afg,2005,45.18
afg,2006,41.71
afg,2007,56.74
afg,2008,45.63
afg,2009,50.85
afg,2010,40.87
alb,1988,0.2615
alb,1989,0.4428
alb,1990,0.5263
alb,1991,29.71
alb,1992,60.18
alb,1993,22.26
alb,1994,8.193
alb,1995,7.317
alb,1996,7.344
alb,1997,7.485
alb,1998,9.634
alb,1999,13.97
alb,2000,8.385
alb,2001,6.338
alb,2002,6.717
alb,2003,6.091
alb,2004,3.923
alb,2005,3.737
alb,2006,3.428
alb,2007,2.793
alb,2008,2.766
alb,2009,2.972
alb,2010,2.897
dza,1960,11.02
dza,1961,14.73
dza,1962,18.05
dza,1963,10.2
dza,1964,7.83
dza,1965,4.786
dza,1966,4.349
dza,1967,3.272
dza,1968,3.155
dza,1969,3.083
dza,1970,2.577
dza,1971,2.402
dza,1972,1.637
dza,1973,1.448
dza,1974,0.9768
dza,1975,1.487
dza,1976,0.7847
dza,1977,0.5936
dza,1978,0.7035
dza,1979,0.3158
dza,1980,0.4847
dza,1981,0.3884
dza,1982,0.3107
dza,1983,0.1996
dza,1984,0.2332
dza,1985,0.3066
dza,1986,0.27
dza,1987,0.3285
dza,1988,0.3013
dza,1989,0.2944
dza,1990,0.5532
dza,1991,0.4855
dza,1992,0.8125
dza,1993,0.6732
dza,1994,0.7196
dza,1995,0.7427
dza,1996,0.6873
dza,1997,0.5392
dza,1998,0.9087
dza,1999,0.2974
dza,2000,0.3833
dza,2001,0.3714
dza,2002,0.3465
dza,2003,0.3646
dza,2004,0.3884
dza,2005,0.3564
dza,2006,0.2129
dza,2007,0.2942
dza,2008,0.1916
dza,2009,0.2283
dza,2010,0.1275
ago,1985,1.443
ago,1986,2.221
ago,1987,1.941
ago,1988,2.367
ago,1989,2.146
ago,1990,3.236
ago,1991,2.812
ago,1992,9.787
ago,1993,8.933
ago,1994,23.01
ago,1995,11.29
ago,1996,7.808
ago,1997,9.518
ago,1998,45.54
ago,1999,29.56
ago,2000,12.21
ago,2001,9.529
ago,2002,8.222
ago,2003,4.598
ago,2004,6.948
ago,2005,1.559
ago,2006,0.4348
ago,2007,0.457
ago,2008,0.5596
ago,2009,0.4092
ago,2010,0.3278
atg,1977,8.158
atg,1978,4.835
atg,1979,3.627
atg,1980,5.052
atg,1981,7.382
atg,1982,3.687
atg,1983,2.213
atg,1984,1.363
atg,1985,1.481
atg,1986,2.406
atg,1987,2.256
atg,1988,2.736
atg,1989,1.316
atg,1990,1.331
atg,1991,1.912
atg,1992,1.185
atg,1993,0.6918
atg,1994,0.8509
atg,1995,0.4856
atg,1996,0.7771
atg,1997,0.771
atg,1998,1.649
atg,1999,1.709
atg,2000,1.317
atg,2001,1.133
atg,2002,1.761
atg,2003,0.76
atg,2004,0.1895
atg,2005,0.8115
atg,2006,0.2996
atg,2007,0.5936
atg,2008,0.6764
atg,2009,0.4848
atg,2010,1.7
arg,1962,0.1587
arg,1963,0.2017
arg,1964,0.06556
arg,1965,-0.2139
arg,1966,-0.03252
arg,1967,0.0891
arg,1968,0.1563
arg,1969,0.0821
arg,1970,0.03073
arg,1971,0.08239
arg,1972,0.06819
arg,1973,0.0866
arg,1974,0.04942
arg,1975,0.04423
arg,1976,0.05972
arg,1977,0.04956
arg,1978,0.04879
arg,1979,0.0619
arg,1980,0.02252
arg,1981,0.05695
arg,1982,0.03766
arg,1983,0.04823
arg,1984,0.06492
arg,1985,0.04663
arg,1986,0.08219
arg,1987,0.09376
arg,1988,0.1264
arg,1989,0.3001
arg,1990,0.1249
arg,1991,0.1489
arg,1992,0.1175
arg,1993,0.09682
arg,1994,0.05759
arg,1995,0.05626
arg,1996,0.04904
arg,1997,0.03558
arg,1998,0.02712
arg,1999,0.02774
arg,2000,0.01897
arg,2001,0.05578
arg,2002,0.08621
arg,2003,0.08768
arg,2004,0.06334
arg,2005,0.05434
arg,2006,0.05509
arg,2007,0.03966
arg,2008,0.04088
arg,2009,0.04257
arg,2010,0.03377
arm,1991,0.1316
arm,1992,2.111
arm,1993,9.928
arm,1994,14.55
arm,1995,14.84
arm,1996,17.8
arm,1997,9.558
arm,1998,9.938
arm,1999,11.01
arm,2000,10.99
arm,2001,9.695
arm,2002,12.16
arm,2003,8.747
arm,2004,6.879
arm,2005,3.384
arm,2006,3.265
arm,2007,3.691
arm,2008,2.494
arm,2009,5.967
arm,2010,3.531
abw,1987,3.868
abw,1988,2.974
abw,1989,3.319
abw,1990,3.466
abw,1991,2.625
abw,1992,2.918
abw,1993,2.22
abw,1994,1.483
aze,1993,0.601
aze,1994,4.501
aze,1995,3.934
aze,1996,3.094
aze,1997,4.657
aze,1998,2.713
aze,1999,3.735
aze,2000,2.789
aze,2001,4.277
aze,2002,5.97
aze,2003,4.4
aze,2004,2.203
aze,2005,1.867
aze,2006,1.128
aze,2007,0.8053
aze,2008,0.5394
aze,2009,0.5684
aze,2010,0.3218
bhs,1960,-0.02674
bhs,1963,0.009546
bhs,1964,0.02553
bhs,1965,0.02644
bhs,1966,0.01669
bhs,1967,0.2007
bhs,1968,0.01276
bhs,1969,0.01504
bhs,1970,0.01687
bhs,1971,0.04949
bhs,1972,0.2343
bhs,1973,0.0812
bhs,1974,0.09332
bhs,1975,0.1256
bhs,1976,0.1043
bhs,1977,0.07482
bhs,1978,0.1665
bhs,1979,0.121
bhs,1980,0.1645
bhs,1981,0.1507
bhs,1982,0.1278
bhs,1983,0.0553
bhs,1984,0.5654
bhs,1985,0.03244
bhs,1986,0.2425
bhs,1987,0.02625
bhs,1988,0.16
bhs,1989,0.1329
bhs,1990,0.1041
bhs,1991,0.09276
bhs,1992,0.08859
bhs,1993,0.0345
bhs,1994,0.0226
bhs,1995,0.1097
bhr,1980,7.003
bhr,1981,5.752
bhr,1982,4.401
bhr,1983,7.145
bhr,1984,5.629
bhr,1985,2.204
bhr,1986,3.633
bhr,1987,0.2903
bhr,1988,-0.08217
bhr,1989,-0.05269
bhr,1990,3.882
bhr,1991,1.97
bhr,1992,1.675
bhr,1993,2.226
bhr,1994,1.799
bhr,1995,1.725
bhr,1996,2.178
bhr,1997,2.458
bhr,1998,3.316
bhr,1999,0.9744
bhr,2000,0.78
bhr,2001,0.9308
bhr,2002,0.773
bhr,2003,1.424
bhr,2004,0.5461
bgd,1973,5.211
bgd,1974,4.261
bgd,1975,5.525
bgd,1976,4.939
bgd,1977,8.174
bgd,1978,7.499
bgd,1979,7.474
bgd,1980,7.251
bgd,1981,5.465
bgd,1982,7.27
bgd,1983,5.905
bgd,1984,5.877
bgd,1985,5.13
bgd,1986,6.619
bgd,1987,7.364
bgd,1988,6.15
bgd,1989,6.55
bgd,1990,6.804
bgd,1991,5.947
bgd,1992,5.599
bgd,1993,4.06
bgd,1994,5.005
bgd,1995,3.278
bgd,1996,2.933
bgd,1997,2.317
bgd,1998,2.554
bgd,1999,2.58
bgd,2000,2.401
bgd,2001,2.146
bgd,2002,1.821
bgd,2003,2.546
bgd,2004,2.375
bgd,2005,2.082
bgd,2006,1.852
bgd,2007,2.061
bgd,2008,2.391
bgd,2009,1.257
bgd,2010,1.29
brb,1966,1.284
brb,1967,0.4259
brb,1968,0.6177
brb,1969,0.8422
brb,1970,1.283
brb,1971,2.245
brb,1972,2.044
brb,1973,1.674
brb,1974,1.125
brb,1975,1.315
brb,1976,1.723
brb,1977,1.18
brb,1978,2.041
brb,1979,1.642
brb,1980,1.656
brb,1981,1.807
brb,1982,1.283
brb,1983,1.796
brb,1984,0.7188
brb,1985,0.6129
brb,1986,0.2893
brb,1987,0.4372
brb,1988,0.194
brb,1989,0.1204
brb,1990,0.1547
brb,1991,0.13
brb,1992,0.001929
brb,1993,0.2258
brb,1994,-0.06107
brb,1995,-0.06412
brb,1996,0.2191
brb,1997,0.2014
brb,1998,0.6783
brb,1999,-0.08885
brb,2000,0.00969
brb,2001,-0.04673
brb,2002,0.1394
brb,2003,0.7682
brb,2004,1.062
brb,2005,-0.06335
brb,2006,-0.0726
brb,2007,0.5726
brb,2008,0.2181
brb,2009,0.34
blr,2005,0.1913
blr,2006,0.2077
blr,2007,0.1867
blr,2008,0.1837
blr,2009,0.2029
blr,2010,0.2552
blz,1960,6.516
blz,1961,9.477
blz,1962,17.41
blz,1963,12.09
blz,1964,4.303
blz,1965,5.344
blz,1966,5.838
blz,1967,12.38
blz,1968,12.73
blz,1969,14.99
blz,1970,11.55
blz,1971,8.902
blz,1972,14.05
blz,1973,6.291
blz,1974,6.732
blz,1975,8.232
blz,1976,13.14
blz,1977,8.505
blz,1978,14.07
blz,1979,14.14
blz,1980,7.521
blz,1981,5.921
blz,1982,6.9
blz,1983,8.207
blz,1984,6.895
blz,1985,11.0
blz,1986,10.77
blz,1987,8.714
blz,1988,8.173
blz,1989,8.133
blz,1990,7.463
blz,1991,5.017
blz,1992,5.099
