alcohol_consumption_per_adult_15plus_litres,geo,time
0.02,afg,2005
0.03,afg,2008
6.68,alb,2005
7.29,alb,2008
0.96,dza,2005
0.69,dza,2008
15.48,and,2005
10.17,and,2008
5.4,ago,2005
5.57,ago,2008
7.22,atg,2005
8.17,atg,2008
10.0,arg,2005
9.35,arg,2008
11.35,arm,2005
13.66,arm,2008
10.02,aus,2005
10.21,aus,2008
12.62,aut,1994
13.24,aut,2005
12.4,aut,2008
10.6,aze,2005
13.34,aze,2008
8.76,bhs,2005
8.65,bhs,2008
3.66,bhr,2005
4.19,bhr,2008
0.17,bgd,2005
0.17,bgd,2008
6.91,brb,2005
6.42,brb,2008
15.13,blr,2005
18.85,blr,2008
10.77,bel,2005
10.41,bel,2008
6.07,blz,2005
5.92,blz,2008
2.15,ben,2005
2.08,ben,2008
0.55,btn,2005
0.54,btn,2008
5.12,bol,2005
5.78,bol,2008
9.63,bih,2005
9.6,bih,2008
7.96,bwa,2005
6.97,bwa,2008
14.01,bra,1996
9.16,bra,2005
10.08,bra,2008
2.01,brn,2005
1.86,brn,2008
12.44,bgr,2005
11.4,bgr,2008
6.98,bfa,2005
7.32,bfa,2008
9.47,bdi,2005
9.65,bdi,2008
4.77,khm,2005
4.71,khm,2008
7.57,cmr,2005
7.9,cmr,2008
9.77,can,2005
10.2,can,2008
4.96,cpv,2005
4.98,cpv,2008
3.35,caf,2005
3.17,caf,2008
4.38,tcd,2005
4.39,tcd,2008
9.43,chl,1990
8.55,chl,2005
8.81,chl,2008
5.91,chn,2005
5.56,chn,2008
6.17,col,2005
6.59,col,2008
0.36,com,2005
0.28,com,2008
3.3,cod,2005
3.39,cod,2008
3.7,cok,2005
3.23,cok,2008
5.55,cri,2005
5.81,cri,2008
6.48,civ,2005
6.47,civ,2008
15.11,hrv,2005
15.0,hrv,2008
5.51,cub,2005
5.12,cub,2008
9.26,cyp,2005
8.84,cyp,2008
16.45,cze,2005
16.47,cze,2008
14.36,dnk,1994
13.37,dnk,2005
12.02,dnk,2008
1.87,dji,2005
1.87,dji,2008
7.84,dma,2005
8.68,dma,2008
6.41,dom,2005
6.28,dom,2008
8.4,ecu,1990
9.38,ecu,2005
9.43,ecu,2008
0.37,egy,2005
0.32,egy,2008
3.61,slv,2005
3.99,slv,2008
6.08,gnq,2005
6.12,gnq,2008
1.54,eri,2005
1.64,eri,2008
10.74,est,1995
15.57,est,2005
17.24,est,2008
4.02,eth,2005
4.1,eth,2008
2.43,fji,2005
2.76,fji,2008
9.79,fin,1994
12.52,fin,2005
13.1,fin,2008
13.66,fra,2005
12.48,fra,2008
9.32,gab,2005
9.46,gab,2008
3.39,gmb,2005
3.58,gmb,2008
6.4,geo,2005
6.66,geo,2008
12.81,deu,2005
12.14,deu,2008
2.97,gha,2005
3.11,gha,2008
12.51,grc,1990
10.75,grc,2005
11.01,grc,2008
10.35,grd,2005
10.71,grd,2008
4.03,gtm,2005
7.1,gtm,2008
0.76,gin,2005
0.79,gin,2008
3.68,gnb,2005
3.9,gnb,2008
9.5,guy,2005
8.7,guy,2008
6.61,hti,2005
5.92,hti,2008
4.48,hnd,2005
4.43,hnd,2008
14.52,hun,1995
16.27,hun,2005
16.12,hun,2008
5.52,isl,1994
6.31,isl,2005
7.38,isl,2008
2.59,ind,2005
2.69,ind,2008
0.59,idn,2005
0.56,idn,2008
1.02,irn,2005
1.03,irn,2008
0.4,irq,2005
0.47,irq,2008
14.41,irl,2005
14.92,irl,2008
2.89,isr,2005
2.52,isr,2008
10.68,ita,2005
9.72,ita,2008
5.0,jam,2005
5.17,jam,2008
8.03,jpn,2005
7.79,jpn,2008
0.71,jor,2005
0.65,jor,2008
10.96,kaz,2005
11.1,kaz,2008
4.14,ken,2005
3.88,ken,2008
3.71,kir,2005
2.7,kir,2008
0.1,kwt,2005
0.1,kwt,2008
5.09,kgz,2005
4.72,kgz,2008
6.73,lao,2005
6.99,lao,2008
12.5,lva,2005
