alternative_gdp_per_capita_ppp_pwt_8_0,geo,time
3748.0,alb,1970
3803.0,alb,1971
3863.0,alb,1972
3924.0,alb,1973
3989.0,alb,1974
4059.0,alb,1975
4128.0,alb,1976
4200.0,alb,1977
4284.0,alb,1978
4352.0,alb,1979
4432.0,alb,1980
4557.0,alb,1981
4578.0,alb,1982
4582.0,alb,1983
4377.0,alb,1984
4325.0,alb,1985
4468.0,alb,1986
4321.0,alb,1987
4108.0,alb,1988
4451.0,alb,1989
4515.0,alb,1990
2547.0,alb,1991
1930.0,alb,1992
2490.0,alb,1993
3190.0,alb,1994
3521.0,alb,1995
4157.0,alb,1996
3756.0,alb,1997
3769.0,alb,1998
4341.0,alb,1999
4453.0,alb,2000
4597.0,alb,2001
4621.0,alb,2002
4885.0,alb,2003
5193.0,alb,2004
5371.0,alb,2005
5754.0,alb,2006
6117.0,alb,2007
6760.0,alb,2008
7177.0,alb,2009
7315.0,alb,2010
7365.0,alb,2011
2396.0,ago,1970
2488.0,ago,1971
2441.0,ago,1972
2580.0,ago,1973
2604.0,ago,1974
2400.0,ago,1975
2217.0,ago,1976
2187.0,ago,1977
2015.0,ago,1978
1981.0,ago,1979
1890.0,ago,1980
1808.0,ago,1981
1759.0,ago,1982
1747.0,ago,1983
1874.0,ago,1984
1781.0,ago,1985
1746.0,ago,1986
1956.0,ago,1987
1856.0,ago,1988
1853.0,ago,1989
1899.0,ago,1990
2030.0,ago,1991
2155.0,ago,1992
1514.0,ago,1993
1664.0,ago,1994
1869.0,ago,1995
2208.0,ago,1996
2176.0,ago,1997
1924.0,ago,1998
2285.0,ago,1999
1738.0,ago,2000
1621.0,ago,2001
1886.0,ago,2002
1878.0,ago,2003
2002.0,ago,2004
2411.0,ago,2005
2916.0,ago,2006
3317.0,ago,2007
3741.0,ago,2008
3194.0,ago,2009
3991.0,ago,2010
4214.0,ago,2011
4329.0,atg,1970
4587.0,atg,1971
4859.0,atg,1972
5214.0,atg,1973
5348.0,atg,1974
4988.0,atg,1975
4535.0,atg,1976
4857.0,atg,1977
4894.0,atg,1978
5636.0,atg,1979
5736.0,atg,1980
5912.0,atg,1981
6178.0,atg,1982
7199.0,atg,1983
7375.0,atg,1984
7933.0,atg,1985
8648.0,atg,1986
9191.0,atg,1987
10830.0,atg,1988
11430.0,atg,1989
12010.0,atg,1990
11960.0,atg,1991
12170.0,atg,1992
12760.0,atg,1993
13110.0,atg,1994
12140.0,atg,1995
12370.0,atg,1996
12700.0,atg,1997
13130.0,atg,1998
13400.0,atg,1999
13380.0,atg,2000
13300.0,atg,2001
13770.0,atg,2002
13630.0,atg,2003
14050.0,atg,2004
14030.0,atg,2005
14700.0,atg,2006
16050.0,atg,2007
16470.0,atg,2008
14900.0,atg,2009
13320.0,atg,2010
12910.0,atg,2011
2146.0,arg,1950
2208.0,arg,1951
1961.0,arg,1952
1996.0,arg,1953
2048.0,arg,1954
2198.0,arg,1955
2215.0,arg,1956
2277.0,arg,1957
2403.0,arg,1958
2251.0,arg,1959
2383.0,arg,1960
2451.0,arg,1961
2302.0,arg,1962
2258.0,arg,1963
2380.0,arg,1964
2685.0,arg,1965
2626.0,arg,1966
2705.0,arg,1967
2746.0,arg,1968
2942.0,arg,1969
2951.0,arg,1970
3061.0,arg,1971
3075.0,arg,1972
3184.0,arg,1973
3254.0,arg,1974
3133.0,arg,1975
3072.0,arg,1976
3152.0,arg,1977
3010.0,arg,1978
3240.0,arg,1979
3372.0,arg,1980
3304.0,arg,1981
3298.0,arg,1982
3559.0,arg,1983
3733.0,arg,1984
3525.0,arg,1985
3976.0,arg,1986
4203.0,arg,1987
4377.0,arg,1988
4230.0,arg,1989
4604.0,arg,1990
5413.0,arg,1991
6309.0,arg,1992
7167.0,arg,1993
8306.0,arg,1994
9078.0,arg,1995
11680.0,arg,1996
11780.0,arg,1997
11560.0,arg,1998
10590.0,arg,1999
10180.0,arg,2000
9364.0,arg,2001
8663.0,arg,2002
9014.0,arg,2003
9437.0,arg,2004
9957.0,arg,2005
10770.0,arg,2006
11600.0,arg,2007
12430.0,arg,2008
12370.0,arg,2009
13360.0,arg,2010
14510.0,arg,2011
3901.0,arm,1990
4438.0,arm,1991
2872.0,arm,1992
2316.0,arm,1993
2397.0,arm,1994
2397.0,arm,1995
2567.0,arm,1996
2448.0,arm,1997
2493.0,arm,1998
2508.0,arm,1999
2604.0,arm,2000
2831.0,arm,2001
3159.0,arm,2002
3548.0,arm,2003
3883.0,arm,2004
4359.0,arm,2005
4850.0,arm,2006
5447.0,arm,2007
5613.0,arm,2008
4835.0,arm,2009
5002.0,arm,2010
5235.0,arm,2011
11640.0,aus,1950
10520.0,aus,1951
10200.0,aus,1952
11040.0,aus,1953
11470.0,aus,1954
11600.0,aus,1955
11620.0,aus,1956
11360.0,aus,1957
11830.0,aus,1958
12430.0,aus,1959
12290.0,aus,1960
12370.0,aus,1961
12830.0,aus,1962
13670.0,aus,1963
13970.0,aus,1964
13950.0,aus,1965
14590.0,aus,1966
14910.0,aus,1967
15780.0,aus,1968
16600.0,aus,1969
16750.0,aus,1970
16970.0,aus,1971
17490.0,aus,1972
18650.0,aus,1973
17860.0,aus,1974
17680.0,aus,1975
18180.0,aus,1976
18100.0,aus,1977
18840.0,aus,1978
19300.0,aus,1979
19710.0,aus,1980
20400.0,aus,1981
19630.0,aus,1982
20480.0,aus,1983
21000.0,aus,1984
21280.0,aus,1985
21370.0,aus,1986
22680.0,aus,1987
23980.0,aus,1988
24620.0,aus,1989
24050.0,aus,1990
23830.0,aus,1991
24500.0,aus,1992
25260.0,aus,1993
26380.0,aus,1994
27460.0,aus,1995
28410.0,aus,1996
29470.0,aus,1997
30440.0,aus,1998
31650.0,aus,1999
31810.0,aus,2000
32640.0,aus,2001
33290.0,aus,2002
34280.0,aus,2003
34900.0,aus,2004
35510.0,aus,2005
36070.0,aus,2006
36530.0,aus,2007
36210.0,aus,2008
36080.0,aus,2009
37580.0,aus,2010
38500.0,aus,2011
4836.0,aut,1950
5014.0,aut,1951
5253.0,aut,1952
5512.0,aut,1953
5872.0,aut,1954
6447.0,aut,1955
6959.0,aut,1956
7302.0,aut,1957
7621.0,aut,1958
7891.0,aut,1959
8441.0,aut,1960
8886.0,aut,1961
9093.0,aut,1962
9445.0,aut,1963
9846.0,aut,1964
10120.0,aut,1965
10550.0,aut,1966
10800.0,aut,1967
11240.0,aut,1968
11740.0,aut,1969
12410.0,aut,1970
12990.0,aut,1971
13770.0,aut,1972
14510.0,aut,1973
14800.0,aut,1974
14860.0,aut,1975
15280.0,aut,1976
15900.0,aut,1977
15910.0,aut,1978
16540.0,aut,1979
16630.0,aut,1980
16460.0,aut,1981
16590.0,aut,1982
16960.0,aut,1983
16920.0,aut,1984
17240.0,aut,1985
18080.0,aut,1986
18820.0,aut,1987
19920.0,aut,1988
21140.0,aut,1989
22480.0,aut,1990
23710.0,aut,1991
24540.0,aut,1992
24950.0,aut,1993
26140.0,aut,1994
27470.0,aut,1995
27990.0,aut,1996
28970.0,aut,1997
30630.0,aut,1998
31810.0,aut,1999
32910.0,aut,2000
32190.0,aut,2001
32790.0,aut,2002
32630.0,aut,2003
33370.0,aut,2004
33230.0,aut,2005
34700.0,aut,2006
35830.0,aut,2007
36410.0,aut,2008
35430.0,aut,2009
36640.0,aut,2010
37280.0,aut,2011
6497.0,aze,1990
7837.0,aze,1991
5377.0,aze,1992
4381.0,aze,1993
3129.0,aze,1994
2098.0,aze,1995
2029.0,aze,1996
2049.0,aze,1997
1973.0,aze,1998
2127.0,aze,1999
2528.0,aze,2000
2782.0,aze,2001
2772.0,aze,2002
2894.0,aze,2003
3067.0,aze,2004
4327.0,aze,2005
5997.0,aze,2006
7696.0,aze,2007
9446.0,aze,2008
7876.0,aze,2009
8923.0,aze,2010
9317.0,aze,2011
12050.0,bhs,1970
11810.0,bhs,1971
11370.0,bhs,1972
11820.0,bhs,1973
9332.0,bhs,1974
8716.0,bhs,1975
9223.0,bhs,1976
10690.0,bhs,1977
12250.0,bhs,1978
16980.0,bhs,1979
16740.0,bhs,1980
15380.0,bhs,1981
14050.0,bhs,1982
12940.0,bhs,1983
15460.0,bhs,1984
17070.0,bhs,1985
17490.0,bhs,1986
17470.0,bhs,1987
17780.0,bhs,1988
18940.0,bhs,1989
18700.0,bhs,1990
17240.0,bhs,1991
16660.0,bhs,1992
16390.0,bhs,1993
16920.0,bhs,1994
17330.0,bhs,1995
19880.0,bhs,1996
20710.0,bhs,1997
22630.0,bhs,1998
24360.0,bhs,1999
24840.0,bhs,2000
24070.0,bhs,2001
25910.0,bhs,2002
24670.0,bhs,2003
23720.0,bhs,2004
24530.0,bhs,2005
23840.0,bhs,2006
24350.0,bhs,2007
23040.0,bhs,2008
20780.0,bhs,2009
20280.0,bhs,2010
19370.0,bhs,2011
13390.0,bhr,1970
13280.0,bhr,1971
14390.0,bhr,1972
15120.0,bhr,1973
15390.0,bhr,1974
14090.0,bhr,1975
17210.0,bhr,1976
16940.0,bhr,1977
15220.0,bhr,1978
16700.0,bhr,1979
18580.0,bhr,1980
17290.0,bhr,1981
15920.0,bhr,1982
15680.0,bhr,1983
16720.0,bhr,1984
13030.0,bhr,1985
11950.0,bhr,1986
