armed_forces_personnel_percent_of_labor_force,geo,time
0.865,afg,1985
0.9436,afg,1989
0.9795,afg,1990
0.7462,afg,1991
0.7314,afg,1992
0.718,afg,1993
0.7034,afg,1994
5.874,afg,1995
6.422,afg,1996
6.267,afg,1997
5.702,afg,1998
5.563,afg,1999
5.424,afg,2000
1.545,afg,2002
1.631,afg,2003
0.3293,afg,2004
0.3194,afg,2005
0.585,afg,2006
0.5659,afg,2007
0.5697,afg,2008
3.359,alb,1985
4.906,alb,1992
4.895,alb,1993
4.906,alb,1994
6.549,alb,1995
5.135,alb,1996
5.194,alb,1997
5.187,alb,1998
5.171,alb,1999
5.157,alb,2000
3.075,alb,2001
2.03,alb,2002
1.637,alb,2003
1.58,alb,2004
1.634,alb,2005
0.8274,alb,2006
1.033,alb,2007
1.025,alb,2008
3.11,dza,1985
1.885,dza,1989
1.793,dza,1990
1.708,dza,1991
1.625,dza,1992
1.546,dza,1993
1.474,dza,1994
1.818,dza,1995
1.755,dza,1996
2.75,dza,1997
2.621,dza,1998
2.843,dza,1999
2.749,dza,2000
2.639,dza,2001
2.652,dza,2002
2.496,dza,2003
2.486,dza,2004
2.417,dza,2005
2.447,dza,2006
2.372,dza,2007
2.307,dza,2008
1.22,ago,1985
2.402,ago,1989
2.511,ago,1990
3.179,ago,1991
2.617,ago,1992
2.512,ago,1993
2.28,ago,1994
2.25,ago,1995
1.908,ago,1996
2.192,ago,1997
2.193,ago,1998
2.107,ago,1999
1.884,ago,2000
2.257,ago,2001
1.655,ago,2002
1.89,ago,2003
1.66,ago,2004
1.611,ago,2005
1.458,ago,2006
1.506,ago,2007
1.461,ago,2008
0.8669,arg,1985
0.7158,arg,1989
0.6277,arg,1990
0.514,arg,1991
0.4743,arg,1992
0.4681,arg,1993
0.4905,arg,1994
0.6847,arg,1995
0.703,arg,1996
0.6898,arg,1997
0.6726,arg,1998
0.6405,arg,1999
0.6286,arg,2000
0.6079,arg,2001
0.5928,arg,2002
0.588,arg,2003
0.5714,arg,2004
0.5585,arg,2005
0.5727,arg,2006
0.5668,arg,2007
0.561,arg,2008
1.307,arm,1992
1.427,arm,1993
3.091,arm,1994
4.22,arm,1995
4.062,arm,1996
4.254,arm,1997
3.773,arm,1998
3.753,arm,1999
2.894,arm,2000
2.909,arm,2001
3.036,arm,2002
2.996,arm,2003
3.181,arm,2004
3.141,arm,2005
2.983,arm,2006
2.642,arm,2007
2.618,arm,2008
0.9599,aus,1985
0.847,aus,1989
0.8007,aus,1990
0.7964,aus,1991
0.7894,aus,1992
0.7846,aus,1993
0.7378,aus,1994
0.6325,aus,1995
0.6428,aus,1996
0.6342,aus,1997
0.6273,aus,1998
0.5965,aus,1999
0.5366,aus,2000
0.5284,aus,2001
0.5126,aus,2002
0.5294,aus,2003
0.5081,aus,2004
0.5019,aus,2005
0.4726,aus,2006
0.4964,aus,2007
0.4863,aus,2008
1.626,aut,1985
1.381,aut,1989
1.213,aut,1990
1.221,aut,1991
1.207,aut,1992
1.209,aut,1993
1.181,aut,1994
1.445,aut,1995
1.454,aut,1996
1.191,aut,1997
1.181,aut,1998
1.044,aut,1999
1.044,aut,2000
0.8943,aut,2001
0.8728,aut,2002
0.8686,aut,2003
0.9884,aut,2004
0.98,aut,2005
0.96,aut,2006
0.8231,aut,2007
0.8156,aut,2008
1.345,aze,1992
1.413,aze,1993
1.589,aze,1994
4.054,aze,1995
3.482,aze,1996
3.269,aze,1997
2.585,aze,1998
2.452,aze,1999
2.459,aze,2000
2.406,aze,2001
2.356,aze,2002
2.162,aze,2003
2.106,aze,2004
2.092,aze,2005
2.052,aze,2006
2.014,aze,2007
1.977,aze,2008
0.4765,bhs,1985
1.497,bhs,1995
2.23,bhs,1996
2.156,bhs,1997
2.114,bhs,1998
2.095,bhs,1999
2.049,bhs,2000
2.007,bhs,2001
0.5525,bhs,2002
0.5411,bhs,2003
0.5063,bhs,2004
0.4964,bhs,2005
0.4872,bhs,2006
0.478,bhs,2007
0.5453,bhs,2008
1.554,bhr,1985
2.369,bhr,1989
3.643,bhr,1990
3.501,bhr,1991
2.952,bhr,1992
2.851,bhr,1993
3.143,bhr,1994
7.598,bhr,1995
7.476,bhr,1996
7.449,bhr,1997
7.235,bhr,1998
7.129,bhr,1999
6.952,bhr,2000
6.756,bhr,2001
6.521,bhr,2002
6.543,bhr,2003
6.282,bhr,2004
6.163,bhr,2005
5.458,bhr,2006
5.348,bhr,2007
5.231,bhr,2008
0.217,bgd,1985
0.2152,bgd,1989
0.208,bgd,1990
0.2085,bgd,1991
0.2039,bgd,1992
0.1993,bgd,1993
0.2058,bgd,1994
0.3033,bgd,1995
0.2909,bgd,1996
0.2905,bgd,1997
0.284,bgd,1998
0.3127,bgd,1999
0.2182,bgd,2000
0.3098,bgd,2001
0.3012,bgd,2002
0.2762,bgd,2003
0.3582,bgd,2004
0.3508,bgd,2005
0.2912,bgd,2006
0.2942,bgd,2007
0.2879,bgd,2008
0.8146,brb,1985
0.4244,brb,1995
0.4278,brb,1996
0.4278,brb,1997
0.4361,brb,1998
0.436,brb,1999
0.428,brb,2000
0.4248,brb,2001
0.4227,brb,2002
0.4187,brb,2003
0.4181,brb,2004
0.4142,brb,2005
0.4111,brb,2006
0.4077,brb,2007
