arms_imports_us_inflation_adjusted,geo,time
37000000,afg,1960
56000000,afg,1961
64000000,afg,1962
39000000,afg,1963
56000000,afg,1964
88000000,afg,1965
201000000,afg,1966
236000000,afg,1967
145000000,afg,1968
92000000,afg,1969
9000000,afg,1970
135000000,afg,1971
110000000,afg,1972
90000000,afg,1975
230000000,afg,1976
74000000,afg,1977
329000000,afg,1978
359000000,afg,1979
370000000,afg,1980
388000000,afg,1981
256000000,afg,1982
240000000,afg,1983
383000000,afg,1984
149000000,afg,1985
298000000,afg,1986
531000000,afg,1987
1022000000,afg,1988
2160000000,afg,1989
2012000000,afg,1990
1331000000,afg,1991
34000000,afg,2002
42000000,afg,2005
3000000,afg,2006
41000000,afg,2007
152000000,afg,2008
344000000,afg,2009
407000000,afg,2010
59000000,alb,1960
76000000,alb,1961
49000000,alb,1962
11000000,alb,1963
7000000,alb,1964
189000000,alb,1965
82000000,alb,1966
181000000,alb,1967
288000000,alb,1968
312000000,alb,1969
265000000,alb,1970
349000000,alb,1971
150000000,alb,1972
111000000,alb,1973
142000000,alb,1974
57000000,alb,1975
5000000,alb,1976
7000000,alb,1977
5000000,alb,1978
2000000,alb,1980
21000000,alb,1995
2000000,alb,2003
42000000,alb,2005
5000000,alb,2007
13000000,alb,2008
25000000,alb,2009
13000000,alb,2010
7000000,dza,1961
62000000,dza,1962
86000000,dza,1963
153000000,dza,1964
325000000,dza,1965
459000000,dza,1966
542000000,dza,1967
48000000,dza,1968
78000000,dza,1969
26000000,dza,1970
25000000,dza,1971
169000000,dza,1972
99000000,dza,1973
13000000,dza,1974
56000000,dza,1975
119000000,dza,1976
1042000000,dza,1977
1508000000,dza,1978
1961000000,dza,1979
1315000000,dza,1980
1218000000,dza,1981
1311000000,dza,1982
584000000,dza,1983
510000000,dza,1984
269000000,dza,1985
155000000,dza,1986
370000000,dza,1987
320000000,dza,1988
455000000,dza,1989
729000000,dza,1990
1004000000,dza,1991
18000000,dza,1992
17000000,dza,1993
176000000,dza,1994
271000000,dza,1995
80000000,dza,1996
35000000,dza,1997
103000000,dza,1998
409000000,dza,1999
415000000,dza,2000
532000000,dza,2001
234000000,dza,2002
193000000,dza,2003
236000000,dza,2004
155000000,dza,2005
304000000,dza,2006
471000000,dza,2007
1424000000,dza,2008
1121000000,dza,2009
791000000,dza,2010
1000000,ago,1974
257000000,ago,1975
149000000,ago,1976
102000000,ago,1977
144000000,ago,1978
108000000,ago,1979
168000000,ago,1980
252000000,ago,1981
391000000,ago,1982
563000000,ago,1983
460000000,ago,1984
507000000,ago,1985
751000000,ago,1986
1207000000,ago,1987
969000000,ago,1988
142000000,ago,1989
140000000,ago,1990
125000000,ago,1993
94000000,ago,1994
1000000,ago,1995
43000000,ago,1996
7000000,ago,1997
154000000,ago,1998
363000000,ago,1999
145000000,ago,2000
157000000,ago,2001
151000000,ago,2002
47000000,ago,2003
9000000,ago,2004
40000000,ago,2005
7000000,ago,2006
25000000,ago,2007
29000000,ago,2008
20000000,ago,2009
99000000,arg,1960
202000000,arg,1961
60000000,arg,1962
20000000,arg,1963
19000000,arg,1964
7000000,arg,1965
86000000,arg,1966
129000000,arg,1967
424000000,arg,1968
225000000,arg,1969
254000000,arg,1970
348000000,arg,1971
391000000,arg,1972
231000000,arg,1973
461000000,arg,1974
173000000,arg,1975
533000000,arg,1976
194000000,arg,1977
547000000,arg,1978
445000000,arg,1979
457000000,arg,1980
848000000,arg,1981
390000000,arg,1982
1287000000,arg,1983
709000000,arg,1984
472000000,arg,1985
225000000,arg,1986
218000000,arg,1987
68000000,arg,1988
12000000,arg,1989
170000000,arg,1990
2000000,arg,1991
28000000,arg,1992
14000000,arg,1993
209000000,arg,1994
43000000,arg,1995
38000000,arg,1996
112000000,arg,1997
172000000,arg,1998
267000000,arg,1999
208000000,arg,2000
6000000,arg,2001
16000000,arg,2002
12000000,arg,2003
165000000,arg,2004
3000000,arg,2005
9000000,arg,2006
24000000,arg,2007
23000000,arg,2008
16000000,arg,2009
17000000,arg,2010
3000000,arm,1993
304000000,arm,1994
46000000,arm,1995
96000000,arm,1996
2000000,arm,1999
120000000,arm,2004
1000000,arm,2007
36000000,arm,2009
36000000,arm,2010
104000000,aus,1960
35000000,aus,1961
719000000,aus,1962
190000000,aus,1963
514000000,aus,1964
909000000,aus,1965
703000000,aus,1966
772000000,aus,1967
445000000,aus,1968
917000000,aus,1969
235000000,aus,1970
261000000,aus,1971
58000000,aus,1972
701000000,aus,1973
898000000,aus,1974
109000000,aus,1975
87000000,aus,1976
275000000,aus,1977
1036000000,aus,1978
196000000,aus,1979
406000000,aus,1980
414000000,aus,1981
143000000,aus,1982
675000000,aus,1983
661000000,aus,1984
526000000,aus,1985
829000000,aus,1986
609000000,aus,1987
763000000,aus,1988
707000000,aus,1989
347000000,aus,1990
208000000,aus,1991
368000000,aus,1992
458000000,aus,1993
269000000,aus,1994
149000000,aus,1995
587000000,aus,1996
35000000,aus,1997
528000000,aus,1998
650000000,aus,1999
399000000,aus,2000
1213000000,aus,2001
659000000,aus,2002
815000000,aus,2003
502000000,aus,2004
467000000,aus,2005
680000000,aus,2006
628000000,aus,2007
384000000,aus,2008
684000000,aus,2009
1677000000,aus,2010
11000000,aut,1960
22000000,aut,1961
11000000,aut,1962
24000000,aut,1963
74000000,aut,1964
78000000,aut,1965
61000000,aut,1966
48000000,aut,1967
1000000,aut,1968
12000000,aut,1969
108000000,aut,1970
135000000,aut,1971
103000000,aut,1972
58000000,aut,1973
65000000,aut,1974
93000000,aut,1975
65000000,aut,1976
51000000,aut,1977
16000000,aut,1979
191000000,aut,1980
88000000,aut,1981
107000000,aut,1982
145000000,aut,1983
13000000,aut,1984
28000000,aut,1985
19000000,aut,1986
7000000,aut,1987
115000000,aut,1988
84000000,aut,1989
5000000,aut,1990
6000000,aut,1991
5000000,aut,1992
9000000,aut,1993
38000000,aut,1994
23000000,aut,1995
10000000,aut,1996
178000000,aut,1997
212000000,aut,1998
48000000,aut,1999
25000000,aut,2000
15000000,aut,2001
70000000,aut,2002
43000000,aut,2003
55000000,aut,2004
22000000,aut,2005
2000000,aut,2006
305000000,aut,2007
220000000,aut,2008
