geo,birth_asphyxia_deaths_in_newborn_per_1000_births,time
afg,12.68,2008
alb,0.4992,2008
dza,5.326,2008
ago,12.26,2008
arg,0.7138,2008
arm,2.123,2008
aus,0.3891,2008
aut,0.3427,2008
aze,3.657,2008
bhs,1.24,2008
bhr,0.644,2008
bgd,9.393,2008
brb,1.399,2008
blr,0.623,2008
bel,0.2942,2008
blz,1.614,2008
ben,7.189,2008
btn,8.68,2008
bol,6.755,2008
bih,1.106,2008
bwa,3.007,2008
bra,1.472,2008
brn,0.3859,2008
bgr,0.7704,2008
bfa,8.109,2008
bdi,12.02,2008
khm,8.912,2008
cmr,8.169,2008
can,0.5919,2008
cpv,3.24,2008
caf,12.03,2008
tcd,12.66,2008
chl,0.3423,2008
chn,3.286,2008
col,1.346,2008
com,9.978,2008
cog,7.957,2008
cri,0.8882,2008
civ,9.615,2008
hrv,0.3794,2008
cub,0.3574,2008
cyp,0.1008,2008
cze,0.385,2008
prk,6.477,2008
cod,12.43,2008
dnk,0.3369,2008
dji,8.312,2008
dom,3.497,2008
ecu,1.624,2008
egy,1.102,2008
slv,1.142,2008
gnq,10.17,2008
eri,3.741,2008
est,0.4393,2008
eth,11.68,2008
fji,1.301,2008
fin,0.1864,2008
fra,0.3831,2008
gab,6.271,2008
gmb,7.922,2008
geo,3.833,2008
deu,0.2253,2008
gha,8.164,2008
grc,0.1406,2008
grd,1.988,2008
gtm,1.352,2008
gin,11.19,2008
gnb,11.39,2008
guy,5.139,2008
hti,6.951,2008
hnd,3.3,2008
hun,0.2434,2008
isl,0.2163,2008
ind,7.039,2008
idn,4.13,2008
irn,2.748,2008
irq,5.199,2008
irl,0.1737,2008
isr,0.243,2008
ita,0.24,2008
jam,1.279,2008
jpn,0.1257,2008
jor,1.045,2008
kaz,0.0,2008
ken,9.632,2008
kwt,0.2518,2008
kgz,4.499,2008
lao,6.343,2008
lva,1.902,2008
lbn,0.6673,2008
lso,10.04,2008
lbr,11.33,2008
lby,0.8108,2008
ltu,0.4456,2008
lux,0.1834,2008
mdg,9.185,2008
mwi,7.572,2008
mys,0.4504,2008
mdv,2.969,2008
mli,12.54,2008
mlt,0.5435,2008
mrt,10.77,2008
mus,1.935,2008
mex,1.0,2008
fsm,2.869,2008
mng,2.075,2008
mne,0.7912,2008
mar,5.295,2008
moz,10.68,2008
mmr,12.86,2008
nam,3.439,2008
npl,8.962,2008
nld,0.5025,2008
nzl,0.6007,2008
nic,1.915,2008
ner,8.587,2008
nga,14.1,2008
nor,0.4477,2008
omn,0.5866,2008
pak,12.61,2008
pan,1.169,2008
png,7.661,2008
pry,3.24,2008
per,1.91,2008
phl,2.123,2008
pol,0.3869,2008
prt,0.2867,2008
qat,0.267,2008
kor,0.2015,2008
mda,1.135,2008
rou,0.4494,2008
rus,0.6917,2008
rwa,10.52,2008
lca,2.636,2008
vct,1.043,2008
wsm,1.899,2008
stp,7.773,2008
sau,1.019,2008
sen,7.973,2008
srb,0.7859,2008
sle,10.96,2008
sgp,0.02689,2008
svk,0.2548,2008
svn,0.2054,2008
slb,2.185,2008
som,16.14,2008
zaf,4.515,2008
esp,0.2178,2008
lka,1.226,2008
sdn,7.352,2008
sur,2.251,2008
swz,3.682,2008
swe,0.2703,2008
che,0.3583,2008
syr,0.6676,2008
tjk,5.684,2008
tha,1.511,2008
mkd,0.8992,2008
tgo,8.047,2008
ton,1.398,2008
tto,2.275,2008
tun,1.051,2008
tur,2.205,2008
tkm,4.834,2008
uga,8.694,2008
ukr,0.9068,2008
are,0.3356,2008
gbr,0.3472,2008
tza,9.573,2008
usa,0.3094,2008
ury,0.556,2008
uzb,3.851,2008
vut,2.264,2008
ven,1.499,2008
vnm,1.329,2008
yem,7.801,2008
zmb,10.03,2008
zwe,7.71,2008
