geo,time,birth_asphyxia_deaths_in_newborn_total_deaths
afg,2008,16080
alb,2008,23
dza,2008,3805
ago,2008,9483
arg,2008,492
arm,2008,100
aus,2008,104
aut,2008,26
aze,2008,606
bhs,2008,7
bhr,2008,9
bgd,2008,32210
brb,2008,4
blr,2008,60
bel,2008,35
blz,2008,12
ben,2008,2457
btn,2008,128
bol,2008,1775
bih,2008,38
bwa,2008,142
bra,2008,4569
brn,2008,3
bgr,2008,56
bfa,2008,5845
bdi,2008,3337
khm,2008,3220
cmr,2008,5753
can,2008,209
cpv,2008,39
caf,2008,1852
tcd,2008,6308
chl,2008,86
chn,2008,59590
col,2008,1236
com,2008,214
cog,2008,995
cri,2008,67
civ,2008,6941
hrv,2008,16
cub,2008,42
cyp,2008,1
cze,2008,42
prk,2008,2119
cod,2008,35860
dnk,2008,21
dji,2008,201
dom,2008,784
ecu,2008,456
egy,2008,2220
slv,2008,142
gnq,2008,255
eri,2008,681
est,2008,7
eth,2008,36110
fji,2008,23
fin,2008,11
fra,2008,288
gab,2008,248
gmb,2008,484
geo,2008,200
deu,2008,150
gha,2008,6176
grc,2008,15
grd,2008,4
gtm,2008,612
gin,2008,4388
gnb,2008,740
guy,2008,70
hti,2008,1899
hnd,2008,665
hun,2008,24
isl,2008,1
ind,2008,189400
idn,2008,17430
irn,2008,3814
irq,2008,4908
irl,2008,12
isr,2008,34
ita,2008,131
jam,2008,67
jpn,2008,130
jor,2008,164
kaz,2008,0
ken,2008,14510
kwt,2008,13
kgz,2008,541
lao,2008,1077
lva,2008,44
lbn,2008,44
lso,2008,596
lbr,2008,1648
lby,2008,119
ltu,2008,14
lux,2008,1
mdg,2008,6312
mwi,2008,4533
mys,2008,248
mdv,2008,17
mli,2008,6803
mlt,2008,2
mrt,2008,1163
mus,2008,35
mex,2008,2049
fsm,2008,8
mng,2008,103
mne,2008,6
mar,2008,3423
moz,2008,9358
mmr,2008,13110
nam,2008,202
npl,2008,6558
nld,2008,93
nzl,2008,35
nic,2008,268
ner,2008,6789
nga,2008,84990
nor,2008,26
omn,2008,36
pak,2008,67280
pan,2008,82
png,2008,1585
pry,2008,498
per,2008,1163
phl,2008,4746
pol,2008,144
prt,2008,30
qat,2008,4
kor,2008,91
mda,2008,51
rou,2008,96
rus,2008,1069
rwa,2008,4239
lca,2008,8
vct,2008,2
wsm,2008,8
stp,2008,40
sau,2008,602
sen,2008,3749
srb,2008,90
sle,2008,2446
sgp,2008,1
svk,2008,14
svn,2008,4
slb,2008,34
som,2008,6382
zaf,2008,4927
esp,2008,107
lka,2008,448
sdn,2008,9528
sur,2008,22
swz,2008,129
swe,2008,29
che,2008,26
syr,2008,394
tjk,2008,1096
tha,2008,1476
mkd,2008,20
tgo,2008,1712
ton,2008,4
tto,2008,45
tun,2008,172
tur,2008,2972
tkm,2008,535
uga,2008,12740
ukr,2008,416
are,2008,21
gbr,2008,258
tza,2008,16960
usa,2008,1361
ury,2008,28
uzb,2008,2131
vut,2008,16
ven,2008,897
vnm,2008,1985
yem,2008,6598
zmb,2008,5440
zwe,2008,2912
