body_mass_index_bmi_women_kgperm2,geo,time
20.44,afg,1980
20.48,afg,1981
20.52,afg,1982
20.56,afg,1983
20.61,afg,1984
20.65,afg,1985
20.69,afg,1986
20.71,afg,1987
20.72,afg,1988
20.71,afg,1989
20.71,afg,1990
20.7,afg,1991
20.68,afg,1992
20.64,afg,1993
20.59,afg,1994
20.57,afg,1995
20.56,afg,1996
20.57,afg,1997
20.59,afg,1998
20.62,afg,1999
20.62,afg,2000
20.61,afg,2001
20.65,afg,2002
20.71,afg,2003
20.77,afg,2004
20.84,afg,2005
20.91,afg,2006
20.99,afg,2007
21.07,afg,2008
25.17,alb,1980
25.19,alb,1981
25.2,alb,1982
25.22,alb,1983
25.22,alb,1984
25.21,alb,1985
25.21,alb,1986
25.19,alb,1987
25.17,alb,1988
25.15,alb,1989
25.14,alb,1990
25.05,alb,1991
24.97,alb,1992
24.94,alb,1993
24.94,alb,1994
24.94,alb,1995
24.97,alb,1996
24.97,alb,1997
25.0,alb,1998
25.06,alb,1999
25.13,alb,2000
25.2,alb,2001
25.27,alb,2002
25.33,alb,2003
25.4,alb,2004
25.47,alb,2005
25.53,alb,2006
25.59,alb,2007
25.66,alb,2008
23.68,dza,1980
23.81,dza,1981
23.93,dza,1982
24.04,dza,1983
24.14,dza,1984
24.24,dza,1985
24.34,dza,1986
24.43,dza,1987
24.51,dza,1988
24.59,dza,1989
24.68,dza,1990
24.76,dza,1991
24.84,dza,1992
24.93,dza,1993
25.0,dza,1994
25.07,dza,1995
25.15,dza,1996
25.23,dza,1997
25.31,dza,1998
25.4,dza,1999
25.49,dza,2000
25.59,dza,2001
25.7,dza,2002
25.81,dza,2003
25.93,dza,2004
26.04,dza,2005
26.15,dza,2006
26.26,dza,2007
26.37,dza,2008
25.67,and,1980
25.69,and,1981
25.7,and,1982
25.7,and,1983
25.71,and,1984
25.71,and,1985
25.71,and,1986
25.72,and,1987
25.75,and,1988
25.78,and,1989
25.81,and,1990
25.85,and,1991
25.88,and,1992
