broadband_subscribers_per_100_people,geo,time
0.0,afg,2001
0.0,afg,2002
0.0,afg,2003
0.000688,afg,2004
0.0007357,afg,2005
0.001626,afg,2006
0.001581,afg,2007
0.001538,afg,2008
0.002991,afg,2009
0.004362,afg,2010
0.0,alb,2001
0.0,alb,2002
0.0,alb,2003
0.0,alb,2004
0.008657,alb,2005
0.3155,alb,2007
2.012,alb,2008
2.882,alb,2009
3.292,alb,2010
0.0,dza,2001
0.0,dza,2002
0.0564,dza,2003
0.1111,dza,2004
0.4105,dza,2005
0.5091,dza,2006
0.8466,dza,2007
1.409,dza,2008
2.34,dza,2009
2.537,dza,2010
0.0,asm,2001
0.0,asm,2002
1.663,and,2002
4.987,and,2003
8.344,and,2004
13.28,and,2005
18.3,and,2006
22.76,and,2007
25.03,and,2008
27.42,and,2009
28.87,and,2010
0.0,ago,2001
0.0,ago,2002
0.0,ago,2003
0.0,ago,2004
0.0,ago,2005
0.04384,ago,2006
0.06676,ago,2007
0.08838,ago,2008
0.1078,ago,2009
0.1048,ago,2010
0.0,atg,2001
0.0,atg,2002
0.0,atg,2003
0.1207,atg,2004
0.9378,atg,2005
1.814,atg,2006
2.637,atg,2007
5.739,atg,2008
7.266,atg,2009
8.09,atg,2010
0.0,arg,1998
0.252,arg,2001
0.393,arg,2002
0.6812,arg,2003
1.416,arg,2004
2.396,arg,2005
4.058,arg,2006
6.604,arg,2007
8.02,arg,2008
8.672,arg,2009
9.557,arg,2010
0.0001957,arm,2001
0.0002613,arm,2002
0.0003267,arm,2003
0.03265,arm,2004
0.06491,arm,2005
0.1269,arm,2007
0.3598,arm,2008
1.014,arm,2009
2.755,arm,2010
0.0,abw,2001
0.0,abw,2002
1.444,abw,2003
7.03,abw,2004
12.15,abw,2005
13.58,abw,2006
15.35,abw,2007
17.43,abw,2008
17.63,abw,2009
17.79,abw,2010
0.6326,aus,2001
1.313,aus,2002
2.598,aus,2003
5.028,aus,2004
9.885,aus,2005
18.84,aus,2006
23.96,aus,2008
23.2,aus,2009
24.15,aus,2010
0.0,aut,1998
0.6369,aut,1999
2.378,aut,2000
3.986,aut,2001
5.58,aut,2002
7.4,aut,2003
10.65,aut,2004
14.27,aut,2005
17.32,aut,2006
19.54,aut,2007
20.74,aut,2008
22.07,aut,2009
23.86,aut,2010
0.0,aze,2001
0.01224,aze,2002
0.02603,aze,2005
0.04661,aze,2006
0.1701,aze,2007
0.6847,aze,2008
1.118,aze,2009
5.081,aze,2010
1.372,bhs,2001
2.466,bhs,2002
3.527,bhs,2003
4.068,bhs,2004
4.19,bhs,2005
5.12,bhs,2006
6.234,bhs,2007
7.642,bhs,2008
9.336,bhs,2009
7.202,bhs,2010
0.0,bhr,1998
0.0,bhr,1999
0.0,bhr,2000
0.183,bhr,2001
0.7756,bhr,2002
1.505,bhr,2003
2.226,bhr,2004
2.957,bhr,2005
4.761,bhr,2006
7.206,bhr,2007
7.304,bhr,2008
6.497,bhr,2009
5.359,bhr,2010
0.0,bgd,2001
0.0,bgd,2002
0.0,bgd,2003
0.0,bgd,2004
0.0,bgd,2005
0.03036,bgd,2007
0.03437,bgd,2008
0.03741,bgd,2009
0.04035,bgd,2010
0.0,brb,2001
0.0,brb,2002
10.14,brb,2003
10.98,brb,2004
11.81,brb,2005
14.31,brb,2006
17.35,brb,2007
18.08,brb,2008
21.01,brb,2009
20.51,brb,2010
0.0,blr,2001
0.0002015,blr,2002
0.001246,blr,2003
0.007634,blr,2004
0.016,blr,2005
0.1173,blr,2006
1.75,blr,2007
4.976,blr,2008
11.49,blr,2009
17.55,blr,2010
0.1071,bel,1998
0.2249,bel,1999
1.407,bel,2000
4.472,bel,2001
7.892,bel,2002
11.98,bel,2003
15.54,bel,2004
19.19,bel,2005
23.24,bel,2006
25.55,bel,2007
27.66,bel,2008
29.03,bel,2009
30.96,bel,2010
0.0,blz,2001
0.0,blz,2002
0.3434,blz,2003
1.0,blz,2004
1.721,blz,2005
2.404,blz,2006
2.401,blz,2007
2.498,blz,2008
2.503,blz,2009
2.584,blz,2010
0.0,ben,2001
0.0003027,ben,2002
0.0002931,ben,2003
0.001095,ben,2004
0.002568,ben,2005
0.01903,ben,2006
0.008752,ben,2007
0.01167,ben,2008
0.02082,ben,2009
0.04033,ben,2010
0.0,bmu,2001
0.0,bmu,2002
29.08,bmu,2005
37.06,bmu,2006
45.0,bmu,2007
52.89,bmu,2008
62.11,bmu,2009
62.07,bmu,2010
0.0,btn,2001
0.0,btn,2002
0.0,btn,2003
0.0,btn,2004
0.0,btn,2005
0.0,btn,2006
0.0,btn,2007
0.2937,btn,2008
0.4344,btn,2009
1.195,btn,2010
0.0,bol,2001
0.03851,bol,2002
0.06511,bol,2003
0.09711,bol,2004
0.1418,bol,2005
0.189,bol,2006
0.359,bol,2007
0.8246,bol,2008
0.9836,bol,2009
0.9662,bol,2010
0.0,bih,1998
0.0,bih,1999
0.000731,bih,2000
0.001814,bih,2001
0.005641,bih,2002
0.03965,bih,2003
0.1755,bih,2004
0.3624,bih,2005
1.058,bih,2006
2.241,bih,2007
4.993,bih,2008
6.268,bih,2009
8.178,bih,2010
0.0,bwa,2000
0.0,bwa,2001
0.0,bwa,2002
0.0,bwa,2003
0.0,bwa,2004
0.0853,bwa,2005
0.09469,bwa,2006
0.1837,bwa,2007
0.4553,bwa,2008
0.5046,bwa,2009
0.5968,bwa,2010
0.0005903,bra,1998
0.004071,bra,1999
0.05733,bra,2000
0.1871,bra,2001
0.4077,bra,2002
0.532,bra,2003
1.717,bra,2004
1.739,bra,2005
2.536,bra,2006
4.009,bra,2007
5.054,bra,2008
5.845,bra,2009
6.805,bra,2010
0.5671,brn,2001
0.8071,brn,2002
1.1,brn,2003
1.759,brn,2004
2.238,brn,2005
2.421,brn,2006
3.077,brn,2007
4.391,brn,2008
5.112,brn,2009
5.438,brn,2010
0.0,bgr,2001
0.0,bgr,2002
0.0,bgr,2003
0.08548,bgr,2004
2.138,bgr,2005
4.996,bgr,2006
8.213,bgr,2007
10.74,bgr,2008
12.63,bgr,2009
14.44,bgr,2010
0.0,bfa,2001
0.0003842,bfa,2002
0.001082,bfa,2003
0.001117,bfa,2004
0.002705,bfa,2005
0.01173,bfa,2006
0.0447,bfa,2007
0.06617,bfa,2008
0.07474,bfa,2009
0.08619,bfa,2010
0.0,bdi,2001
0.0,bdi,2002
0.0,bdi,2003
0.0,bdi,2004
0.0,bdi,2005
0.0,bdi,2006
0.0,bdi,2007
0.002014,bdi,2008
0.001958,bdi,2009
0.002386,bdi,2010
0.0,khm,2001
0.0003892,khm,2002
0.003217,khm,2003
0.005912,khm,2004
0.007486,khm,2005
0.02146,khm,2006
0.06181,khm,2007
0.12,khm,2008
0.2146,khm,2009
0.2523,khm,2010
0.0,cmr,2001
0.0,cmr,2002
0.0,cmr,2003
0.0,cmr,2004
0.001151,cmr,2005
0.002346,cmr,2006
0.003488,cmr,2007
0.004585,cmr,2008
0.004694,cmr,2009
0.005102,cmr,2010
0.4628,can,1998
1.908,can,1999
4.585,can,2000
9.124,can,2001
11.21,can,2002
14.25,can,2003
16.93,can,2004
21.68,can,2005
24.69,can,2006
27.56,can,2007
29.54,can,2008
30.46,can,2009
29.71,can,2010
0.0,cpv,2001
0.0,cpv,2002
0.0,cpv,2003
0.06063,cpv,2004
0.1981,cpv,2005
1.563,cpv,2006
1.512,cpv,2007
1.663,cpv,2008
2.432,cpv,2009
3.22,cpv,2010
0.0,cym,2001
0.0,cym,2002
31.7,cym,2008
32.81,cym,2009
33.53,cym,2010
0.0,caf,2001
0.0,caf,2002
0.0,caf,2003
0.0,caf,2004
0.0,caf,2005
0.0,caf,2006
0.0,caf,2007
0.0,caf,2008
0.0,tcd,2001
0.0,tcd,2002
0.0,tcd,2003
0.0,tcd,2004
0.0,tcd,2005
0.0,tcd,2006
0.0,tcd,2007
0.0,tcd,2008
0.001371,tcd,2009
0.001336,tcd,2010
0.0,chl,1998
0.0511,chl,2000
0.4276,chl,2001
1.194,chl,2002
2.207,chl,2003
2.968,chl,2004
4.346,chl,2005
6.191,chl,2006
7.742,chl,2007
8.497,chl,2008
9.759,chl,2009
10.45,chl,2010
0.0,chn,1998
0.001795,chn,2000
0.02644,chn,2001
0.2576,chn,2002
0.8708,chn,2003
1.924,chn,2004
2.865,chn,2005
3.879,chn,2006
5.039,chn,2007
6.257,chn,2008
7.81,chn,2009
9.44,chn,2010
0.0,col,1998
0.02231,col,2000
0.03421,col,2001
0.08493,col,2002
0.1544,col,2003
0.2999,col,2004
0.7404,col,2005
1.437,col,2006
2.722,col,2007
3.273,col,2008
4.428,col,2009
5.603,col,2010
0.0,com,2001
0.0,com,2002
0.0,com,2003
0.0001598,com,2004
0.0006221,com,2005
0.0,com,2006
0.01208,com,2007
0.01578,com,2008
0.009221,com,2009
0.02041,com,2010
0.0,cod,2001
0.0,cod,2002
0.001848,cod,2003
0.002601,cod,2004
0.002612,cod,2005
0.002539,cod,2006
0.002468,cod,2007
0.002401,cod,2008
0.01059,cod,2009
0.01315,cod,2010
0.0,cog,2001
0.0,cog,2002
0.0,cog,2003
0.0,cog,2004
0.0,cog,2005
0.0,cog,2006
0.0,cog,2007
0.0,cog,2008
0.003067,cog,2010
0.0,cri,2001
0.2201,cri,2002
0.3576,cri,2003
0.6594,cri,2004
1.042,cri,2005
1.899,cri,2006
2.134,cri,2007
2.375,cri,2008
3.916,cri,2009
6.187,cri,2010
0.0,civ,2001
0.0,civ,2002
0.002366,civ,2003
0.004658,civ,2004
0.006875,civ,2005
0.05457,civ,2006
0.05363,civ,2007
0.05267,civ,2008
0.05168,civ,2009
0.04002,civ,2010
0.0,hrv,2001
0.0,hrv,2002
0.07658,hrv,2003
0.5902,hrv,2004
2.616,hrv,2005
5.671,hrv,2006
8.725,hrv,2007
11.83,hrv,2008
15.47,hrv,2009
18.19,hrv,2010
0.0,cub,2001
0.0,cub,2002
0.0,cub,2003
0.0,cub,2004
0.0,cub,2005
0.0,cub,2006
0.01727,cub,2007
0.01993,cub,2008
0.0256,cub,2009
0.03292,cub,2010
0.26,cyp,2001
0.6,cyp,2002
1.005,cyp,2003
1.68,cyp,2004
3.085,cyp,2005
6.018,cyp,2006
9.183,cyp,2007
13.67,cyp,2008
16.14,cyp,2009
17.63,cyp,2010
0.0,cze,1998
0.0,cze,1999
0.02434,cze,2000
0.06057,cze,2001
0.1499,cze,2002
0.3399,cze,2003
2.31,cze,2004
6.927,cze,2005
10.83,cze,2006
14.48,cze,2007
16.88,cze,2008
12.92,cze,2009
14.46,cze,2010
0.0,dnk,1998
1.255,dnk,2000
4.441,dnk,2001
8.395,dnk,2002
13.33,dnk,2003
18.83,dnk,2004
24.8,dnk,2005
31.92,dnk,2006
34.46,dnk,2007
36.13,dnk,2008
36.95,dnk,2009
37.72,dnk,2010
0.0005465,dji,2000
0.000667,dji,2001
0.000784,dji,2002
0.005196,dji,2005
0.01845,dji,2006
0.1301,dji,2007
0.2865,dji,2008
0.606,dji,2009
0.9064,dji,2010
0.0,dma,1998
0.1148,dma,2000
0.252,dma,2001
3.229,dma,2002
3.831,dma,2003
4.709,dma,2004
4.933,dma,2005
5.968,dma,2006
9.498,dma,2007
10.71,dma,2008
12.22,dma,2009
13.81,dma,2010
0.0,dom,2001
0.0,dom,2002
0.1668,dom,2003
0.4081,dom,2004
0.6549,dom,2005
1.095,dom,2006
1.611,dom,2007
2.338,dom,2008
3.006,dom,2009
3.627,dom,2010
0.0209,ecu,2001
0.0509,ecu,2002
0.05325,ecu,2003
0.08797,ecu,2004
0.1995,ecu,2005
0.3373,ecu,2006
0.722,ecu,2007
1.11,ecu,2008
1.691,ecu,2009
1.368,ecu,2010
0.0,egy,2001
0.07259,egy,2002
0.07671,egy,2003
0.1087,egy,2004
0.19,egy,2005
0.3421,egy,2006
0.6205,egy,2007
0.9828,egy,2008
1.352,egy,2009
1.787,egy,2010
0.0,slv,2001
0.0,slv,2002
0.3262,slv,2003
0.4863,slv,2004
0.6993,slv,2005
1.012,slv,2006
1.471,slv,2007
2.014,slv,2008
2.425,slv,2009
2.83,slv,2010
0.0,gnq,2001
0.0,gnq,2002
0.0,gnq,2003
0.0,gnq,2004
0.02962,gnq,2005
0.02876,gnq,2006
0.02795,gnq,2007
0.02718,gnq,2008
0.02643,gnq,2009
0.1694,gnq,2010
0.0,eri,1998
0.0,eri,1999
0.0,eri,2000
0.0,eri,2001
0.0,eri,2002
0.0,eri,2003
0.0,eri,2004
0.0,eri,2005
0.0,eri,2006
0.0,eri,2007
0.0008893,eri,2008
0.001373,eri,2009
0.002246,eri,2010
1.281,est,2001
3.423,est,2002
6.671,est,2003
10.28,est,2004
13.31,est,2005
18.37,est,2006
18.82,est,2007
21.0,est,2008
22.47,est,2009
25.1,est,2010
0.0,eth,2001
0.0,eth,2002
8.053e-05,eth,2003
4.826e-05,eth,2004
8.214e-05,eth,2005
0.0003435,eth,2006
0.001333,eth,2007
0.001883,eth,2008
0.004309,eth,2009
0.004951,eth,2010
0.1165,fro,2001
0.2428,fro,2002
0.83,fro,2003
6.541,fro,2004
12.16,fro,2005
27.08,fro,2006
29.78,fro,2007
30.62,fro,2008
32.66,fro,2009
33.4,fro,2010
0.0,fji,2001
0.0,fji,2002
0.0,fji,2003
0.0,fji,2004
0.851,fji,2005
1.027,fji,2006
1.377,fji,2007
1.545,fji,2008
1.505,fji,2009
2.703,fji,2010
0.0,fin,1998
0.6762,fin,2000
2.583,fin,2001
5.259,fin,2002
9.421,fin,2003
15.3,fin,2004
22.38,fin,2005
27.13,fin,2006
30.57,fin,2007
29.96,fin,2008
28.73,fin,2009
28.57,fin,2010
0.02238,fra,1998
0.09113,fra,1999
0.3236,fra,2000
0.9828,fra,2001
2.685,fra,2002
5.75,fra,2003
10.49,fra,2004
15.03,fra,2005
20.04,fra,2006
24.68,fra,2007
27.78,fra,2008
30.83,fra,2009
32.89,fra,2010
0.01035,pyf,2001
0.01306,pyf,2002
0.3809,pyf,2003
1.809,pyf,2004
4.316,pyf,2005
7.064,pyf,2006
9.03,pyf,2007
10.46,pyf,2008
11.22,pyf,2009
11.9,pyf,2010
0.0,gab,2001
0.0,gab,2002
0.0129,gab,2003
0.04836,gab,2004
0.1116,gab,2005
0.1262,gab,2006
0.1393,gab,2007
0.1517,gab,2008
0.2502,gab,2009
0.2712,gab,2010
0.0,gmb,2001
0.0,gmb,2002
0.0,gmb,2003
0.002465,gmb,2004
0.004722,gmb,2005
0.0169,gmb,2007
0.01834,gmb,2008
0.01784,gmb,2009
0.02024,gmb,2010
0.009803,geo,2001
0.02112,geo,2002
0.03257,geo,2003
0.044,geo,2004
0.0548,geo,2005
0.6139,geo,2006
1.065,geo,2007
2.558,geo,2008
3.401,geo,2009
5.703,geo,2010
0.0,deu,1998
0.3223,deu,2000
2.55,deu,2001
3.885,deu,2002
5.416,deu,2003
8.483,deu,2004
13.08,deu,2005
18.18,deu,2006
23.93,deu,2007
27.58,deu,2008
30.39,deu,2009
31.9,deu,2010
0.0,gha,2001
0.0,gha,2002
0.0,gha,2003
0.004261,gha,2004
0.008799,gha,2005
0.0575,gha,2006
0.07131,gha,2007
0.09878,gha,2008
0.1214,gha,2009
0.2053,gha,2010
0.0,gib,2001
0.0,gib,2002
31.78,gib,2009
35.68,gib,2010
0.0,grc,1998
0.0,grc,1999
0.0,grc,2000
0.0,grc,2001
0.0,grc,2002
0.09503,grc,2003
0.4652,grc,2004
1.442,grc,2005
4.379,grc,2006
9.09,grc,2007
13.41,grc,2008
16.99,grc,2009
19.95,grc,2010
0.0,grl,2001
0.0,grl,2002
0.2096,grl,2003
5.834,grl,2004
12.52,grl,2005
16.23,grl,2006
18.53,grl,2007
21.21,grl,2008
22.15,grl,2009
21.81,grl,2010
0.0,grd,2001
0.5522,grd,2002
0.5944,grd,2004
3.136,grd,2005
5.381,grd,2006
7.352,grd,2007
8.292,grd,2008
11.88,grd,2009
13.88,grd,2010
1.11,gum,2001
1.558,gum,2007
1.538,gum,2008
1.688,gum,2009
1.676,gum,2010
0.0,gtm,2001
0.0,gtm,2002
0.0,gtm,2003
0.0,gtm,2004
0.2131,gtm,2005
0.2992,gtm,2006
0.4267,gtm,2007
0.6902,gtm,2008
1.112,gtm,2009
1.8,gtm,2010
0.0,gin,2001
0.0,gin,2002
0.0,gin,2003
0.0,gin,2004
0.0,gin,2005
0.0,gin,2006
0.0,gin,2007
0.0,gin,2008
