geo,car_deaths_per_100000_people,time
alb,5.978,2006
arg,10.33,1997
arg,11.6,1998
arg,10.91,1999
arg,9.882,2000
arg,8.653,2001
arg,7.383,2002
arg,7.96,2003
arg,8.216,2004
arg,8.383,2005
arg,8.971,2006
arg,8.682,2007
arm,7.899,2007
aus,7.019,1997
aus,6.702,1998
aus,6.791,1999
aus,7.098,2000
aus,6.271,2001
aus,6.33,2002
aus,5.972,2003
aus,5.424,2004
aus,4.803,2006
aus,5.335,2007
aut,7.774,1999
aut,5.761,2000
aut,6.08,2001
aut,4.685,2002
aut,5.044,2003
aut,4.655,2004
aut,4.443,2005
aut,4.185,2006
aut,4.04,2007
aut,3.541,2008
aze,5.279,2007
bhs,14.48,1999
bhs,14.77,2000
bhs,10.53,2001
bhs,8.145,2002
bhs,8.183,2003
bhs,11.5,2004
bhs,14.23,2005
bhs,9.408,2007
bhr,21.06,1997
bhr,25.81,1998
bhr,4.247,1999
bhr,13.53,2000
bhr,13.6,2001
bhr,8.19,2007
bgd,4.401,2006
brb,9.518,2000
brb,4.014,2001
brb,8.266,2002
brb,8.106,2003
brb,8.77,2007
blr,8.454,2007
bel,7.276,1993
bel,8.022,1994
bel,7.073,1995
bel,7.727,1997
bel,9.802,1998
bel,9.144,1999
bel,6.641,2004
bel,5.427,2007
blz,23.04,2001
ben,13.12,2007
bol,11.74,2007
bih,6.405,2007
bwa,29.57,2007
bra,6.76,1996
bra,6.541,1997
bra,5.73,1998
bra,6.651,1999
bra,7.065,2000
bra,6.643,2001
bra,6.977,2002
bra,6.709,2003
bra,7.247,2004
bra,6.842,2005
bra,1.872,2006
vgb,18.01,2007
brn,11.67,2007
bgr,6.85,2005
bgr,8.361,2006
bgr,8.804,2007
bgr,9.662,2008
bfa,19.4,2007
khm,1.972,2007
cmr,20.46,2001
can,8.583,1997
can,7.667,1998
can,8.072,1999
can,6.4,2000
can,5.989,2001
can,6.308,2002
can,5.859,2003
can,5.607,2004
can,6.333,2006
chl,2.491,1997
chl,1.816,1998
chl,0.771,1999
chl,1.421,2000
chl,1.771,2001
chl,0.88,2002
chl,1.221,2003
chl,1.472,2004
chl,1.329,2005
chl,3.329,2006
chn,3.59,2007
col,4.882,1997
col,4.448,1998
col,3.579,1999
col,3.512,2000
col,2.862,2001
col,2.833,2002
col,2.996,2004
col,2.507,2005
col,2.078,2006
col,2.183,2007
com,28.95,2007
cod,15.36,2007
cri,5.185,1997
cri,6.495,1998
cri,5.973,1999
cri,5.373,2000
cri,1.975,2001
cri,4.746,2002
cri,4.69,2003
cri,3.479,2004
cri,1.146,2005
cri,0.589,2006
cri,6.319,2007
hrv,9.582,1995
hrv,7.656,1996
hrv,8.365,1997
hrv,7.947,1998
hrv,7.582,1999
hrv,8.698,2000
hrv,7.591,2001
hrv,6.736,2002
hrv,8.884,2003
hrv,8.075,2004
hrv,7.474,2005
hrv,6.952,2006
hrv,7.15,2007
hrv,6.434,2008
cub,5.063,2000
cub,4.205,2001
cub,3.64,2002
cub,3.468,2003
cub,3.057,2004
cub,3.246,2005
cub,2.849,2006
cub,2.63,2007
cyp,9.1,2004
cyp,9.219,2005
cyp,4.987,2006
cyp,6.419,2007
cze,6.144,1994
cze,7.837,1995
cze,7.641,1996
cze,7.511,1997
cze,6.41,1998
cze,6.222,1999
cze,6.6,2000
cze,6.099,2001
cze,6.208,2002
cze,6.38,2003
cze,5.91,2004
cze,6.123,2005
cze,4.978,2006
cze,6.212,2007
cze,5.72,2008
dnk,5.232,1994
dnk,5.914,1995
dnk,5.65,1996
dnk,5.056,1997
dnk,5.34,1998
dnk,5.67,1999
dnk,5.288,2000
dnk,5.438,2001
dnk,5.6,2002
dnk,5.409,2003
dnk,4.162,2004
dnk,3.876,2005
dnk,3.481,2006
dom,17.12,1996
dom,20.16,1997
dom,19.6,1998
dom,20.26,1999
dom,17.15,2000
dom,17.2,2001
dom,17.3,2003
dom,15.52,2004
dom,17.05,2007
ecu,4.463,1997
ecu,2.389,1998
ecu,2.453,1999
ecu,3.821,2000
ecu,4.1,2001
ecu,3.276,2002
ecu,5.552,2003
ecu,5.341,2004
ecu,4.646,2005
ecu,7.04,2006
egy,8.18,2000
egy,8.49,2004
egy,8.509,2005
egy,8.722,2006
egy,10.43,2007
egy,10.7,2008
slv,8.487,1997
slv,16.35,1998
slv,33.7,1999
slv,32.75,2001
est,14.13,1997
est,14.13,1998
est,10.9,1999
est,9.115,2000
est,7.932,2001
est,10.45,2002
est,6.943,2003
est,6.544,2004
est,7.741,2005
est,9.554,2006
est,9.567,2007
est,5.896,2008
eth,19.05,2007
fji,5.625,2007
fin,4.702,1996
fin,5.11,1997
fin,4.579,1998
fin,4.926,1999
fin,4.547,2000
fin,5.351,2001
fin,4.974,2002
fin,4.632,2003
fin,4.758,2004
fin,4.341,2005
fin,3.704,2006
fin,4.632,2007
fin,3.615,2008
fra,6.813,1997
fra,6.818,1998
fra,5.466,1999
fra,5.992,2000
fra,6.39,2001
fra,6.07,2002
fra,4.426,2003
fra,3.958,2004
fra,3.592,2005
fra,3.091,2006
fra,2.491,2007
guf,8.887,2002
guf,4.932,2003
guf,7.078,2005
guf,9.489,2006
geo,5.912,1998
geo,6.953,1999
geo,6.529,2000
geo,8.737,2001
deu,6.136,1998
deu,6.106,1999
deu,5.912,2000
deu,5.237,2001
deu,5.08,2002
deu,4.682,2003
deu,3.954,2004
deu,3.382,2005
deu,3.28,2006
gha,13.86,2006
grc,13.62,1998
grc,11.49,1999
grc,11.79,2000
grc,11.18,2001
grc,10.26,2002
grc,8.953,2003
grc,10.83,2004
grc,10.32,2005
grc,9.175,2006
grd,4.577,2003
glp,3.376,2001
glp,5.159,2002
glp,5.652,2003
glp,2.728,2004
glp,9.282,2005
glp,1.784,2006
gtm,3.098,2004
gtm,1.8,2005
gtm,0.862,2006
guy,7.391,2007
hti,0.558,2002
hti,1.005,2003
hnd,11.45,2007
hkg,0.64,2001
hkg,0.73,2002
hkg,0.735,2003
hkg,0.546,2004
hkg,0.954,2005
hkg,0.649,2006
hkg,0.572,2007
hun,6.24,1996
hun,6.187,1997
hun,6.032,1998
hun,6.029,1999
hun,5.717,2000
hun,5.64,2001
hun,7.329,2002
hun,7.123,2003
hun,7.023,2004
hun,6.876,2005
hun,7.074,2006
hun,6.734,2007
hun,5.234,2008
isl,2.803,1996
isl,2.489,1997
isl,9.303,1998
isl,4.026,1999
isl,9.261,2000
isl,8.381,2001
isl,9.333,2002
isl,6.029,2003
isl,5.333,2004
isl,4.566,2005
isl,8.03,2006
isl,3.091,2007
isl,3.435,2008
ind,3.034,2006
idn,1.232,2008
irn,26.73,2004
irl,6.689,1996
irl,6.496,1997
irl,7.365,1998
irl,6.724,1999
irl,7.104,2000
irl,6.473,2001
irl,5.594,2002
irl,4.488,2003
irl,3.778,2004
irl,4.469,2005
irl,4.037,2006
irl,4.108,2007
irl,3.768,2008
isr,7.34,1996
isr,7.182,1997
isr,5.988,1998
isr,6.159,1999
isr,5.23,2000
isr,6.678,2001
isr,5.788,2002
isr,4.773,2003
isr,5.441,2004
isr,4.939,2005
isr,4.382,2006
isr,4.589,2007
ita,7.21,1996
ita,7.755,1997
ita,7.472,1998
ita,7.387,1999
ita,7.084,2000
ita,6.94,2001
ita,6.857,2002
ita,5.449,2003
ita,4.098,2006
ita,3.778,2007
jam,7.02,2007
jpn,3.993,1995
jpn,3.741,1996
jpn,3.756,1997
jpn,3.511,1998
jpn,3.402,1999
jpn,3.331,2000
jpn,3.114,2001
jpn,2.896,2002
jpn,2.467,2003
jpn,2.381,2004
jpn,2.2,2005
jpn,1.925,2006
jpn,1.706,2007
jpn,1.381,2008
jor,27.84,2007
ken,18.79,2007
kir,3.672,2007
kor,12.25,1995
kor,11.13,1996
kor,7.22,1997
kor,2.818,1998
kor,2.196,1999
kor,4.158,2000
kor,2.67,2001
kor,2.86,2002
kor,6.348,2003
kor,5.135,2004
kor,4.695,2005
kor,4.615,2006
kor,4.319,2007
kwt,8.177,1995
kwt,27.38,1997
kwt,1.019,1998
kwt,2.436,1999
kwt,0.693,2000
kgz,4.46,2000
kgz,4.478,2001
kgz,7.469,2002
kgz,7.817,2003
kgz,7.901,2004
kgz,7.298,2005
kgz,4.63,2006
kgz,9.618,2007
kgz,10.7,2008
lva,9.649,1996
lva,11.35,1997
lva,15.55,1998
lva,13.61,1999
lva,13.03,2000
lva,12.41,2001
lva,12.77,2002
lva,11.65,2003
lva,11.07,2004
lva,10.24,2005
lva,8.135,2006
lva,10.01,2007
lva,8.275,2008
lso,6.09,2007
ltu,11.74,1998
ltu,11.51,1999
ltu,9.423,2000
ltu,10.72,2001
ltu,11.24,2002
ltu,11.65,2003
ltu,11.01,2004
ltu,12.66,2005
ltu,13.66,2006
ltu,13.21,2007
ltu,8.09,2008
lux,11.61,1998
lux,11.35,1999
lux,14.81,2000
lux,15.2,2001
lux,12.48,2002
lux,8.018,2003
lux,7.635,2004
lux,8.638,2005
lux,5.971,2006
mkd,2.692,2006
mwi,11.88,2007
mys,5.879,2000
mys,0.644,2001
mys,0.383,2002
mys,1.724,2003
mys,9.863,2004
mys,10.55,2005
mys,9.539,2006
mys,6.128,2007
mdv,29.27,2005
mlt,2.886,1995
mlt,2.296,1996
mlt,2.234,1997
mlt,1.706,1998
mlt,1.389,1999
mlt,2.51,2000
mlt,2.296,2001
mlt,1.434,2002
mlt,0.956,2003
mlt,1.449,2004
mlt,2.695,2005
mlt,1.463,2006
mlt,1.523,2007
mlt,2.228,2008
mhl,1.8,2007
mtq,3.11,2000
mtq,3.279,2001
mtq,5.384,2002
mtq,8.108,2003
mtq,5.293,2004
mtq,8.882,2005
mtq,2.599,2006
mus,0.113,2000
mus,0.119,2001
mus,2.988,2007
mex,8.52,1998
mex,8.658,1999
mex,8.681,2000
mex,8.065,2001
mex,8.84,2002
mex,8.675,2003
mex,8.819,2004
mex,9.253,2005
mex,9.669,2006
mex,9.468,2007
fsm,14.76,2007
mda,3.771,1996
mda,3.931,1997
mda,4.287,1998
mda,4.361,1999
mda,2.616,2000
mda,2.572,2001
mda,3.312,2002
mda,3.379,2003
mda,3.821,2004
mda,5.006,2005
mda,3.255,2006
mda,4.512,2007
mda,5.529,2008
mng,13.82,2007
mne,15.38,2007
mar,15.25,2007
moz,13.72,2007
mmr,12.0,2007
nld,4.173,1996
nld,3.858,1997
nld,3.715,1998
nld,3.946,1999
nld,3.878,2000
nld,3.471,2001
nld,3.598,2002
nld,3.65,2003
nld,2.842,2004
nld,2.292,2005
nld,2.22,2006
nld,2.262,2007
nld,2.237,2008
