cell_phones_total,geo,time
0,afg,1965
0,afg,1970
0,afg,1975
0,afg,1976
0,afg,1977
0,afg,1978
0,afg,1979
0,afg,1980
0,afg,1981
0,afg,1982
0,afg,1983
0,afg,1984
0,afg,1985
0,afg,1986
0,afg,1987
0,afg,1988
0,afg,1989
0,afg,1990
0,afg,1991
0,afg,1992
0,afg,1993
0,afg,1994
0,afg,1995
0,afg,1996
0,afg,1997
0,afg,1998
0,afg,1999
0,afg,2000
0,afg,2001
25000,afg,2002
200000,afg,2003
600000,afg,2004
1200000,afg,2005
2520000,afg,2006
4668000,afg,2007
7899000,afg,2008
10500000,afg,2009
13000000,afg,2010
17560000,afg,2011
0,alb,1965
0,alb,1970
0,alb,1975
0,alb,1976
0,alb,1977
0,alb,1978
0,alb,1979
0,alb,1980
0,alb,1981
0,alb,1982
0,alb,1983
0,alb,1984
0,alb,1985
0,alb,1986
0,alb,1987
0,alb,1988
0,alb,1989
0,alb,1990
0,alb,1991
0,alb,1992
0,alb,1993
0,alb,1994
0,alb,1995
2300,alb,1996
3300,alb,1997
5600,alb,1998
11010,alb,1999
29790,alb,2000
392600,alb,2001
851000,alb,2002
1100000,alb,2003
1260000,alb,2004
1530000,alb,2005
1910000,alb,2006
2322000,alb,2007
1860000,alb,2008
2464000,alb,2009
2692000,alb,2010
3100000,alb,2011
0,dza,1965
0,dza,1970
0,dza,1975
0,dza,1976
0,dza,1977
0,dza,1978
0,dza,1979
0,dza,1980
0,dza,1981
0,dza,1982
0,dza,1983
0,dza,1984
0,dza,1985
0,dza,1986
0,dza,1987
0,dza,1988
0,dza,1989
470,dza,1990
4781,dza,1991
4781,dza,1992
4781,dza,1993
1348,dza,1994
4691,dza,1995
11700,dza,1996
17400,dza,1997
18000,dza,1998
72000,dza,1999
86000,dza,2000
100000,dza,2001
450200,dza,2002
1447000,dza,2003
4882000,dza,2004
13660000,dza,2005
21000000,dza,2006
27560000,dza,2007
27030000,dza,2008
32730000,dza,2009
32780000,dza,2010
35620000,dza,2011
0,asm,1965
0,asm,1970
0,asm,1975
0,asm,1976
0,asm,1977
0,asm,1978
0,asm,1979
0,asm,1980
0,asm,1981
0,asm,1982
0,asm,1983
0,asm,1984
0,asm,1985
0,asm,1986
0,asm,1990
0,asm,1991
700,asm,1992
900,asm,1993
1200,asm,1994
1250,asm,1995
