cholesterol_fat_in_blood_men_mmolperl,geo,time
4.583,afg,1980
4.576,afg,1981
4.57,afg,1982
4.566,afg,1983
4.561,afg,1984
4.555,afg,1985
4.55,afg,1986
4.541,afg,1987
4.525,afg,1988
4.507,afg,1989
4.486,afg,1990
4.467,afg,1991
4.441,afg,1992
4.407,afg,1993
4.372,afg,1994
4.341,afg,1995
4.313,afg,1996
4.291,afg,1997
4.273,afg,1998
4.252,afg,1999
4.222,afg,2000
4.191,afg,2001
4.171,afg,2002
4.156,afg,2003
4.14,afg,2004
4.128,afg,2005
4.116,afg,2006
4.106,afg,2007
4.096,afg,2008
5.006,alb,1980
5.002,alb,1981
4.996,alb,1982
4.988,alb,1983
4.982,alb,1984
4.978,alb,1985
4.972,alb,1986
4.969,alb,1987
4.965,alb,1988
4.962,alb,1989
4.957,alb,1990
4.94,alb,1991
4.917,alb,1992
4.9,alb,1993
4.894,alb,1994
4.901,alb,1995
4.905,alb,1996
4.901,alb,1997
4.897,alb,1998
4.896,alb,1999
4.899,alb,2000
4.903,alb,2001
4.906,alb,2002
4.907,alb,2003
4.905,alb,2004
4.901,alb,2005
4.897,alb,2006
4.894,alb,2007
4.891,alb,2008
4.926,dza,1980
4.92,dza,1981
4.914,dza,1982
4.914,dza,1983
4.911,dza,1984
4.908,dza,1985
4.902,dza,1986
4.896,dza,1987
4.885,dza,1988
4.873,dza,1989
4.864,dza,1990
4.852,dza,1991
4.837,dza,1992
4.823,dza,1993
4.809,dza,1994
4.795,dza,1995
4.78,dza,1996
4.768,dza,1997
4.757,dza,1998
4.743,dza,1999
4.734,dza,2000
4.723,dza,2001
4.712,dza,2002
4.701,dza,2003
4.694,dza,2004
4.686,dza,2005
4.678,dza,2006
4.671,dza,2007
4.664,dza,2008
6.179,and,1980
6.144,and,1981
6.109,and,1982
6.078,and,1983
6.047,and,1984
6.019,and,1985
5.992,and,1986
5.965,and,1987
5.941,and,1988
5.922,and,1989
5.899,and,1990
5.876,and,1991
5.852,and,1992
5.827,and,1993
5.802,and,1994
5.778,and,1995
5.754,and,1996
5.732,and,1997
5.712,and,1998
5.691,and,1999
5.672,and,2000
5.654,and,2001
5.637,and,2002
5.624,and,2003
5.609,and,2004
5.594,and,2005
5.582,and,2006
5.57,and,2007
5.557,and,2008
4.524,ago,1980
4.51,ago,1981
4.497,ago,1982
4.485,ago,1983
4.476,ago,1984
4.47,ago,1985
4.461,ago,1986
4.457,ago,1987
4.454,ago,1988
4.451,ago,1989
4.446,ago,1990
4.439,ago,1991
4.427,ago,1992
4.405,ago,1993
4.379,ago,1994
4.359,ago,1995
4.345,ago,1996
4.335,ago,1997
4.33,ago,1998
4.326,ago,1999
4.323,ago,2000
4.322,ago,2001
4.325,ago,2002
4.33,ago,2003
4.336,ago,2004
4.346,ago,2005
4.359,ago,2006
4.376,ago,2007
4.394,ago,2008
4.868,atg,1980
4.86,atg,1981
4.855,atg,1982
4.854,atg,1983
4.853,atg,1984
4.855,atg,1985
4.859,atg,1986
4.862,atg,1987
4.867,atg,1988
4.871,atg,1989
4.876,atg,1990
4.877,atg,1991
4.873,atg,1992
4.87,atg,1993
4.864,atg,1994
4.853,atg,1995
4.845,atg,1996
4.836,atg,1997
4.827,atg,1998
4.818,atg,1999
4.805,atg,2000
4.794,atg,2001
4.783,atg,2002
4.774,atg,2003
4.764,atg,2004
4.757,atg,2005
4.753,atg,2006
4.753,atg,2007
4.751,atg,2008
5.373,arg,1980
5.364,arg,1981
5.348,arg,1982
5.332,arg,1983
5.318,arg,1984
5.3,arg,1985
5.284,arg,1986
5.27,arg,1987
5.251,arg,1988
5.231,arg,1989
5.211,arg,1990
5.195,arg,1991
5.185,arg,1992
5.178,arg,1993
5.172,arg,1994
5.163,arg,1995
5.155,arg,1996
5.149,arg,1997
5.144,arg,1998
5.138,arg,1999
5.128,arg,2000
5.112,arg,2001
5.087,arg,2002
5.066,arg,2003
5.047,arg,2004
5.037,arg,2005
5.032,arg,2006
5.03,arg,2007
5.026,arg,2008
5.163,arm,1980
5.147,arm,1981
5.132,arm,1982
5.117,arm,1983
5.102,arm,1984
5.085,arm,1985
5.071,arm,1986
5.054,arm,1987
5.036,arm,1988
5.016,arm,1989
4.992,arm,1990
4.961,arm,1991
4.909,arm,1992
4.858,arm,1993
4.812,arm,1994
4.774,arm,1995
4.738,arm,1996
4.709,arm,1997
4.687,arm,1998
4.671,arm,1999
4.661,arm,2000
4.655,arm,2001
4.66,arm,2002
4.664,arm,2003
4.675,arm,2004
4.682,arm,2005
4.69,arm,2006
4.7,arm,2007
4.707,arm,2008
5.763,aus,1980
5.742,aus,1981
5.722,aus,1982
5.702,aus,1983
5.68,aus,1984
5.658,aus,1985
5.639,aus,1986
5.622,aus,1987
5.605,aus,1988
5.588,aus,1989
5.57,aus,1990
5.547,aus,1991
5.524,aus,1992
5.504,aus,1993
5.487,aus,1994
5.467,aus,1995
5.445,aus,1996
5.422,aus,1997
5.402,aus,1998
5.381,aus,1999
5.357,aus,2000
5.329,aus,2001
5.301,aus,2002
5.271,aus,2003
5.238,aus,2004
5.209,aus,2005
5.181,aus,2006
5.156,aus,2007
5.128,aus,2008
5.857,aut,1980
5.84,aut,1981
5.817,aut,1982
5.8,aut,1983
5.782,aut,1984
5.769,aut,1985
5.753,aut,1986
5.736,aut,1987
5.714,aut,1988
5.692,aut,1989
5.671,aut,1990
5.652,aut,1991
5.633,aut,1992
5.609,aut,1993
5.593,aut,1994
5.578,aut,1995
5.562,aut,1996
5.545,aut,1997
5.526,aut,1998
5.506,aut,1999
5.481,aut,2000
5.458,aut,2001
5.437,aut,2002
5.412,aut,2003
5.381,aut,2004
5.358,aut,2005
5.335,aut,2006
5.315,aut,2007
5.297,aut,2008
5.14,aze,1980
5.123,aze,1981
5.108,aze,1982
5.093,aze,1983
5.079,aze,1984
5.063,aze,1985
5.049,aze,1986
5.029,aze,1987
5.009,aze,1988
4.987,aze,1989
4.958,aze,1990
4.927,aze,1991
4.884,aze,1992
4.829,aze,1993
4.772,aze,1994
4.713,aze,1995
4.659,aze,1996
4.617,aze,1997
4.583,aze,1998
4.556,aze,1999
4.535,aze,2000
4.518,aze,2001
4.508,aze,2002
4.502,aze,2003
4.502,aze,2004
4.504,aze,2005
4.509,aze,2006
4.516,aze,2007
4.525,aze,2008
5.308,bhs,1980
5.302,bhs,1981
5.299,bhs,1982
5.296,bhs,1983
5.294,bhs,1984
5.292,bhs,1985
5.287,bhs,1986
5.283,bhs,1987
5.274,bhs,1988
5.264,bhs,1989
5.251,bhs,1990
5.239,bhs,1991
5.219,bhs,1992
5.2,bhs,1993
5.183,bhs,1994
5.161,bhs,1995
5.143,bhs,1996
5.127,bhs,1997
5.114,bhs,1998
5.101,bhs,1999
5.089,bhs,2000
5.079,bhs,2001
5.074,bhs,2002
5.071,bhs,2003
5.062,bhs,2004
5.044,bhs,2005
5.028,bhs,2006
5.014,bhs,2007
5.0,bhs,2008
5.256,bhr,1980
5.249,bhr,1981
5.239,bhr,1982
5.228,bhr,1983
5.216,bhr,1984
5.203,bhr,1985
5.191,bhr,1986
5.18,bhr,1987
5.171,bhr,1988
5.163,bhr,1989
5.156,bhr,1990
5.15,bhr,1991
5.145,bhr,1992
5.146,bhr,1993
5.141,bhr,1994
5.137,bhr,1995
5.133,bhr,1996
5.128,bhr,1997
5.12,bhr,1998
5.114,bhr,1999
5.108,bhr,2000
5.101,bhr,2001
5.094,bhr,2002
5.087,bhr,2003
5.078,bhr,2004
5.073,bhr,2005
5.067,bhr,2006
5.063,bhr,2007
5.058,bhr,2008
4.487,bgd,1980
4.479,bgd,1981
4.471,bgd,1982
4.463,bgd,1983
4.456,bgd,1984
4.449,bgd,1985
4.442,bgd,1986
4.434,bgd,1987
4.426,bgd,1988
4.42,bgd,1989
4.412,bgd,1990
4.405,bgd,1991
4.398,bgd,1992
4.393,bgd,1993
4.387,bgd,1994
4.38,bgd,1995
4.373,bgd,1996
4.367,bgd,1997
4.359,bgd,1998
4.348,bgd,1999
4.338,bgd,2000
4.327,bgd,2001
4.316,bgd,2002
4.305,bgd,2003
4.294,bgd,2004
4.283,bgd,2005
4.273,bgd,2006
4.262,bgd,2007
4.252,bgd,2008
5.133,brb,1980
5.119,brb,1981
5.102,brb,1982
5.082,brb,1983
5.065,brb,1984
5.047,brb,1985
5.03,brb,1986
5.015,brb,1987
4.999,brb,1988
4.986,brb,1989
4.972,brb,1990
4.954,brb,1991
4.934,brb,1992
4.912,brb,1993
4.894,brb,1994
4.874,brb,1995
4.856,brb,1996
4.838,brb,1997
4.822,brb,1998
4.811,brb,1999
4.796,brb,2000
4.779,brb,2001
4.765,brb,2002
4.749,brb,2003
4.741,brb,2004
4.732,brb,2005
4.724,brb,2006
4.72,brb,2007
4.714,brb,2008
5.421,blr,1980
5.404,blr,1981
5.388,blr,1982
5.372,blr,1983
5.355,blr,1984
5.337,blr,1985
5.32,blr,1986
5.305,blr,1987
5.294,blr,1988
5.284,blr,1989
5.275,blr,1990
5.267,blr,1991
5.255,blr,1992
5.24,blr,1993
5.22,blr,1994
5.193,blr,1995
5.171,blr,1996
5.151,blr,1997
5.136,blr,1998
5.117,blr,1999
5.098,blr,2000
5.079,blr,2001
5.061,blr,2002
5.049,blr,2003
5.037,blr,2004
5.032,blr,2005
5.025,blr,2006
5.02,blr,2007
5.016,blr,2008
6.082,bel,1980
6.055,bel,1981
6.029,bel,1982
6.005,bel,1983
5.982,bel,1984
5.963,bel,1985
5.943,bel,1986
5.924,bel,1987
5.9,bel,1988
5.876,bel,1989
5.851,bel,1990
5.827,bel,1991
5.797,bel,1992
5.768,bel,1993
5.739,bel,1994
5.71,bel,1995
5.677,bel,1996
5.647,bel,1997
5.626,bel,1998
5.604,bel,1999
5.579,bel,2000
5.556,bel,2001
5.532,bel,2002
5.505,bel,2003
5.482,bel,2004
5.459,bel,2005
5.437,bel,2006
5.416,bel,2007
5.396,bel,2008
4.877,blz,1980
4.865,blz,1981
4.85,blz,1982
4.84,blz,1983
4.825,blz,1984
4.804,blz,1985
4.784,blz,1986
4.761,blz,1987
4.741,blz,1988
4.719,blz,1989
4.7,blz,1990
4.683,blz,1991
4.665,blz,1992
4.65,blz,1993
4.641,blz,1994
4.631,blz,1995
4.618,blz,1996
4.608,blz,1997
4.595,blz,1998
4.579,blz,1999
4.565,blz,2000
4.551,blz,2001
4.539,blz,2002
4.525,blz,2003
4.51,blz,2004
4.497,blz,2005
4.485,blz,2006
4.474,blz,2007
4.463,blz,2008
4.191,ben,1980
4.184,ben,1981
4.178,ben,1982
4.173,ben,1983
4.162,ben,1984
4.154,ben,1985
4.144,ben,1986
4.137,ben,1987
4.124,ben,1988
4.104,ben,1989
4.085,ben,1990
4.066,ben,1991
4.049,ben,1992
4.037,ben,1993
4.026,ben,1994
4.016,ben,1995
4.008,ben,1996
4.005,ben,1997
4.006,ben,1998
4.01,ben,1999
4.013,ben,2000
4.019,ben,2001
4.026,ben,2002
4.035,ben,2003
4.044,ben,2004
4.053,ben,2005
4.061,ben,2006
4.068,ben,2007
4.076,ben,2008
5.661,bmu,1980
5.65,bmu,1981
5.636,bmu,1982
5.622,bmu,1983
5.6,bmu,1984
5.582,bmu,1985
5.56,bmu,1986
5.537,bmu,1987
5.52,bmu,1988
5.5,bmu,1989
5.476,bmu,1990
5.451,bmu,1991
5.425,bmu,1992
5.404,bmu,1993
5.382,bmu,1994
5.352,bmu,1995
5.331,bmu,1996
5.318,bmu,1997
5.305,bmu,1998
5.294,bmu,1999
5.284,bmu,2000
5.276,bmu,2001
5.271,bmu,2002
5.264,bmu,2003
5.259,bmu,2004
5.258,bmu,2005
5.26,bmu,2006
5.265,bmu,2007
5.268,bmu,2008
4.389,btn,1980
4.391,btn,1981
4.393,btn,1982
4.395,btn,1983
4.399,btn,1984
4.401,btn,1985
4.404,btn,1986
4.412,btn,1987
4.419,btn,1988
4.425,btn,1989
4.431,btn,1990
4.437,btn,1991
4.442,btn,1992
4.447,btn,1993
4.45,btn,1994
4.454,btn,1995
4.459,btn,1996
4.463,btn,1997
4.467,btn,1998
4.472,btn,1999
4.476,btn,2000
4.48,btn,2001
4.484,btn,2002
4.486,btn,2003
4.488,btn,2004
4.491,btn,2005
4.493,btn,2006
4.497,btn,2007
4.503,btn,2008
4.845,bol,1980
4.84,bol,1981
4.831,bol,1982
4.823,bol,1983
4.807,bol,1984
4.785,bol,1985
4.76,bol,1986
4.737,bol,1987
4.717,bol,1988
4.698,bol,1989
4.684,bol,1990
4.671,bol,1991
4.659,bol,1992
4.65,bol,1993
4.647,bol,1994
4.642,bol,1995
4.639,bol,1996
4.635,bol,1997
4.633,bol,1998
4.628,bol,1999
4.621,bol,2000
4.614,bol,2001
4.607,bol,2002
4.6,bol,2003
