cholesterol_fat_in_blood_women_mmolperl,geo,time
4.644,afg,1980
4.637,afg,1981
4.631,afg,1982
4.625,afg,1983
4.62,afg,1984
4.613,afg,1985
4.608,afg,1986
4.598,afg,1987
4.583,afg,1988
4.568,afg,1989
4.548,afg,1990
4.531,afg,1991
4.509,afg,1992
4.481,afg,1993
4.452,afg,1994
4.426,afg,1995
4.403,afg,1996
4.385,afg,1997
4.371,afg,1998
4.356,afg,1999
4.334,afg,2000
4.31,afg,2001
4.295,afg,2002
4.284,afg,2003
4.272,afg,2004
4.262,afg,2005
4.253,afg,2006
4.246,afg,2007
4.239,afg,2008
5.04,alb,1980
5.037,alb,1981
5.033,alb,1982
5.028,alb,1983
5.022,alb,1984
5.018,alb,1985
5.012,alb,1986
5.008,alb,1987
5.003,alb,1988
4.998,alb,1989
4.991,alb,1990
4.973,alb,1991
4.95,alb,1992
4.934,alb,1993
4.926,alb,1994
4.929,alb,1995
4.931,alb,1996
4.925,alb,1997
4.919,alb,1998
4.916,alb,1999
4.917,alb,2000
4.919,alb,2001
4.919,alb,2002
4.915,alb,2003
4.91,alb,2004
4.902,alb,2005
4.895,alb,2006
4.888,alb,2007
4.881,alb,2008
4.976,dza,1980
4.975,dza,1981
4.975,dza,1982
4.977,dza,1983
4.977,dza,1984
4.977,dza,1985
4.974,dza,1986
4.971,dza,1987
4.964,dza,1988
4.957,dza,1989
4.952,dza,1990
4.944,dza,1991
4.935,dza,1992
4.927,dza,1993
4.919,dza,1994
4.91,dza,1995
4.9,dza,1996
4.892,dza,1997
4.883,dza,1998
4.873,dza,1999
4.867,dza,2000
4.858,dza,2001
4.849,dza,2002
4.841,dza,2003
4.837,dza,2004
4.832,dza,2005
4.827,dza,2006
4.821,dza,2007
4.816,dza,2008
6.132,and,1980
6.101,and,1981
6.069,and,1982
6.039,and,1983
6.008,and,1984
5.978,and,1985
5.949,and,1986
5.919,and,1987
5.89,and,1988
5.864,and,1989
5.836,and,1990
5.808,and,1991
5.779,and,1992
5.749,and,1993
5.721,and,1994
5.694,and,1995
5.666,and,1996
5.641,and,1997
5.616,and,1998
5.592,and,1999
5.569,and,2000
5.548,and,2001
5.529,and,2002
5.514,and,2003
5.499,and,2004
5.484,and,2005
5.475,and,2006
5.465,and,2007
5.456,and,2008
4.789,ago,1980
4.77,ago,1981
4.751,ago,1982
4.734,ago,1983
4.719,ago,1984
4.707,ago,1985
4.694,ago,1986
4.684,ago,1987
4.674,ago,1988
4.666,ago,1989
4.655,ago,1990
4.641,ago,1991
4.626,ago,1992
4.601,ago,1993
4.576,ago,1994
4.556,ago,1995
4.54,ago,1996
