geo,colonandrectum_cancer_number_of_new_female_cases,time
afg,316,2002
alb,285,2002
dza,588,2002
ago,113,2002
arg,4911,2002
arm,187,2002
aus,5715,2002
aut,2451,2002
aze,178,2002
bhs,21,2002
bhr,14,2002
bgd,410,2002
brb,36,2002
blr,1782,2002
bel,3130,2002
blz,4,2002
ben,70,2002
btn,26,2002
bol,247,2002
bih,663,2002
bwa,22,2002
bra,11160,2002
brn,14,2002
bgr,1358,2002
bfa,37,2002
bdi,82,2002
khm,239,2002
cmr,182,2002
can,8266,2002
cpv,6,2002
caf,42,2002
tcd,79,2002
chl,1317,2002
chn,62510,2002
col,2546,2002
com,8,2002
cod,478,2002
cog,29,2002
cri,207,2002
civ,132,2002
hrv,1207,2002
cub,1329,2002
cyp,122,2002
cze,3243,2002
dnk,1800,2002
dji,10,2002
dom,389,2002
ecu,508,2002
egy,775,2002
slv,163,2002
gnq,5,2002
eri,49,2002
est,350,2002
eth,804,2002
fji,8,2002
fin,1146,2002
fra,15720,2002
pyf,26,2002
gab,21,2002
gmb,12,2002
geo,326,2002
deu,32050,2002
gha,244,2002
grc,1832,2002
gum,8,2002
gtm,250,2002
gin,78,2002
gnb,14,2002
guy,26,2002
hti,201,2002
hnd,142,2002
hun,3509,2002
isl,56,2002
ind,13560,2002
idn,9577,2002
irn,1595,2002
irq,325,2002
irl,813,2002
isr,1506,2002
ita,17280,2002
jam,154,2002
jpn,37890,2002
jor,130,2002
kaz,736,2002
ken,337,2002
prk,1905,2002
kor,4561,2002
kwt,43,2002
kgz,134,2002
lao,83,2002
lva,488,2002
lbn,65,2002
lso,19,2002
lbr,30,2002
lby,67,2002
ltu,616,2002
lux,141,2002
mkd,273,2002
mdg,198,2002
mwi,92,2002
mys,1329,2002
mli,168,2002
mlt,78,2002
mrt,32,2002
mus,47,2002
mex,2814,2002
mda,556,2002
mng,27,2002
mar,654,2002
moz,75,2002
mmr,673,2002
nam,19,2002
npl,273,2002
nzl,1286,2002
nic,151,2002
ner,98,2002
nga,1485,2002
nor,1668,2002
omn,19,2002
pak,2475,2002
pan,140,2002
png,39,2002
pry,159,2002
per,1292,2002
phl,3723,2002
pol,7909,2002
prt,2158,2002
pri,612,2002
qat,15,2002
rou,2808,2002
rus,25920,2002
rwa,94,2002
wsm,6,2002
sau,481,2002
sen,88,2002
scg,1689,2002
sle,55,2002
sgp,733,2002
svk,1227,2002
svn,503,2002
slb,8,2002
som,98,2002
zaf,1577,2002
esp,9546,2002
lka,304,2002
sdn,345,2002
sur,22,2002
swz,7,2002
swe,2634,2002
che,1948,2002
syr,787,2002
tjk,44,2002
tza,397,2002
tha,2108,2002
nld,4582,2002
tgo,54,2002
tto,110,2002
tun,276,2002
tur,2571,2002
tkm,43,2002
uga,377,2002
ukr,8373,2002
are,69,2002
gbr,16560,2002
usa,80430,2002
ury,811,2002
uzb,329,2002
vut,1,2002
ven,1107,2002
vnm,2601,2002
yem,282,2002
zmb,84,2002
zwe,226,2002
