geo,colonandrectum_cancer_number_of_new_male_cases,time
afg,377,2002
alb,382,2002
dza,602,2002
ago,140,2002
arg,5989,2002
arm,159,2002
aus,6539,2002
aut,2713,2002
aze,187,2002
bhs,17,2002
bhr,32,2002
bgd,475,2002
brb,33,2002
blr,1532,2002
bel,3304,2002
blz,4,2002
ben,89,2002
btn,34,2002
bol,404,2002
bih,826,2002
bwa,24,2002
bra,9454,2002
brn,19,2002
bgr,1631,2002
bfa,100,2002
bdi,97,2002
khm,358,2002
cmr,215,2002
can,9442,2002
cpv,5,2002
caf,27,2002
tcd,53,2002
chl,1105,2002
chn,88140,2002
col,1749,2002
com,12,2002
cod,128,2002
cog,37,2002
cri,181,2002
civ,219,2002
hrv,1516,2002
cub,955,2002
cyp,123,2002
cze,4374,2002
dnk,1828,2002
dji,12,2002
dom,354,2002
ecu,346,2002
egy,1042,2002
slv,97,2002
gnq,4,2002
eri,69,2002
est,282,2002
eth,1316,2002
fji,10,2002
fin,1031,2002
fra,19230,2002
pyf,31,2002
gab,24,2002
gmb,7,2002
geo,339,2002
deu,31760,2002
gha,316,2002
grc,1937,2002
gum,11,2002
gtm,255,2002
gin,75,2002
gnb,19,2002
guy,37,2002
hti,249,2002
hnd,140,2002
hun,3977,2002
isl,64,2002
ind,19510,2002
idn,9678,2002
irn,2046,2002
irq,356,2002
irl,1075,2002
isr,1424,2002
ita,20460,2002
jam,157,2002
jpn,57760,2002
jor,144,2002
kaz,577,2002
ken,606,2002
prk,2537,2002
kor,5650,2002
kwt,61,2002
kgz,86,2002
lao,114,2002
lva,372,2002
lbn,60,2002
lso,30,2002
lbr,37,2002
lby,101,2002
ltu,615,2002
lux,146,2002
mkd,342,2002
mdg,295,2002
mwi,74,2002
mys,1509,2002
mli,171,2002
mlt,77,2002
mrt,42,2002
mus,60,2002
mex,2790,2002
mda,567,2002
mng,32,2002
mar,617,2002
moz,55,2002
mmr,895,2002
nam,22,2002
npl,366,2002
nzl,1358,2002
nic,67,2002
ner,127,2002
nga,2021,2002
nor,1573,2002
omn,45,2002
pak,2581,2002
pan,144,2002
png,105,2002
pry,147,2002
per,1072,2002
phl,4198,2002
pol,7671,2002
prt,2826,2002
pri,611,2002
qat,29,2002
rou,3429,2002
rus,21850,2002
rwa,70,2002
wsm,7,2002
sau,695,2002
sen,66,2002
scg,2100,2002
sle,70,2002
sgp,772,2002
svk,1745,2002
svn,628,2002
slb,12,2002
som,144,2002
zaf,1464,2002
esp,12420,2002
lka,480,2002
sdn,524,2002
sur,15,2002
swz,11,2002
swe,2761,2002
che,2670,2002
syr,720,2002
tjk,52,2002
tza,424,2002
tha,2744,2002
nld,4940,2002
tgo,69,2002
tto,89,2002
tun,257,2002
tur,2545,2002
tkm,32,2002
uga,382,2002
ukr,8472,2002
are,220,2002
gbr,19410,2002
usa,85260,2002
ury,854,2002
uzb,313,2002
vut,2,2002
ven,968,2002
vnm,3428,2002
yem,294,2002
zmb,165,2002
zwe,216,2002
