contraceptive_use_percent_of_women_ages_15_49,geo,time
1.6,afg,1973
4.9,afg,2000
10.3,afg,2003
13.6,afg,2005
18.6,afg,2006
22.8,afg,2008
57.5,alb,2000
75.1,alb,2002
60.1,alb,2005
69.3,alb,2009
35.8,dza,1987
50.9,dza,1992
56.9,dza,1995
64.0,dza,2000
57.0,dza,2002
61.4,dza,2006
8.1,ago,1996
6.2,ago,2001
48.2,atg,1982
52.6,atg,1988
53.0,atg,1998
65.3,arg,2001
78.3,arg,2005
56.0,arm,1991
60.5,arm,2000
53.1,arm,2005
54.9,arm,2010
76.1,aus,1986
66.7,aus,1995
70.8,aus,2002
71.4,aut,1982
50.9,aut,1996
55.1,aze,2000
55.4,aze,2001
51.1,aze,2006
61.7,bhs,1988
44.6,bhs,2001
53.8,bhr,1989
61.8,bhr,1995
7.7,bgd,1976
12.7,bgd,1980
18.6,bgd,1981
19.1,bgd,1984
25.3,bgd,1986
31.4,bgd,1989
39.9,bgd,1991
44.6,bgd,1994
49.2,bgd,1997
53.8,bgd,2000
58.1,bgd,2004
55.8,bgd,2007
52.64,bgd,2008
46.5,brb,1981
55.0,brb,1988
55.0,brb,1998
50.4,blr,1995
72.6,blr,2005
87.0,bel,1976
81.0,bel,1983
78.4,bel,1992
56.5,bel,1997
75.6,bel,2001
74.6,bel,2004
46.7,blz,1991
56.1,blz,1999
34.3,blz,2006
6.6,ben,1982
16.4,ben,1996
18.6,ben,2001
17.0,ben,2006
18.8,btn,1994
30.7,btn,2000
35.4,btn,2007
65.6,btn,2010
23.6,bol,1983
30.3,bol,1989
45.3,bol,1994
48.3,bol,1998
53.4,bol,2000
58.4,bol,2004
60.6,bol,2008
42.9,bih,1970
47.5,bih,2000
35.7,bih,2006
27.8,bwa,1984
33.0,bwa,1988
41.7,bwa,1996
44.4,bwa,2000
52.8,bwa,2007
65.8,bra,1986
59.2,bra,1991
76.7,bra,1996
80.6,bra,2006
75.0,bgr,1976
85.9,bgr,1995
63.4,bgr,1998
7.9,bfa,1993
11.9,bfa,1999
13.8,bfa,2003
17.4,bfa,2006
8.7,bdi,1987
15.7,bdi,2000
19.7,bdi,2002
9.1,bdi,2006
21.9,bdi,2010
12.6,khm,1995
21.8,khm,1998
23.8,khm,2000
40.0,khm,2005
50.5,khm,2010
2.4,cmr,1978
16.1,cmr,1991
19.3,cmr,1998
25.6,cmr,2000
26.0,cmr,2004
29.2,cmr,2006
73.1,can,1984
74.7,can,1995
80.0,can,1998
74.0,can,2002
23.8,cpv,1988
52.9,cpv,1998
61.3,cpv,2005
14.8,caf,1995
27.9,caf,2000
19.0,caf,2006
4.1,tcd,1997
7.9,tcd,2000
2.8,tcd,2004
4.828,tcd,2010
43.0,chl,1978
56.0,chl,1990
60.7,chl,2001
58.4,chl,2006
69.5,chn,1982
74.0,chn,1985
71.1,chn,1988
84.6,chn,1992
90.7,chn,1994
90.4,chn,1995
91.1,chn,1996
83.8,chn,1997
83.0,chn,1999
86.9,chn,2001
84.6,chn,2006
42.5,col,1976
46.1,col,1978
48.5,col,1980
64.8,col,1986
66.1,col,1990
