geo,diarrhoeal_deaths_in_newborn_per_1000_births,time
afg,1.164,2008
alb,0.0,2008
dza,0.2631,2008
ago,1.113,2008
arg,0.01741,2008
arm,0.0,2008
aus,0.0,2008
aut,0.0,2008
aze,0.09655,2008
bhs,0.0,2008
bhr,0.0,2008
bgd,0.5234,2008
brb,0.0,2008
blr,0.01038,2008
bel,0.008407,2008
blz,0.1345,2008
ben,0.436,2008
btn,0.5425,2008
bol,0.3349,2008
bih,0.0,2008
bwa,0.06354,2008
bra,0.02222,2008
brn,0.0,2008
bgr,0.0,2008
bfa,0.487,2008
bdi,0.9153,2008
khm,0.5065,2008
cmr,0.4899,2008
can,0.0,2008
cpv,0.08308,2008
caf,1.117,2008
tcd,1.047,2008
chl,0.0,2008
chn,0.05669,2008
col,0.01198,2008
com,0.8859,2008
cog,0.5758,2008
cri,0.01326,2008
civ,0.7148,2008
hrv,0.0,2008
cub,0.0,2008
cyp,0.0,2008
cze,0.0,2008
prk,0.3912,2008
cod,1.584,2008
dnk,0.01604,2008
dji,0.5789,2008
dom,0.08921,2008
ecu,0.0,2008
egy,0.0,2008
slv,0.0,2008
gnq,0.8778,2008
eri,0.0824,2008
est,0.0,2008
eth,0.7746,2008
fji,0.0,2008
fin,0.0,2008
fra,0.002661,2008
gab,0.3793,2008
gmb,0.4747,2008
geo,0.09583,2008
deu,0.0,2008
gha,0.4309,2008
grc,0.0,2008
grd,0.0,2008
gtm,0.0,2008
gin,0.8262,2008
gnb,0.9849,2008
guy,0.5873,2008
hti,0.3331,2008
hnd,0.07939,2008
hun,0.0,2008
isl,0.0,2008
ind,1.274,2008
idn,0.1081,2008
irn,0.08503,2008
irq,0.2765,2008
irl,0.0,2008
isr,0.0,2008
ita,0.0,2008
jam,0.0,2008
jpn,0.0009672,2008
jor,0.0,2008
kaz,0.06245,2008
ken,0.5769,2008
kwt,0.01937,2008
kgz,0.09147,2008
lao,0.2709,2008
lva,0.0,2008
lbn,0.0,2008
lso,0.7246,2008
lbr,0.9695,2008
lby,0.0,2008
ltu,0.0,2008
lux,0.0,2008
mdg,0.5922,2008
mwi,0.4042,2008
mys,0.0,2008
mdv,0.0,2008
mli,1.315,2008
mlt,0.0,2008
mrt,0.9263,2008
mus,0.0,2008
mex,0.02538,2008
fsm,0.0,2008
mng,0.0,2008
mne,0.0,2008
mar,0.2398,2008
moz,0.8351,2008
mmr,1.318,2008
nam,0.08512,2008
npl,0.4701,2008
nld,0.0,2008
nzl,0.0,2008
nic,0.0,2008
ner,0.5262,2008
nga,1.525,2008
nor,0.0,2008
omn,0.0,2008
pak,1.385,2008
pan,0.0998,2008
png,0.377,2008
pry,0.08459,2008
per,0.0,2008
phl,0.0,2008
pol,0.002686,2008
prt,0.0,2008
qat,0.0,2008
kor,0.0,2008
mda,0.02226,2008
rou,0.02341,2008
rus,0.008412,2008
rwa,0.6476,2008
lca,0.0,2008
vct,0.0,2008
wsm,0.0,2008
stp,0.583,2008
sau,0.0,2008
sen,0.4742,2008
srb,0.0,2008
sle,0.9186,2008
sgp,0.0,2008
svk,0.0,2008
svn,0.0,2008
slb,0.0,2008
som,2.378,2008
zaf,0.09713,2008
esp,0.0,2008
lka,0.0,2008
sdn,0.6613,2008
sur,0.2046,2008
swz,0.08562,2008
swe,0.0,2008
che,0.0,2008
syr,0.0,2008
tjk,0.2852,2008
tha,0.0,2008
mkd,0.0,2008
tgo,0.4747,2008
ton,0.0,2008
tto,0.2022,2008
tun,0.0,2008
tur,0.0,2008
tkm,0.2349,2008
uga,0.4872,2008
ukr,0.03052,2008
are,0.0,2008
gbr,0.0,2008
tza,0.5792,2008
usa,0.0002273,2008
ury,0.0,2008
uzb,0.1012,2008
vut,0.0,2008
ven,0.02673,2008
vnm,0.0,2008
yem,0.4965,2008
zmb,0.6507,2008
zwe,0.3521,2008
