drownings_per_100000_people,geo,time
8.895,afg,2002
8.386,afg,2004
1.223,alb,2002
3.538,alb,2004
3.804,dza,2002
2.521,dza,2004
0.7054,and,2002
0.672,and,2004
19.19,ago,2002
14.24,ago,2004
3.5,atg,2002
6.938,atg,2004
2.503,arg,2002
1.649,arg,2004
2.313,arm,2002
1.91,arm,2004
1.251,aus,2002
0.9249,aus,2004
0.903,aut,2002
0.8022,aut,2004
0.4923,aze,2002
2.815,aze,2004
7.378,bhs,2002
7.307,bhs,2004
0.7916,bhr,2002
0.5715,bhr,2004
6.27,bgd,2002
6.356,bgd,2004
3.25,brb,2002
2.509,brb,2004
16.81,blr,2002
10.1,blr,2004
0.5869,bel,2002
0.5423,bel,2004
6.437,blz,2002
15.53,blz,2004
7.25,ben,2002
3.819,ben,2004
6.631,btn,2002
5.846,btn,2004
6.402,bol,2002
5.989,bol,2004
5.764,bih,2002
5.685,bih,2004
7.095,bwa,2002
9.153,bwa,2004
4.259,bra,2002
4.089,bra,2004
5.071,brn,2002
3.74,brn,2004
2.2,bgr,2002
1.787,bgr,2004
9.379,bfa,2002
5.061,bfa,2004
11.82,bdi,2002
18.44,bdi,2004
7.806,khm,2002
8.706,khm,2004
7.361,cmr,2002
4.424,cmr,2004
0.9338,can,2002
0.7985,can,2004
0.9687,cpv,2002
1.326,cpv,2004
14.29,caf,2002
15.47,caf,2004
8.077,tcd,2002
5.207,tcd,2004
3.225,chl,2002
3.091,chl,2004
9.387,chn,2002
9.949,chn,2004
3.103,col,2002
3.625,col,2004
3.869,com,2002
2.128,com,2004
10.17,cog,2002
10.05,cog,2004
4.252,cok,2002
3.945,cok,2004
4.227,cri,2002
3.231,cri,2004
2.215,hrv,2002
1.467,hrv,2004
2.653,cub,2002
2.526,cub,2004
3.89,cyp,2002
3.306,cyp,2004
1.843,cze,2002
1.579,cze,2004
16.71,civ,2002
25.93,civ,2004
5.348,prk,2002
5.17,prk,2004
17.32,cod,2002
16.8,cod,2004
0.7515,dnk,2002
0.8796,dnk,2004
8.381,dji,2002
7.341,dji,2004
9.893,dma,2002
3.068,dma,2004
0.3871,dom,2002
1.132,dom,2004
4.332,ecu,2002
4.41,ecu,2004
4.095,egy,2002
4.288,egy,2004
4.976,slv,2002
4.347,slv,2004
6.976,gnq,2002
4.837,gnq,2004
9.69,eri,2002
7.277,eri,2004
9.422,est,2002
5.877,est,2004
5.009,eth,2002
4.516,eth,2004
6.577,fji,2002
5.709,fji,2004
2.371,fin,2002
2.23,fin,2004
0.8292,fra,2002
1.431,fra,2004
5.82,gab,2002
4.327,gab,2004
6.68,gmb,2002
3.831,gmb,2004
1.186,geo,2002
0.8426,geo,2004
0.5902,deu,2002
0.4585,deu,2004
6.019,gha,2002
3.773,gha,2004
2.805,grc,2002
2.509,grc,2004
12.13,grd,2002
11.31,grd,2004
1.359,gtm,2002
1.339,gtm,2004
7.686,gin,2002
5.168,gin,2004
6.642,gnb,2002
3.672,gnb,2004
4.712,guy,2002
5.52,guy,2004
0.1334,hti,2002
1.643,hti,2004
3.571,hnd,2002
3.64,hnd,2004
2.088,hun,2002
1.629,hun,2004
0.843,isl,2002
0.7221,isl,2004
6.934,ind,2002
6.668,ind,2004
5.108,idn,2002
4.78,idn,2004
3.294,irn,2002
2.719,irn,2004
5.41,irq,2002
10.31,irq,2004
1.426,irl,2002
1.304,irl,2004
0.2461,isr,2002
0.5109,isr,2004
0.5036,ita,2002
0.7026,ita,2004
1.653,jam,2002
2.104,jam,2004
2.678,jpn,2002
2.462,jpn,2004
1.006,jor,2002
2.491,jor,2004
9.682,kaz,2002
9.129,kaz,2004
4.385,ken,2002
4.95,ken,2004
0.0,kir,2002
0.0,kir,2004
0.6869,kwt,2002
0.7368,kwt,2004
8.857,kgz,2002
8.717,kgz,2004
10.93,lao,2002
9.289,lao,2004
13.61,lva,2002
8.679,lva,2004
3.415,lbn,2002
3.096,lbn,2004
8.7,lso,2002
5.534,lso,2004
12.46,lbr,2002
5.465,lbr,2004
2.278,lby,2002
2.479,lby,2004
12.48,ltu,2002
8.808,ltu,2004
0.57,lux,2002
0.7725,lux,2004
7.658,mdg,2002
3.726,mdg,2004
19.08,mwi,2002
15.06,mwi,2004
3.44,mys,2002
3.512,mys,2004
4.448,mdv,2002
4.603,mdv,2004
14.29,mli,2002
7.321,mli,2004
2.162,mlt,2002
0.7188,mlt,2004
8.666,mhl,2002
8.631,mhl,2004
9.414,mrt,2002
4.336,mrt,2004
2.955,mus,2002
3.68,mus,2004
2.727,mex,2002
2.92,mex,2004
5.983,fsm,2002
4.38,fsm,2004
0.0,mco,2002
0.0,mco,2004
5.748,mng,2002
4.856,mng,2004
3.295,mar,2002
3.107,mar,2004
3.567,moz,2002
7.167,moz,2004
7.006,mmr,2002
6.608,mmr,2004
2.277,nam,2002
1.548,nam,2004
18.13,nru,2002
20.77,nru,2004
7.034,npl,2002
6.485,npl,2004
0.6822,nld,2002
0.5888,nld,2004
1.779,nzl,2002
1.543,nzl,2004
4.354,nic,2002
4.897,nic,2004
16.08,ner,2002
8.582,ner,2004
20.27,nga,2002
13.18,nga,2004
5.467,niu,2002
5.447,niu,2004
1.207,nor,2002
