geo,education_aid_given_percent_of_aid,time
aus,4.75,1971
aus,33.23,1972
aus,19.66,1973
aus,23.66,1974
aus,26.26,1975
aus,30.23,1976
aus,10.56,1977
aus,11.58,1978
aus,11.27,1979
aus,19.6,1980
aus,23.71,1981
aus,24.64,1982
aus,20.72,1983
aus,48.79,1984
aus,50.25,1985
aus,45.28,1986
aus,41.42,1987
aus,38.76,1988
aus,33.57,1989
aus,46.93,1990
aus,39.24,1991
aus,23.18,1992
aus,38.94,1993
aus,21.38,1994
aus,29.1,1995
aus,29.43,1996
aus,27.97,1997
aus,28.32,1998
aus,27.47,1999
aus,23.2,2000
aus,14.43,2001
aus,11.17,2002
aus,10.28,2003
aus,9.742,2004
aus,8.053,2005
aus,12.5,2006
aus,12.09,2007
aut,24.67,1971
aut,42.34,1972
aut,13.46,1973
aut,2.523,1974
aut,15.94,1975
aut,4.851,1976
aut,19.1,1977
aut,16.97,1978
aut,45.06,1979
aut,17.64,1980
aut,7.565,1981
aut,0.697,1982
aut,15.39,1983
aut,31.79,1984
aut,44.36,1985
aut,29.75,1986
aut,32.12,1987
aut,16.36,1988
aut,12.23,1989
aut,31.86,1990
aut,31.07,1991
aut,31.57,1992
aut,24.02,1993
aut,28.61,1994
aut,30.52,1995
aut,44.99,1996
aut,35.41,1997
aut,48.95,1998
aut,36.29,1999
aut,29.39,2000
aut,42.67,2001
aut,33.24,2002
aut,39.51,2003
aut,40.78,2004
aut,38.86,2005
aut,39.49,2006
aut,40.73,2007
bel,84.53,1971
bel,83.66,1972
bel,11.04,1973
bel,11.37,1974
bel,15.92,1975
bel,18.91,1976
bel,26.88,1977
bel,21.82,1978
bel,20.26,1979
bel,19.79,1980
bel,6.781,1981
bel,4.478,1982
bel,15.52,1983
bel,36.97,1984
bel,37.31,1985
bel,34.13,1986
bel,27.52,1987
bel,24.49,1988
bel,29.93,1989
bel,22.13,1990
bel,17.64,1991
bel,18.52,1992
bel,17.72,1993
bel,17.13,1994
bel,21.77,1995
bel,13.63,1996
bel,14.69,1997
bel,20.38,1998
bel,20.83,1999
bel,19.68,2000
bel,19.19,2001
bel,21.63,2002
bel,20.41,2003
bel,25.64,2004
bel,18.91,2005
bel,20.63,2006
bel,25.29,2007
can,33.7,1971
can,38.57,1972
can,17.97,1973
can,25.28,1974
can,8.415,1975
can,5.137,1976
can,8.449,1977
can,3.281,1978
can,3.351,1979
can,0.9856,1980
can,7.22,1981
can,9.669,1982
can,9.353,1983
can,7.136,1984
can,16.22,1985
can,10.06,1986
can,18.88,1987
can,12.29,1988
can,28.11,1989
can,25.09,1990
can,14.35,1991
can,11.19,1992
can,9.291,1993
can,21.67,1994
can,17.33,1995
can,13.98,1996
can,25.19,1997
can,15.66,1998
can,19.1,1999
can,18.61,2000
can,20.25,2001
can,25.99,2002
can,25.76,2003
can,15.84,2004
can,15.83,2005
can,19.4,2006
can,11.03,2007
dnk,100.0,1971
dnk,100.0,1972
dnk,13.69,1973
dnk,18.98,1974
dnk,5.599,1975
dnk,15.35,1976
dnk,3.827,1977
dnk,13.84,1978
dnk,8.244,1979
dnk,9.502,1980
dnk,13.52,1981
dnk,0.5299,1982
dnk,5.761,1983
dnk,10.23,1984
dnk,3.696,1985
dnk,3.318,1986
dnk,3.715,1987
dnk,4.6,1988
dnk,1.485,1989
dnk,1.933,1990
dnk,13.52,1991
dnk,10.71,1992
dnk,13.01,1993
dnk,4.193,1994
dnk,7.937,1995
dnk,4.303,1996
dnk,11.42,1997
dnk,7.581,1998
