geo,electricity_generation_per_person,time
dza,641.8,1990
dza,675.2,1991
dza,695.3,1992
dza,721.4,1993
dza,722.6,1994
dza,702.0,1995
dza,722.3,1996
dza,727.5,1997
dza,799.9,1998
dza,826.3,1999
dza,822.4,2000
dza,851.0,2001
dza,875.9,2002
dza,920.5,2003
dza,962.5,2004
dza,1033.0,2005
dza,1063.0,2006
dza,1109.0,2007
dza,1185.0,2008
arg,1543.0,1990
arg,1614.0,1991
arg,1657.0,1992
arg,1817.0,1993
arg,1882.0,1994
arg,1902.0,1995
arg,1951.0,1996
arg,2002.0,1997
arg,2024.0,1998
arg,2178.0,1999
arg,2373.0,2000
arg,2377.0,2001
arg,2207.0,2002
arg,2376.0,2003
arg,2561.0,2004
arg,2669.0,2005
arg,2934.0,2006
arg,2998.0,2007
arg,3074.0,2008
aus,9162.0,1990
aus,9170.0,1991
aus,9249.0,1992
aus,9364.0,1993
aus,9526.0,1994
aus,9688.0,1995
aus,9832.0,1996
aus,10210.0,1997
aus,10640.0,1998
aus,10840.0,1999
aus,11080.0,2000
aus,11450.0,2001
aus,11630.0,2002
aus,11570.0,2003
aus,11920.0,2004
aus,12390.0,2005
aus,12570.0,2006
aus,12750.0,2007
aus,13220.0,2008
aut,6528.0,1990
aut,6585.0,1991
aut,6466.0,1992
aut,6594.0,1993
aut,6641.0,1994
aut,7032.0,1995
aut,6803.0,1996
aut,7045.0,1997
aut,7110.0,1998
aut,7458.0,1999
aut,7617.0,2000
aut,7600.0,2001
aut,7691.0,2002
aut,7377.0,2003
aut,7864.0,2004
aut,7408.0,2005
aut,7738.0,2006
aut,7773.0,2007
aut,8262.0,2008
aze,3222.0,1990
aze,3196.0,1991
aze,2654.0,1992
aze,2548.0,1993
aze,2320.0,1994
aze,2234.0,1995
aze,2228.0,1996
aze,2183.0,1997
aze,2320.0,1998
aze,2342.0,1999
aze,2413.0,2000
aze,2441.0,2001
aze,2398.0,2002
aze,2718.0,2003
aze,2763.0,2004
aze,2891.0,2005
aze,3083.0,2006
aze,2725.0,2007
aze,2679.0,2008
bgd,75.76,1990
bgd,82.57,1991
bgd,85.4,1992
bgd,87.97,1993
bgd,94.74,1994
bgd,101.7,1995
bgd,105.7,1996
bgd,106.0,1997
bgd,111.8,1998
bgd,118.6,1999
bgd,120.9,2000
bgd,128.5,2001
bgd,137.5,2002
bgd,142.4,2003
bgd,151.9,2004
bgd,156.9,2005
bgd,165.1,2006
bgd,172.1,2007
bgd,179.1,2008
blr,3869.0,1990
blr,3781.0,1991
blr,3648.0,1992
blr,3221.0,1993
blr,3022.0,1994
blr,2395.0,1995
blr,2280.0,1996
blr,2509.0,1997
blr,2261.0,1998
