energy_supply_per_person_toe,geo,time
0.6483,alb,2010
1.138,dza,2010
0.7165,ago,2010
1.847,arg,2010
0.7908,arm,2010
5.601,aus,2010
4.032,aut,2010
1.288,aze,2010
7.754,bhr,2010
0.2088,bgd,2010
2.89,blr,2010
5.681,bel,2010
0.4128,ben,2010
0.7374,bol,2010
1.703,bih,2010
1.128,bwa,2010
1.363,bra,2010
8.308,brn,2010
2.383,bgr,2010
0.3554,khm,2010
0.3627,cmr,2010
7.403,can,2010
1.807,chl,2010
1.831,chn,2010
0.6963,col,2010
0.9978,cri,2010
0.4849,civ,2010
1.938,hrv,2010
0.9753,cub,2010
2.215,cyp,2010
3.469,dnk,2010
0.84,dom,2010
0.8363,ecu,2010
0.9031,egy,2010
0.6769,slv,2010
0.1417,eri,2010
4.151,est,2010
0.4003,eth,2010
6.786,fin,2010
4.177,fra,2010
1.418,gab,2010
0.7165,geo,2010
3.978,deu,2010
0.3822,gha,2010
2.431,grc,2010
0.7128,gtm,2010
0.229,hti,2010
0.6009,hnd,2010
1.955,hkg,2010
2.571,hun,2010
16.77,isl,2010
0.5656,ind,2010
0.8665,idn,2010
1.194,irq,2010
3.221,irl,2010
3.088,isr,2010
2.812,ita,2010
1.114,jam,2010
3.927,jpn,2010
1.164,jor,2010
4.68,kaz,2010
0.4829,ken,2010
0.7612,prk,2010
12.2,kwt,2010
0.5471,kgz,2010
1.96,lva,2010
1.526,lbn,2010
3.013,lby,2010
2.084,ltu,2010
8.334,lux,2010
1.402,mkd,2010
2.558,mys,2010
2.01,mlt,2010
1.57,mex,2010
0.7284,mda,2010
1.189,mng,2010
1.303,mne,2010
0.5167,mar,2010
0.436,moz,2010
0.2918,mmr,2010
0.7025,nam,2010
0.3411,npl,2010
5.022,nld,2010
4.166,nzl,2010
0.542,nic,2010
0.7136,nga,2010
6.646,nor,2010
7.188,omn,2010
0.4873,pak,2010
1.073,pan,2010
0.7419,pry,2010
0.6671,per,2010
0.434,phl,2010
2.651,pol,2010
2.205,prt,2010
17.19,qat,2010
1.628,rou,2010
4.907,rus,2010
6.168,sau,2010
0.272,sen,2010
1.584,srb,2010
6.443,sgp,2010
3.261,svk,2010
3.553,svn,2010
2.73,zaf,2010
2.772,esp,2010
0.4732,lka,2010
0.4732,sdn,2010
5.467,swe,2010
3.419,che,2010
1.065,syr,2010
4.746,twn,2010
0.3355,tjk,2010
0.4478,tza,2010
1.699,tha,2010
0.4461,tgo,2010
15.91,tto,2010
0.9187,tun,2010
1.445,tur,2010
4.226,tkm,2010
2.871,ukr,2010
8.271,are,2010
3.264,gbr,2010
7.141,usa,2010
1.236,ury,2010
1.595,uzb,2010
2.655,ven,2010
0.6742,vnm,2010
0.62,zmb,2010
0.764,zwe,2010
