expenditure_per_student_primary_percent_of_gdp_per_person,geo,time
7.777,alb,2002
11.98,dza,1999
9.737,dza,2000
10.06,dza,2001
10.79,dza,2002
11.32,dza,2003
9.129,and,2002
9.716,and,2003
9.951,and,2004
9.418,and,2005
12.04,and,2006
12.08,and,2007
15.22,and,2009
4.218,ago,2006
7.968,atg,2009
10.96,arg,1998
12.87,arg,1999
12.77,arg,2000
14.37,arg,2001
11.22,arg,2002
10.92,arg,2003
11.31,arg,2004
12.02,arg,2005
13.18,arg,2006
14.64,arg,2007
15.95,arg,2008
16.84,arg,2009
11.35,arm,2008
16.69,arm,2009
16.45,arm,2010
11.52,abw,1999
13.08,abw,2000
12.26,abw,2001
13.94,abw,2002
12.27,abw,2003
12.13,abw,2007
12.59,abw,2008
14.56,abw,2009
15.91,aus,1998
16.45,aus,1999
15.88,aus,2000
16.82,aus,2001
16.39,aus,2002
16.61,aus,2003
16.45,aus,2004
17.01,aus,2005
16.69,aus,2006
16.41,aus,2007
16.84,aus,2008
20.22,aus,2009
24.95,aut,1999
23.03,aut,2000
23.11,aut,2001
23.51,aut,2002
23.29,aut,2003
22.74,aut,2004
23.44,aut,2005
23.39,aut,2006
22.99,aut,2007
24.1,aut,2008
5.982,aze,1998
6.936,aze,1999
14.52,bhr,2002
8.271,bgd,2006
10.31,bgd,2007
9.742,bgd,2008
8.788,bgd,2009
12.67,brb,1999
16.99,brb,2000
23.39,brb,2001
21.41,brb,2002
24.49,brb,2003
23.67,brb,2004
23.4,brb,2005
18.16,bel,2001
18.36,bel,2002
19.69,bel,2003
19.73,bel,2004
19.83,bel,2005
20.32,bel,2006
20.5,bel,2007
22.36,bel,2008
17.48,blz,1999
16.53,blz,2000
12.65,blz,2004
14.0,blz,2005
14.51,blz,2006
16.3,blz,2008
17.02,blz,2009
11.82,ben,2000
12.89,ben,2001
10.43,ben,2002
10.46,ben,2003
11.25,ben,2004
10.83,ben,2005
11.74,ben,2006
11.94,ben,2008
12.98,ben,2009
9.387,bmu,2004
10.87,bmu,2005
11.93,bmu,2010
10.72,btn,2000
9.121,btn,2009
7.898,btn,2010
13.37,bol,1998
14.18,bol,1999
12.34,bol,2000
11.75,bol,2001
15.27,bol,2002
16.2,bol,2003
13.66,bol,2006
16.11,bwa,2005
12.62,bwa,2007
10.83,bra,1999
10.7,bra,2000
10.45,bra,2001
9.858,bra,2002
12.79,bra,2004
15.35,bra,2005
