geo,external_debt_total_us_not_inflation_adjusted,time
afg,929000000,2006
afg,1974000000,2007
afg,2200000000,2008
alb,511500000,1991
alb,632600000,1992
alb,786000000,1993
alb,883100000,1994
alb,456400000,1995
alb,490900000,1996
alb,514900000,1997
alb,626500000,1998
alb,709100000,1999
alb,1061000000,2000
alb,1095000000,2001
alb,1118000000,2002
alb,1484000000,2003
alb,1547000000,2004
alb,1832000000,2005
alb,2343000000,2006
alb,2775000000,2007
alb,3188000000,2008
dza,939600000,1970
dza,1261000000,1971
dza,1550000000,1972
dza,2991000000,1973
dza,3366000000,1974
dza,4633000000,1975
dza,6114000000,1976
dza,10600000000,1977
dza,15740000000,1978
dza,18510000000,1979
dza,19370000000,1980
dza,18370000000,1981
dza,17640000000,1982
dza,16370000000,1983
dza,15890000000,1984
dza,18260000000,1985
dza,22650000000,1986
dza,24420000000,1987
dza,26080000000,1988
dza,27240000000,1989
dza,28150000000,1990
dza,28490000000,1991
dza,27340000000,1992
dza,26270000000,1993
dza,30230000000,1994
dza,33040000000,1995
dza,33640000000,1996
dza,30890000000,1997
dza,30680000000,1998
dza,28000000000,1999
dza,25380000000,2000
dza,22570000000,2001
dza,22830000000,2002
dza,23540000000,2003
dza,22180000000,2004
dza,16860000000,2005
dza,5721000000,2006
dza,5757000000,2007
dza,5476000000,2008
ago,7289000000,1989
ago,8592000000,1990
ago,9002000000,1991
ago,10070000000,1992
ago,10580000000,1993
ago,11290000000,1994
ago,11500000000,1995
ago,10550000000,1996
ago,9948000000,1997
ago,10780000000,1998
ago,10300000000,1999
ago,9408000000,2000
ago,8434000000,2001
ago,8739000000,2002
ago,8695000000,2003
ago,9362000000,2004
ago,11820000000,2005
ago,9469000000,2006
ago,11520000000,2007
ago,15130000000,2008
arg,5810000000,1970
arg,6251000000,1971
arg,6773000000,1972
arg,7223000000,1973
arg,7628000000,1974
arg,7722000000,1975
arg,9278000000,1976
arg,11450000000,1977
arg,13280000000,1978
arg,20950000000,1979
arg,27160000000,1980
arg,35640000000,1981
arg,43610000000,1982
arg,45920000000,1983
arg,48860000000,1984
arg,50950000000,1985
arg,52450000000,1986
arg,58460000000,1987
