geo,family_workers_percent_of_labour_force,time
dza,8.4,2001
dza,7.2,2003
dza,8.2,2004
asm,0.2,1990
aia,6.0,2001
atg,0.8,1991
arg,1.7,1996
arg,1.5,1997
arg,1.3,1998
arg,1.4,1999
arg,1.2,2000
arg,1.1,2001
arg,1.1,2002
arg,1.7,2003
arg,1.4,2004
arg,1.2,2005
arg,1.1,2006
abw,0.3,1991
abw,0.3,1994
abw,0.5,1997
aus,0.4,1980
aus,0.4,1981
aus,0.4,1982
aus,0.4,1983
aus,0.3,1984
aus,0.4,1985
aus,0.8,1986
aus,0.9,1987
aus,0.9,1988
aus,0.8,1989
aus,0.8,1990
aus,0.9,1991
aus,1.0,1992
aus,1.1,1993
aus,1.0,1994
aus,0.9,1995
aus,0.9,1996
aus,0.9,1997
aus,0.7,1998
aus,0.8,1999
aus,0.8,2000
aus,0.5,2001
aus,0.5,2002
aus,0.4,2003
aus,0.4,2004
aus,0.3,2005
aus,0.3,2006
aus,0.3,2007
aut,4.4,1985
aut,4.4,1986
aut,4.5,1987
aut,4.3,1988
aut,3.7,1989
aut,3.6,1990
aut,3.7,1991
aut,3.2,1992
aut,3.0,1993
aut,3.3,1994
aut,3.5,1995
aut,3.3,1996
aut,3.0,1997
aut,2.9,1998
aut,2.7,1999
aut,2.5,2000
aut,2.4,2001
aut,2.3,2002
aut,2.1,2003
aut,1.0,2004
aut,1.4,2005
aut,1.5,2006
aut,2.4,2007
aze,18.6,2003
aze,18.6,2004
aze,16.8,2005
aze,0.0,2006
aze,0.0,2007
bhs,0.4,1993
bhs,0.4,1994
bhs,0.6,1995
bhs,0.7,1996
bhs,0.2,1997
bhs,0.2,1998
bhs,0.2,1999
bhs,0.1,2001
bhs,0.4,2002
bhs,0.2,2003
bhs,0.2,2004
bgd,40.1,1996
bgd,33.8,2000
bgd,18.4,2003
bgd,21.7,2005
brb,0.8,1990
brb,0.6,1991
brb,0.1,1992
brb,0.5,1993
brb,0.1,1994
brb,0.0,1995
brb,0.3,1996
brb,0.0,1997
brb,0.0,1998
brb,0.1,1999
brb,0.2,2000
brb,0.1,2001
brb,0.1,2002
brb,0.0,2003
brb,0.1,2004
bel,3.4,1980
bel,3.5,1981
bel,3.6,1982
bel,3.7,1983
bel,3.8,1984
bel,3.8,1985
bel,3.8,1986
bel,3.8,1987
bel,3.8,1988
bel,3.8,1989
bel,3.8,1990
bel,3.9,1991
bel,3.9,1992
bel,4.0,1993
bel,3.8,1994
bel,3.8,1995
bel,3.7,1996
bel,3.5,1997
bel,3.4,1998
bel,3.2,1999
bel,1.7,2005
bel,1.5,2006
blz,3.0,1993
blz,4.4,1994
blz,3.9,1995
blz,4.0,1996
blz,4.4,1997
blz,4.1,1998
blz,3.4,1999
blz,3.9,2005
btn,32.4,2005
bol,6.0,1989
bol,4.9,1990
bol,6.0,1991
bol,5.3,1992
bol,7.5,1993
bol,8.1,1994
bol,10.4,1995
bol,10.3,1996
bol,9.3,1997
bol,8.8,1999
bol,7.8,2000
bol,23.2,2001
bol,22.3,2002
bih,5.8,2006
bwa,0.3,1984
bwa,3.8,1994
bwa,15.8,1998
bwa,17.1,2000
bwa,1.3,2001
bwa,2.2,2003
bra,6.1,1990
bra,8.0,1992
bra,8.1,1993
bra,7.7,1995
bra,7.2,1996
bra,7.4,2001
bra,7.4,2002
bra,7.1,2003
bra,7.0,2004
bra,6.8,2005
bra,6.0,2006
brn,0.5,1991
bgr,0.4,2001
bgr,1.9,2003
bgr,1.9,2004
bgr,1.5,2005
bgr,1.3,2006
bgr,1.2,2007
bfa,66.2,1985
bfa,69.2,1994
khm,43.4,2000
khm,42.8,2001
khm,45.7,2004
cmr,15.1,1996
cmr,18.2,2001
can,1.0,1980
can,1.1,1981
can,1.1,1982
can,1.0,1983
can,0.9,1984
can,1.0,1985
can,0.8,1986
can,0.8,1987
can,0.6,1988
can,0.5,1989
can,0.5,1990
