geo,females_aged_15_24_unemployment_rate_percent,time
aus,14.8,1986
aus,14.8,1987
aus,13.4,1988
aus,11.7,1989
aus,12.7,1990
aus,16.3,1991
aus,17.1,1992
aus,16.9,1993
aus,15.7,1994
aus,14.2,1995
aus,14.2,1996
aus,14.3,1997
aus,13.7,1998
aus,12.5,1999
aus,11.2,2000
aus,12.5,2001
aus,11.9,2002
aus,11.5,2003
aus,11.1,2004
aus,10.5,2005
can,11.7,1981
can,15.5,1982
can,16.3,1983
can,15.4,1984
can,14.3,1985
can,13.3,1986
can,11.9,1987
can,10.5,1988
can,9.6,1989
can,11.0,1990
can,12.9,1991
can,14.5,1992
can,14.4,1993
can,13.7,1994
can,13.2,1995
can,13.8,1996
can,15.2,1997
can,13.6,1998
can,12.7,1999
can,11.4,2000
can,11.1,2001
can,11.7,2002
can,11.8,2003
can,11.7,2004
can,10.6,2005
cze,10.5,1993
cze,9.9,1994
cze,8.8,1995
cze,8.2,1996
cze,10.1,1997
cze,14.8,1998
cze,18.5,1999
cze,17.4,2000
cze,17.4,2001
cze,17.1,2002
cze,18.7,2003
cze,19.6,2004
cze,17.6,2005
est,23.5,2000
est,27.3,2001
est,22.2,2002
est,25.8,2003
est,21.7,2004
est,13.6,2005
fin,9.6,1981
fin,10.2,1982
fin,10.8,1983
fin,10.4,1984
fin,8.7,1985
fin,8.4,1986
fin,8.0,1987
fin,7.3,1988
fin,8.7,1989
fin,8.3,1990
fin,13.2,1991
fin,22.7,1992
fin,30.4,1993
fin,30.7,1994
fin,28.7,1995
fin,26.0,1996
fin,25.0,1997
fin,24.5,1998
fin,22.2,1999
fin,21.8,2000
fin,20.1,2001
fin,20.5,2002
fin,21.4,2003
fin,19.2,2004
fin,19.4,2005
fra,23.7,1981
fra,24.9,1982
fra,25.3,1983
fra,28.7,1984
fra,28.2,1985
fra,27.0,1986
fra,26.2,1987
fra,24.5,1988
fra,22.5,1989
fra,21.1,1990
fra,22.4,1991
fra,25.3,1992
fra,28.1,1993
fra,29.9,1994
fra,29.4,1995
fra,30.1,1996
fra,29.7,1997
fra,27.6,1998
fra,25.0,1999
fra,21.7,2000
fra,21.0,2001
fra,20.6,2002
fra,22.3,2003
fra,23.8,2004
fra,24.3,2005
deu,6.0,1991
deu,6.8,1992
deu,7.8,1993
deu,8.3,1994
deu,8.0,1995
deu,9.0,1996
deu,9.6,1997
deu,8.2,1998
deu,7.5,1999
deu,7.7,2000
deu,7.0,2001
deu,8.3,2002
deu,9.3,2003
deu,10.9,2004
deu,14.0,2005
hkg,5.1,1985
hkg,5.3,1986
hkg,3.9,1987
hkg,3.1,1988
hkg,2.4,1989
hkg,3.2,1990
hkg,3.6,1991
hkg,3.8,1992
hkg,4.2,1993
hkg,3.7,1994
hkg,5.9,1995
hkg,5.3,1996
hkg,4.4,1997
hkg,8.8,1998
hkg,10.8,1999
hkg,9.4,2000
hkg,9.2,2001
hkg,11.8,2002
hkg,11.4,2003
hkg,9.1,2004
hkg,8.0,2005
irl,17.6,1983
irl,19.1,1984
irl,22.0,1985
irl,22.2,1986
irl,21.3,1987
irl,21.5,1988
irl,18.3,1989
irl,16.1,1990
irl,19.7,1991
irl,21.0,1992
irl,23.1,1993
irl,20.8,1994
irl,17.5,1995
irl,17.0,1996
irl,15.2,1997
irl,11.0,1998
irl,8.3,1999
irl,6.7,2000
irl,5.7,2001
irl,6.4,2002
irl,6.7,2003
irl,7.4,2004
irl,7.3,2005
jpn,3.8,1981
jpn,4.3,1982
jpn,4.4,1983
jpn,5.0,1984
jpn,4.7,1985
jpn,5.1,1986
jpn,5.0,1987
jpn,4.7,1988
jpn,4.2,1989
jpn,4.1,1990
jpn,4.2,1991
jpn,4.1,1992
jpn,5.3,1993
jpn,5.3,1994
jpn,6.1,1995
jpn,6.7,1996
jpn,6.3,1997
jpn,7.3,1998
jpn,8.2,1999
jpn,7.9,2000
jpn,8.7,2001
jpn,8.7,2002
jpn,8.7,2003
jpn,8.3,2004
jpn,7.4,2005
kor,6.5,1992
kor,7.0,1993
kor,6.0,1994
kor,5.3,1995
kor,4.8,1996
kor,6.5,1997
kor,12.5,1998
kor,11.5,1999
kor,8.9,2000
kor,8.6,2001
kor,7.3,2002
kor,8.9,2003
kor,9.2,2004
kor,8.9,2005
lva,31.9,1996
lva,25.4,1997
lva,28.1,1998
lva,22.4,1999
lva,24.5,2000
lva,22.2,2001
lva,24.6,2002
lva,19.6,2003
lva,21.8,2004
lva,14.5,2005
ltu,19.4,1998
ltu,24.2,1999
ltu,27.5,2000
ltu,24.2,2001
ltu,23.0,2002
ltu,28.2,2003
ltu,22.7,2004
