gnipercapita_ppp_current_international,geo,time
490,afg,2002
590,afg,2003
650,afg,2004
750,afg,2005
890,afg,2006
970,afg,2007
860,afg,2008
1000,afg,2009
1060,afg,2010
2550,alb,1984
2610,alb,1985
2750,alb,1986
2730,alb,1987
2720,alb,1988
3040,alb,1989
2820,alb,1990
2020,alb,1991
1880,alb,1992
2200,alb,1993
2500,alb,1994
2980,alb,1995
3360,alb,1996
3090,alb,1997
3550,alb,1998
3950,alb,1999
4380,alb,2000
4820,alb,2001
4980,alb,2002
5350,alb,2003
5770,alb,2004
6220,alb,2005
7000,alb,2006
7390,alb,2007
8280,alb,2008
8560,alb,2009
8570,alb,2010
8900,alb,2011
2950,dza,1980
3220,dza,1981
3510,dza,1982
3740,dza,1983
3960,dza,1984
4100,dza,1985
4110,dza,1986
4080,dza,1987
4020,dza,1988
4250,dza,1989
4330,dza,1990
4250,dza,1991
4330,dza,1992
4280,dza,1993
4210,dza,1994
4340,dza,1995
4510,dza,1996
4610,dza,1997
4870,dza,1998
4990,dza,1999
5130,dza,2000
5410,dza,2001
5620,dza,2002
6040,dza,2003
6420,dza,2004
6810,dza,2005
7150,dza,2006
7660,dza,2007
7940,dza,2008
8240,dza,2009
8060,dza,2010
8370,dza,2011
1710,ago,1985
1750,ago,1986
1920,ago,1987
1820,ago,1988
1860,ago,1989
1790,ago,1990
1790,ago,1991
1240,ago,1992
930,ago,1993
740,ago,1994
1240,ago,1995
1460,ago,1996
1670,ago,1997
1710,ago,1998
1650,ago,1999
1790,ago,2000
1850,ago,2001
2160,ago,2002
2250,ago,2003
2480,ago,2004
2880,ago,2005
3450,ago,2006
4340,ago,2007
4690,ago,2008
5130,ago,2009
5170,ago,2010
5290,ago,2011
3460,atg,1980
3950,atg,1981
4210,atg,1982
4740,atg,1983
5510,atg,1984
6170,atg,1985
6250,atg,1986
7130,atg,1987
8360,atg,1988
8960,atg,1989
9540,atg,1990
10400,atg,1991
10630,atg,1992
11430,atg,1993
12060,atg,1994
11510,atg,1995
11860,atg,1996
12900,atg,1997
13380,atg,1998
13770,atg,1999
13680,atg,2000
14390,atg,2001
14450,atg,2002
15370,atg,2003
16610,atg,2004
17790,atg,2005
20570,atg,2006
18910,atg,2007
19310,atg,2008
17370,atg,2009
16080,atg,2010
15670,atg,2011
4770,arg,1980
4770,arg,1981
4560,arg,1982
4870,arg,1983
5110,arg,1984
4790,arg,1985
5250,arg,1986
5470,arg,1987
5450,arg,1988
4940,arg,1989
5150,arg,1990
6000,arg,1991
6850,arg,1992
7360,arg,1993
7840,arg,1994
7660,arg,1995
8110,arg,1996
8830,arg,1997
9150,arg,1998
8860,arg,1999
8880,arg,2000
8570,arg,2001
7340,arg,2002
8180,arg,2003
9120,arg,2004
