geo,government_and_society_aid_given_percent_of_aid,time
aus,0.6665,1972
aus,19.01,1973
aus,27.02,1974
aus,14.42,1975
aus,1.999,1976
aus,0.8849,1977
aus,3.704,1978
aus,1.967,1979
aus,4.717,1980
aus,5.699,1981
aus,9.815,1982
aus,7.283,1983
aus,8.265,1984
aus,3.313,1985
aus,7.153,1986
aus,9.703,1987
aus,11.8,1988
aus,6.717,1989
aus,10.28,1990
aus,6.239,1991
aus,15.32,1992
aus,4.095,1993
aus,5.551,1994
aus,7.088,1995
aus,6.897,1996
aus,8.058,1997
aus,7.579,1998
aus,18.09,1999
aus,21.56,2000
aus,24.17,2001
aus,21.84,2002
aus,20.46,2003
aus,30.11,2004
aus,30.79,2005
aus,36.13,2006
aus,38.86,2007
aut,0.3147,1973
aut,0.04631,1974
aut,2.312,1975
aut,0.06745,1981
aut,0.038,1982
aut,0.05586,1983
aut,0.2789,1984
aut,0.2547,1985
aut,0.2528,1986
aut,0.3099,1987
aut,0.008972,1988
aut,0.2445,1989
aut,0.4196,1990
aut,0.2642,1991
aut,0.6957,1992
aut,1.29,1993
aut,1.194,1994
aut,4.476,1995
aut,7.121,1996
aut,10.8,1997
aut,5.918,1998
aut,8.062,1999
aut,19.03,2000
aut,29.11,2001
aut,17.94,2002
aut,20.06,2003
aut,14.47,2004
aut,17.17,2005
aut,21.43,2006
aut,18.56,2007
bel,1.053,1971
bel,2.372,1972
bel,7.939,1973
bel,11.07,1974
bel,3.03,1975
bel,2.049,1976
bel,0.4757,1977
bel,0.4404,1978
bel,1.251,1979
bel,1.959,1980
bel,0.235,1981
bel,0.2046,1982
bel,0.2338,1983
bel,1.854,1984
bel,2.756,1985
bel,4.128,1986
bel,4.965,1987
bel,6.61,1988
bel,8.002,1989
bel,5.677,1990
bel,4.557,1991
bel,4.322,1992
bel,3.49,1993
bel,2.53,1994
bel,5.382,1995
bel,6.206,1996
bel,8.392,1997
bel,8.711,1998
bel,13.42,1999
bel,14.64,2000
bel,17.78,2001
bel,17.76,2002
bel,15.67,2003
bel,13.37,2004
bel,16.56,2005
bel,19.43,2006
bel,15.93,2007
can,3.784,1972
can,0.6541,1973
can,2.118,1975
can,7.337,1976
can,3.749,1977
can,6.05,1978
can,1.825,1979
can,2.319,1980
can,2.714,1981
can,2.164,1982
can,1.595,1983
can,1.875,1984
can,1.876,1985
can,1.365,1986
can,1.106,1987
can,0.9313,1988
can,4.833,1989
can,3.652,1990
can,1.046,1991
can,9.883,1992
can,3.041,1993
can,1.89,1994
can,11.37,1995
can,16.39,1996
can,9.116,1997
can,20.68,1998
can,27.6,1999
can,22.44,2000
can,19.64,2001
can,21.04,2002
can,18.95,2003
can,24.48,2004
can,28.64,2005
can,29.86,2006
can,33.75,2007
dnk,9.42,1973
dnk,4.026,1974
dnk,2.421,1975
dnk,2.341,1976
dnk,1.945,1977
dnk,0.4,1978
dnk,3.933,1979
dnk,1.308,1980
dnk,0.08085,1981
dnk,0.279,1983
dnk,0.5937,1984
dnk,0.4935,1985
dnk,15.4,1987
dnk,0.1733,1988
dnk,0.3298,1989
dnk,0.2452,1990
dnk,0.5287,1991
dnk,5.596,1992
dnk,3.727,1993
dnk,6.348,1994
dnk,9.965,1995
dnk,6.176,1996
