high_technology_exports_percent_of_manufactured_exports,geo,time
0.1795,alb,1996
0.3399,alb,1997
0.7617,alb,1998
1.745,alb,1999
0.6974,alb,2000
0.7241,alb,2001
0.6996,alb,2002
0.96,alb,2003
0.9918,alb,2004
4.223,alb,2005
6.167,alb,2006
1.314,alb,2007
3.47,alb,2008
0.7647,alb,2009
0.8935,alb,2010
1.267,dza,1992
1.621,dza,1993
0.8162,dza,1994
0.4823,dza,1995
0.3678,dza,1996
1.171,dza,1997
0.8923,dza,1998
4.442,dza,1999
4.167,dza,2000
0.6155,dza,2001
1.059,dza,2002
2.287,dza,2003
1.046,dza,2004
1.485,dza,2005
1.622,dza,2006
0.7161,dza,2007
0.6567,dza,2008
0.6259,dza,2009
0.5046,dza,2010
9.165,and,1995
13.56,and,1996
19.8,and,1997
12.81,and,1998
9.703,and,1999
10.92,and,2000
21.8,and,2001
16.99,and,2002
20.48,and,2003
26.7,and,2004
26.4,and,2005
16.33,and,2006
0.7921,atg,1999
0.09239,atg,2000
0.7804,atg,2005
0.05651,atg,2007
7.953,arg,1992
6.479,arg,1993
4.757,arg,1994
4.02,arg,1995
5.592,arg,1996
5.075,arg,1997
5.909,arg,1998
8.104,arg,1999
9.352,arg,2000
9.267,arg,2001
7.669,arg,2002
8.897,arg,2003
7.719,arg,2004
6.827,arg,2005
7.054,arg,2006
6.594,arg,2007
9.017,arg,2008
8.687,arg,2009
7.452,arg,2010
5.502,arm,1997
2.283,arm,1999
4.727,arm,2000
10.4,arm,2001
1.622,arm,2002
1.409,arm,2003
1.246,arm,2004
0.6192,arm,2005
1.08,arm,2006
0.8759,arm,2007
1.406,arm,2008
2.182,arm,2009
1.849,arm,2010
6.414,abw,2005
3.033,abw,2009
3.292,abw,2010
7.074,aus,1988
7.301,aus,1989
8.07,aus,1990
9.778,aus,1991
10.43,aus,1992
11.48,aus,1993
14.08,aus,1994
12.86,aus,1995
12.07,aus,1996
11.73,aus,1997
11.46,aus,1998
11.09,aus,1999
15.36,aus,2000
15.53,aus,2001
16.52,aus,2002
13.69,aus,2003
13.54,aus,2004
12.79,aus,2005
12.34,aus,2006
10.27,aus,2007
10.79,aus,2008
11.93,aus,2009
11.88,aus,2010
8.007,aut,1988
7.106,aut,1989
7.873,aut,1990
8.601,aut,1991
8.418,aut,1992
8.779,aut,1993
10.1,aut,1994
8.846,aut,1995
8.874,aut,1996
10.9,aut,1997
10.96,aut,1998
12.27,aut,1999
14.6,aut,2000
14.61,aut,2001
16.35,aut,2002
15.53,aut,2003
16.16,aut,2004
13.74,aut,2005
13.34,aut,2006
11.31,aut,2007
11.0,aut,2008
11.64,aut,2009
11.91,aut,2010
2.227,aze,1996
4.434,aze,1997
13.69,aze,1998
8.538,aze,1999
4.59,aze,2000
8.85,aze,2001
7.896,aze,2002
5.148,aze,2003
2.177,aze,2004
1.056,aze,2005
1.75,aze,2006
3.4,aze,2007
0.9233,aze,2008
0.9831,aze,2009
1.084,aze,2010
0.0,bhs,1997
26.98,bhs,1998
2.454,bhs,1999
6.808,bhs,2000
0.6843,bhs,2001
3.09,bhs,2002
0.0,bhs,2003
0.0,bhs,2004
0.0004161,bhs,2005
0.3893,bhs,2006
0.000132,bhs,2007
0.0,bhs,2008
3.271e-05,bhs,2009
1.109,bhr,1994
2.633,bhr,1995
4.398,bhr,1996
0.03606,bhr,2000
0.008796,bhr,2001
0.007207,bhr,2002
0.1159,bhr,2003
0.0709,bhr,2004
0.06656,bhr,2005
0.0555,bhr,2006
0.04586,bhr,2007
0.0275,bhr,2009
0.1103,bhr,2010
0.4077,bgd,1989
0.484,bgd,1990
0.2528,bgd,1991
0.1878,bgd,1992
0.01824,bgd,1993
0.06409,bgd,1994
0.03201,bgd,1995
0.06284,bgd,1996
0.007481,bgd,1997
0.07607,bgd,1998
0.213,bgd,2000
0.1827,bgd,2001
0.1352,bgd,2002
0.2514,bgd,2003
0.2104,bgd,2004
0.3246,bgd,2005
0.2198,bgd,2006
1.152,bgd,2007
20.41,brb,1992
19.38,brb,1993
20.0,brb,1994
18.43,brb,1995
15.33,brb,1996
17.79,brb,1997
20.97,brb,1998
25.24,brb,1999
22.71,brb,2000
21.38,brb,2001
15.93,brb,2002
15.63,brb,2003
15.93,brb,2004
20.35,brb,2005
18.06,brb,2006
9.992,brb,2007
4.273,brb,2008
9.799,brb,2009
12.13,brb,2010
3.751,blr,1998
3.54,blr,1999
3.829,blr,2000
4.083,blr,2001
4.292,blr,2002
3.76,blr,2003
2.849,blr,2004
2.697,blr,2005
2.792,blr,2006
2.768,blr,2007
2.431,blr,2008
3.135,blr,2009
3.039,blr,2010
9.185,bel,1999
10.24,bel,2000
10.92,bel,2001
8.879,bel,2002
8.945,bel,2003
8.436,bel,2004
9.015,bel,2005
8.352,bel,2006
