geo,hiv_deaths_in_children_1_59_months_per_1000_births,time
afg,0.0134,2008
alb,0.0,2008
dza,0.05459,2008
ago,3.814,2008
arg,0.02176,2008
arm,0.08491,2008
aus,0.0,2008
aut,0.0,2008
aze,0.06035,2008
bhs,0.1771,2008
bhr,0.0,2008
bgd,0.0175,2008
brb,0.3498,2008
blr,0.0,2008
bel,0.0,2008
blz,0.807,2008
ben,1.551,2008
btn,0.0,2008
bol,0.1066,2008
bih,0.0,2008
bwa,0.0,2008
bra,0.04799,2008
brn,0.0,2008
bgr,0.0,2008
bfa,1.38,2008
bdi,3.946,2008
khm,0.2962,2008
cmr,6.193,2008
can,0.0,2008
cpv,0.0,2008
caf,11.42,2008
tcd,5.718,2008
chl,0.01194,2008
chn,0.06568,2008
col,0.05226,2008
com,0.0,2008
cog,5.814,2008
cri,0.0,2008
civ,4.498,2008
hrv,0.0,2008
cub,0.00851,2008
cyp,0.0,2008
cze,0.0,2008
prk,0.04279,2008
cod,2.176,2008
dnk,0.0,2008
dji,5.624,2008
dom,0.4282,2008
ecu,0.2279,2008
egy,0.01638,2008
slv,0.7078,2008
gnq,4.269,2008
eri,2.466,2008
est,0.06276,2008
eth,2.936,2008
fji,0.1131,2008
fin,0.0,2008
fra,0.0,2008
gab,7.435,2008
gmb,1.375,2008
geo,0.07667,2008
deu,0.003003,2008
gha,1.899,2008
grc,0.0,2008
grd,0.0,2008
gtm,0.9433,2008
gin,2.586,2008
gnb,3.555,2008
guy,3.524,2008
hti,3.196,2008
hnd,0.4168,2008
hun,0.0,2008
isl,0.0,2008
ind,0.319,2008
idn,0.1505,2008
irn,0.1744,2008
irq,0.0,2008
irl,0.0,2008
isr,0.0,2008
ita,0.0,2008
jam,1.164,2008
jpn,0.0,2008
jor,0.0,2008
kaz,0.05259,2008
ken,5.879,2008
kwt,0.0,2008
kgz,0.09978,2008
lao,0.05889,2008
lva,0.0,2008
lbn,0.091,2008
lso,13.04,2008
lbr,3.906,2008
lby,0.0,2008
ltu,0.0,2008
lux,0.0,2008
mdg,0.1179,2008
mwi,12.85,2008
mys,0.2379,2008
mdv,0.0,2008
mli,2.058,2008
mlt,0.0,2008
mrt,0.6206,2008
mus,0.1105,2008
mex,0.03856,2008
fsm,0.0,2008
mng,0.04029,2008
mne,0.0,2008
mar,0.03403,2008
moz,17.69,2008
mmr,0.6502,2008
nam,7.508,2008
npl,0.3813,2008
nld,0.0,2008
nzl,0.0,2008
nic,0.1786,2008
ner,0.7298,2008
nga,4.887,2008
nor,0.0,2008
omn,0.0,2008
pak,0.07963,2008
pan,0.1568,2008
png,1.75,2008
pry,0.2798,2008
per,0.3137,2008
phl,0.01431,2008
pol,0.0,2008
prt,0.03823,2008
qat,0.0,2008
kor,0.0,2008
mda,0.0,2008
rou,0.0,2008
rus,0.009706,2008
rwa,0.6973,2008
lca,0.0,2008
vct,0.0,2008
wsm,0.0,2008
stp,0.0,2008
sau,0.0,2008
sen,1.51,2008
srb,0.0,2008
sle,2.859,2008
sgp,0.0,2008
svk,0.0,2008
svn,0.0,2008
slb,0.0,2008
som,0.4174,2008
zaf,30.37,2008
esp,0.008142,2008
lka,0.01642,2008
sdn,2.585,2008
sur,0.6139,2008
swz,40.15,2008
swe,0.00932,2008
che,0.0,2008
syr,0.0,2008
tjk,0.14,2008
tha,0.2795,2008
mkd,0.0,2008
tgo,5.415,2008
ton,0.0,2008
tto,1.921,2008
tun,0.0,2008
tur,0.0,2008
tkm,0.0,2008
uga,6.51,2008
ukr,0.1395,2008
are,0.0,2008
gbr,0.001346,2008
tza,8.405,2008
usa,0.001364,2008
ury,0.01986,2008
uzb,0.08495,2008
vut,0.0,2008
ven,0.05179,2008
vnm,0.4566,2008
yem,0.0,2008
zmb,16.92,2008
zwe,19.97,2008
