geo,hourly_compensation_us,time
aus,8.44,1980
aus,9.76,1981
aus,9.94,1982
aus,9.27,1983
aus,9.8,1984
aus,8.18,1985
aus,8.55,1986
aus,9.52,1987
aus,11.44,1988
aus,12.5,1989
aus,13.09,1990
aus,13.67,1991
aus,13.23,1992
aus,12.62,1993
aus,14.13,1994
aus,15.36,1995
aus,17.02,1996
aus,16.71,1997
aus,15.11,1998
aus,15.94,1999
aus,14.41,2000
aus,13.33,2001
aus,15.4,2002
aus,19.79,2003
aus,23.38,2004
aus,25.11,2005
aus,26.14,2006
aut,8.87,1980
aut,7.77,1981
aut,7.76,1982
aut,7.79,1983
aut,7.35,1984
aut,7.57,1985
aut,10.72,1986
aut,13.65,1987
aut,14.49,1988
aut,14.15,1989
aut,17.72,1990
aut,18.04,1991
aut,20.24,1992
aut,20.11,1993
aut,21.49,1994
aut,25.26,1995
aut,24.75,1996
aut,21.85,1997
aut,22.02,1998
aut,21.63,1999
aut,19.12,2000
aut,19.07,2001
aut,20.66,2002
aut,25.42,2003
aut,28.39,2004
aut,29.36,2005
aut,30.46,2006
bel,11.74,1980
bel,10.28,1981
bel,8.93,1982
bel,8.53,1983
bel,7.98,1984
bel,8.21,1985
bel,11.25,1986
bel,13.96,1987
bel,14.72,1988
bel,14.37,1989
bel,17.85,1990
bel,18.4,1991
bel,20.5,1992
bel,20.15,1993
bel,21.93,1994
bel,25.68,1995
bel,25.25,1996
bel,22.28,1997
bel,22.62,1998
bel,22.14,1999
bel,20.13,2000
bel,19.84,2001
bel,21.77,2002
bel,26.55,2003
bel,30.01,2004
bel,30.79,2005
bel,31.85,2006
bra,5.76,1996
bra,5.77,1997
bra,5.49,1998
bra,3.39,1999
bra,3.5,2000
bra,2.97,2001
bra,2.57,2002
bra,2.74,2003
bra,3.14,2004
bra,4.16,2005
bra,4.91,2006
can,8.87,1980
can,9.79,1981
can,10.7,1982
can,11.41,1983
can,11.41,1984
can,11.2,1985
can,11.33,1986
can,12.3,1987
can,13.77,1988
can,15.06,1989
can,16.33,1990
can,17.69,1991
can,17.57,1992
can,16.97,1993
can,16.29,1994
can,16.5,1995
