improved_sanitation_overall_access_percent,geo,time
29,afg,1991
29,afg,1992
29,afg,1993
29,afg,1994
29,afg,1995
29,afg,1996
30,afg,1997
30,afg,1998
31,afg,1999
32,afg,2000
32,afg,2001
33,afg,2002
34,afg,2003
34,afg,2004
35,afg,2005
35,afg,2006
37,afg,2007
37,afg,2008
37,afg,2009
37,afg,2010
76,alb,1990
76,alb,1991
77,alb,1992
77,alb,1993
77,alb,1994
78,alb,1995
79,alb,1996
80,alb,1997
81,alb,1998
82,alb,1999
84,alb,2000
85,alb,2001
86,alb,2002
87,alb,2003
88,alb,2004
90,alb,2005
91,alb,2006
91,alb,2007
93,alb,2008
94,alb,2009
94,alb,2010
88,dza,1990
89,dza,1991
89,dza,1992
89,dza,1993
90,dza,1994
90,dza,1995
90,dza,1996
91,dza,1997
91,dza,1998
92,dza,1999
92,dza,2000
92,dza,2001
93,dza,2002
93,dza,2003
93,dza,2004
94,dza,2005
94,dza,2006
94,dza,2007
95,dza,2008
95,dza,2009
95,dza,2010
100,and,1990
100,and,1991
100,and,1992
100,and,1993
100,and,1994
100,and,1995
100,and,1996
100,and,1997
100,and,1998
100,and,1999
100,and,2000
100,and,2001
100,and,2002
100,and,2003
100,and,2004
100,and,2005
100,and,2006
100,and,2007
100,and,2008
100,and,2009
100,and,2010
29,ago,1990
29,ago,1991
30,ago,1992
31,ago,1993
33,ago,1994
34,ago,1995
36,ago,1996
38,ago,1997
39,ago,1998
41,ago,1999
42,ago,2000
44,ago,2001
46,ago,2002
47,ago,2003
49,ago,2004
51,ago,2005
52,ago,2006
54,ago,2007
55,ago,2008
57,ago,2009
58,ago,2010
95,atg,1992
95,atg,1993
95,atg,1994
95,atg,1995
95,atg,1996
95,atg,1997
95,atg,1998
95,atg,1999
95,atg,2000
95,atg,2001
95,atg,2002
95,atg,2003
95,atg,2004
90,arg,1990
91,arg,1991
91,arg,1992
91,arg,1993
91,arg,1994
91,arg,1995
90,arg,1996
90,arg,1997
90,arg,1998
90,arg,1999
91,arg,2000
91,arg,2001
90,arg,2002
90,arg,2003
90,arg,2004
90,arg,2005
90,arg,2006
90,arg,2007
88,arm,1992
88,arm,1993
88,arm,1994
88,arm,1995
88,arm,1996
88,arm,1997
88,arm,1998
88,arm,1999
89,arm,2000
89,arm,2001
89,arm,2002
89,arm,2003
89,arm,2004
89,arm,2005
89,arm,2006
90,arm,2007
90,arm,2008
90,arm,2009
90,arm,2010
100,aus,1990
100,aus,1991
100,aus,1992
100,aus,1993
100,aus,1994
100,aus,1995
100,aus,1996
100,aus,1997
100,aus,1998
100,aus,1999
100,aus,2000
100,aus,2001
100,aus,2002
100,aus,2003
100,aus,2004
100,aus,2005
100,aus,2006
100,aus,2007
100,aus,2008
100,aus,2009
100,aus,2010
100,aut,1990
100,aut,1991
100,aut,1992
100,aut,1993
100,aut,1994
100,aut,1995
100,aut,1996
100,aut,1997
100,aut,1998
100,aut,1999
100,aut,2000
100,aut,2001
100,aut,2002
100,aut,2003
100,aut,2004
100,aut,2005
100,aut,2006
100,aut,2007
100,aut,2008
100,aut,2009
100,aut,2010
57,aze,1994
57,aze,1995
57,aze,1996
57,aze,1997
57,aze,1998
60,aze,1999
62,aze,2000
65,aze,2001
67,aze,2002
69,aze,2003
72,aze,2004
74,aze,2005
77,aze,2006
79,aze,2007
82,aze,2008
82,aze,2009
82,aze,2010
100,bhs,1990
100,bhs,1991
100,bhs,1992
100,bhs,1993
100,bhs,1994
100,bhs,1995
100,bhs,1996
100,bhs,1997
100,bhs,1998
100,bhs,1999
100,bhs,2000
100,bhs,2001
100,bhs,2002
100,bhs,2003
100,bhs,2004
100,bhs,2005
100,bhs,2006
100,bhs,2007
100,bhs,2008
100,bhs,2009
100,bhs,2010
39,bgd,1990
39,bgd,1991
39,bgd,1992
40,bgd,1993
41,bgd,1994
42,bgd,1995
42,bgd,1996
44,bgd,1997
45,bgd,1998
46,bgd,1999
47,bgd,2000
47,bgd,2001
48,bgd,2002
49,bgd,2003
50,bgd,2004
51,bgd,2005
52,bgd,2006
53,bgd,2007
53,bgd,2008
54,bgd,2009
56,bgd,2010
100,brb,1990
100,brb,1991
100,brb,1992
100,brb,1993
100,brb,1994
100,brb,1995
100,brb,1996
100,brb,1997
100,brb,1998
100,brb,1999
100,brb,2000
100,brb,2001
100,brb,2002
100,brb,2003
100,brb,2004
100,brb,2005
100,brb,2006
100,brb,2007
100,brb,2008
100,brb,2009
100,brb,2010
93,blr,1990
93,blr,1991
93,blr,1992
93,blr,1993
93,blr,1994
93,blr,1995
93,blr,1996
93,blr,1997
93,blr,1998
93,blr,1999
93,blr,2000
92,blr,2001
92,blr,2002
92,blr,2003
92,blr,2004
93,blr,2005
93,blr,2006
93,blr,2007
93,blr,2008
93,blr,2009
93,blr,2010
100,bel,1990
100,bel,1991
100,bel,1992
100,bel,1993
100,bel,1994
100,bel,1995
100,bel,1996
100,bel,1997
100,bel,1998
100,bel,1999
100,bel,2000
100,bel,2001
100,bel,2002
100,bel,2003
100,bel,2004
100,bel,2005
100,bel,2006
100,bel,2007
100,bel,2008
100,bel,2009
100,bel,2010
77,blz,1990
77,blz,1991
78,blz,1992
78,blz,1993
79,blz,1994
80,blz,1995
81,blz,1996
81,blz,1997
82,blz,1998
82,blz,1999
83,blz,2000
84,blz,2001
84,blz,2002
85,blz,2003
86,blz,2004
87,blz,2005
88,blz,2006
88,blz,2007
89,blz,2008
90,blz,2009
90,blz,2010
5,ben,1990
6,ben,1991
6,ben,1992
6,ben,1993
6,ben,1994
7,ben,1995
8,ben,1996
8,ben,1997
8,ben,1998
8,ben,1999
9,ben,2000
10,ben,2001
10,ben,2002
10,ben,2003
11,ben,2004
11,ben,2005
12,ben,2006
12,ben,2007
12,ben,2008
13,ben,2009
13,ben,2010
38,btn,1997
38,btn,1998
39,btn,1999
39,btn,2000
40,btn,2001
39,btn,2002
40,btn,2003
41,btn,2004
41,btn,2005
42,btn,2006
43,btn,2007
43,btn,2008
44,btn,2009
44,btn,2010
18,bol,1990
18,bol,1991
19,bol,1992
19,bol,1993
20,bol,1994
21,bol,1995
21,bol,1996
21,bol,1997
22,bol,1998
22,bol,1999
22,bol,2000
23,bol,2001
23,bol,2002
24,bol,2003
24,bol,2004
24,bol,2005
25,bol,2006
25,bol,2007
25,bol,2008
27,bol,2009
27,bol,2010
95,bih,1994
95,bih,1995
95,bih,1996
95,bih,1997
95,bih,1998
95,bih,1999
95,bih,2000
96,bih,2001
96,bih,2002
96,bih,2003
96,bih,2004
95,bih,2005
95,bih,2006
95,bih,2007
95,bih,2008
95,bih,2009
95,bih,2010
38,bwa,1990
41,bwa,1991
42,bwa,1992
43,bwa,1993
44,bwa,1994
46,bwa,1995
47,bwa,1996
48,bwa,1997
49,bwa,1998
50,bwa,1999
52,bwa,2000
52,bwa,2001
54,bwa,2002
55,bwa,2003
56,bwa,2004
57,bwa,2005
58,bwa,2006
60,bwa,2007
61,bwa,2008
62,bwa,2009
62,bwa,2010
68,bra,1990
68,bra,1991
69,bra,1992
69,bra,1993
70,bra,1994
71,bra,1995
71,bra,1996
72,bra,1997
73,bra,1998
73,bra,1999
74,bra,2000
74,bra,2001
75,bra,2002
76,bra,2003
76,bra,2004
76,bra,2005
78,bra,2006
78,bra,2007
78,bra,2008
78,bra,2009
79,bra,2010
99,bgr,1990
99,bgr,1991
99,bgr,1992
99,bgr,1993
99,bgr,1994
100,bgr,1995
100,bgr,1996
100,bgr,1997
100,bgr,1998
100,bgr,1999
100,bgr,2000
100,bgr,2001
100,bgr,2002
100,bgr,2003
100,bgr,2004
100,bgr,2005
100,bgr,2006
100,bgr,2007
100,bgr,2008
100,bgr,2009
100,bgr,2010
8,bfa,1990
8,bfa,1991
8,bfa,1992
8,bfa,1993
8,bfa,1994
9,bfa,1995
9,bfa,1996
10,bfa,1997
10,bfa,1998
11,bfa,1999
11,bfa,2000
12,bfa,2001
12,bfa,2002
13,bfa,2003
14,bfa,2004
14,bfa,2005
15,bfa,2006
15,bfa,2007
16,bfa,2008
17,bfa,2009
17,bfa,2010
44,bdi,1990
44,bdi,1991
44,bdi,1992
44,bdi,1993
44,bdi,1994
45,bdi,1995
45,bdi,1996
45,bdi,1997
45,bdi,1998
45,bdi,1999
45,bdi,2000
45,bdi,2001
46,bdi,2002
46,bdi,2003
46,bdi,2004
46,bdi,2005
46,bdi,2006
46,bdi,2007
46,bdi,2008
46,bdi,2009
46,bdi,2010
9,khm,1990
9,khm,1991
9,khm,1992
9,khm,1993
9,khm,1994
10,khm,1995
11,khm,1996
12,khm,1997
14,khm,1998
15,khm,1999
17,khm,2000
18,khm,2001
20,khm,2002
21,khm,2003
23,khm,2004
24,khm,2005
25,khm,2006
26,khm,2007
28,khm,2008
29,khm,2009
31,khm,2010
48,cmr,1990
48,cmr,1991
48,cmr,1992
48,cmr,1993
48,cmr,1994
48,cmr,1995
49,cmr,1996
48,cmr,1997
49,cmr,1998
49,cmr,1999
49,cmr,2000
49,cmr,2001
49,cmr,2002
49,cmr,2003
49,cmr,2004
48,cmr,2005
49,cmr,2006
49,cmr,2007
49,cmr,2008
49,cmr,2009
49,cmr,2010
100,can,1990
100,can,1991
100,can,1992
100,can,1993
100,can,1994
100,can,1995
100,can,1996
100,can,1997
100,can,1998
100,can,1999
100,can,2000
100,can,2001
100,can,2002
100,can,2003
100,can,2004
100,can,2005
100,can,2006
100,can,2007
100,can,2008
100,can,2009
100,can,2010
35,cpv,1992
36,cpv,1993
36,cpv,1994
37,cpv,1995
37,cpv,1996
39,cpv,1997
41,cpv,1998
42,cpv,1999
44,cpv,2000
46,cpv,2001
48,cpv,2002
49,cpv,2003
52,cpv,2004
53,cpv,2005
55,cpv,2006
56,cpv,2007
58,cpv,2008
60,cpv,2009
61,cpv,2010
96,cym,1990
96,cym,1991
96,cym,1992
96,cym,1993
96,cym,1994
96,cym,1995
96,cym,1996
96,cym,1997
96,cym,1998
96,cym,1999
96,cym,2000
96,cym,2001
96,cym,2002
96,cym,2003
96,cym,2004
96,cym,2005
96,cym,2006
96,cym,2007
96,cym,2008
96,cym,2009
96,cym,2010
11,caf,1990
11,caf,1991
11,caf,1992
12,caf,1993
14,caf,1994
15,caf,1995
17,caf,1996
18,caf,1997
19,caf,1998
21,caf,1999
22,caf,2000
24,caf,2001
25,caf,2002
27,caf,2003
28,caf,2004
29,caf,2005
31,caf,2006
32,caf,2007
34,caf,2008
34,caf,2009
34,caf,2010
8,tcd,1990
8,tcd,1991
9,tcd,1992
9,tcd,1993
9,tcd,1994
9,tcd,1995
9,tcd,1996
9,tcd,1997
10,tcd,1998
10,tcd,1999
10,tcd,2000
10,tcd,2001
11,tcd,2002
11,tcd,2003
11,tcd,2004
12,tcd,2005
12,tcd,2006
12,tcd,2007
12,tcd,2008
13,tcd,2009
13,tcd,2010
84,chl,1990
84,chl,1991
85,chl,1992
86,chl,1993
87,chl,1994
88,chl,1995
89,chl,1996
89,chl,1997
91,chl,1998
91,chl,1999
92,chl,2000
93,chl,2001
93,chl,2002
95,chl,2003
95,chl,2004
96,chl,2005
96,chl,2006
96,chl,2007
96,chl,2008
96,chl,2009
96,chl,2010
24,chn,1990
26,chn,1991
28,chn,1992
30,chn,1993
32,chn,1994
34,chn,1995
36,chn,1996
38,chn,1997
40,chn,1998
42,chn,1999
44,chn,2000
46,chn,2001
49,chn,2002
51,chn,2003
53,chn,2004
55,chn,2005
57,chn,2006
59,chn,2007
61,chn,2008
63,chn,2009
64,chn,2010
67,col,1990
67,col,1991
68,col,1992
69,col,1993
69,col,1994
70,col,1995
70,col,1996
71,col,1997
71,col,1998
72,col,1999
73,col,2000
73,col,2001
74,col,2002
74,col,2003
74,col,2004
75,col,2005
75,col,2006
76,col,2007
77,col,2008
77,col,2009
77,col,2010
17,com,1990
18,com,1991
20,com,1992
20,com,1993
21,com,1994
22,com,1995
23,com,1996
24,com,1997
26,com,1998
27,com,1999
28,com,2000
29,com,2001
31,com,2002
32,com,2003
33,com,2004
35,com,2005
36,com,2006
36,com,2007
36,com,2008
36,com,2009
36,com,2010
9,cod,1990
9,cod,1991
9,cod,1992
9,cod,1993
11,cod,1994
12,cod,1995
12,cod,1996
13,cod,1997
14,cod,1998
15,cod,1999
16,cod,2000
17,cod,2001
18,cod,2002
19,cod,2003
20,cod,2004
21,cod,2005
21,cod,2006
23,cod,2007
23,cod,2008
24,cod,2009
24,cod,2010
20,cog,1997
20,cog,1998
20,cog,1999
20,cog,2000
20,cog,2001
20,cog,2002
19,cog,2003
19,cog,2004
19,cog,2005
18,cog,2006
18,cog,2007
18,cog,2008
18,cog,2009
18,cog,2010
93,cri,1990
93,cri,1991
94,cri,1992
94,cri,1993
94,cri,1994
94,cri,1995
94,cri,1996
94,cri,1997
94,cri,1998
94,cri,1999
95,cri,2000
95,cri,2001
95,cri,2002
95,cri,2003
95,cri,2004
95,cri,2005
95,cri,2006
95,cri,2007
95,cri,2008
95,cri,2009
95,cri,2010
20,civ,1990
20,civ,1991
20,civ,1992
20,civ,1993
21,civ,1994
21,civ,1995
21,civ,1996
21,civ,1997
21,civ,1998
21,civ,1999
22,civ,2000
22,civ,2001
22,civ,2002
22,civ,2003
22,civ,2004
23,civ,2005
23,civ,2006
23,civ,2007
23,civ,2008
23,civ,2009
24,civ,2010
99,hrv,1990
99,hrv,1991
99,hrv,1992
99,hrv,1993
99,hrv,1994
99,hrv,1995
99,hrv,1996
99,hrv,1997
99,hrv,1998
99,hrv,1999
99,hrv,2000
99,hrv,2001
99,hrv,2002
99,hrv,2003
99,hrv,2004
99,hrv,2005
99,hrv,2006
99,hrv,2007
99,hrv,2008
99,hrv,2009
99,hrv,2010
80,cub,1990
80,cub,1991
82,cub,1992
82,cub,1993
82,cub,1994
83,cub,1995
83,cub,1996
84,cub,1997
85,cub,1998
86,cub,1999
86,cub,2000
87,cub,2001
87,cub,2002
87,cub,2003
88,cub,2004
89,cub,2005
90,cub,2006
90,cub,2007
91,cub,2008
91,cub,2009
91,cub,2010
100,cyp,1990
100,cyp,1991
100,cyp,1992
100,cyp,1993
100,cyp,1994
100,cyp,1995
100,cyp,1996
100,cyp,1997
100,cyp,1998
100,cyp,1999
100,cyp,2000
100,cyp,2001
100,cyp,2002
100,cyp,2003
100,cyp,2004
100,cyp,2005
100,cyp,2006
100,cyp,2007
100,cyp,2008
100,cyp,2009
100,cyp,2010
100,cze,1990
99,cze,1991
99,cze,1992
99,cze,1993
99,cze,1994
99,cze,1995
99,cze,1996
99,cze,1997
98,cze,1998
98,cze,1999
98,cze,2000
98,cze,2001
98,cze,2002
98,cze,2003
98,cze,2004
98,cze,2005
98,cze,2006
98,cze,2007
98,cze,2008
98,cze,2009
98,cze,2010
100,dnk,1990
100,dnk,1991
100,dnk,1992
100,dnk,1993
100,dnk,1994
100,dnk,1995
100,dnk,1996
100,dnk,1997
100,dnk,1998
100,dnk,1999
100,dnk,2000
100,dnk,2001
100,dnk,2002
100,dnk,2003
100,dnk,2004
100,dnk,2005
100,dnk,2006
100,dnk,2007
100,dnk,2008
100,dnk,2009
100,dnk,2010
66,dji,1990
67,dji,1991
66,dji,1992
66,dji,1993
66,dji,1994
65,dji,1995
63,dji,1996
63,dji,1997
62,dji,1998
60,dji,1999
60,dji,2000
59,dji,2001
57,dji,2002
56,dji,2003
55,dji,2004
54,dji,2005
52,dji,2006
52,dji,2007
50,dji,2008
50,dji,2009
50,dji,2010
81,dma,1995
81,dma,1996
81,dma,1997
81,dma,1998
81,dma,1999
81,dma,2000
81,dma,2001
81,dma,2002
81,dma,2003
81,dma,2004
81,dma,2005
81,dma,2006
81,dma,2007
73,dom,1990
74,dom,1991
74,dom,1992
74,dom,1993
75,dom,1994
76,dom,1995
77,dom,1996
77,dom,1997
78,dom,1998
78,dom,1999
78,dom,2000
79,dom,2001
80,dom,2002
81,dom,2003
81,dom,2004
81,dom,2005
82,dom,2006
82,dom,2007
83,dom,2008
83,dom,2009
83,dom,2010
69,ecu,1990
70,ecu,1991
72,ecu,1992
73,ecu,1993
75,ecu,1994
76,ecu,1995
78,ecu,1996
79,ecu,1997
81,ecu,1998
82,ecu,1999
83,ecu,2000
85,ecu,2001
86,ecu,2002
88,ecu,2003
89,ecu,2004
90,ecu,2005
92,ecu,2006
92,ecu,2007
92,ecu,2008
92,ecu,2009
92,ecu,2010
72,egy,1990
73,egy,1991
74,egy,1992
75,egy,1993
77,egy,1994
79,egy,1995
80,egy,1996
81,egy,1997
83,egy,1998
84,egy,1999
86,egy,2000
87,egy,2001
89,egy,2002
90,egy,2003
91,egy,2004
93,egy,2005
94,egy,2006
95,egy,2007
95,egy,2008
95,egy,2009
95,egy,2010
75,slv,1990
75,slv,1991
76,slv,1992
77,slv,1993
78,slv,1994
79,slv,1995
80,slv,1996
80,slv,1997
81,slv,1998
82,slv,1999
83,slv,2000
83,slv,2001
84,slv,2002
84,slv,2003
85,slv,2004
85,slv,2005
86,slv,2006
86,slv,2007
87,slv,2008
87,slv,2009
87,slv,2010
89,gnq,1994
89,gnq,1995
89,gnq,1996
89,gnq,1997
89,gnq,1998
89,gnq,1999
89,gnq,2000
89,gnq,2001
89,gnq,2002
89,gnq,2003
89,gnq,2004
89,gnq,2005
89,gnq,2006
9,eri,1990
9,eri,1991
9,eri,1992
9,eri,1993
9,eri,1994
10,eri,1995
10,eri,1996
10,eri,1997
11,eri,1998
11,eri,1999
11,eri,2000
12,eri,2001
12,eri,2002
12,eri,2003
13,eri,2004
13,eri,2005
14,eri,2006
14,eri,2007
14,eri,2008
95,est,1990
95,est,1991
95,est,1992
95,est,1993
95,est,1994
95,est,1995
95,est,1996
95,est,1997
95,est,1998
95,est,1999
95,est,2000
95,est,2001
95,est,2002
95,est,2003
95,est,2004
95,est,2005
95,est,2006
95,est,2007
95,est,2008
95,est,2009
95,est,2010
3,eth,1990
3,eth,1991
3,eth,1992
4,eth,1993
4,eth,1994
4,eth,1995
4,eth,1996
5,eth,1997
6,eth,1998
8,eth,1999
9,eth,2000
10,eth,2001
11,eth,2002
12,eth,2003
13,eth,2004
14,eth,2005
16,eth,2006
17,eth,2007
18,eth,2008
20,eth,2009
21,eth,2010
61,fji,1990
62,fji,1991
64,fji,1992
65,fji,1993
67,fji,1994
68,fji,1995
70,fji,1996
71,fji,1997
72,fji,1998
74,fji,1999
75,fji,2000
76,fji,2001
78,fji,2002
79,fji,2003
80,fji,2004
81,fji,2005
83,fji,2006
83,fji,2007
83,fji,2008
83,fji,2009
83,fji,2010
100,fin,1990
100,fin,1991
100,fin,1992
100,fin,1993
100,fin,1994
100,fin,1995
100,fin,1996
100,fin,1997
100,fin,1998
100,fin,1999
100,fin,2000
100,fin,2001
100,fin,2002
100,fin,2003
100,fin,2004
100,fin,2005
100,fin,2006
100,fin,2007
100,fin,2008
100,fin,2009
100,fin,2010
100,fra,1990
100,fra,1991
100,fra,1992
100,fra,1993
100,fra,1994
100,fra,1995
100,fra,1996
100,fra,1997
100,fra,1998
100,fra,1999
100,fra,2000
100,fra,2001
100,fra,2002
100,fra,2003
100,fra,2004
100,fra,2005
100,fra,2006
100,fra,2007
100,fra,2008
100,fra,2009
100,fra,2010
98,pyf,1990
98,pyf,1991
98,pyf,1992
98,pyf,1993
98,pyf,1994
98,pyf,1995
98,pyf,1996
98,pyf,1997
98,pyf,1998
98,pyf,1999
98,pyf,2000
98,pyf,2001
98,pyf,2002
98,pyf,2003
98,pyf,2004
98,pyf,2005
98,pyf,2006
98,pyf,2007
98,pyf,2008
98,pyf,2009
98,pyf,2010
36,gab,1994
36,gab,1995
36,gab,1996
36,gab,1997
36,gab,1998
36,gab,1999
36,gab,2000
36,gab,2001
35,gab,2002
35,gab,2003
34,gab,2004
33,gab,2005
33,gab,2006
33,gab,2007
33,gab,2008
33,gab,2009
33,gab,2010
60,gmb,1992
60,gmb,1993
60,gmb,1994
61,gmb,1995
61,gmb,1996
61,gmb,1997
62,gmb,1998
62,gmb,1999
63,gmb,2000
63,gmb,2001
64,gmb,2002
65,gmb,2003
65,gmb,2004
66,gmb,2005
67,gmb,2006
67,gmb,2007
68,gmb,2008
68,gmb,2009
68,gmb,2010
96,geo,1990
96,geo,1991
96,geo,1992
96,geo,1993
96,geo,1994
96,geo,1995
96,geo,1996
96,geo,1997
96,geo,1998
95,geo,1999
95,geo,2000
95,geo,2001
95,geo,2002
95,geo,2003
95,geo,2004
95,geo,2005
95,geo,2006
95,geo,2007
95,geo,2008
95,geo,2009
95,geo,2010
100,deu,1990
100,deu,1991
100,deu,1992
100,deu,1993
100,deu,1994
100,deu,1995
100,deu,1996
100,deu,1997
100,deu,1998
100,deu,1999
100,deu,2000
100,deu,2001
100,deu,2002
100,deu,2003
100,deu,2004
100,deu,2005
100,deu,2006
100,deu,2007
100,deu,2008
100,deu,2009
100,deu,2010
7,gha,1990
7,gha,1991
7,gha,1992
7,gha,1993
8,gha,1994
9,gha,1995
9,gha,1996
9,gha,1997
9,gha,1998
10,gha,1999
10,gha,2000
10,gha,2001
11,gha,2002
12,gha,2003
12,gha,2004
12,gha,2005
12,gha,2006
12,gha,2007
13,gha,2008
14,gha,2009
14,gha,2010
97,grc,1990
97,grc,1991
97,grc,1992
97,grc,1993
97,grc,1994
97,grc,1995
97,grc,1996
97,grc,1997
98,grc,1998
98,grc,1999
98,grc,2000
98,grc,2001
98,grc,2002
98,grc,2003
98,grc,2004
98,grc,2005
98,grc,2006
98,grc,2007
98,grc,2008
98,grc,2009
98,grc,2010
100,grl,1990
100,grl,1991
100,grl,1992
100,grl,1993
100,grl,1994
100,grl,1995
100,grl,1996
100,grl,1997
100,grl,1998
100,grl,1999
100,grl,2000
100,grl,2001
100,grl,2002
100,grl,2003
100,grl,2004
100,grl,2005
100,grl,2006
100,grl,2007
100,grl,2008
100,grl,2009
100,grl,2010
97,grd,1990
97,grd,1991
97,grd,1992
97,grd,1993
97,grd,1994
97,grd,1995
97,grd,1996
97,grd,1997
97,grd,1998
97,grd,1999
97,grd,2000
97,grd,2001
97,grd,2002
97,grd,2003
97,grd,2004
97,grd,2005
97,grd,2006
97,grd,2007
97,grd,2008
97,grd,2009
97,grd,2010
99,gum,1990
99,gum,1991
99,gum,1992
99,gum,1993
99,gum,1994
