improved_sanitation_rural_access_percent,geo,time
27,afg,1991
27,afg,1992
27,afg,1993
27,afg,1994
27,afg,1995
27,afg,1996
27,afg,1997
27,afg,1998
28,afg,1999
28,afg,2000
28,afg,2001
28,afg,2002
29,afg,2003
29,afg,2004
29,afg,2005
29,afg,2006
30,afg,2007
30,afg,2008
30,afg,2009
30,afg,2010
66,alb,1990
66,alb,1991
66,alb,1992
66,alb,1993
66,alb,1994
68,alb,1995
69,alb,1996
71,alb,1997
73,alb,1998
74,alb,1999
76,alb,2000
78,alb,2001
80,alb,2002
81,alb,2003
83,alb,2004
85,alb,2005
87,alb,2006
88,alb,2007
90,alb,2008
92,alb,2009
93,alb,2010
77,dza,1990
77,dza,1991
77,dza,1992
77,dza,1993
78,dza,1994
78,dza,1995
79,dza,1996
80,dza,1997
81,dza,1998
81,dza,1999
82,dza,2000
83,dza,2001
84,dza,2002
85,dza,2003
85,dza,2004
86,dza,2005
87,dza,2006
88,dza,2007
88,dza,2008
88,dza,2009
88,dza,2010
100,and,1990
100,and,1991
100,and,1992
100,and,1993
100,and,1994
100,and,1995
100,and,1996
100,and,1997
100,and,1998
100,and,1999
100,and,2000
100,and,2001
100,and,2002
100,and,2003
100,and,2004
100,and,2005
100,and,2006
100,and,2007
100,and,2008
100,and,2009
100,and,2010
6,ago,1990
6,ago,1991
6,ago,1992
6,ago,1993
6,ago,1994
7,ago,1995
8,ago,1996
9,ago,1997
9,ago,1998
10,ago,1999
11,ago,2000
12,ago,2001
13,ago,2002
14,ago,2003
14,ago,2004
15,ago,2005
16,ago,2006
17,ago,2007
18,ago,2008
19,ago,2009
19,ago,2010
94,atg,1992
94,atg,1993
94,atg,1994
94,atg,1995
94,atg,1996
94,atg,1997
94,atg,1998
94,atg,1999
94,atg,2000
94,atg,2001
94,atg,2002
94,atg,2003
94,atg,2004
73,arg,1990
74,arg,1991
74,arg,1992
74,arg,1993
75,arg,1994
75,arg,1995
75,arg,1996
76,arg,1997
76,arg,1998
76,arg,1999
77,arg,2000
77,arg,2001
77,arg,2002
77,arg,2003
77,arg,2004
77,arg,2005
