improved_water_source_urban_access_percent,geo,time
6,afg,1991
6,afg,1992
6,afg,1993
6,afg,1994
6,afg,1995
12,afg,1996
18,afg,1997
24,afg,1998
30,afg,1999
36,afg,2000
42,afg,2001
48,afg,2002
54,afg,2003
60,afg,2004
66,afg,2005
72,afg,2006
78,afg,2007
78,afg,2008
78,afg,2009
78,afg,2010
100,alb,1990
100,alb,1991
100,alb,1992
100,alb,1993
100,alb,1994
100,alb,1995
100,alb,1996
100,alb,1997
100,alb,1998
100,alb,1999
100,alb,2000
100,alb,2001
99,alb,2002
99,alb,2003
98,alb,2004
98,alb,2005
98,alb,2006
97,alb,2007
97,alb,2008
96,alb,2009
96,alb,2010
100,dza,1990
100,dza,1991
100,dza,1992
100,dza,1993
99,dza,1994
98,dza,1995
97,dza,1996
96,dza,1997
95,dza,1998
94,dza,1999
93,dza,2000
92,dza,2001
91,dza,2002
90,dza,2003
89,dza,2004
88,dza,2005
87,dza,2006
86,dza,2007
85,dza,2008
85,dza,2009
85,dza,2010
100,and,1990
100,and,1991
100,and,1992
100,and,1993
100,and,1994
100,and,1995
100,and,1996
100,and,1997
100,and,1998
100,and,1999
100,and,2000
100,and,2001
100,and,2002
100,and,2003
100,and,2004
100,and,2005
100,and,2006
100,and,2007
100,and,2008
100,and,2009
100,and,2010
46,ago,1990
46,ago,1991
46,ago,1992
46,ago,1993
47,ago,1994
47,ago,1995
48,ago,1996
49,ago,1997
50,ago,1998
51,ago,1999
52,ago,2000
53,ago,2001
54,ago,2002
54,ago,2003
55,ago,2004
56,ago,2005
57,ago,2006
58,ago,2007
59,ago,2008
60,ago,2009
60,ago,2010
60,aia,1992
60,aia,1993
60,aia,1994
60,aia,1995
60,aia,1996
60,aia,1997
60,aia,1998
60,aia,1999
60,aia,2000
60,aia,2001
60,aia,2002
60,aia,2003
60,aia,2004
95,atg,1992
95,atg,1993
95,atg,1994
95,atg,1995
95,atg,1996
95,atg,1997
95,atg,1998
95,atg,1999
95,atg,2000
95,atg,2001
95,atg,2002
95,atg,2003
95,atg,2004
95,atg,2005
95,atg,2006
95,atg,2007
95,atg,2008
95,atg,2009
95,atg,2010
97,arg,1990
97,arg,1991
98,arg,1992
98,arg,1993
98,arg,1994
98,arg,1995
98,arg,1996
98,arg,1997
98,arg,1998
98,arg,1999
98,arg,2000
98,arg,2001
98,arg,2002
98,arg,2003
98,arg,2004
98,arg,2005
98,arg,2006
98,arg,2007
98,arg,2008
98,arg,2009
98,arg,2010
98,arm,1990
98,arm,1991
98,arm,1992
98,arm,1993
98,arm,1994
98,arm,1995
98,arm,1996
98,arm,1997
98,arm,1998
98,arm,1999
98,arm,2000
98,arm,2001
99,arm,2002
99,arm,2003
99,arm,2004
99,arm,2005
99,arm,2006
99,arm,2007
99,arm,2008
99,arm,2009
99,arm,2010
100,abw,1990
100,abw,1991
100,abw,1992
100,abw,1993
100,abw,1994
100,abw,1995
100,abw,1996
100,abw,1997
100,abw,1998
100,abw,1999
100,abw,2000
100,abw,2001
100,abw,2002
100,abw,2003
100,abw,2004
100,abw,2005
100,abw,2006
100,abw,2007
100,abw,2008
100,abw,2009
100,abw,2010
100,aus,1990
100,aus,1991
100,aus,1992
100,aus,1993
100,aus,1994
100,aus,1995
100,aus,1996
100,aus,1997
100,aus,1998
100,aus,1999
100,aus,2000
100,aus,2001
100,aus,2002
100,aus,2003
100,aus,2004
100,aus,2005
100,aus,2006
100,aus,2007
100,aus,2008
100,aus,2009
100,aus,2010
100,aut,1990
100,aut,1991
100,aut,1992
100,aut,1993
100,aut,1994
100,aut,1995
100,aut,1996
100,aut,1997
100,aut,1998
100,aut,1999
100,aut,2000
100,aut,2001
100,aut,2002
100,aut,2003
100,aut,2004
100,aut,2005
100,aut,2006
100,aut,2007
100,aut,2008
100,aut,2009
100,aut,2010
88,aze,1990
88,aze,1991
88,aze,1992
88,aze,1993
88,aze,1994
88,aze,1995
88,aze,1996
88,aze,1997
88,aze,1998
88,aze,1999
88,aze,2000
88,aze,2001
88,aze,2002
88,aze,2003
88,aze,2004
88,aze,2005
88,aze,2006
88,aze,2007
88,aze,2008
88,aze,2009
88,aze,2010
98,bhs,1990
98,bhs,1991
98,bhs,1992
98,bhs,1993
98,bhs,1994
98,bhs,1995
98,bhs,1996
98,bhs,1997
98,bhs,1998
98,bhs,1999
98,bhs,2000
98,bhs,2001
98,bhs,2002
98,bhs,2003
98,bhs,2004
98,bhs,2005
98,bhs,2006
98,bhs,2007
98,bhs,2008
98,bhs,2009
98,bhs,2010
100,bhr,1990
100,bhr,1991
100,bhr,1992
100,bhr,1993
100,bhr,1994
100,bhr,1995
100,bhr,1996
100,bhr,1997
100,bhr,1998
100,bhr,1999
100,bhr,2000
100,bhr,2001
100,bhr,2002
100,bhr,2003
100,bhr,2004
100,bhr,2005
100,bhr,2006
100,bhr,2007
100,bhr,2008
100,bhr,2009
100,bhr,2010
87,bgd,1990
87,bgd,1991
87,bgd,1992
87,bgd,1993
87,bgd,1994
87,bgd,1995
87,bgd,1996
86,bgd,1997
86,bgd,1998
86,bgd,1999
86,bgd,2000
86,bgd,2001
86,bgd,2002
86,bgd,2003
86,bgd,2004
85,bgd,2005
85,bgd,2006
85,bgd,2007
85,bgd,2008
85,bgd,2009
85,bgd,2010
100,brb,1990
100,brb,1991
100,brb,1992
100,brb,1993
100,brb,1994
100,brb,1995
100,brb,1996
100,brb,1997
100,brb,1998
100,brb,1999
100,brb,2000
100,brb,2001
100,brb,2002
100,brb,2003
100,brb,2004
100,brb,2005
100,brb,2006
100,brb,2007
100,brb,2008
100,brb,2009
100,brb,2010
100,blr,1990
100,blr,1991
100,blr,1992
100,blr,1993
100,blr,1994
100,blr,1995
100,blr,1996
100,blr,1997
100,blr,1998
100,blr,1999
100,blr,2000
100,blr,2001
100,blr,2002
100,blr,2003
100,blr,2004
100,blr,2005
100,blr,2006
100,blr,2007
100,blr,2008
100,blr,2009
100,blr,2010
100,bel,1990
100,bel,1991
100,bel,1992
100,bel,1993
100,bel,1994
100,bel,1995
100,bel,1996
100,bel,1997
100,bel,1998
100,bel,1999
100,bel,2000
100,bel,2001
100,bel,2002
100,bel,2003
100,bel,2004
100,bel,2005
100,bel,2006
100,bel,2007
100,bel,2008
100,bel,2009
100,bel,2010
89,blz,1990
89,blz,1991
90,blz,1992
90,blz,1993
91,blz,1994
91,blz,1995
