geo,income_share_of_poorest_20percent,time
alb,8.69,1997
alb,9.02,2002
alb,7.78,2005
dza,6.54,1988
dza,6.93,1995
ago,2.0,2000
arg,4.86,1986
arg,4.56,1992
arg,3.9,1996
arg,3.53,1998
arg,3.14,2002
arg,3.39,2005
arm,5.42,1996
arm,7.6,1999
arm,7.93,2002
arm,8.57,2003
aus,5.9,1994
aut,8.561,2000
aze,6.91,1995
aze,7.38,2001
aze,13.29,2005
bgd,9.96,1992
bgd,9.33,1996
bgd,9.26,2000
bgd,9.36,2005
blr,10.49,1988
blr,10.78,1993
blr,9.73,1997
blr,8.37,1998
blr,8.45,2000
blr,8.45,2002
blr,8.8,2005
bel,8.504,2000
ben,6.91,2003
btn,5.36,2003
bol,5.5,1991
bol,2.2,1997
bol,1.33,1999
bol,1.6,2002
bol,1.8,2005
bih,9.13,2001
bih,6.89,2004
bwa,3.6,1986
bwa,3.03,1994
bwa,3.13,1995
bra,2.89,1981
bra,2.75,1982
bra,2.83,1983
bra,2.93,1984
bra,2.71,1985
bra,2.83,1986
bra,2.52,1987
bra,2.33,1988
bra,2.17,1989
bra,2.36,1990
bra,2.66,1992
bra,2.57,1993
bra,2.64,1995
bra,2.54,1996
bra,2.53,1997
bra,2.64,1998
bra,2.74,1999
bra,2.7,2001
bra,2.82,2002
bra,2.85,2003
bra,2.88,2005
bra,3.02,2007
bgr,10.42,1989
bgr,10.23,1994
bgr,10.02,1997
bgr,6.49,2001
bgr,8.7,2003
bfa,5.12,1994
bfa,6.06,1998
bfa,6.96,2003
bdi,7.94,1992
bdi,5.14,1998
bdi,8.96,2006
khm,8.04,1994
khm,6.89,2004
khm,7.127,2007
cmr,5.73,1996
cmr,5.62,2001
can,7.205,2000
cpv,4.54,2001
caf,1.99,1993
caf,5.21,2003
tcd,6.26,2003
chl,3.47,1987
chl,3.44,1990
chl,3.46,1994
chl,3.48,1996
chl,3.34,1998
chl,3.54,2000
chl,3.69,2003
chl,4.1,2006
chn,5.73,2005
col,3.07,1995
col,2.9,1996
col,2.69,1999
col,2.59,2000
col,2.57,2003
col,2.32,2006
com,2.55,2004
cod,5.47,2006
cog,4.96,2005
cri,3.35,1981
cri,5.39,1986
cri,3.95,1990
cri,4.0,1993
cri,3.87,1996
cri,3.91,1998
cri,4.14,2000
cri,3.72,2001
cri,3.33,2003
cri,4.17,2005
civ,5.69,1985
civ,6.44,1987
civ,6.78,1988
civ,7.05,1993
civ,7.13,1995
civ,5.77,1998
civ,5.0,2002
hrv,10.49,1988
hrv,9.23,1998
hrv,9.23,1999
hrv,8.22,2001
hrv,8.7,2005
cze,11.94,1988
cze,10.44,1993
cze,10.22,1996
dnk,8.342,1997
dji,6.39,1996
dji,6.03,2002
dom,3.92,1986
dom,4.15,1989
dom,4.31,1992
dom,4.11,1996
dom,3.53,2000
dom,3.83,2003
dom,4.01,2005
ecu,3.13,1987
ecu,3.05,1994
ecu,3.38,1998
ecu,2.76,2003
ecu,3.28,2005
ecu,3.4,2007
egy,8.71,1991
egy,9.51,1996
egy,8.95,2000
egy,8.96,2005
slv,2.4,1989
slv,3.66,1995
slv,3.26,1996
slv,3.27,1998
slv,2.81,2000
slv,2.62,2002
slv,3.14,2003
slv,3.26,2005
