geo,infectious_tb_treatment_dots_completed_percent,time
afg,45,1997
afg,33,1998
afg,87,1999
afg,86,2000
afg,84,2001
afg,87,2002
afg,86,2003
afg,89,2004
afg,90,2005
afg,84,2006
alb,98,2001
alb,90,2002
alb,91,2003
alb,78,2004
alb,77,2005
alb,93,2006
dza,86,1996
dza,87,1999
dza,87,2000
dza,84,2001
dza,89,2002
dza,90,2003
dza,91,2004
dza,87,2005
dza,91,2006
asm,100,1995
asm,50,1998
asm,100,1999
asm,100,2000
asm,100,2001
asm,100,2002
asm,100,2003
asm,67,2004
asm,75,2005
and,100,1998
and,67,1999
and,50,2000
and,100,2001
and,100,2002
and,100,2003
and,100,2004
and,80,2005
and,75,2006
ago,15,1997
ago,68,1998
ago,68,2000
ago,66,2001
ago,74,2002
ago,68,2003
ago,68,2004
ago,72,2005
ago,18,2006
atg,50,1998
atg,50,1999
atg,100,2000
atg,100,2001
atg,100,2002
atg,100,2004
arg,55,1998
arg,59,1999
arg,54,2000
arg,64,2001
arg,58,2002
arg,66,2003
arg,58,2004
arg,53,2005
arg,63,2006
arm,83,1995
arm,77,1996
arm,82,1997
arm,81,1998
arm,88,1999
arm,87,2000
arm,90,2001
arm,79,2002
arm,77,2003
arm,70,2004
arm,72,2005
arm,69,2006
aus,66,1997
aus,75,1998
aus,84,1999
aus,74,2000
aus,66,2001
aus,78,2002
aus,82,2003
aus,85,2004
aus,80,2005
aus,85,2006
aut,77,1999
aut,73,2000
aut,64,2001
aut,78,2002
aut,68,2003
aut,69,2004
aut,75,2005
aut,71,2006
aze,86,1996
aze,87,1997
aze,86,1998
aze,88,1999
aze,91,2000
aze,66,2001
aze,84,2002
aze,70,2003
aze,60,2004
aze,59,2005
aze,60,2006
bhs,72,1998
bhs,66,1999
bhs,64,2001
bhs,59,2002
bhs,62,2003
bhs,75,2006
bhr,13,1998
bhr,95,1999
bhr,73,2000
bhr,87,2001
bhr,88,2002
bhr,97,2003
bhr,82,2004
bhr,93,2005
bhr,86,2006
bgd,73,1994
bgd,71,1995
bgd,72,1996
bgd,78,1997
bgd,80,1998
bgd,81,1999
bgd,83,2000
bgd,84,2001
bgd,84,2002
bgd,85,2003
bgd,90,2004
bgd,91,2005
bgd,92,2006
brb,100,2003
brb,91,2005
brb,100,2006
blr,73,2003
blr,74,2004
blr,73,2005
blr,70,2006
bel,64,2001
bel,69,2002
bel,73,2003
bel,72,2004
bel,66,2005
bel,73,2006
blz,88,1999
blz,78,2000
blz,66,2001
blz,85,2002
blz,89,2003
blz,60,2004
blz,75,2005
ben,76,1994
ben,73,1995
ben,72,1996
ben,73,1997
ben,77,1998
ben,77,1999
ben,79,2001
ben,80,2002
ben,81,2003
ben,83,2004
ben,87,2005
btn,71,1994
btn,97,1995
btn,96,1996
btn,85,1997
btn,90,1998
btn,85,1999
btn,90,2000
btn,93,2001
btn,86,2002
btn,90,2003
btn,83,2004
btn,91,2005
btn,89,2006
bol,66,1994
bol,62,1995
bol,71,1996
bol,77,1997
bol,62,1998
bol,74,1999
bol,79,2000
bol,82,2001
bol,84,2002
bol,81,2003
bol,80,2004
bol,78,2005
bol,83,2006
bih,93,1997
bih,88,1998
bih,90,1999
bih,94,2000
bih,98,2001
bih,95,2002
bih,94,2003
bih,98,2004
bih,97,2005
bih,97,2006
bwa,72,1994
bwa,67,1995
bwa,70,1996
bwa,70,1997
bwa,47,1998
bwa,71,1999
bwa,77,2000
bwa,78,2001
bwa,71,2002
bwa,77,2003
bwa,65,2004
bwa,70,2005
bwa,72,2006
bra,91,1998
bra,89,1999
bra,73,2000
bra,67,2001
bra,75,2002
bra,83,2003
bra,81,2004
bra,77,2005
bra,72,2006
brn,85,1998
brn,76,1999
brn,63,2000
brn,56,2001
brn,84,2002
brn,60,2003
brn,71,2004
brn,71,2005
brn,84,2006
bgr,87,2001
bgr,86,2002
bgr,91,2003
bgr,80,2004
bgr,86,2005
bgr,80,2006
bfa,25,1995
bfa,29,1996
bfa,61,1997
bfa,59,1998
bfa,61,1999
bfa,60,2000
bfa,65,2001
bfa,64,2002
bfa,66,2003
bfa,67,2004
bfa,71,2005
bfa,73,2006
bdi,44,1994
bdi,45,1995
bdi,67,1997
bdi,74,1998
bdi,80,2000
bdi,80,2001
bdi,79,2002
bdi,79,2003
bdi,78,2004
bdi,79,2005
bdi,83,2006
khm,84,1994
khm,91,1995
khm,94,1996
khm,91,1997
khm,95,1998
khm,93,1999
khm,91,2000
khm,92,2001
khm,92,2002
khm,93,2003
khm,91,2004
khm,93,2005
khm,93,2006
cmr,80,1997
cmr,75,1998
cmr,75,1999
cmr,77,2000
cmr,62,2001
cmr,70,2002
cmr,71,2004
cmr,74,2005
cmr,74,2006
can,40,1997
can,39,1998
can,36,1999
can,35,2000
can,42,2001
can,36,2002
can,45,2003
can,62,2004
can,68,2005
can,57,2006
cpv,71,2004
cpv,64,2005
cpv,79,2006
cym,100,2001
cym,0,2005
caf,37,1995
caf,57,2000
caf,61,2001
caf,59,2003
caf,91,2004
caf,65,2005
tcd,63,1994
tcd,47,1995
tcd,64,1998
tcd,72,2002
tcd,78,2003
tcd,69,2004
tcd,54,2006
chl,83,1994
chl,79,1995
chl,80,1996
chl,77,1997
chl,83,1998
chl,83,1999
chl,82,2000
chl,83,2001
chl,86,2002
chl,85,2003
chl,83,2004
chl,78,2005
chl,85,2006
chn,94,1994
chn,96,1995
chn,96,1996
chn,96,1997
chn,97,1998
chn,96,1999
chn,95,2000
chn,96,2001
chn,93,2002
chn,94,2003
chn,94,2004
chn,94,2005
chn,94,2006
col,74,1998
col,82,1999
col,80,2000
col,85,2001
col,84,2002
col,83,2003
col,85,2004
col,71,2005
col,71,2006
com,94,1994
com,90,1995
com,85,1997
com,93,1999
com,93,2000
com,92,2001
com,96,2002
com,94,2004
com,91,2005
cog,69,1994
cog,61,1999
cog,69,2000
cog,66,2001
cog,71,2002
cog,69,2003
cog,63,2004
cog,28,2005
cog,53,2006
cok,100,1994
cok,100,1995
cok,100,1996
cok,100,1997
cok,67,1999
cok,0,2001
cok,100,2002
cok,0,2004
cok,100,2005
cri,81,1999
cri,76,2000
cri,72,2001
cri,85,2002
cri,94,2003
cri,89,2005
cri,88,2006
hrv,30,2006
cub,86,1994
cub,90,1995
cub,92,1996
cub,90,1997
cub,94,1998
cub,91,1999
cub,93,2000
cub,93,2001
cub,92,2002
cub,93,2003
cub,93,2004
cub,91,2005
cub,90,2006
cyp,42,1998
cyp,92,2001
cyp,75,2002
cyp,79,2003
cyp,20,2004
cyp,63,2005
cyp,88,2006
