geo,time,injury_deaths_in_children_1_59_months_total_deaths
afg,2008,12060
alb,2008,68
dza,2008,645
ago,2008,4802
arg,2008,649
arm,2008,48
aus,2008,108
aut,2008,24
aze,2008,149
bhs,2008,8
bhr,2008,17
bgd,2008,4119
brb,2008,2
blr,2008,191
bel,2008,54
blz,2008,15
ben,2008,859
btn,2008,41
bol,2008,392
bih,2008,32
bwa,2008,71
bra,2008,2672
brn,2008,6
bgr,2008,42
bfa,2008,2923
bdi,2008,1702
khm,2008,1095
cmr,2008,1636
can,2008,117
cpv,2008,10
caf,2008,292
tcd,2008,1394
chl,2008,129
chn,2008,36320
col,2008,902
com,2008,39
cog,2008,223
cri,2008,24
civ,2008,993
hrv,2008,14
cub,2008,53
cyp,2008,4
cze,2008,48
prk,2008,431
cod,2008,10460
dnk,2008,12
dji,2008,51
dom,2008,202
ecu,2008,435
egy,2008,2012
slv,2008,147
gnq,2008,45
eri,2008,463
est,2008,15
eth,2008,8054
fji,2008,22
fin,2008,11
fra,2008,199
gab,2008,28
gmb,2008,172
geo,2008,55
deu,2008,160
gha,2008,1036
grc,2008,30
grd,2008,1
gtm,2008,762
gin,2008,739
gnb,2008,242
guy,2008,37
hti,2008,460
hnd,2008,232
hun,2008,33
isl,2008,0
ind,2008,48910
idn,2008,3487
irn,2008,1652
irq,2008,2032
irl,2008,18
isr,2008,28
ita,2008,103
jam,2008,80
jpn,2008,359
jor,2008,139
kaz,2008,567
ken,2008,6411
kwt,2008,25
kgz,2008,126
lao,2008,276
lva,2008,17
lbn,2008,62
lso,2008,88
lbr,2008,278
lby,2008,177
ltu,2008,36
lux,2008,2
mdg,2008,1370
mwi,2008,1299
mys,2008,297
mdv,2008,7
mli,2008,2314
mlt,2008,4
mrt,2008,294
mus,2008,11
mex,2008,3120
fsm,2008,4
mng,2008,97
mne,2008,4
mar,2008,593
moz,2008,1916
mmr,2008,27600
nam,2008,34
npl,2008,770
nld,2008,47
nzl,2008,28
nic,2008,169
ner,2008,1989
nga,2008,15140
nor,2008,18
omn,2008,48
pak,2008,7441
pan,2008,74
png,2008,416
pry,2008,160
per,2008,798
phl,2008,3091
pol,2008,140
prt,2008,30
qat,2008,13
kor,2008,288
mda,2008,107
rou,2008,215
rus,2008,2025
rwa,2008,1666
lca,2008,1
vct,2008,2
wsm,2008,6
stp,2008,14
sau,2008,880
sen,2008,804
srb,2008,26
sle,2008,1045
sgp,2008,5
svk,2008,31
svn,2008,3
slb,2008,16
som,2008,1808
zaf,2008,1258
esp,2008,133
lka,2008,990
sdn,2008,3650
sur,2008,20
swz,2008,25
swe,2008,10
che,2008,18
syr,2008,684
tjk,2008,355
tha,2008,599
mkd,2008,7
tgo,2008,316
ton,2008,4
tto,2008,55
tun,2008,192
tur,2008,1410
tkm,2008,150
uga,2008,6586
ukr,2008,864
are,2008,33
gbr,2008,167
tza,2008,5733
usa,2008,3835
ury,2008,74
uzb,2008,515
vut,2008,8
ven,2008,984
vnm,2008,908
yem,2008,1358
zmb,2008,2262
zwe,2008,631
