geo,liver_cancer_new_cases_per_100000_men,time
afg,3.7,2002
alb,5.3,2002
dza,0.8,2002
ago,5.3,2002
arg,3.5,2002
arm,4.2,2002
aus,3.8,2002
aut,7.8,2002
aze,3.3,2002
bhs,3.7,2002
bhr,4.2,2002
bgd,1.3,2002
brb,2.9,2002
blr,5.0,2002
bel,4.2,2002
blz,3.6,2002
ben,15.3,2002
btn,2.6,2002
bol,3.6,2002
bih,5.8,2002
bwa,4.5,2002
bra,3.4,2002
brn,9.5,2002
bgr,4.9,2002
bfa,24.3,2002
bdi,21.1,2002
khm,15.0,2002
cmr,41.3,2002
can,2.38,1983
can,2.9,1984
can,2.58,1985
can,3.18,1986
can,2.95,1987
can,2.63,1988
can,3.18,1989
can,3.32,1990
can,3.23,1991
can,2.95,1992
can,3.21,1993
can,3.64,1994
can,3.67,1995
can,3.6,1996
can,3.93,1997
can,4.0,2002
cpv,15.3,2002
caf,27.8,2002
tcd,27.8,2002
chl,4.3,2002
chn,37.9,2002
col,3.3,2002
com,21.1,2002
cod,30.1,2002
cog,16.4,2002
cri,4.11,1980
cri,4.09,1981
cri,4.99,1982
cri,4.15,1983
cri,3.94,1984
cri,2.64,1985
cri,3.15,1986
cri,4.38,1987
cri,3.3,1988
cri,4.4,1989
cri,3.6,1990
cri,3.17,1991
cri,3.09,1992
cri,2.79,1993
cri,3.49,1994
cri,5.62,1995
cri,5.15,1996
cri,4.67,1997
cri,5.4,2002
civ,12.8,2002
hrv,7.3,2002
cub,4.3,2002
cyp,3.9,2002
cze,5.62,1983
cze,5.55,1984
cze,5.63,1985
cze,5.32,1986
cze,6.1,1987
cze,6.44,1988
cze,7.12,1989
cze,6.56,1990
cze,6.68,1991
cze,6.47,1992
cze,6.7,1993
cze,6.85,1994
cze,7.59,1995
cze,7.48,1996
cze,7.72,1997
cze,7.2,2002
dnk,0.74,1953
dnk,0.6,1954
dnk,0.5,1955
dnk,0.99,1956
dnk,0.61,1957
dnk,0.67,1958
dnk,0.91,1959
dnk,1.68,1960
dnk,1.37,1961
dnk,1.66,1962
dnk,1.94,1963
dnk,2.43,1964
dnk,2.43,1965
dnk,2.96,1966
dnk,2.71,1967
dnk,2.73,1968
dnk,3.0,1969
dnk,2.52,1970
dnk,2.79,1971
dnk,2.41,1972
dnk,2.21,1973
dnk,3.09,1974
dnk,3.53,1975
dnk,3.12,1976
dnk,3.0,1977
dnk,3.57,1978
dnk,3.49,1979
dnk,3.9,1980
dnk,3.48,1981
dnk,3.89,1982
dnk,3.5,1983
dnk,4.15,1984
dnk,4.08,1985
dnk,4.04,1986
dnk,4.17,1987
dnk,3.91,1988
dnk,3.92,1989
dnk,3.76,1990
dnk,3.45,1991
dnk,3.56,1992
dnk,3.68,1993
dnk,3.6,1994
dnk,3.85,1995
dnk,3.52,1996
dnk,3.65,1997
dnk,4.3,2002
dji,21.1,2002
dom,7.8,2002
ecu,5.9,2002
egy,6.1,2002
slv,4.2,2002
gnq,27.8,2002
eri,21.1,2002
est,5.46,1968
est,3.7,1969
est,3.85,1970
est,2.73,1971
est,5.19,1972
est,5.03,1973
est,2.81,1974
est,4.98,1975
est,2.64,1976
est,4.57,1977
est,4.12,1978
est,4.16,1979
est,5.84,1980
est,3.75,1981
est,4.73,1982
est,4.5,1983
est,4.36,1984
est,3.68,1985
est,5.62,1986
est,3.24,1987
est,3.45,1988
est,4.33,1989
est,4.99,1990
est,4.09,1991
est,4.45,1992
est,4.24,1993
est,4.84,1994
est,4.57,1995
est,2.99,1996
est,5.74,1997
est,4.4,2002
eth,19.3,2002
fji,6.1,2002
fin,1.17,1953
fin,1.56,1954
fin,1.7,1955
fin,1.1,1956
fin,2.76,1957
fin,1.39,1958
fin,1.0,1959
fin,1.34,1960
fin,2.69,1961
fin,1.2,1962
fin,1.68,1963
fin,1.27,1964
fin,1.25,1965
fin,2.14,1966
fin,1.44,1967
fin,1.77,1968
fin,2.88,1969
fin,2.13,1970
fin,2.58,1971
fin,2.98,1972
fin,3.19,1973
fin,3.56,1974
fin,3.72,1975
fin,3.45,1976
fin,2.72,1977
fin,3.7,1978
fin,3.51,1979
fin,3.89,1980
fin,3.14,1981
fin,3.86,1982
fin,4.04,1983
fin,4.43,1984
fin,4.34,1985
fin,4.19,1986
fin,3.68,1987
fin,3.81,1988
fin,3.59,1989
fin,3.59,1990
fin,4.05,1991
fin,3.93,1992
fin,3.19,1993
fin,4.1,1994
fin,3.78,1995
fin,4.54,1996
fin,3.47,1997
fin,3.4,2002
fra,10.5,2002
pyf,12.3,2002
gab,11.7,2002
gmb,45.6,2002
geo,7.6,2002
deu,4.2,2002
gha,15.3,2002
grc,12.9,2002
gum,8.5,2002
gtm,4.9,2002
gin,36.6,2002
gnb,15.3,2002
guy,1.3,2002
hti,27.9,2002
hnd,4.9,2002
hkg,42.47,1983
hkg,40.09,1984
hkg,36.6,1985
hkg,40.25,1986
hkg,37.23,1987
hkg,38.43,1988
hkg,36.54,1989
hkg,34.19,1990
hkg,35.22,1991
hkg,37.09,1992
hkg,37.8,1993
hkg,38.26,1994
hkg,32.91,1995
hkg,35.13,1996
hkg,32.6,1997
hun,9.8,2002
isl,4.69,1958
isl,1.17,1959
isl,2.12,1960
isl,4.6,1961
isl,2.03,1963
isl,3.75,1964
isl,3.05,1965
isl,1.89,1966
isl,4.24,1967
isl,1.88,1968
isl,2.72,1969
isl,1.76,1970
isl,3.94,1971
isl,2.59,1972
isl,1.09,1973
isl,1.9,1974
isl,4.01,1975
isl,2.99,1976
isl,0.75,1977
isl,3.69,1978
isl,2.57,1979
isl,0.5,1980
isl,2.81,1981
isl,2.53,1982
isl,2.46,1983
isl,0.7,1984
isl,1.73,1985
isl,2.95,1986
isl,2.68,1987
isl,4.62,1988
isl,2.12,1989
isl,2.53,1990
isl,4.61,1991
isl,2.73,1992
isl,2.16,1993
isl,2.14,1994
isl,2.98,1995
isl,5.3,1996
isl,3.7,1997
isl,2.1,2002
ind,2.3,2002
idn,11.3,2002
irn,1.4,2002
irq,0.9,2002
irl,2.2,2002
isr,3.3,2002
ita,15.9,2002
jam,4.1,2002
jpn,23.1,2002
jor,2.5,2002
kaz,13.0,2002
ken,9.7,2002
prk,47.1,2002
kor,47.1,2002
kwt,7.1,2002
kgz,6.7,2002
lao,22.4,2002
lva,3.8,2002
lbn,0.8,2002
lso,23.7,2002
lbr,9.8,2002
lby,4.8,2002
ltu,3.2,2002
lux,4.2,2002
mkd,6.9,2002
mdg,21.1,2002
mwi,4.8,2002
mys,11.0,2002
mli,29.7,2002
mlt,3.3,2002
mrt,15.3,2002
mus,3.0,2002
mex,5.0,2002
mda,11.3,2002
mng,98.9,2002
mar,1.3,2002
moz,79.4,2002
mmr,12.7,2002
nam,3.1,2002
npl,2.6,2002
nld,1.8,2002
nzl,2.98,1983
nzl,2.35,1984
nzl,2.28,1985
nzl,2.84,1986
nzl,3.35,1987
nzl,3.41,1988
nzl,2.58,1989
nzl,3.03,1990
nzl,2.9,1991
nzl,2.6,1992
