geo,lung_cancer_number_of_new_female_cases,time
afg,190,2002
alb,193,2002
dza,209,2002
ago,59,2002
arg,1894,2002
arm,179,2002
aus,2679,2002
aut,1096,2002
aze,259,2002
bhs,8,2002
bhr,21,2002
bgd,1460,2002
brb,6,2002
blr,466,2002
bel,1189,2002
blz,4,2002
ben,10,2002
btn,18,2002
bol,97,2002
bih,384,2002
bwa,15,2002
bra,5498,2002
brn,12,2002
bgr,502,2002
bfa,75,2002
bdi,41,2002
khm,203,2002
cmr,15,2002
can,8096,2002
cpv,0,2002
caf,10,2002
tcd,17,2002
chl,816,2002
chn,126700,2002
col,1714,2002
com,4,2002
cod,95,2002
cog,4,2002
cri,90,2002
civ,57,2002
hrv,571,2002
cub,1229,2002
cyp,32,2002
cze,1307,2002
dnk,1515,2002
dji,6,2002
dom,285,2002
ecu,299,2002
egy,772,2002
slv,112,2002
gnq,0,2002
eri,25,2002
est,134,2002
eth,572,2002
fji,5,2002
fin,542,2002
fra,4507,2002
pyf,2,2002
gab,9,2002
gmb,3,2002
geo,310,2002
deu,10580,2002
gha,37,2002
grc,942,2002
gum,11,2002
gtm,210,2002
gin,44,2002
gnb,2,2002
guy,16,2002
hti,12,2002
hnd,119,2002
hun,2276,2002
isl,60,2002
ind,8046,2002
idn,6227,2002
irn,506,2002
irq,415,2002
irl,598,2002
isr,469,2002
ita,6784,2002
jam,73,2002
jpn,18890,2002
jor,45,2002
kaz,1085,2002
ken,176,2002
prk,1539,2002
kor,3768,2002
kwt,23,2002
kgz,126,2002
lao,110,2002
lva,175,2002
lbn,75,2002
lso,12,2002
lbr,5,2002
lby,39,2002
ltu,212,2002
lux,52,2002
mkd,125,2002
mdg,101,2002
mwi,14,2002
mys,914,2002
mli,5,2002
mlt,21,2002
mrt,6,2002
mus,30,2002
mex,2633,2002
mda,201,2002
mng,89,2002
mar,214,2002
moz,71,2002
mmr,2362,2002
nam,12,2002
npl,182,2002
nzl,607,2002
nic,76,2002
ner,11,2002
nga,122,2002
nor,746,2002
omn,14,2002
pak,1320,2002
pan,70,2002
png,16,2002
pry,82,2002
per,739,2002
phl,3358,2002
pol,4534,2002
prt,566,2002
pri,200,2002
qat,5,2002
rou,1609,2002
rus,8909,2002
rwa,21,2002
wsm,0,2002
sau,148,2002
sen,4,2002
scg,1109,2002
sle,9,2002
sgp,448,2002
svk,405,2002
svn,254,2002
slb,5,2002
som,49,2002
zaf,1203,2002
esp,2038,2002
lka,151,2002
sdn,83,2002
sur,13,2002
swz,5,2002
swe,1253,2002
che,937,2002
syr,155,2002
tjk,77,2002
tza,58,2002
tha,3026,2002
nld,2335,2002
tgo,8,2002
tto,31,2002
tun,75,2002
tur,1572,2002
tkm,88,2002
uga,129,2002
ukr,3678,2002
are,23,2002
gbr,15420,2002
usa,86020,2002
ury,160,2002
uzb,470,2002
vut,5,2002
ven,998,2002
vnm,2219,2002
yem,162,2002
zmb,25,2002
zwe,195,2002
