geo,time,malaria_deaths_in_children_1_59_months_per_1000_births
afg,2008,0.03626
alb,2008,0.0
dza,2008,0.0
ago,2008,17.98
arg,2008,0.0
arm,2008,0.0
aus,2008,0.0
aut,2008,0.0
aze,2008,0.0
bhs,2008,0.0
bhr,2008,0.0
bgd,2008,0.9459
brb,2008,0.0
blr,2008,0.0
bel,2008,0.0
blz,2008,0.0
ben,2008,26.82
btn,2008,0.0
bol,2008,0.01142
bih,2008,0.0
bwa,2008,0.3177
bra,2008,0.01224
brn,2008,0.0
bgr,2008,0.0
bfa,2008,33.12
bdi,2008,14.93
khm,2008,0.6947
cmr,2008,24.19
can,2008,0.0
cpv,2008,0.08308
caf,2008,24.13
tcd,2008,36.79
chl,2008,0.0
chn,2008,0.0001103
col,2008,0.01307
com,2008,0.0
cog,2008,29.63
cri,2008,0.0
civ,2008,23.14
hrv,2008,0.0
cub,2008,0.0
cyp,2008,0.0
cze,2008,0.0
prk,2008,0.0
cod,2008,32.64
dnk,2008,0.0
dji,2008,0.1654
dom,2008,0.01784
ecu,2008,0.0
egy,2008,0.0
slv,2008,0.0
gnq,2008,38.66
eri,2008,0.1593
est,2008,0.0
eth,2008,7.043
fji,2008,0.0
fin,2008,0.0
fra,2008,0.0
gab,2008,22.46
gmb,2008,23.68
geo,2008,0.0
deu,2008,0.0
gha,2008,18.99
grc,2008,0.0
grd,2008,0.0
gtm,2008,0.0
gin,2008,32.72
gnb,2008,33.04
guy,2008,0.5139
hti,2008,0.6076
hnd,2008,0.009923
hun,2008,0.0
isl,2008,0.0
ind,2008,0.2338
idn,2008,0.3292
irn,2008,0.0007206
irq,2008,0.0
irl,2008,0.0
isr,2008,0.0
ita,2008,0.0
jam,2008,0.0
jpn,2008,0.0
jor,2008,0.0
kaz,2008,0.0
ken,2008,13.72
kwt,2008,0.0
kgz,2008,0.0
lao,2008,0.1119
lva,2008,0.0
lbn,2008,0.0
lso,2008,0.0
lbr,2008,21.75
lby,2008,0.0
ltu,2008,0.0
lux,2008,0.0
mdg,2008,3.629
mwi,2008,15.66
mys,2008,0.0109
mdv,2008,0.0
mli,2008,38.57
mlt,2008,0.0
mrt,2008,15.24
mus,2008,0.0
mex,2008,0.0
fsm,2008,0.0
mng,2008,0.0
mne,2008,0.0
mar,2008,0.0
moz,2008,15.73
mmr,2008,2.126
nam,2008,2.111
npl,2008,0.01093
nld,2008,0.0
nzl,2008,0.0
nic,2008,0.0
ner,2008,27.47
nga,2008,36.06
nor,2008,0.0
omn,2008,0.0
pak,2008,0.101
pan,2008,0.0
png,2008,4.92
pry,2008,0.0
per,2008,0.02792
phl,2008,0.01789
pol,2008,0.0
prt,2008,0.0
qat,2008,0.0
kor,2008,0.0
mda,2008,0.0
rou,2008,0.0
rus,2008,0.0
rwa,2008,6.045
lca,2008,0.0
vct,2008,0.0
wsm,2008,0.0
stp,2008,0.7773
sau,2008,0.0
sen,2008,19.49
srb,2008,0.0
sle,2008,24.73
sgp,2008,0.0
svk,2008,0.0
svn,2008,0.0
slb,2008,2.185
som,2008,11.23
zaf,2008,0.04673
esp,2008,0.0
lka,2008,0.0
sdn,2008,26.57
sur,2008,0.2046
swz,2008,0.02854
swe,2008,0.0
che,2008,0.0
syr,2008,0.0
tjk,2008,0.0
tha,2008,0.07166
mkd,2008,0.0
tgo,2008,24.11
ton,2008,0.0
tto,2008,0.0
tun,2008,0.0
tur,2008,0.0
tkm,2008,0.0
uga,2008,29.03
ukr,2008,0.0
are,2008,0.0
gbr,2008,0.0
tza,2008,16.23
usa,2008,0.0
ury,2008,0.0
uzb,2008,0.0
vut,2008,0.7076
ven,2008,0.001671
vnm,2008,0.01874
yem,2008,0.3109
zmb,2008,21.58
zwe,2008,3.235
