geo,male_family_workers_percent_of_male_labour_force,time
dza,8.8,2001
dza,7.2,2003
dza,7.1,2004
asm,0.1,1990
aia,8.0,2001
atg,0.7,1991
arg,1.0,1996
arg,1.0,1997
arg,0.8,1998
arg,0.9,1999
arg,0.7,2000
arg,0.6,2001
arg,0.8,2002
arg,1.1,2003
arg,0.7,2004
arg,0.7,2005
arg,0.7,2006
abw,0.1,1991
abw,0.0,1994
aus,0.3,1980
aus,0.3,1981
aus,0.3,1982
aus,0.3,1983
aus,0.2,1984
aus,0.3,1985
aus,0.5,1986
aus,0.6,1987
aus,0.6,1988
aus,0.5,1989
aus,0.5,1990
aus,0.7,1991
aus,0.7,1992
aus,0.8,1993
aus,0.7,1994
aus,0.7,1995
aus,0.7,1996
aus,0.6,1997
aus,0.5,1998
aus,0.5,1999
aus,0.6,2000
aus,0.4,2001
aus,0.3,2002
aus,0.3,2003
aus,0.3,2004
aus,0.2,2005
aus,0.2,2006
aus,0.2,2007
aut,1.9,1994
aut,2.0,1995
aut,1.8,1996
aut,1.6,1997
aut,1.6,1998
aut,1.5,1999
aut,1.5,2000
aut,1.4,2001
aut,1.3,2002
aut,1.3,2003
aut,0.6,2004
aut,1.0,2005
aut,1.0,2006
aut,2.0,2007
aze,15.7,2003
aze,18.6,2004
aze,16.8,2005
aze,0.0,2006
aze,0.0,2007
bhs,0.3,1993
bhs,0.3,1994
bhs,0.2,1995
bhs,0.3,1996
bhs,0.2,1997
bhs,0.9,1998
bhs,0.8,1999
bhs,0.0,2001
bhs,0.1,2002
bhs,0.2,2003
bhs,0.0,2004
bgd,17.1,1996
bgd,10.1,2000
bgd,9.9,2003
bgd,9.7,2005
brb,1.0,1990
brb,0.7,1991
brb,0.2,1992
brb,0.8,1993
brb,0.0,1994
brb,0.0,1995
brb,0.2,1996
brb,0.0,1997
brb,0.0,1998
brb,0.0,1999
brb,0.1,2000
brb,0.0,2001
brb,0.0,2002
brb,0.0,2003
brb,0.0,2004
bel,0.9,1980
bel,0.9,1981
bel,0.9,1982
bel,1.0,1983
bel,1.0,1984
bel,1.0,1985
bel,1.0,1986
bel,1.0,1987
bel,1.0,1988
bel,1.0,1989
bel,0.9,1990
bel,1.0,1991
bel,1.0,1992
bel,1.0,1993
bel,1.0,1994
bel,1.0,1995
bel,1.0,1996
bel,0.9,1997
bel,0.9,1998
bel,0.8,1999
bel,0.4,2005
bel,0.4,2006
blz,3.3,1993
blz,4.2,1994
blz,3.7,1995
blz,4.0,1996
blz,4.4,1997
blz,3.8,1998
blz,3.3,1999
blz,3.7,2005
btn,21.3,2005
bol,4.2,1989
bol,3.6,1990
bol,4.0,1991
bol,3.5,1992
bol,4.1,1993
bol,4.6,1994
bol,6.8,1995
bol,6.5,1996
bol,5.7,1997
bol,5.8,1999
bol,5.2,2000
bol,13.3,2001
bol,12.6,2002
bih,3.0,2006
bwa,0.2,1984
bwa,1.4,1994
bwa,18.4,1998
bwa,16.9,2000
bwa,1.4,2001
bwa,2.2,2003
bra,4.3,1990
bra,5.5,1992
bra,5.6,1993
bra,5.2,1995
bra,5.1,1996
bra,5.7,2001
bra,5.7,2002
bra,5.5,2003
bra,5.4,2004
bra,5.2,2005
bra,4.6,2006
brn,0.4,1991
bgr,0.2,2001
bgr,1.3,2003
bgr,1.2,2004
bgr,0.9,2005
bgr,0.8,2006
bgr,0.7,2007
bfa,44.1,1985
bfa,52.2,1994
khm,26.6,2000
khm,31.6,2001
cmr,8.9,1996
cmr,9.5,2001
can,0.3,1980
can,0.4,1981
can,0.4,1982
can,0.5,1983
can,0.4,1984
can,0.4,1985
can,0.3,1986
can,0.3,1987
can,0.2,1988
can,0.2,1989
can,0.2,1990
can,0.2,1991
can,0.2,1992
can,0.3,1993
can,0.2,1994
can,0.2,1995
can,0.2,1996
can,0.3,1997
can,0.2,1998
can,0.2,1999
can,0.2,2000
can,0.1,2001
can,0.1,2002
can,0.1,2003
can,0.1,2004
can,0.1,2005
can,0.1,2006
can,0.1,2007
cpv,6.5,2000
tcd,13.2,1993
chl,2.0,1996
chl,1.5,1997
chl,1.6,1998
chl,1.7,1999
chl,1.6,2000
chl,1.3,2001
chl,1.4,2002
chl,1.4,2003
