geo,male_salaried_workers_percent_of_male_labour_force,time
dza,61.4,2001
dza,64.6,2003
dza,61.9,2004
asm,97.0,1990
aia,71.8,1999
aia,63.2,2001
atg,77.9,1991
arg,68.4,1990
arg,69.6,1991
arg,68.8,1992
arg,67.3,1993
arg,69.1,1994
arg,68.0,1995
arg,68.5,1996
arg,69.6,1997
arg,69.9,1998
arg,70.1,1999
arg,69.6,2000
arg,68.8,2001
arg,67.0,2002
arg,69.9,2003
arg,70.8,2004
arg,71.2,2005
arg,72.5,2006
abw,89.7,1991
abw,87.5,1994
aus,81.6,1980
aus,82.4,1981
aus,82.0,1982
aus,82.0,1983
aus,81.6,1984
aus,82.2,1985
aus,82.2,1986
aus,82.3,1987
aus,82.3,1988
aus,82.8,1989
aus,82.8,1990
aus,82.1,1991
aus,81.5,1992
aus,81.0,1993
aus,81.7,1994
aus,82.1,1995
aus,82.4,1996
aus,82.6,1997
aus,82.9,1998
aus,82.9,1999
aus,83.3,2000
aus,83.4,2001
aus,83.4,2002
aus,83.8,2003
aus,84.2,2004
aus,84.5,2005
aus,84.9,2006
aus,85.5,2007
aut,86.1,1994
aut,85.6,1995
aut,86.1,1996
aut,86.3,1997
aut,86.1,1998
aut,86.3,1999
aut,86.4,2000
aut,86.1,2001
aut,86.0,2002
aut,86.3,2003
aut,85.3,2004
aut,84.8,2005
aut,84.7,2006
aut,83.9,2007
aze,56.2,2003
aze,33.2,2004
aze,33.8,2005
aze,47.5,2006
aze,50.7,2007
bhs,82.4,1993
bhs,81.8,1994
bhs,83.1,1995
bhs,78.4,1996
bhs,80.7,1997
bhs,81.0,1998
bhs,78.9,1999
bhs,80.6,2001
bhs,79.3,2002
bhs,81.4,2003
bhs,81.6,2004
bgd,14.7,1996
bgd,15.2,2000
bgd,13.8,2003
bgd,14.5,2005
brb,84.6,1990
brb,84.1,1991
brb,83.8,1992
brb,82.4,1993
brb,83.6,1994
brb,83.9,1995
brb,83.6,1996
brb,83.6,1997
brb,83.4,1998
brb,81.4,1999
brb,82.6,2000
brb,81.3,2001
brb,81.1,2002
brb,80.1,2003
brb,79.5,2004
bel,83.9,1980
bel,83.4,1981
bel,83.0,1982
bel,82.4,1983
bel,82.1,1984
bel,82.0,1985
bel,81.9,1986
bel,81.6,1987
bel,81.4,1988
bel,81.5,1989
bel,81.5,1990
bel,81.2,1991
bel,81.1,1992
bel,80.6,1993
bel,80.5,1994
bel,80.5,1995
bel,80.2,1996
bel,80.3,1997
bel,80.5,1998
bel,80.7,1999
bel,82.5,2005
bel,82.4,2006
blz,67.8,1993
blz,66.9,1994
blz,65.5,1995
blz,61.7,1996
blz,61.8,1997
blz,64.0,1998
blz,62.1,1999
blz,66.9,2005
btn,51.9,2005
bol,60.3,1989
bol,62.7,1990
bol,63.4,1991
bol,62.4,1992
bol,63.0,1993
bol,62.2,1994
bol,59.0,1995
bol,57.3,1996
bol,53.1,1997
bol,55.8,1999
bol,54.8,2000
bol,40.7,2001
bol,38.5,2002
bih,72.2,2006
bwa,53.3,1984
bwa,67.2,1994
bwa,72.2,1998
bwa,71.2,2000
bwa,83.2,2001
bwa,74.4,2003
bra,64.7,1990
bra,60.9,1992
bra,61.1,1993
bra,60.0,1995
bra,60.5,1996
bra,49.0,1997
bra,49.3,1998
bra,48.1,1999
bra,60.1,2001
bra,60.3,2002
bra,60.1,2003
bra,60.9,2004
bra,61.3,2005
bra,61.9,2006
vgb,83.9,1991
brn,94.4,1991
bgr,79.5,2001
bgr,81.5,2003
bgr,81.7,2004
bgr,83.1,2005
bgr,84.1,2006
bgr,84.9,2007
bfa,5.4,1985
bfa,5.8,1994
khm,18.6,2000
khm,19.1,2001
cmr,22.3,1996
cmr,29.3,2001
can,90.1,1980
can,90.0,1981
can,89.2,1982
can,88.8,1983
can,88.9,1984
can,88.2,1985
can,88.9,1986
can,82.8,1987
can,82.6,1988
can,83.0,1989
can,82.3,1990
can,81.3,1991
can,81.2,1992
can,80.4,1993
can,80.7,1994
can,80.8,1995
can,80.1,1996
can,79.6,1997
can,79.6,1998
can,79.7,1999
can,80.7,2000
can,81.3,2001
can,81.7,2002
can,81.2,2003
can,81.0,2004
can,80.9,2005
can,81.4,2006
can,80.8,2007
cpv,43.8,2000
cym,86.4,2006
cym,89.3,2007
tcd,8.8,1993
chl,70.9,1990
chl,71.5,1992
chl,72.3,1994
chl,67.7,1996
chl,68.5,1997
chl,67.4,1998
chl,66.7,1999
chl,66.7,2000
chl,66.3,2001
chl,66.1,2002
chl,65.7,2003
chl,66.2,2004
chl,67.8,2005
chl,69.6,2006
chl,70.8,2007
col,63.2,1991
col,64.9,1992
col,65.2,1993
col,66.6,1994
col,62.8,1995
col,63.0,1996
col,61.1,1997
col,61.7,1998
col,58.2,1999
col,57.1,2000
col,47.4,2001
col,47.8,2002
col,48.6,2003
col,47.3,2004
col,41.9,2005
col,52.9,2006
col,53.0,2007
cri,66.7,1987
cri,67.5,1988
cri,67.6,1989
cri,67.1,1990
cri,67.5,1991
cri,69.1,1992
cri,70.1,1993
cri,70.0,1994
cri,69.5,1995
cri,68.5,1996
cri,68.0,1997
cri,68.7,1998
cri,69.2,1999
cri,68.1,2000
cri,67.5,2001
cri,68.6,2003
cri,67.8,2004
cri,70.5,2005
cri,69.0,2006
cri,71.3,2007
hrv,70.8,1996
hrv,73.3,1997
hrv,74.1,1998
hrv,73.8,1999
hrv,74.6,2000
hrv,73.0,2001
hrv,74.4,2002
hrv,74.8,2003
hrv,75.7,2004
hrv,74.6,2005
hrv,75.6,2006
hrv,77.3,2007
cub,79.6,1995
cub,79.9,1996
cub,78.9,1997
cub,77.7,1998
cub,76.1,1999
cub,75.2,2000
cub,73.9,2001
cub,73.8,2002
cub,73.3,2003
cub,73.0,2004
cub,73.8,2005
cub,76.1,2006
cub,76.7,2007
cyp,67.3,1999
cyp,66.4,2000
cyp,70.5,2001
cyp,71.3,2002
cyp,69.9,2003
cyp,70.5,2004
cyp,71.3,2005
cyp,73.3,2006
cyp,73.9,2007
cze,84.4,1993
cze,83.8,1994
cze,83.1,1995
cze,82.7,1996
cze,82.7,1997
cze,81.5,1998
cze,80.7,1999
cze,80.1,2000
cze,80.0,2001
cze,79.0,2002
cze,77.9,2003
cze,78.1,2004
cze,79.1,2005
cze,79.4,2006
cze,79.2,2007
dnk,81.2,1983
dnk,87.9,1995
dnk,87.9,1996
dnk,88.2,1997
dnk,87.8,1998
dnk,87.8,1999
dnk,88.6,2000
dnk,87.7,2001
dnk,87.7,2002
dnk,88.3,2003
dnk,88.3,2004
dnk,88.6,2005
dnk,88.5,2006
dnk,88.1,2007
dji,75.4,1991
dma,56.7,1991
dma,61.7,1997
dma,54.2,1999
dma,63.6,2001
dom,52.8,1991
dom,52.5,1992
dom,54.0,1993
dom,56.1,1994
dom,53.3,1995
dom,54.8,1996
dom,48.7,1997
dom,47.9,1998
dom,46.2,1999
dom,49.7,2000
dom,48.5,2001
dom,47.1,2002
dom,46.4,2003
dom,47.8,2004
dom,45.7,2005
ecu,61.8,1988
ecu,60.7,1989
ecu,59.7,1990
ecu,60.9,1991
ecu,57.6,1992
ecu,58.9,1993
ecu,59.3,1994
ecu,59.5,1995
ecu,57.8,1996
ecu,59.0,1997
ecu,59.6,1998
ecu,60.8,1999
ecu,60.5,2000
ecu,62.4,2001
ecu,60.4,2002
ecu,62.2,2004
ecu,62.3,2005
ecu,63.1,2006
egy,57.3,1993
egy,58.2,1994
egy,58.1,1995
egy,61.0,1997
egy,59.6,1998
egy,60.4,1999
egy,60.6,2000
egy,60.8,2001
egy,58.4,2002
egy,58.2,2003
egy,58.3,2004
egy,62.2,2005
egy,63.7,2006
slv,61.7,1993
slv,57.7,1994
slv,58.8,1995
slv,59.2,1996
slv,60.0,1997
slv,62.2,1998
slv,64.3,1999
slv,59.6,2000
slv,59.7,2001
slv,58.3,2002
slv,61.5,2003
slv,64.2,2004
slv,60.3,2005
slv,63.7,2006
gnq,30.7,1983
eri,79.6,1996
est,97.8,1989
est,96.7,1990
est,95.1,1991
est,92.5,1992
est,89.7,1993
est,88.5,1994
est,91.1,1995
est,90.2,1996
est,89.8,1997
est,89.1,1998
est,89.0,1999
est,88.5,2000
est,89.0,2001
est,89.3,2002
est,88.2,2003
est,87.0,2004
est,88.8,2005
est,88.8,2006
est,87.5,2007
eth,9.5,1999
eth,52.1,2004
eth,9.3,2005
eth,49.3,2006
fji,59.4,2005
fin,81.3,1980
fin,81.6,1981
fin,81.6,1982
fin,81.4,1983
fin,82.0,1984
fin,82.7,1985
fin,82.2,1986
fin,81.4,1987
fin,81.3,1988
fin,79.0,1989
fin,79.5,1990
fin,78.8,1991
fin,77.8,1992
fin,77.2,1993
fin,77.1,1994
fin,77.8,1995
fin,78.3,1996
fin,79.3,1997
fin,80.3,1998
fin,80.6,1999
fin,81.0,2000
fin,81.9,2001
fin,82.1,2002
fin,82.1,2003
fin,82.0,2004
fin,82.2,2005
fin,81.6,2006
fin,82.1,2007
fra,82.7,1980
fra,82.9,1981
fra,83.3,1982
fra,83.4,1983
fra,83.5,1984
fra,83.7,1985
fra,83.8,1986
fra,84.0,1987
fra,84.3,1988
fra,84.7,1989
fra,85.2,1990
fra,85.5,1991
fra,86.0,1992
fra,86.3,1993
fra,86.7,1994
fra,87.1,1995
fra,87.4,1996
fra,87.7,1997
fra,88.2,1998
fra,88.5,1999
fra,88.9,2000
fra,89.2,2001
fra,89.5,2002
fra,85.8,2003
fra,86.6,2004
fra,86.2,2005
fra,85.7,2006
fra,86.0,2007
gab,58.6,1993
geo,42.9,1998
geo,42.8,1999
geo,37.5,2000
geo,34.8,2001
geo,34.9,2002
geo,33.8,2003
geo,32.9,2004
geo,34.3,2005
deu,88.2,1980
deu,88.2,1981
deu,88.1,1982
deu,88.0,1983
deu,87.7,1984
deu,87.8,1985
deu,88.0,1986
deu,88.2,1987
deu,89.1,1988
deu,89.2,1989
deu,87.9,1990
deu,89.3,1991
deu,88.9,1992
deu,88.6,1993
deu,88.0,1994
deu,87.9,1995
deu,87.6,1996
deu,87.1,1997
deu,86.8,1998
deu,87.0,1999
deu,86.9,2000
deu,86.8,2001
deu,86.6,2002
deu,86.1,2003
deu,85.6,2004
deu,85.3,2005
deu,85.6,2006
deu,85.8,2007
grc,50.1,1981
grc,50.3,1982
grc,50.2,1983
grc,51.1,1984
grc,51.0,1985
grc,50.8,1986
grc,51.5,1987
grc,51.3,1988
grc,52.1,1989
grc,52.6,1990
grc,52.4,1991
grc,51.8,1992
grc,52.3,1993
grc,52.4,1994
grc,52.6,1995
grc,53.1,1996
grc,53.1,1997
grc,55.1,1998
grc,56.2,1999
grc,56.3,2000
grc,57.9,2001
grc,58.6,2002
grc,58.9,2003
