geo,males_aged_65plus_labour_force_participation_rate_percent,time
afg,53.9,1980
afg,54.4,1981
afg,54.8,1982
afg,55.2,1983
afg,55.7,1984
afg,56.1,1985
afg,56.5,1986
afg,56.9,1987
afg,57.2,1988
afg,57.6,1989
afg,58.0,1990
afg,58.4,1991
afg,58.7,1992
afg,59.0,1993
afg,59.3,1994
afg,59.5,1995
afg,59.8,1996
afg,60.1,1997
afg,60.4,1998
afg,60.7,1999
afg,60.9,2000
afg,61.1,2001
afg,61.3,2002
afg,61.5,2003
afg,61.6,2004
afg,61.8,2005
afg,61.8,2006
afg,80.9,2007
alb,19.2,1980
alb,19.9,1981
alb,20.3,1982
alb,21.1,1983
alb,21.8,1984
alb,21.7,1985
alb,22.4,1986
alb,21.6,1987
alb,20.7,1988
alb,22.4,1989
alb,19.8,1990
alb,32.2,1991
alb,32.6,1992
alb,31.9,1993
alb,31.1,1994
alb,30.4,1995
alb,29.5,1996
alb,30.4,1997
alb,29.3,1998
alb,28.4,1999
alb,27.8,2000
alb,27.3,2001
alb,27.0,2002
alb,26.6,2003
alb,26.1,2004
alb,25.6,2005
alb,25.3,2006
alb,24.0,2007
dza,27.2,1980
dza,27.3,1981
dza,27.0,1982
dza,26.8,1983
dza,26.6,1984
dza,26.6,1985
dza,26.8,1986
dza,27.1,1987
dza,27.4,1988
dza,27.2,1989
dza,27.4,1990
dza,27.6,1991
dza,27.7,1992
dza,28.2,1993
dza,28.4,1994
dza,28.1,1995
dza,27.9,1996
dza,28.0,1997
dza,27.7,1998
dza,27.5,1999
dza,27.4,2000
dza,27.5,2001
dza,27.2,2002
dza,26.7,2003
dza,26.3,2004
dza,25.9,2005
dza,25.8,2006
dza,25.7,2007
ago,70.5,1980
ago,70.6,1981
ago,70.8,1982
ago,71.0,1983
ago,71.1,1984
ago,71.3,1985
ago,71.5,1986
ago,71.7,1987
ago,72.2,1988
ago,72.3,1989
ago,72.4,1990
ago,72.4,1991
ago,72.9,1992
ago,72.1,1993
ago,72.8,1994
ago,71.7,1995
ago,71.7,1996
ago,71.5,1997
ago,71.5,1998
ago,71.6,1999
ago,71.2,2000
ago,71.1,2001
ago,71.2,2002
ago,71.0,2003
ago,71.1,2004
ago,71.2,2005
ago,71.4,2006
ago,71.1,2007
arg,20.2,1980
arg,21.8,1981
arg,23.5,1982
arg,25.4,1983
arg,25.0,1984
arg,24.6,1985
arg,24.5,1986
arg,24.3,1987
arg,23.9,1988
arg,23.5,1989
arg,23.5,1990
arg,27.3,1991
arg,27.4,1992
arg,27.4,1993
arg,27.5,1994
arg,27.6,1995
arg,27.6,1996
arg,27.7,1997
arg,27.8,1998
arg,27.8,1999
arg,27.9,2000
arg,28.0,2001
arg,28.1,2002
arg,28.1,2003
arg,28.2,2004
arg,28.3,2005
arg,28.3,2006
arg,28.3,2007
arm,10.0,1980
arm,10.6,1981
arm,10.8,1982
arm,11.3,1983
arm,11.9,1984
arm,12.4,1985
arm,11.8,1986
arm,11.5,1987
arm,12.5,1988
arm,11.9,1989
arm,11.3,1990
arm,16.8,1991
arm,18.9,1992
arm,19.9,1993
arm,20.0,1994
arm,19.4,1995
arm,19.1,1996
arm,19.1,1997
arm,18.4,1998
arm,18.2,1999
arm,17.8,2000
arm,17.2,2001
arm,16.5,2002
arm,15.7,2003
arm,14.9,2004
arm,14.2,2005
