mean_years_in_school_women_25_to_34_years,geo,time
0.1,afg,1970
0.1,afg,1971
0.1,afg,1972
0.1,afg,1973
0.1,afg,1974
0.1,afg,1975
0.1,afg,1976
0.1,afg,1977
0.1,afg,1978
0.1,afg,1979
0.1,afg,1980
0.2,afg,1981
0.2,afg,1982
0.2,afg,1983
0.2,afg,1984
0.2,afg,1985
0.2,afg,1986
0.2,afg,1987
0.2,afg,1988
0.2,afg,1989
0.2,afg,1990
0.3,afg,1991
0.3,afg,1992
0.3,afg,1993
0.3,afg,1994
0.3,afg,1995
0.3,afg,1996
0.3,afg,1997
0.4,afg,1998
0.4,afg,1999
0.4,afg,2000
0.4,afg,2001
0.4,afg,2002
0.4,afg,2003
0.5,afg,2004
0.5,afg,2005
0.5,afg,2006
0.5,afg,2007
0.6,afg,2008
0.6,afg,2009
6.0,alb,1970
6.2,alb,1971
6.3,alb,1972
6.5,alb,1973
6.6,alb,1974
6.8,alb,1975
6.9,alb,1976
7.1,alb,1977
7.2,alb,1978
7.4,alb,1979
7.5,alb,1980
7.7,alb,1981
7.8,alb,1982
8.0,alb,1983
8.2,alb,1984
8.3,alb,1985
8.5,alb,1986
8.6,alb,1987
8.8,alb,1988
8.9,alb,1989
9.0,alb,1990
9.2,alb,1991
9.3,alb,1992
9.4,alb,1993
9.5,alb,1994
9.7,alb,1995
9.8,alb,1996
9.9,alb,1997
10.0,alb,1998
10.1,alb,1999
10.2,alb,2000
10.3,alb,2001
10.4,alb,2002
10.5,alb,2003
10.6,alb,2004
10.6,alb,2005
10.7,alb,2006
10.8,alb,2007
10.9,alb,2008
11.0,alb,2009
1.4,dza,1970
1.5,dza,1971
1.6,dza,1972
1.7,dza,1973
1.8,dza,1974
1.9,dza,1975
2.0,dza,1976
2.1,dza,1977
2.3,dza,1978
2.4,dza,1979
2.6,dza,1980
2.7,dza,1981
2.9,dza,1982
3.1,dza,1983
3.3,dza,1984
3.4,dza,1985
3.6,dza,1986
3.8,dza,1987
3.9,dza,1988
4.1,dza,1989
4.3,dza,1990
4.4,dza,1991
4.6,dza,1992
4.7,dza,1993
4.9,dza,1994
5.1,dza,1995
5.2,dza,1996
5.4,dza,1997
5.5,dza,1998
5.7,dza,1999
5.8,dza,2000
6.0,dza,2001
6.1,dza,2002
6.2,dza,2003
6.4,dza,2004
6.5,dza,2005
6.6,dza,2006
6.7,dza,2007
6.8,dza,2008
6.9,dza,2009
1.0,ago,1970
1.1,ago,1971
1.1,ago,1972
1.2,ago,1973
1.2,ago,1974
1.3,ago,1975
1.3,ago,1976
1.4,ago,1977
1.5,ago,1978
1.5,ago,1979
1.6,ago,1980
1.7,ago,1981
1.8,ago,1982
1.9,ago,1983
2.0,ago,1984
2.1,ago,1985
2.2,ago,1986
2.3,ago,1987
2.3,ago,1988
2.4,ago,1989
2.5,ago,1990
2.6,ago,1991
2.7,ago,1992
2.8,ago,1993
2.9,ago,1994
3.0,ago,1995
3.2,ago,1996
3.3,ago,1997
3.4,ago,1998
3.5,ago,1999
3.6,ago,2000
3.7,ago,2001
3.8,ago,2002
3.9,ago,2003
4.0,ago,2004
4.1,ago,2005
4.2,ago,2006
4.3,ago,2007
4.4,ago,2008
4.5,ago,2009
8.1,atg,1970
8.3,atg,1971
8.5,atg,1972
8.7,atg,1973
8.9,atg,1974
9.1,atg,1975
9.3,atg,1976
9.5,atg,1977
9.7,atg,1978
9.9,atg,1979
10.1,atg,1980
10.2,atg,1981
10.4,atg,1982
10.7,atg,1983
10.9,atg,1984
11.0,atg,1985
11.2,atg,1986
11.4,atg,1987
11.5,atg,1988
11.7,atg,1989
11.8,atg,1990
11.9,atg,1991
12.1,atg,1992
12.2,atg,1993
12.3,atg,1994
12.4,atg,1995
12.6,atg,1996
12.7,atg,1997
12.8,atg,1998
12.9,atg,1999
13.0,atg,2000
13.1,atg,2001
13.2,atg,2002
13.2,atg,2003
13.3,atg,2004
13.4,atg,2005
13.5,atg,2006
13.5,atg,2007
13.6,atg,2008
13.7,atg,2009
6.8,arg,1970
7.0,arg,1971
7.1,arg,1972
7.3,arg,1973
7.5,arg,1974
7.6,arg,1975
7.8,arg,1976
7.9,arg,1977
8.1,arg,1978
8.3,arg,1979
8.4,arg,1980
8.6,arg,1981
8.7,arg,1982
8.8,arg,1983
9.0,arg,1984
9.1,arg,1985
9.3,arg,1986
9.4,arg,1987
9.5,arg,1988
9.6,arg,1989
9.8,arg,1990
9.9,arg,1991
10.0,arg,1992
10.1,arg,1993
10.2,arg,1994
10.4,arg,1995
10.5,arg,1996
10.6,arg,1997
10.7,arg,1998
10.8,arg,1999
10.9,arg,2000
11.0,arg,2001
11.2,arg,2002
11.3,arg,2003
11.4,arg,2004
11.5,arg,2005
11.6,arg,2006
11.7,arg,2007
11.8,arg,2008
11.9,arg,2009
7.5,arm,1970
7.7,arm,1971
7.8,arm,1972
8.0,arm,1973
8.2,arm,1974
8.3,arm,1975
8.5,arm,1976
8.6,arm,1977
8.8,arm,1978
8.9,arm,1979
9.1,arm,1980
9.2,arm,1981
9.4,arm,1982
9.5,arm,1983
9.7,arm,1984
9.8,arm,1985
9.9,arm,1986
10.0,arm,1987
10.1,arm,1988
10.2,arm,1989
10.3,arm,1990
10.4,arm,1991
10.5,arm,1992
10.6,arm,1993
10.7,arm,1994
10.8,arm,1995
10.9,arm,1996
11.0,arm,1997
11.1,arm,1998
11.1,arm,1999
11.2,arm,2000
11.3,arm,2001
11.4,arm,2002
11.5,arm,2003
11.5,arm,2004
11.6,arm,2005
11.7,arm,2006
11.7,arm,2007
11.8,arm,2008
11.9,arm,2009
9.5,aus,1970
9.6,aus,1971
9.8,aus,1972
9.9,aus,1973
10.0,aus,1974
10.2,aus,1975
10.3,aus,1976
10.4,aus,1977
10.5,aus,1978
10.6,aus,1979
10.7,aus,1980
10.8,aus,1981
10.8,aus,1982
10.9,aus,1983
11.0,aus,1984
11.1,aus,1985
11.1,aus,1986
11.2,aus,1987
11.3,aus,1988
11.3,aus,1989
11.4,aus,1990
11.5,aus,1991
11.5,aus,1992
11.6,aus,1993
11.7,aus,1994
11.7,aus,1995
11.8,aus,1996
11.8,aus,1997
11.9,aus,1998
12.0,aus,1999
12.0,aus,2000
12.1,aus,2001
12.1,aus,2002
12.2,aus,2003
12.2,aus,2004
12.3,aus,2005
12.3,aus,2006
12.4,aus,2007
12.4,aus,2008
12.5,aus,2009
7.9,aut,1970
8.0,aut,1971
8.2,aut,1972
8.3,aut,1973
8.5,aut,1974
8.6,aut,1975
8.7,aut,1976
8.9,aut,1977
9.0,aut,1978
9.1,aut,1979
9.2,aut,1980
9.4,aut,1981
9.5,aut,1982
9.6,aut,1983
9.7,aut,1984
9.8,aut,1985
9.9,aut,1986
10.0,aut,1987
10.1,aut,1988
10.2,aut,1989
10.3,aut,1990
10.4,aut,1991
10.5,aut,1992
10.6,aut,1993
10.7,aut,1994
10.8,aut,1995
10.9,aut,1996
10.9,aut,1997
11.0,aut,1998
11.1,aut,1999
11.2,aut,2000
11.3,aut,2001
11.4,aut,2002
11.5,aut,2003
11.6,aut,2004
11.7,aut,2005
11.8,aut,2006
11.9,aut,2007
12.0,aut,2008
12.0,aut,2009
6.1,aze,1970
6.3,aze,1971
