mean_years_in_school_women_25_years_and_older,geo,time
0.0,afg,1970
0.1,afg,1971
0.1,afg,1972
0.1,afg,1973
0.1,afg,1974
0.1,afg,1975
0.1,afg,1976
0.1,afg,1977
0.1,afg,1978
0.1,afg,1979
0.1,afg,1980
0.1,afg,1981
0.1,afg,1982
0.1,afg,1983
0.1,afg,1984
0.1,afg,1985
0.1,afg,1986
0.1,afg,1987
0.1,afg,1988
0.1,afg,1989
0.1,afg,1990
0.2,afg,1991
0.2,afg,1992
0.2,afg,1993
0.2,afg,1994
0.2,afg,1995
0.2,afg,1996
0.2,afg,1997
0.2,afg,1998
0.2,afg,1999
0.2,afg,2000
0.3,afg,2001
0.3,afg,2002
0.3,afg,2003
0.3,afg,2004
0.3,afg,2005
0.3,afg,2006
0.3,afg,2007
0.3,afg,2008
0.4,afg,2009
3.9,alb,1970
4.0,alb,1971
4.1,alb,1972
4.2,alb,1973
4.3,alb,1974
4.5,alb,1975
4.6,alb,1976
4.7,alb,1977
4.8,alb,1978
4.9,alb,1979
5.1,alb,1980
5.2,alb,1981
5.3,alb,1982
5.4,alb,1983
5.6,alb,1984
5.7,alb,1985
5.9,alb,1986
6.0,alb,1987
6.2,alb,1988
6.3,alb,1989
6.5,alb,1990
6.6,alb,1991
6.8,alb,1992
6.9,alb,1993
7.1,alb,1994
7.2,alb,1995
7.4,alb,1996
7.5,alb,1997
7.7,alb,1998
7.8,alb,1999
8.0,alb,2000
8.2,alb,2001
8.3,alb,2002
8.5,alb,2003
8.6,alb,2004
8.8,alb,2005
8.9,alb,2006
9.1,alb,2007
9.2,alb,2008
9.4,alb,2009
0.6,dza,1970
0.6,dza,1971
0.6,dza,1972
0.7,dza,1973
0.7,dza,1974
0.8,dza,1975
0.8,dza,1976
0.9,dza,1977
0.9,dza,1978
1.0,dza,1979
1.1,dza,1980
1.1,dza,1981
1.2,dza,1982
1.3,dza,1983
1.4,dza,1984
1.5,dza,1985
1.5,dza,1986
1.6,dza,1987
1.7,dza,1988
1.8,dza,1989
1.9,dza,1990
2.0,dza,1991
2.1,dza,1992
2.2,dza,1993
2.3,dza,1994
2.4,dza,1995
2.5,dza,1996
2.6,dza,1997
2.8,dza,1998
2.9,dza,1999
3.0,dza,2000
3.1,dza,2001
3.2,dza,2002
3.4,dza,2003
3.5,dza,2004
3.6,dza,2005
3.8,dza,2006
3.9,dza,2007
4.0,dza,2008
4.2,dza,2009
0.5,ago,1970
0.5,ago,1971
0.5,ago,1972
0.5,ago,1973
0.6,ago,1974
0.6,ago,1975
0.6,ago,1976
0.7,ago,1977
0.7,ago,1978
0.7,ago,1979
0.8,ago,1980
0.8,ago,1981
0.8,ago,1982
0.9,ago,1983
0.9,ago,1984
1.0,ago,1985
1.0,ago,1986
1.1,ago,1987
1.1,ago,1988
1.2,ago,1989
1.2,ago,1990
1.3,ago,1991
1.3,ago,1992
1.4,ago,1993
1.5,ago,1994
1.5,ago,1995
1.6,ago,1996
1.7,ago,1997
1.8,ago,1998
1.8,ago,1999
1.9,ago,2000
2.0,ago,2001
2.1,ago,2002
2.2,ago,2003
2.3,ago,2004
2.4,ago,2005
2.5,ago,2006
2.6,ago,2007
2.7,ago,2008
2.8,ago,2009
7.0,atg,1970
7.1,atg,1971
7.2,atg,1972
7.4,atg,1973
7.5,atg,1974
7.7,atg,1975
7.8,atg,1976
8.0,atg,1977
8.1,atg,1978
8.3,atg,1979
8.4,atg,1980
8.6,atg,1981
8.7,atg,1982
8.9,atg,1983
9.1,atg,1984
9.2,atg,1985
9.4,atg,1986
9.5,atg,1987
9.7,atg,1988
9.8,atg,1989
10.0,atg,1990
10.1,atg,1991
10.2,atg,1992
10.4,atg,1993
10.5,atg,1994
10.6,atg,1995
10.8,atg,1996
10.9,atg,1997
11.0,atg,1998
11.1,atg,1999
11.2,atg,2000
11.4,atg,2001
11.5,atg,2002
11.6,atg,2003
11.7,atg,2004
11.8,atg,2005
11.9,atg,2006
12.0,atg,2007
12.1,atg,2008
12.2,atg,2009
5.5,arg,1970
5.6,arg,1971
5.7,arg,1972
5.9,arg,1973
6.0,arg,1974
6.1,arg,1975
6.2,arg,1976
6.3,arg,1977
6.5,arg,1978
6.6,arg,1979
6.7,arg,1980
6.8,arg,1981
7.0,arg,1982
7.1,arg,1983
7.2,arg,1984
7.3,arg,1985
7.4,arg,1986
7.6,arg,1987
7.7,arg,1988
7.8,arg,1989
7.9,arg,1990
8.0,arg,1991
8.1,arg,1992
8.3,arg,1993
8.4,arg,1994
8.5,arg,1995
8.6,arg,1996
8.7,arg,1997
8.8,arg,1998
9.0,arg,1999
9.1,arg,2000
9.2,arg,2001
9.3,arg,2002
9.4,arg,2003
9.5,arg,2004
9.6,arg,2005
9.8,arg,2006
9.9,arg,2007
10.0,arg,2008
10.1,arg,2009
5.9,arm,1970
6.0,arm,1971
6.2,arm,1972
6.3,arm,1973
6.5,arm,1974
6.6,arm,1975
6.8,arm,1976
6.9,arm,1977
7.1,arm,1978
7.2,arm,1979
7.4,arm,1980
7.5,arm,1981
7.7,arm,1982
7.8,arm,1983
8.0,arm,1984
8.1,arm,1985
8.3,arm,1986
8.4,arm,1987
8.6,arm,1988
8.7,arm,1989
8.9,arm,1990
9.0,arm,1991
9.1,arm,1992
9.3,arm,1993
9.4,arm,1994
9.6,arm,1995
9.7,arm,1996
9.8,arm,1997
10.0,arm,1998
10.1,arm,1999
10.2,arm,2000
10.3,arm,2001
10.5,arm,2002
10.6,arm,2003
10.7,arm,2004
10.8,arm,2005
11.0,arm,2006
11.1,arm,2007
11.2,arm,2008
11.3,arm,2009
