number_of_people_in_poverty,geo,time
0.006336,alb,1996
0.02228,alb,2002
0.01598,alb,2004
0.01317,alb,2005
0.005825,alb,2008
0.01289,alb,2012
1.768,dza,1988
1.87,dza,1995
7.563,ago,2000
8.208,ago,2009
0.0,arg,1986
0.0,arg,1987
0.3208,arg,1991
0.5933,arg,1992
0.6962,arg,1993
0.6639,arg,1994
1.348,arg,1995
1.506,arg,1996
1.346,arg,1997
1.441,arg,1998
1.534,arg,1999
1.867,arg,2000
3.075,arg,2001
4.734,arg,2002
3.417,arg,2003
2.41,arg,2004
1.786,arg,2005
1.466,arg,2006
1.184,arg,2007
1.087,arg,2008
1.073,arg,2009
0.6985,arg,2010
0.5743,arg,2011
0.5553,arm,1996
0.5185,arm,1999
0.5762,arm,2001
0.4418,arm,2002
0.3242,arm,2003
0.2299,arm,2004
0.1272,arm,2005
0.09519,arm,2006
0.1008,arm,2007
0.04198,arm,2008
0.0463,arm,2009
0.07409,arm,2010
0.07262,arm,2011
0.05196,arm,2012
0.1,aus,1981
0.1056,aus,1985
0.1143,aus,1989
0.2422,aus,1995
0.2621,aus,2001
0.2706,aus,2003
0.0,aut,1987
0.03174,aut,1994
0.07948,aut,1995
0.02709,aut,1997
0.03205,aut,2000
0.02778,aut,2004
1.939,aze,1995
0.5086,aze,2001
0.001634,aze,2002
0.003294,aze,2003
0.0,aze,2004
0.0,aze,2005
0.02717,aze,2008
63.85,bgd,1984
62.32,bgd,1986
75.03,bgd,1989
78.95,bgd,1992
74.55,bgd,1996
77.56,bgd,2000
72.24,bgd,2005
65.36,bgd,2010
0.008112,blr,1988
0.002048,blr,1993
0.0367,blr,1995
0.08458,blr,1998
0.03813,blr,1999
0.02601,blr,2000
0.01191,blr,2001
0.04637,blr,2002
0.04899,blr,2003
0.005838,blr,2004
0.005798,blr,2005
0.004802,blr,2006
0.0,blr,2007
0.0,blr,2008
0.0009507,blr,2009
0.0,blr,2010
0.0,blr,2011
0.03549,bel,1985
0.06634,bel,1988
0.08337,bel,1992
0.03548,bel,1995
0.03563,bel,1997
0.05126,bel,2000
0.01804,blz,1993
0.01807,blz,1994
0.02904,blz,1995
0.02052,blz,1996
0.0272,blz,1997
0.02546,blz,1998
0.02831,blz,1999
3.628,ben,2003
5.187,ben,2012
0.1477,btn,2003
0.06943,btn,2007
0.01766,btn,2012
0.3645,bol,1991
0.6206,bol,1993
1.355,bol,1997
1.941,bol,1999
2.283,bol,2000
1.849,bol,2001
1.944,bol,2002
1.074,bol,2004
1.713,bol,2005
1.509,bol,2006
1.18,bol,2007
1.031,bol,2008
1.066,bol,2009
0.7196,bol,2011
0.8376,bol,2012
0.01086,bih,2001
0.003887,bih,2004
0.001547,bih,2007
0.4358,bwa,1986
0.4825,bwa,1994
0.4464,bwa,2003
0.2617,bwa,2009
17.0,bra,1981
17.42,bra,1982
21.72,bra,1983
20.67,bra,1984
18.42,bra,1985
13.49,bra,1986
19.34,bra,1987
21.21,bra,1988
20.16,bra,1989
24.29,bra,1990
25.82,bra,1992
24.92,bra,1993
16.08,bra,1995
18.43,bra,1996
18.19,bra,1997
16.24,bra,1998
16.98,bra,1999
18.05,bra,2001
15.91,bra,2002
17.48,bra,2003
14.98,bra,2004
13.37,bra,2005
11.16,bra,2006
11.1,bra,2007
9.339,bra,2008
9.133,bra,2009
8.921,bra,2011
7.45,bra,2012
0.003551,bgr,1989
0.0,bgr,1992
0.01858,bgr,1994
0.06893,bgr,1995
0.0266,bgr,1997
0.17,bgr,2001
0.04851,bgr,2003
0.01962,bgr,2007
0.0547,bgr,2008
0.1213,bgr,2010
0.1396,bgr,2011
6.986,bfa,1994
7.681,bfa,1998
6.19,bfa,2003
6.711,bfa,2009
4.956,bdi,1992
5.573,bdi,1998
6.54,bdi,2006
4.641,khm,1994
4.309,khm,2004
4.237,khm,2007
2.912,khm,2008
1.829,khm,2009
1.616,khm,2010
1.468,khm,2011
6.791,cmr,1996
4.065,cmr,2001
5.273,cmr,2007
0.1693,can,1981
0.09824,can,1987
0.09297,can,1991
0.09607,can,1994
0.108,can,1997
0.2057,can,1998
0.1046,can,2000
0.1088,can,2004
0.1118,can,2007
0.1156,can,2010
0.09651,cpv,2002
0.06649,cpv,2008
2.537,caf,1992
2.391,caf,2003
2.63,caf,2008
5.767,tcd,2003
4.412,tcd,2011
0.7274,chl,1987
0.6488,chl,1990
0.3756,chl,1992
0.4332,chl,1994
0.3226,chl,1996
0.3497,chl,1998
0.3338,chl,2000
0.2767,chl,2003
0.1766,chl,2006
0.2175,chl,2009
0.1437,chl,2011
837.5,chn,1981
719.9,chn,1984
584.8,chn,1987
689.4,chn,1990
646.4,chn,1993
455.2,chn,1996
451.0,chn,1999
359.3,chn,2002
205.6,chn,2005
163.5,chn,2008
122.9,chn,2010
84.14,chn,2011
4.161,col,1980
3.422,col,1988
2.639,col,1989
2.778,col,1991
2.177,col,1992
4.841,col,1996
6.348,col,1999
7.122,col,2000
7.244,col,2001
4.591,col,2002
4.33,col,2003
3.832,col,2004
3.399,col,2005
4.84,col,2006
3.934,col,2007
3.838,col,2008
3.325,col,2009
2.866,col,2010
2.33,col,2011
2.686,col,2012
0.2699,com,2004
48.76,cod,2006
1.917,cog,2005
1.387,cog,2011
0.2753,cri,1981
0.1575,cri,1986
0.3178,cri,1989
0.2601,cri,1990
0.3058,cri,1991
0.2626,cri,1992
0.2282,cri,1993
0.1951,cri,1994
0.209,cri,1995
0.2504,cri,1996
0.1939,cri,1997
0.1583,cri,1998
0.2086,cri,1999
0.2185,cri,2000
0.2211,cri,2001
0.2252,cri,2002
0.2252,cri,2003
0.2059,cri,2004
0.1542,cri,2005
0.1634,cri,2006
0.09194,cri,2007
0.1033,cri,2008
0.1316,cri,2009
0.0593,cri,2010
0.06443,cri,2011
0.06487,cri,2012
0.8208,civ,1985
0.4333,civ,1986
0.9486,civ,1987
1.557,civ,1988
3.54,civ,1993
2.998,civ,1995
4.64,civ,1998
4.946,civ,2002
6.398,civ,2008
0.001903,hrv,1988
0.0,hrv,1998
0.008653,hrv,1999
0.003098,hrv,2000
0.002664,hrv,2001
0.0,hrv,2004
0.0,hrv,2008
0.0,cze,1988
0.0,cze,1993
0.01341,cze,1996
0.0,cze,2005
0.007167,cze,2006
0.004154,cze,2008
0.003133,cze,2009
0.00419,cze,2010
0.003149,cze,2011
0.0523,dnk,1987
0.03465,dnk,1992
0.01727,dnk,1995
0.01815,dnk,2000
0.01783,dnk,2004
0.0213,dnk,2007
0.03717,dnk,2010
0.1402,dji,2002
1.091,dom,1986
0.8632,dom,1989
0.3514,dom,1992
0.3808,dom,1996
0.4087,dom,1997
0.454,dom,2000
0.3238,dom,2001
0.4709,dom,2002
0.5833,dom,2003
0.7209,dom,2004
0.5027,dom,2005
0.401,dom,2006
0.3577,dom,2007
0.3266,dom,2008
0.2955,dom,2009
0.2244,dom,2010
0.2577,dom,2011
0.2312,dom,2012
1.211,ecu,1987
1.616,ecu,1994
1.073,ecu,1995
1.224,ecu,1998
1.989,ecu,1999
2.547,ecu,2000
1.594,ecu,2003
1.414,ecu,2004
1.262,ecu,2005
0.8582,ecu,2006
0.9902,ecu,2007
0.9085,ecu,2008
0.8898,ecu,2009
0.687,ecu,2010
0.616,ecu,2011
0.6119,ecu,2012
2.559,egy,1991
1.528,egy,1996
1.197,egy,2000
1.622,egy,2005
1.268,egy,2008
0.8031,slv,1989
0.9261,slv,1991
0.5725,slv,1995
0.6701,slv,1996
1.025,slv,1998
0.814,slv,1999
0.8146,slv,2000
0.8619,slv,2001
0.882,slv,2002
0.8079,slv,2003
0.4852,slv,2004
0.4318,slv,2005
0.2603,slv,2006
0.1745,slv,2007
0.2965,slv,2008
0.2622,slv,2009
0.3215,slv,2010
0.1764,slv,2011
0.1593,slv,2012
0.0007809,est,1988
0.0118,est,1993
0.003592,est,1995
0.0006931,est,1998
0.008382,est,2000
0.007912,est,2001
0.007862,est,2002
0.005072,est,2003
0.009754,est,2005
0.009832,est,2006
0.006301,est,2007
0.006017,est,2008
0.007874,est,2009
0.01078,est,2010
0.01301,est,2011
25.65,eth,1982
36.04,eth,1995
36.03,eth,2000
29.67,eth,2005
32.89,eth,2011
0.2383,fji,2003
0.05013,fji,2009
0.0,fin,1987
0.0,fin,1991
0.0,fin,1995
0.0,fin,2000
0.0,fin,2004
0.0,fin,2007
0.0,fin,2010
1.695,fra,1984
0.9763,fra,1989
0.2076,fra,1994
0.2132,fra,2000
0.2085,fra,2005
0.08401,gab,2005
0.7606,gmb,1998
0.4535,gmb,2003
0.2179,geo,1996
0.7939,geo,1997
0.5995,geo,1998
0.7654,geo,1999
0.7842,geo,2000
0.7641,geo,2001
0.6183,geo,2002
0.6762,geo,2003
0.6525,geo,2004
0.6481,geo,2005
0.61,geo,2006
0.6473,geo,2007
0.6159,geo,2008
0.6171,geo,2009
0.8033,geo,2010
0.7196,geo,2011
0.635,geo,2012
0.0,deu,1981
0.0,deu,1983
0.2647,deu,1984
0.0,deu,1989
0.2769,deu,1994
0.0,deu,2000
0.0,deu,2004
0.0,deu,2007
0.278,deu,2010
7.008,gha,1988
7.027,gha,1989
7.901,gha,1992
7.029,gha,1998
6.275,gha,2006
0.1776,grc,1995
0.07424,grc,2000
0.1117,grc,2004
0.115,grc,2007
0.1528,grc,2010
3.207,gtm,1987
2.464,gtm,1989
1.735,gtm,1998
1.321,gtm,2000
2.343,gtm,2002
2.168,gtm,2003
2.037,gtm,2004
1.748,gtm,2006
2.015,gtm,2011
5.954,gin,1991
4.795,gin,1994
5.184,gin,2003
3.951,gin,2007
4.68,gin,2012
0.4299,gnb,1991
0.7116,gnb,1993
0.6508,gnb,2002
0.05003,guy,1993
0.06416,guy,1998
5.381,hti,2001
0.5672,hnd,1986
1.957,hnd,1989
2.3,hnd,1990
1.666,hnd,1991
1.392,hnd,1992
1.116,hnd,1993
1.321,hnd,1994
1.464,hnd,1995
1.63,hnd,1996
1.138,hnd,1997
1.459,hnd,1998
1.517,hnd,1999
1.08,hnd,2001
1.785,hnd,2002
1.696,hnd,2003
1.663,hnd,2004
1.783,hnd,2005
1.576,hnd,2006
1.134,hnd,2007
1.07,hnd,2008
0.9263,hnd,2009
1.022,hnd,2010
1.282,hnd,2011
0.005306,hun,1987
0.004193,hun,1989
0.01554,hun,1993
0.0,hun,1998
0.002048,hun,1999
0.0,hun,2000
0.0,hun,2001
0.0,hun,2002
0.0,hun,2003
0.0,hun,2005
0.01309,hun,2006
0.003011,hun,2008
0.005,hun,2010
0.004986,hun,2011
439.7,ind,1978
415.2,ind,1983
446.9,ind,1988
463.6,ind,1994
469.3,ind,2005
388.9,ind,2010
288.6,ind,2012
99.98,idn,1984
115.2,idn,1987
96.94,idn,1990
102.3,idn,1993
85.5,idn,1996
98.24,idn,1999
63.2,idn,2002
48.4,idn,2005
53.2,idn,2008
43.42,idn,2010
39.5,idn,2011
2.072,irn,1986
2.17,irn,1990
0.8472,irn,1994
0.8028,irn,1998
1.017,irn,2005
0.9686,irq,2007
1.274,irq,2012
0.0485,irl,1987
0.01257,irl,1994
0.01227,irl,1995
0.0,irl,1996
0.01408,irl,2000
0.0,irl,2004
0.0,irl,2007
0.01642,irl,2010
0.0,isr,1979
0.0,isr,1986
0.0,isr,1992
0.02101,isr,1997
0.02125,isr,2001
0.04643,isr,2005
0.02369,isr,2007
0.02973,isr,2010
0.0,ita,1986
0.7585,ita,1987
0.1927,ita,1989
0.21,ita,1991
0.5683,ita,1993
0.5741,ita,1995
0.9503,ita,1998
0.763,ita,2000
0.3865,ita,2004
0.5941,ita,2008
0.8002,ita,2010
0.09355,jam,1988
0.03035,jam,1990
0.09325,jam,1993
0.04417,jam,1996
0.03424,jam,1999
0.9727,jam,2001
0.008107,jam,2002
0.006322,jam,2004
0.447,jpn,2008
0.0,jor,1987
0.1023,jor,1992
0.06644,jor,1997
0.0599,jor,2003
0.01384,jor,2006
0.00405,jor,2008
0.004837,jor,2010
0.003197,kaz,1988
0.6875,kaz,1993
0.7758,kaz,1996
0.9093,kaz,2001
0.5587,kaz,2002
0.3593,kaz,2003
0.2177,kaz,2004
0.003029,kaz,2005
0.06276,kaz,2006
0.02477,kaz,2007
0.001567,kaz,2008
0.009793,kaz,2010
9.619,ken,1992
7.591,ken,1994
9.213,ken,1997
15.52,ken,2005
0.0,kgz,1988
0.8406,kgz,1993
1.518,kgz,1998
1.803,kgz,2000
1.611,kgz,2001
1.484,kgz,2002
1.246,kgz,2003
0.561,kgz,2004
1.028,kgz,2005
0.6982,kgz,2006
0.1001,kgz,2007
0.2925,kgz,2008
0.3031,kgz,2009
0.328,kgz,2010
0.2818,kgz,2011
2.504,lao,1992
2.422,lao,1997
2.286,lao,2002
2.111,lao,2007
2.011,lao,2012
0.0005307,lva,1988
0.0,lva,1993
0.0,lva,1995
0.01032,lva,1996
0.01362,lva,1997
0.0,lva,1998
0.009472,lva,2002
0.002489,lva,2004
0.0264,lva,2006
0.0,lva,2008
0.02895,lva,2010
0.02204,lva,2011
0.8697,lso,1987
1.135,lso,1993
0.9643,lso,1994
1.047,lso,2003
1.129,lso,2010
2.95,lbr,2007
0.002193,ltu,1988
0.07918,ltu,1993
0.0,ltu,1996
0.004259,ltu,1998
0.0021,ltu,2000
0.01041,ltu,2001
0.005509,ltu,2002
0.002391,ltu,2003
0.002026,ltu,2004
0.05682,ltu,2005
0.04578,ltu,2006
0.001599,ltu,2008
0.04584,ltu,2010
0.02513,ltu,2011
0.0,mkd,1998
0.08557,mkd,2000
0.01099,mkd,2002
0.009364,mkd,2003
