geo,oil_consumption_total,time
dza,1289000,1965
dza,1693000,1966
dza,1578000,1967
dza,1682000,1968
dza,1775000,1969
dza,2032000,1970
dza,2288000,1971
dza,2514000,1972
dza,2739000,1973
dza,3036000,1974
dza,3378000,1975
dza,3877000,1976
dza,4400000,1977
dza,4521000,1978
dza,5420000,1979
dza,5469000,1980
dza,5889000,1981
dza,6245000,1982
dza,7011000,1983
dza,7760000,1984
dza,7966000,1985
dza,8078000,1986
dza,8158000,1987
dza,8168000,1988
dza,8553000,1989
dza,9156000,1990
dza,9069000,1991
dza,9113000,1992
dza,9079000,1993
dza,8670000,1994
dza,8433000,1995
dza,8060000,1996
dza,7986000,1997
dza,8217000,1998
dza,8110000,1999
dza,8498000,2000
dza,8795000,2001
dza,9744000,2002
dza,10130000,2003
dza,10600000,2004
dza,11040000,2005
dza,11520000,2006
dza,12900000,2007
dza,14010000,2008
dza,14900000,2009
dza,14900000,2010
arg,21950000,1965
arg,22680000,1966
arg,23220000,1967
arg,23730000,1968
arg,24670000,1969
arg,21940000,1970
arg,23490000,1971
arg,23160000,1972
arg,23190000,1973
arg,23120000,1974
arg,21910000,1975
arg,22900000,1976
arg,23960000,1977
arg,23380000,1978
arg,25230000,1979
arg,22920000,1980
arg,21600000,1981
arg,20920000,1982
arg,21150000,1983
arg,21050000,1984
arg,19010000,1985
arg,20480000,1986
arg,21770000,1987
arg,21760000,1988
arg,19760000,1989
arg,18310000,1990
arg,19360000,1991
arg,19620000,1992
arg,19570000,1993
arg,19430000,1994
arg,19490000,1995
arg,20360000,1996
arg,21160000,1997
arg,22070000,1998
arg,20990000,1999
arg,20270000,2000
arg,19110000,2001
arg,17110000,2002
arg,17560000,2003
arg,18400000,2004
arg,19680000,2005
arg,20560000,2006
arg,23190000,2007
arg,24220000,2008
arg,23700000,2009
arg,25700000,2010
aus,16900000,1965
aus,18120000,1966
aus,19810000,1967
aus,21890000,1968
aus,23420000,1969
aus,24450000,1970
aus,25800000,1971
aus,25780000,1972
aus,28210000,1973
aus,29040000,1974
aus,28580000,1975
aus,29770000,1976
aus,31020000,1977
aus,30790000,1978
aus,31270000,1979
aus,29690000,1980
aus,29220000,1981
aus,28420000,1982
aus,27260000,1983
aus,28500000,1984
aus,26990000,1985
aus,28160000,1986
aus,28680000,1987
aus,29940000,1988
aus,31060000,1989
aus,31580000,1990
aus,30810000,1991
aus,30890000,1992
aus,32680000,1993
aus,34050000,1994
aus,35290000,1995
aus,35920000,1996
aus,37040000,1997
aus,37030000,1998
aus,38020000,1999
aus,37710000,2000
aus,38110000,2001
aus,37970000,2002
aus,38280000,2003
aus,38790000,2004
aus,39840000,2005
aus,41410000,2006
aus,41730000,2007
aus,42460000,2008
aus,42200000,2009
aus,42600000,2010
aut,5534000,1965
aut,6068000,1966
aut,6491000,1967
aut,7513000,1968
aut,8253000,1969
aut,9071000,1970
aut,10130000,1971
aut,10920000,1972
aut,11830000,1973
aut,10580000,1974
aut,10680000,1975
aut,11620000,1976
aut,11110000,1977
aut,12000000,1978
aut,12500000,1979
aut,12190000,1980
aut,11050000,1981
aut,10470000,1982
aut,10110000,1983
aut,9820000,1984
aut,9835000,1985
aut,10380000,1986
aut,10670000,1987
aut,10560000,1988
aut,10380000,1989
aut,10790000,1990
aut,11620000,1991
aut,11330000,1992
aut,11410000,1993
aut,11260000,1994
aut,11270000,1995
aut,11640000,1996
aut,11860000,1997
aut,12310000,1998
aut,12060000,1999
aut,11790000,2000
aut,12800000,2001
aut,13040000,2002
aut,14140000,2003
aut,13760000,2004
aut,14170000,2005
aut,14200000,2006
aut,13390000,2007
aut,13420000,2008
aut,13000000,2009
aut,13000000,2010
aze,8201000,1985
aze,8599000,1986
aze,8099000,1987
aze,8300000,1988
aze,8099000,1989
aze,8501000,1990
aze,8201000,1991
aze,7995000,1992
aze,7985000,1993
aze,7254000,1994
aze,6573000,1995
aze,5932000,1996
aze,5642000,1997
aze,5942000,1998
aze,5722000,1999
aze,6325000,2000
aze,3991000,2001
aze,3665000,2002
aze,4272000,2003
aze,4579000,2004
aze,5347000,2005
aze,4868000,2006
aze,4496000,2007
aze,3340000,2008
aze,3200000,2009
aze,3300000,2010
bgd,757000,1972
bgd,876000,1973
bgd,967000,1974
bgd,1119000,1975
bgd,1207000,1976
bgd,1187000,1977
bgd,1286000,1978
bgd,1419000,1979
bgd,1592000,1980
bgd,1603000,1981
bgd,1467000,1982
bgd,1336000,1983
bgd,1588000,1984
bgd,1716000,1985
bgd,1710000,1986
bgd,1680000,1987
bgd,1845000,1988
bgd,1999000,1989
bgd,1909000,1990
bgd,1696000,1991
bgd,1823000,1992
bgd,2085000,1993
bgd,2176000,1994
bgd,2850000,1995
bgd,2893000,1996
bgd,3319000,1997
bgd,3696000,1998
bgd,3284000,1999
bgd,3217000,2000
bgd,3877000,2001
bgd,3876000,2002
bgd,3991000,2003
bgd,4029000,2004
bgd,4554000,2005
bgd,4491000,2006
bgd,4541000,2007
bgd,4639000,2008
bgd,4800000,2009
bgd,4800000,2010
blr,25200000,1985
blr,29800000,1986
blr,29500000,1987
blr,28600000,1988
blr,26800000,1989
blr,24800000,1990
blr,24000000,1991
blr,20500000,1992
blr,14520000,1993
blr,11810000,1994
blr,10410000,1995
blr,9849000,1996
blr,8822000,1997
blr,8597000,1998
blr,7553000,1999
blr,6976000,2000
blr,7279000,2001
blr,7078000,2002
blr,7191000,2003
blr,7437000,2004
blr,7070000,2005
blr,7969000,2006
blr,7613000,2007
blr,7704000,2008
blr,9300000,2009
blr,6600000,2010
bra,14880000,1965
bra,16220000,1966
bra,16760000,1967
bra,20140000,1968
bra,22110000,1969
bra,25180000,1970
bra,27960000,1971
bra,32150000,1972
bra,39800000,1973
bra,42980000,1974
bra,44450000,1975
bra,47900000,1976
bra,49260000,1977
bra,54220000,1978
bra,57660000,1979
bra,56380000,1980
bra,53850000,1981
bra,54760000,1982
bra,53260000,1983
bra,54460000,1984
bra,55960000,1985
bra,61850000,1986
bra,63280000,1987
bra,64920000,1988
bra,66020000,1989
bra,64260000,1990
bra,65100000,1991
bra,68030000,1992
bra,69080000,1993
bra,72350000,1994
bra,76100000,1995
bra,81300000,1996
bra,86830000,1997
bra,90020000,1998
bra,92530000,1999
bra,91600000,2000
bra,92890000,2001
bra,91630000,2002
bra,87800000,2003
bra,88370000,2004
bra,90150000,2005
bra,92820000,2006
bra,99790000,2007
bra,105300000,2008
bra,107000000,2009
bra,116900000,2010
bgr,3702000,1965
bgr,4226000,1966
bgr,5316000,1967
bgr,6300000,1968
bgr,7736000,1969
bgr,8986000,1970
bgr,9889000,1971
bgr,10280000,1972
bgr,10850000,1973
bgr,11280000,1974
bgr,11960000,1975
bgr,12430000,1976
bgr,12930000,1977
bgr,13320000,1978
bgr,13730000,1979
bgr,13970000,1980
bgr,12460000,1981
bgr,12060000,1982
bgr,11630000,1983
bgr,11170000,1984
bgr,10360000,1985
bgr,10920000,1986
bgr,10490000,1987
bgr,11130000,1988
bgr,10840000,1989
bgr,8826000,1990
bgr,5886000,1991
bgr,5964000,1992
bgr,6179000,1993
bgr,5780000,1994
bgr,5581000,1995
bgr,5612000,1996
bgr,4426000,1997
bgr,4799000,1998
bgr,4453000,1999
bgr,3921000,2000
bgr,4030000,2001
bgr,4508000,2002
bgr,5223000,2003
bgr,4743000,2004
bgr,4932000,2005
bgr,5221000,2006
bgr,5290000,2007
bgr,5417000,2008
bgr,5600000,2009
bgr,4200000,2010
can,53840000,1965
can,56710000,1966
can,60570000,1967
can,64480000,1968
can,67140000,1969
can,71610000,1970
can,73520000,1971
can,77400000,1972
can,81650000,1973
can,83010000,1974
can,81130000,1975
can,85440000,1976
can,86310000,1977
can,87960000,1978
can,91500000,1979
can,90100000,1980
can,84230000,1981
can,75360000,1982
can,70490000,1983
can,71220000,1984
can,71200000,1985
can,71390000,1986
can,74150000,1987
can,77970000,1988
can,80990000,1989
can,79810000,1990
can,75280000,1991
can,76780000,1992
can,77110000,1993
can,78450000,1994
can,79770000,1995
can,82130000,1996
can,85230000,1997
can,86740000,1998
can,87190000,1999
can,88060000,2000
can,90530000,2001
can,92220000,2002
can,95920000,2003
can,100600000,2004
can,100300000,2005
can,99600000,2006
can,102800000,2007
can,102000000,2008
can,97100000,2009
can,102300000,2010
chl,3338000,1965
chl,3696000,1966
chl,3871000,1967
chl,4096000,1968
chl,4373000,1969
chl,4597000,1970
chl,5177000,1971
chl,5376000,1972
chl,5059000,1973
chl,4925000,1974
chl,4306000,1975
chl,4474000,1976
chl,4648000,1977
chl,4941000,1978
chl,5158000,1979
chl,5064000,1980
chl,5059000,1981
chl,4941000,1982
chl,4790000,1983
chl,4736000,1984
chl,4599000,1985
chl,4840000,1986
chl,5059000,1987
chl,5612000,1988
chl,6286000,1989
chl,6627000,1990
chl,6838000,1991
chl,7351000,1992
chl,8010000,1993
chl,8810000,1994
chl,9673000,1995
chl,10620000,1996
chl,11190000,1997
chl,11410000,1998
chl,11460000,1999
chl,10820000,2000
chl,10520000,2001
chl,10440000,2002
chl,10480000,2003
chl,11090000,2004
chl,11750000,2005
chl,12270000,2006
chl,16130000,2007
chl,16790000,2008
chl,15600000,2009
chl,14700000,2010
chn,10960000,1965
chn,14070000,1966
chn,13900000,1967
chn,15200000,1968
chn,20380000,1969
chn,28190000,1970
chn,38430000,1971
chn,44180000,1972
chn,53830000,1973
chn,61890000,1974
chn,68250000,1975
chn,78030000,1976
chn,82400000,1977
chn,91250000,1978
chn,91100000,1979
chn,85350000,1980
chn,81140000,1981
chn,80140000,1982
chn,81780000,1983
chn,84620000,1984
chn,89810000,1985
chn,95670000,1986
chn,101500000,1987
chn,108800000,1988
chn,113900000,1989
chn,112800000,1990
chn,121800000,1991
chn,132400000,1992
chn,145800000,1993
chn,148100000,1994
chn,160200000,1995
chn,173800000,1996
chn,196000000,1997
chn,197000000,1998
chn,209600000,1999
chn,223600000,2000
chn,227900000,2001
chn,247400000,2002
chn,271700000,2003
chn,318900000,2004
chn,327800000,2005
chn,346100000,2006
chn,362800000,2007
chn,375700000,2008
chn,388200000,2009
chn,428600000,2010
col,3376000,1965
col,3920000,1966
col,3941000,1967
col,4427000,1968
col,4215000,1969
col,4807000,1970
col,5212000,1971
col,6022000,1972
col,5853000,1973
col,6503000,1974
col,6494000,1975
col,6951000,1976
col,6915000,1977
col,6975000,1978
col,7420000,1979
col,7842000,1980
col,8064000,1981
col,7686000,1982
col,8089000,1983
col,7712000,1984
