geo,oil_proven_reserves_per_person,time
dza,59.47,1980
dza,56.79,1981
dza,64.27,1982
dza,60.81,1983
dza,57.52,1984
dza,54.66,1985
dza,53.01,1986
dza,50.23,1987
dza,52.54,1988
dza,51.42,1989
dza,50.01,1990
dza,48.85,1991
dza,47.72,1992
dza,46.63,1993
dza,49.47,1994
dza,48.47,1995
dza,51.52,1996
dza,52.55,1997
dza,52.28,1998
dza,51.51,1999
dza,50.75,2000
dza,50.02,2001
dza,49.32,2002
dza,50.75,2003
dza,50.1,2004
dza,51.45,2005
dza,50.82,2006
dza,49.92,2007
dza,49.32,2008
ago,27.82,1980
ago,21.97,1981
ago,28.32,1982
ago,32.32,1983
ago,39.36,1984
ago,36.31,1985
ago,24.66,1986
ago,34.64,1987
ago,34.02,1988
ago,34.72,1989
ago,26.73,1990
ago,23.29,1991
ago,20.83,1992
ago,28.93,1993
ago,44.1,1994
ago,45.25,1995
ago,52.17,1996
ago,53.87,1997
ago,54.58,1998
ago,67.12,1999
ago,78.0,2000
ago,83.46,2001
ago,111.7,2002
ago,107.3,2003
ago,107.0,2004
ago,104.2,2005
ago,101.6,2006
ago,148.3,2007
ago,144.9,2008
arg,11.81,1980
arg,10.26,1981
arg,9.063,1982
arg,11.21,1983
arg,10.6,1984
arg,9.96,1985
arg,9.779,1986
arg,9.688,1987
arg,9.691,1988
arg,9.081,1989
arg,6.485,1990
arg,6.855,1991
arg,8.103,1992
arg,8.787,1993
arg,8.813,1994
arg,9.218,1995
arg,9.921,1996
arg,9.876,1997
arg,10.25,1998
arg,11.3,1999
arg,10.82,2000
arg,10.36,2001
arg,10.04,2002
arg,9.417,2003
arg,8.635,2004
arg,7.522,2005
arg,8.838,2006
arg,8.854,2007
arg,8.772,2008
aus,19.81,1980
aus,23.93,1981
aus,21.74,1982
aus,21.98,1983
aus,25.24,1984
aus,25.09,1985
aus,26.87,1986
aus,26.61,1987
aus,28.24,1988
aus,27.4,1989
aus,27.74,1990
aus,26.42,1991
aus,25.49,1992
aus,26.08,1993
aus,29.91,1994
aus,30.02,1995
aus,29.07,1996
aus,29.73,1997
aus,29.9,1998
aus,34.11,1999
aus,35.2,2000
aus,34.9,2001
aus,31.9,2002
aus,30.7,2003
aus,27.79,2004
aus,28.23,2005
aus,27.99,2006
aus,27.75,2007
aus,27.53,2008
aze,20.83,1998
aze,20.79,1999
aze,20.74,2000
aze,20.68,2001
aze,122.4,2002
aze,121.9,2003
aze,121.3,2004
aze,120.7,2005
aze,119.9,2006
aze,119.1,2007
aze,118.2,2008
bra,1.462,1980
bra,1.599,1981
bra,1.818,1982
bra,1.913,1983
bra,2.043,1984
bra,2.154,1985
bra,2.296,1986
bra,2.434,1987
bra,2.635,1988
bra,2.534,1989
bra,4.074,1990
bra,4.281,1991
bra,4.343,1992
bra,4.288,1993
bra,4.553,1994
bra,5.19,1995
bra,5.487,1996
bra,5.751,1997
bra,5.87,1998
bra,6.417,1999
bra,6.577,2000
bra,6.511,2001
bra,7.433,2002
bra,7.944,2003
bra,8.33,2004
bra,8.628,2005
bra,8.835,2006
bra,9.062,2007
bra,8.983,2008
brn,952.9,1980
brn,1061.0,1981
brn,988.3,1982
brn,1010.0,1983
brn,941.4,1984
brn,893.8,1985
brn,883.6,1986
brn,927.3,1987
brn,673.6,1988
brn,627.0,1989
brn,593.8,1990
brn,590.0,1991
brn,563.1,1992
brn,605.5,1993
brn,559.7,1994
brn,515.3,1995
brn,486.6,1996
brn,461.1,1997
brn,432.9,1998
brn,539.0,1999
brn,498.8,2000
brn,460.4,2001
brn,427.6,2002
brn,399.9,2003
brn,418.4,2004
brn,404.8,2005
brn,431.4,2006
brn,380.4,2007
brn,373.6,2008
can,48.24,1980
can,50.97,1981
can,49.06,1982
can,51.48,1983
can,49.84,1984
can,50.23,1985
can,60.86,1986
can,60.16,1987
can,60.29,1988
can,57.9,1989
can,54.75,1990
can,52.68,1991
can,49.19,1992
can,47.36,1993
can,47.06,1994
can,48.34,1995
can,49.83,1996
can,48.11,1997
can,67.29,1998
can,80.64,1999
can,79.82,2000
can,76.93,2001
can,75.32,2002
can,71.16,2003
can,69.46,2004
can,71.03,2005
can,114.0,2006
can,116.9,2007
can,115.9,2008
tcd,14.76,2000
tcd,14.32,2001
tcd,13.89,2002
tcd,13.48,2003
tcd,13.09,2004
tcd,12.71,2005
tcd,12.34,2006
tcd,11.99,2007
tcd,11.65,2008
chn,1.854,1980
chn,1.822,1981
chn,1.806,1982
chn,1.981,1983
chn,2.15,1984
chn,2.215,1985
chn,2.191,1986
chn,2.189,1987
chn,2.137,1988
chn,1.955,1989
chn,1.922,1990
chn,1.836,1991
chn,1.776,1992
chn,1.9,1993
chn,1.858,1994
chn,1.849,1995
chn,1.84,1996
chn,1.885,1997
chn,1.911,1998
chn,1.942,1999
chn,1.939,2000
chn,1.963,2001
chn,1.652,2002
chn,1.638,2003
chn,1.635,2004
chn,1.631,2005
chn,1.692,2006
chn,1.669,2007
chn,1.589,2008
col,2.822,1980
col,2.662,1981
col,2.997,1982
col,3.075,1983
