geo,other_deaths_in_newborn_per_1000_births,time
afg,2.227,2008
alb,0.3256,2008
dza,1.025,2008
ago,2.209,2008
arg,1.108,2008
arm,1.295,2008
aus,0.7707,2008
aut,0.5141,2008
aze,1.448,2008
bhs,0.8856,2008
bhr,0.5009,2008
bgd,1.696,2008
brb,0.6995,2008
blr,1.973,2008
bel,0.5465,2008
blz,1.345,2008
ben,1.337,2008
btn,1.628,2008
bol,1.29,2008
bih,0.582,2008
bwa,1.059,2008
bra,1.957,2008
brn,0.7717,2008
bgr,0.8804,2008
bfa,1.46,2008
bdi,2.169,2008
khm,1.652,2008
cmr,1.542,2008
can,0.7845,2008
cpv,0.997,2008
caf,2.176,2008
tcd,2.281,2008
chl,0.625,2008
chn,3.567,2008
col,2.323,2008
com,1.912,2008
cog,1.535,2008
cri,0.8219,2008
civ,1.748,2008
hrv,0.664,2008
cub,0.7744,2008
cyp,0.2016,2008
cze,0.4583,2008
prk,1.262,2008
cod,2.237,2008
dnk,0.2888,2008
dji,1.571,2008
dom,1.182,2008
ecu,1.214,2008
egy,0.7414,2008
slv,0.5469,2008
gnq,1.955,2008
eri,1.132,2008
est,0.8786,2008
eth,2.081,2008
fji,0.7354,2008
fin,0.4067,2008
fra,0.701,2008
gab,1.214,2008
gmb,1.457,2008
geo,1.322,2008
deu,0.3935,2008
gha,1.5,2008
grc,0.07498,2008
grd,0.994,2008
gtm,0.3954,2008
gin,1.971,2008
gnb,2.077,2008
guy,0.9543,2008
hti,1.314,2008
hnd,1.032,2008
hun,1.197,2008
isl,0.4326,2008
ind,7.571,2008
idn,1.022,2008
irn,0.8734,2008
irq,1.013,2008
irl,0.3473,2008
isr,0.4361,2008
ita,0.5093,2008
jam,0.7252,2008
jpn,0.2834,2008
jor,0.8412,2008
kaz,12.53,2008
ken,1.776,2008
kwt,0.2131,2008
kgz,0.7151,2008
lao,1.219,2008
lva,0.8647,2008
lbn,0.4095,2008
lso,1.87,2008
lbr,2.063,2008
lby,0.6064,2008
ltu,0.3501,2008
lux,0.1834,2008
mdg,1.7,2008
mwi,1.417,2008
mys,0.2888,2008
mdv,1.048,2008
mli,2.224,2008
mlt,0.2717,2008
mrt,1.954,2008
mus,1.548,2008
mex,0.739,2008
fsm,1.435,2008
mng,1.451,2008
mne,0.3956,2008
mar,1.001,2008
moz,1.921,2008
mmr,2.367,2008
nam,1.226,2008
npl,1.629,2008
nld,0.5673,2008
nzl,0.8067,2008
nic,1.036,2008
ner,1.58,2008
nga,2.555,2008
nor,0.2928,2008
omn,0.3096,2008
pak,2.248,2008
pan,1.54,2008
png,1.445,2008
pry,1.035,2008
per,1.035,2008
phl,2.044,2008
pol,0.3546,2008
prt,0.1434,2008
qat,0.2003,2008
kor,0.3343,2008
mda,0.8235,2008
rou,1.615,2008
rus,2.196,2008
rwa,1.913,2008
lca,0.9885,2008
vct,2.087,2008
wsm,0.9497,2008
stp,1.555,2008
sau,0.6095,2008
sen,1.452,2008
srb,0.3842,2008
sle,1.976,2008
sgp,0.1076,2008
svk,0.2002,2008
svn,0.4622,2008
slb,1.478,2008
som,2.896,2008
zaf,1.769,2008
esp,0.6229,2008
lka,0.8044,2008
sdn,1.418,2008
sur,1.023,2008
swz,1.284,2008
swe,0.3542,2008
che,0.8268,2008
syr,0.4558,2008
tjk,1.125,2008
tha,0.8886,2008
mkd,0.0,2008
tgo,1.481,2008
ton,1.049,2008
tto,4.752,2008
tun,0.3851,2008
tur,1.037,2008
tkm,0.9578,2008
uga,1.614,2008
ukr,2.455,2008
are,0.3516,2008
gbr,0.214,2008
tza,1.767,2008
usa,0.9323,2008
ury,1.728,2008
uzb,1.258,2008
vut,0.9907,2008
ven,0.7803,2008
vnm,0.7411,2008
yem,1.481,2008
zmb,1.836,2008
zwe,1.517,2008
