geo,time,other_deaths_in_newborn_total_deaths
afg,2008,2825
alb,2008,15
dza,2008,732
ago,2008,1709
arg,2008,764
arm,2008,61
aus,2008,206
aut,2008,39
aze,2008,240
bhs,2008,5
bhr,2008,7
bgd,2008,5815
brb,2008,2
blr,2008,190
bel,2008,65
blz,2008,10
ben,2008,457
btn,2008,24
bol,2008,339
bih,2008,20
bwa,2008,50
bra,2008,6077
brn,2008,6
bgr,2008,64
bfa,2008,1052
bdi,2008,602
khm,2008,597
cmr,2008,1086
can,2008,277
cpv,2008,12
caf,2008,335
tcd,2008,1137
chl,2008,157
chn,2008,64690
col,2008,2134
com,2008,41
cog,2008,192
cri,2008,62
civ,2008,1262
hrv,2008,28
cub,2008,91
cyp,2008,2
cze,2008,50
prk,2008,413
cod,2008,6456
dnk,2008,18
dji,2008,38
dom,2008,265
ecu,2008,341
egy,2008,1494
slv,2008,68
gnq,2008,49
eri,2008,206
est,2008,14
eth,2008,6437
fji,2008,13
fin,2008,24
fra,2008,527
gab,2008,48
gmb,2008,89
geo,2008,69
deu,2008,262
gha,2008,1135
grc,2008,8
grd,2008,2
gtm,2008,179
gin,2008,773
gnb,2008,135
guy,2008,13
hti,2008,359
hnd,2008,208
hun,2008,118
isl,2008,2
ind,2008,203800
idn,2008,4311
irn,2008,1212
irq,2008,956
irl,2008,24
isr,2008,61
ita,2008,278
jam,2008,38
jpn,2008,293
jor,2008,132
kaz,2008,3811
ken,2008,2675
kwt,2008,11
kgz,2008,86
lao,2008,207
lva,2008,20
lbn,2008,27
lso,2008,111
lbr,2008,300
lby,2008,89
ltu,2008,11
lux,2008,1
mdg,2008,1168
mwi,2008,848
mys,2008,159
mdv,2008,6
mli,2008,1206
mlt,2008,1
mrt,2008,211
mus,2008,28
mex,2008,1514
fsm,2008,4
mng,2008,72
mne,2008,3
mar,2008,647
moz,2008,1684
mmr,2008,2414
nam,2008,72
npl,2008,1192
nld,2008,105
nzl,2008,47
nic,2008,145
ner,2008,1249
nga,2008,15400
nor,2008,17
omn,2008,19
pak,2008,12000
pan,2008,108
png,2008,299
pry,2008,159
per,2008,630
phl,2008,4570
pol,2008,132
prt,2008,15
qat,2008,3
kor,2008,151
mda,2008,37
rou,2008,345
rus,2008,3393
rwa,2008,771
lca,2008,3
vct,2008,4
wsm,2008,4
stp,2008,8
sau,2008,360
sen,2008,683
srb,2008,44
sle,2008,441
sgp,2008,4
svk,2008,11
svn,2008,9
slb,2008,23
som,2008,1145
zaf,2008,1931
esp,2008,306
lka,2008,294
sdn,2008,1838
sur,2008,10
swz,2008,45
swe,2008,38
che,2008,60
syr,2008,269
tjk,2008,217
tha,2008,868
mkd,2008,0
tgo,2008,315
ton,2008,3
tto,2008,94
tun,2008,63
tur,2008,1398
tkm,2008,106
uga,2008,2366
ukr,2008,1126
are,2008,22
gbr,2008,159
tza,2008,3130
usa,2008,4101
ury,2008,87
uzb,2008,696
vut,2008,7
ven,2008,467
vnm,2008,1107
yem,2008,1253
zmb,2008,996
zwe,2008,573
