geo,other_infections_deaths_in_children_1_59_months_per_1000_birt,time
afg,38.48,2008
alb,2.149,2008
dza,4.262,2008
ago,33.13,2008
arg,1.306,2008
arm,1.741,2008
aus,0.4714,2008
aut,0.3823,2008
aze,3.856,2008
bhs,1.771,2008
bhr,1.288,2008
bgd,3.886,2008
brb,1.749,2008
blr,0.7684,2008
bel,0.496,2008
blz,2.152,2008
ben,11.28,2008
btn,9.223,2008
bol,5.872,2008
bih,1.339,2008
bwa,2.541,2008
bra,4.044,2008
brn,0.5145,2008
bgr,1.197,2008
bfa,23.8,2008
bdi,22.9,2008
khm,15.34,2008
cmr,14.98,2008
can,0.7477,2008
cpv,1.911,2008
caf,17.08,2008
tcd,18.85,2008
chl,0.7643,2008
chn,0.7629,2008
col,1.621,2008
com,13.75,2008
cog,12.57,2008
cri,0.4905,2008
civ,8.623,2008
hrv,0.3557,2008
cub,0.4255,2008
cyp,0.3024,2008
cze,0.4033,2008
prk,5.502,2008
cod,20.02,2008
dnk,0.3048,2008
dji,11.79,2008
dom,3.475,2008
ecu,3.436,2008
egy,1.727,2008
slv,2.517,2008
gnq,5.466,2008
eri,8.729,2008
est,0.3766,2008
eth,9.684,2008
fji,2.15,2008
fin,0.1695,2008
fra,0.4549,2008
gab,2.124,2008
gmb,11.08,2008
geo,2.549,2008
deu,0.446,2008
gha,4.441,2008
grc,0.08436,2008
grd,0.497,2008
gtm,3.89,2008
gin,9.34,2008
gnb,19.42,2008
guy,6.827,2008
hti,3.924,2008
hnd,3.24,2008
hun,0.6187,2008
isl,0.4326,2008
ind,3.123,2008
idn,5.359,2008
irn,2.918,2008
irq,1.997,2008
irl,0.2605,2008
isr,0.3932,2008
ita,0.4085,2008
jam,5.229,2008
jpn,0.294,2008
jor,1.549,2008
kaz,3.034,2008
ken,17.09,2008
kwt,1.22,2008
kgz,4.989,2008
lao,10.47,2008
lva,0.7782,2008
lbn,0.9706,2008
lso,5.847,2008
lbr,13.12,2008
lby,1.513,2008
ltu,0.3501,2008
lux,0.5503,2008
mdg,13.7,2008
mwi,9.039,2008
mys,0.5121,2008
mdv,2.795,2008
mli,18.12,2008
mlt,1.087,2008
mrt,10.86,2008
mus,1.658,2008
mex,1.761,2008
fsm,4.304,2008
mng,7.595,2008
mne,0.6594,2008
mar,2.808,2008
moz,10.77,2008
mmr,9.589,2008
nam,1.958,2008
npl,2.888,2008
nld,0.2918,2008
nzl,0.3433,2008
nic,3.329,2008
ner,18.2,2008
nga,16.23,2008
nor,0.465,2008
omn,0.831,2008
pak,4.979,2008
pan,3.536,2008
png,7.791,2008
pry,2.987,2008
per,2.834,2008
phl,4.113,2008
pol,0.5937,2008
prt,0.2772,2008
qat,0.7344,2008
kor,0.724,2008
mda,0.3561,2008
rou,0.2575,2008
rus,0.3274,2008
rwa,12.85,2008
lca,2.636,2008
vct,1.565,2008
wsm,3.086,2008
stp,10.3,2008
sau,1.922,2008
sen,12.24,2008
srb,0.7597,2008
sle,22.56,2008
sgp,0.2151,2008
svk,0.6005,2008
svn,0.3081,2008
slb,4.049,2008
som,17.55,2008
zaf,2.944,2008
esp,0.4865,2008
lka,1.494,2008
sdn,8.446,2008
sur,3.172,2008
swz,4.795,2008
swe,0.1957,2008
che,0.3445,2008
syr,1.913,2008
tjk,9.884,2008
tha,0.8098,2008
mkd,1.394,2008
tgo,6.557,2008
ton,2.447,2008
tto,0.6571,2008
tun,1.919,2008
tur,1.415,2008
tkm,7.22,2008
uga,10.84,2008
ukr,1.079,2008
are,0.4156,2008
gbr,0.6299,2008
tza,8.455,2008
usa,0.8618,2008
ury,1.609,2008
uzb,4.578,2008
vut,3.255,2008
ven,1.113,2008
vnm,0.9426,2008
yem,3.706,2008
zmb,16.76,2008
zwe,5.647,2008
