geo,time,other_social_services_aid_given_percent_of_aid
aus,1967,14.57
aus,1968,27.18
aus,1969,17.0
aus,1970,11.2
aus,1973,2.027
aus,1974,1.133
aus,1975,1.717
aus,1976,8.267
aus,1977,4.236
aus,1978,3.681
aus,1979,3.414
aus,1980,7.159
aus,1981,2.148
aus,1982,2.426
aus,1983,15.98
aus,1984,2.561
aus,1985,2.693
aus,1986,3.623
aus,1987,1.547
aus,1988,1.181
aus,1989,0.302
aus,1990,2.415
aus,1991,1.237
aus,1992,8.709
aus,1993,4.924
aus,1994,9.223
aus,1995,9.016
aus,1996,5.293
aus,1997,7.653
aus,1998,11.69
aus,1999,5.322
aus,2000,6.712
aus,2001,5.825
aus,2002,6.565
aus,2003,12.26
aus,2004,6.742
aus,2005,9.889
aus,2006,7.777
aus,2007,2.37
aut,1974,0.2532
aut,1976,2.621
aut,1982,0.1808
aut,1983,0.1633
aut,1984,0.2931
aut,1985,2.112
aut,1986,1.296
aut,1987,1.173
aut,1988,3.695
aut,1989,0.4001
aut,1990,3.187
aut,1991,3.524
aut,1992,0.662
aut,1993,3.99
aut,1994,2.473
aut,1995,1.184
aut,1996,2.829
aut,1997,5.769
aut,1998,0.7747
aut,1999,0.6494
aut,2000,2.921
aut,2001,2.414
aut,2002,3.261
aut,2003,4.044
aut,2004,2.891
aut,2005,3.31
aut,2006,2.939
aut,2007,3.141
bel,1967,29.94
bel,1968,41.01
bel,1969,38.75
bel,1970,40.74
bel,1973,7.329
bel,1974,4.138
bel,1975,9.583
bel,1976,5.34
bel,1977,2.752
bel,1978,6.441
bel,1979,7.953
bel,1980,12.81
bel,1981,3.293
bel,1982,1.921
bel,1983,10.84
bel,1984,4.834
bel,1985,5.029
bel,1986,4.606
bel,1987,3.424
bel,1988,4.67
bel,1991,0.9383
bel,1992,0.1659
bel,1993,0.2941
bel,1994,0.5564
bel,1995,8.917
bel,1996,7.465
bel,1997,8.482
bel,1998,8.86
bel,1999,9.863
bel,2000,7.885
bel,2001,5.512
bel,2002,4.894
bel,2003,5.865
bel,2004,9.411
bel,2005,12.83
bel,2006,9.572
bel,2007,6.69
can,1967,32.87
can,1968,29.68
can,1969,16.22
can,1970,20.96
can,1973,0.5833
can,1974,4.215
can,1975,2.192
can,1976,2.384
can,1977,1.939
can,1978,2.145
can,1979,4.22
can,1980,2.695
can,1981,0.8474
can,1982,3.144
can,1983,3.868
can,1984,4.195
can,1985,3.071
can,1986,2.323
can,1987,2.639
can,1988,3.303
can,1989,7.365
can,1990,3.883
can,1991,5.191
can,1992,1.089
can,1993,6.81
can,1994,3.143
can,1995,6.961
can,1996,7.664
can,1997,9.647
can,1998,11.18
can,1999,8.055
can,2000,2.007
can,2001,3.089
can,2002,4.222
can,2003,2.878
can,2004,6.086
can,2005,3.619
can,2006,5.889
can,2007,1.78
dnk,1973,1.285
dnk,1975,6.18
dnk,1976,0.9606
dnk,1977,2.573
dnk,1978,2.446
dnk,1979,0.6538
dnk,1980,5.346
dnk,1981,5.385
dnk,1983,1.542
dnk,1984,0.1613
dnk,1985,1.143
dnk,1986,4.891
dnk,1989,0.7952
dnk,1990,12.4
dnk,1991,24.63
dnk,1992,21.69
dnk,1993,16.31
dnk,1994,8.719
dnk,1995,5.731
dnk,1996,2.574
dnk,1997,1.986
dnk,1998,9.389
dnk,1999,2.375
dnk,2000,3.373
dnk,2001,3.739
dnk,2002,7.353
dnk,2003,6.008
dnk,2004,1.289
dnk,2005,4.065
dnk,2006,2.564
dnk,2007,3.51
fin,1973,0.9333
fin,1974,3.654
fin,1975,3.192
fin,1976,4.216
fin,1977,5.757
fin,1978,2.848
fin,1979,2.848
fin,1980,1.933
fin,1981,0.3563
fin,1982,2.204
fin,1984,1.117
fin,1985,0.2757
fin,1986,0.08078
fin,1988,0.4409
fin,1989,4.349
fin,1990,1.092
fin,1991,1.122
fin,1992,7.168
fin,1993,3.359
fin,1994,6.206
fin,1995,1.865
fin,1996,3.502
fin,1997,4.63
