geo,poverty_percent_people_below_2_a_day,time
alb,6.5,1997
alb,8.76,2002
alb,5.57,2004
alb,7.85,2005
alb,4.25,2008
dza,24.55,1988
dza,23.61,1995
ago,70.21,2000
arg,0.0,1986
arg,0.16,1987
arg,2.51,1991
arg,4.0,1992
arg,4.39,1993
arg,4.34,1994
arg,7.06,1995
arg,7.9,1996
arg,7.49,1997
arg,8.0,1998
arg,8.52,1999
arg,10.53,2000
arg,14.91,2001
arg,23.05,2002
arg,17.92,2003
arg,12.35,2004
arg,9.41,2005
arg,7.37,2006
arg,5.46,2007
arg,3.66,2008
arg,3.44,2009
arg,1.87,2010
arm,38.87,1996
arm,48.81,1999
arm,50.73,2001
arm,46.74,2002
arm,43.45,2003
arm,31.84,2004
arm,23.29,2005
arm,18.78,2006
arm,20.51,2007
arm,12.43,2008
aze,39.08,1995
aze,27.11,2001
aze,2.81,2008
bgd,90.46,1984
bgd,87.42,1986
bgd,90.69,1989
bgd,92.99,1992
bgd,85.54,1996
bgd,84.4,2000
bgd,80.32,2005
bgd,76.54,2010
blr,0.19,1988
blr,0.14,1993
blr,0.84,1995
blr,3.93,1998
blr,1.89,2000
blr,1.52,2001
blr,2.5,2002
blr,0.64,2004
blr,0.49,2005
blr,0.25,2006
blr,0.25,2007
blr,0.19,2008
blz,19.87,1993
blz,20.52,1994
blz,23.64,1995
blz,23.84,1996
blz,27.95,1997
blz,26.26,1998
blz,22.0,1999
ben,75.32,2003
btn,49.52,2003
btn,29.76,2007
bol,19.21,1991
bol,21.27,1993
bol,27.14,1997
bol,33.48,1999
bol,37.88,2000
bol,31.64,2001
bol,32.91,2002
bol,27.96,2005
bol,25.34,2006
bol,24.66,2007
bol,24.89,2008
bih,0.29,2001
bih,0.34,2004
bih,0.19,2007
bwa,54.74,1986
bwa,49.4,1994
bra,26.76,1981
bra,26.78,1982
bra,31.64,1983
bra,30.64,1984
bra,27.27,1985
bra,20.77,1986
bra,25.5,1987
bra,26.63,1988
bra,25.06,1989
bra,30.03,1990
bra,30.29,1992
bra,29.21,1993
bra,20.81,1995
bra,21.76,1996
bra,21.51,1997
bra,20.52,1998
bra,21.32,1999
bra,21.71,2001
bra,20.23,2002
bra,20.6,2003
bra,18.64,2004
bra,16.63,2005
bra,14.42,2006
bra,13.19,2007
bra,11.32,2008
bra,10.82,2009
bgr,0.07,1989
bgr,0.0,1992
bgr,0.43,1994
bgr,4.34,1995
bgr,2.35,1997
bgr,7.79,2001
bgr,1.69,2003
bgr,0.41,2007
bfa,85.83,1994
bfa,87.6,1998
bfa,81.21,2003
bfa,72.56,2009
bdi,95.18,1992
bdi,95.41,1998
bdi,93.45,2006
khm,75.24,1994
khm,66.09,2004
khm,60.13,2007
khm,53.27,2008
cmr,51.78,1996
cmr,32.45,2001
cmr,30.36,2007
cpv,40.85,2002
caf,90.97,1992
caf,81.9,2003
caf,80.09,2008
