primary_completion_rate_total_percent_of_relevant_age_group,geo,time
15.65,afg,1974
16.36,afg,1977
17.94,afg,1978
24.97,afg,1980
31.04,afg,1981
12.6,afg,1982
17.1,afg,1984
17.84,afg,1985
26.63,afg,1993
34.06,afg,2005
93.06,alb,1996
102.7,alb,1999
101.7,alb,2000
103.3,alb,2001
101.1,alb,2003
98.43,alb,2004
89.91,alb,2008
89.28,alb,2009
86.26,alb,2010
88.83,alb,2011
43.34,dza,1972
45.4,dza,1973
47.72,dza,1974
53.25,dza,1975
59.15,dza,1976
61.87,dza,1977
64.19,dza,1978
63.82,dza,1979
63.33,dza,1980
67.64,dza,1981
69.32,dza,1982
72.14,dza,1983
76.99,dza,1984
91.41,dza,1985
75.45,dza,1986
77.76,dza,1987
78.99,dza,1988
82.17,dza,1989
80.93,dza,1990
79.43,dza,1991
81.73,dza,1992
80.67,dza,1993
79.13,dza,1994
80.1,dza,1995
83.45,dza,1996
84.53,dza,1997
84.73,dza,1999
82.42,dza,2000
88.73,dza,2001
90.22,dza,2002
91.67,dza,2003
92.99,dza,2004
94.45,dza,2005
96.4,dza,2007
115.7,dza,2008
94.13,dza,2009
95.99,dza,2010
94.37,dza,2011
102.0,and,2002
104.8,and,2003
100.7,and,2004
63.07,and,2011
48.98,ago,1981
43.34,ago,1982
34.05,ago,1991
45.94,ago,2008
45.43,ago,2009
46.63,ago,2010
82.98,atg,1975
82.16,atg,1976
98.18,atg,1992
101.2,atg,2008
93.78,atg,2009
100.4,atg,2010
97.71,atg,2011
70.81,arg,1970
71.62,arg,1971
75.46,arg,1974
78.97,arg,1975
78.75,arg,1976
98.54,arg,1994
93.64,arg,1996
92.33,arg,1997
100.5,arg,1998
99.08,arg,1999
99.03,arg,2000
98.75,arg,2001
102.9,arg,2002
101.0,arg,2003
99.78,arg,2004
97.84,arg,2005
99.98,arg,2006
102.6,arg,2007
105.8,arg,2008
106.0,arg,2009
106.0,arm,1994
95.58,arm,1997
93.23,arm,2002
88.55,arm,2003
99.09,arm,2004
91.83,arm,2005
92.98,arm,2006
101.3,arm,2007
83.34,arm,2011
102.0,abw,1999
97.73,abw,2000
94.75,abw,2001
95.15,abw,2002
90.4,abw,2003
90.62,abw,2004
87.75,abw,2005
92.2,abw,2006
93.32,abw,2007
91.85,abw,2008
92.06,abw,2009
90.66,abw,2010
95.9,aut,1971
