geo,ratio_of_girls_to_boys_in_primary_and_secondary_education_perc,time
afg,17.54,1970
afg,16.9,1971
afg,16.87,1972
afg,17.69,1973
afg,17.49,1974
afg,18.16,1975
afg,18.84,1976
afg,20.03,1977
afg,20.67,1978
afg,25.03,1981
afg,49.79,1982
afg,47.99,1984
afg,48.45,1985
afg,54.0,1986
afg,50.81,1988
afg,53.92,1991
afg,35.77,1993
afg,42.5,1994
afg,46.53,1995
afg,0.0,2001
afg,54.73,2003
afg,40.93,2004
afg,55.45,2005
afg,58.1,2006
afg,57.61,2007
afg,59.65,2008
afg,62.13,2009
afg,63.77,2010
alb,92.66,1976
alb,94.55,1978
alb,95.78,1979
alb,95.22,1980
alb,94.85,1981
alb,96.2,1982
alb,98.87,1983
alb,97.88,1984
alb,96.53,1985
alb,96.09,1986
alb,95.57,1987
alb,96.23,1988
alb,95.59,1989
alb,94.64,1990
alb,96.06,1991
alb,100.5,1994
alb,97.89,1995
alb,97.61,1996
alb,95.88,1999
alb,96.53,2000
alb,97.11,2001
alb,96.64,2003
alb,96.76,2004
alb,98.83,2008
alb,99.94,2009
alb,98.19,2010
alb,97.18,2011
dza,59.73,1971
dza,61.72,1972
dza,63.16,1973
dza,63.88,1974
dza,65.07,1975
dza,66.22,1976
dza,67.54,1977
dza,68.59,1978
dza,70.31,1979
dza,71.52,1980
dza,72.39,1981
dza,73.47,1982
dza,75.35,1984
dza,76.38,1985
dza,77.89,1986
dza,78.6,1987
dza,79.41,1988
dza,80.61,1989
dza,81.54,1990
dza,82.86,1991
dza,84.26,1992
dza,85.5,1993
dza,87.14,1994
dza,88.5,1995
dza,89.68,1996
dza,92.03,1997
dza,97.61,2002
dza,98.45,2003
dza,99.06,2004
dza,99.34,2005
dza,98.44,2009
asm,102.8,1991
and,110.9,1975
and,102.9,1983
and,101.4,2002
and,101.5,2003
and,101.3,2004
and,102.6,2005
and,103.3,2006
and,101.9,2007
and,101.7,2008
and,102.2,2009
and,102.9,2010
and,101.5,2011
ago,56.09,1971
ago,58.04,1972
ago,82.04,1982
ago,78.62,1983
ago,81.69,1998
ago,84.25,2008
ago,83.4,2009
ago,78.87,2010
atg,119.7,1974
atg,106.1,1975
atg,102.8,1976
atg,108.1,1977
atg,87.66,1978
atg,97.57,1992
atg,96.52,2007
atg,94.63,2008
atg,97.25,2009
atg,95.64,2010
atg,95.49,2011
arg,103.3,1970
arg,103.0,1971
arg,102.3,1972
arg,103.0,1973
arg,102.7,1974
arg,103.1,1975
arg,102.8,1976
arg,103.0,1977
arg,104.0,1978
arg,102.8,1979
arg,103.1,1980
arg,103.2,1981
arg,102.0,1982
arg,102.7,1984
arg,103.7,1985
arg,102.4,1986
arg,102.5,1987
arg,106.6,1988
arg,102.8,1996
arg,103.0,1997
arg,101.9,1998
arg,101.5,1999
arg,101.0,2000
arg,100.7,2001
arg,100.5,2002
arg,102.5,2003
arg,103.5,2004
arg,103.8,2005
arg,104.0,2006
arg,104.5,2007
arg,105.0,2008
arg,104.4,2009
arm,103.9,2001
arm,104.4,2002
arm,102.5,2003
arm,101.3,2004
arm,102.3,2005
arm,102.9,2006
arm,103.5,2007
arm,102.7,2008
arm,101.8,2009
arm,102.2,2010
arm,102.7,2011
abw,101.1,1999
abw,99.23,2000
abw,100.0,2001
abw,98.83,2002
abw,97.68,2003
abw,95.3,2004
abw,96.37,2005
abw,96.8,2006
abw,97.66,2007
abw,98.7,2008
abw,97.94,2009
abw,98.59,2010
aus,100.1,1993
aus,99.76,1994
aus,99.67,1995
aus,99.7,1996
aus,101.6,1997
aus,102.0,1998
aus,99.95,1999
aus,100.2,2000
aus,99.01,2001
aus,98.12,2002
aus,98.38,2003
aus,97.69,2004
aus,99.17,2005
aus,98.56,2006
aus,98.86,2007
aus,98.56,2008
aus,97.62,2009
aus,97.07,2010
aut,93.68,1971
aut,92.14,1976
aut,92.0,1981
aut,93.02,1982
aut,92.61,1983
aut,92.7,1984
aut,94.37,1985
aut,92.98,1986
aut,92.52,1987
aut,93.13,1988
aut,94.43,1989
aut,94.15,1990
aut,94.83,1991
aut,94.8,1992
aut,95.25,1993
aut,95.57,1994
aut,95.53,1995
aut,95.88,1996
aut,96.33,1997
aut,95.84,1998
aut,96.38,1999
aut,96.68,2000
aut,96.75,2001
aut,96.2,2002
aut,96.11,2003
aut,96.12,2004
aut,96.5,2005
aut,96.89,2006
aut,96.91,2007
aut,96.69,2008
aut,96.71,2009
aut,97.1,2010
aze,100.2,1991
aze,99.14,1992
aze,97.16,1993
aze,94.56,1994
aze,106.5,1995
aze,106.1,1996
aze,102.9,1997
aze,99.44,1998
aze,99.3,1999
aze,96.26,2000
aze,94.41,2001
aze,94.12,2002
aze,94.23,2003
aze,95.33,2004
aze,95.15,2005
aze,95.04,2006
aze,97.53,2007
aze,98.12,2008
aze,101.2,2009
aze,98.22,2010
aze,97.5,2011
bhs,108.5,1982
bhs,107.5,1983
bhs,107.6,1985
bhs,107.2,1986
bhs,101.5,1992
bhs,101.8,1993
bhs,100.3,1995
bhs,125.2,1997
bhs,97.46,1999
bhs,98.09,2000
bhs,101.6,2002
bhs,98.67,2004
bhs,98.9,2005
bhs,99.48,2006
bhs,100.8,2007
bhs,100.5,2008
bhs,102.4,2009
bhs,103.6,2010
bhr,72.71,1971
bhr,76.84,1972
bhr,78.63,1973
bhr,80.42,1974
bhr,81.42,1975
bhr,82.66,1976
bhr,83.61,1977
bhr,84.29,1978
bhr,84.02,1979
bhr,84.8,1980
bhr,85.14,1981
bhr,86.07,1982
bhr,90.81,1983
bhr,93.73,1984
bhr,96.67,1985
bhr,98.84,1986
bhr,99.45,1987
bhr,99.86,1988
bhr,101.0,1989
bhr,102.7,1990
bhr,102.4,1991
bhr,103.6,1992
bhr,103.8,1993
bhr,103.5,1994
bhr,102.2,1995
