geo,residential_electricity_use_total,time
alb,714100000,1990
alb,529100000,1991
alb,583100000,1992
alb,759100000,1993
alb,780100000,1994
alb,883200000,1995
alb,1175000000,1996
alb,1105000000,1997
alb,1500000000,1998
alb,2221000000,1999
alb,2463000000,2000
alb,2405000000,2001
alb,3071000000,2002
alb,3012000000,2003
alb,2792000000,2004
alb,2733000000,2005
alb,1977000000,2006
alb,2070000000,2007
alb,2303000000,2008
dza,387100000,1971
dza,436100000,1972
dza,511100000,1973
dza,575100000,1974
dza,635100000,1975
dza,755100000,1976
dza,835200000,1977
dza,974200000,1978
dza,1089000000,1979
dza,1061000000,1980
dza,1161000000,1981
dza,1486000000,1982
dza,1643000000,1983
dza,2040000000,1984
dza,2297000000,1985
dza,3819000000,1986
dza,4195000000,1987
dza,4602000000,1988
dza,5232000000,1989
dza,6057000000,1990
dza,6423000000,1991
dza,7120000000,1992
dza,7126000000,1993
dza,7609000000,1994
dza,7967000000,1995
dza,8440000000,1996
dza,8543000000,1997
dza,9588000000,1998
dza,10570000000,1999
dza,11330000000,2000
dza,12040000000,2001
dza,12820000000,2002
dza,14320000000,2003
dza,14950000000,2004
dza,17330000000,2005
dza,16600000000,2006
dza,17720000000,2007
dza,19920000000,2008
ago,389100000,1971
ago,440100000,1972
ago,517100000,1973
ago,646100000,1974
ago,686100000,1975
ago,308100000,1976
ago,308100000,1977
ago,308100000,1978
ago,330100000,1979
ago,354100000,1980
ago,354100000,1981
ago,378100000,1982
ago,410100000,1983
ago,351100000,1984
ago,422100000,1985
ago,422100000,1986
ago,425100000,1987
ago,428100000,1988
ago,430100000,1989
ago,432100000,1990
ago,435100000,1991
ago,437100000,1992
ago,439100000,1993
ago,441100000,1994
ago,443100000,1995
ago,474100000,1996
ago,664100000,1997
ago,725100000,1998
ago,735100000,1999
ago,795100000,2000
ago,902200000,2001
ago,971200000,2002
ago,1100000000,2003
ago,1234000000,2004
ago,1450000000,2005
ago,1630000000,2006
ago,1828000000,2007
ago,2198000000,2008
arg,5280000000,1971
arg,5595000000,1972
arg,5872000000,1973
arg,6095000000,1974
arg,6660000000,1975
arg,7446000000,1976
arg,7631000000,1977
arg,8005000000,1978
arg,8479000000,1979
arg,8864000000,1980
arg,8961000000,1981
arg,8640000000,1982
arg,9021000000,1983
arg,9580000000,1984
arg,9748000000,1985
arg,10540000000,1986
arg,11770000000,1987
arg,11130000000,1988
arg,10570000000,1989
arg,11120000000,1990
arg,12020000000,1991
arg,13370000000,1992
arg,14690000000,1993
arg,15920000000,1994
arg,17100000000,1995
arg,17630000000,1996
arg,18520000000,1997
arg,19180000000,1998
arg,20580000000,1999
arg,21380000000,2000
arg,21910000000,2001
arg,21250000000,2002
arg,21580000000,2003
arg,22510000000,2004
arg,24310000000,2005
arg,26090000000,2006
arg,28560000000,2007
arg,31260000000,2008
arm,2047000000,1990
arm,2405000000,1991
arm,2423000000,1992
arm,1357000000,1993
arm,970200000,1994
arm,641100000,1995
arm,1084000000,1996
arm,2431000000,1997
arm,1764000000,1998
arm,1618000000,1999
arm,1558000000,2000
arm,1477000000,2001
arm,1496000000,2002
arm,1601000000,2003
arm,1644000000,2004
arm,1723000000,2005
arm,1709000000,2006
arm,1767000000,2007
arm,1792000000,2008
aus,6773000000,1960
aus,7546000000,1961
aus,8052000000,1962
aus,8791000000,1963
aus,9588000000,1964
aus,10350000000,1965
aus,11220000000,1966
aus,12230000000,1967
aus,13050000000,1968
aus,14350000000,1969
aus,15330000000,1970
aus,16630000000,1971
aus,17950000000,1972
aus,18680000000,1973
aus,19750000000,1974
aus,22130000000,1975
aus,23220000000,1976
aus,25320000000,1977
aus,26530000000,1978
aus,28210000000,1979
aus,28980000000,1980
aus,30500000000,1981
aus,32010000000,1982
aus,32340000000,1983
aus,33270000000,1984
aus,32580000000,1985
aus,34470000000,1986
aus,35560000000,1987
aus,36170000000,1988
aus,36630000000,1989
aus,38550000000,1990
aus,39260000000,1991
aus,39330000000,1992
aus,40650000000,1993
aus,40570000000,1994
aus,42170000000,1995
aus,43210000000,1996
aus,44780000000,1997
aus,46190000000,1998
aus,47330000000,1999
aus,48770000000,2000
aus,49610000000,2001
aus,51260000000,2002
aus,50930000000,2003
aus,53260000000,2004
aus,55400000000,2005
aus,56090000000,2006
aus,56260000000,2007
aus,58210000000,2008
aut,1728000000,1960
aut,1894000000,1961
aut,2142000000,1962
aut,2352000000,1963
aut,2602000000,1964
aut,2831000000,1965
aut,3041000000,1966
aut,3324000000,1967
aut,3628000000,1968
aut,3983000000,1969
aut,4415000000,1970
aut,4886000000,1971
aut,5503000000,1972
aut,6071000000,1973
aut,6403000000,1974
aut,6788000000,1975
aut,7379000000,1976
aut,7669000000,1977
aut,8155000000,1978
aut,8386000000,1979
aut,8770000000,1980
aut,7431000000,1981
aut,7334000000,1982
aut,7504000000,1983
aut,7839000000,1984
aut,8323000000,1985
aut,8435000000,1986
aut,11040000000,1987
aut,11320000000,1988
aut,11530000000,1989
aut,11880000000,1990
aut,12600000000,1991
aut,12780000000,1992
aut,13140000000,1993
aut,12980000000,1994
aut,13590000000,1995
aut,14200000000,1996
aut,13890000000,1997
aut,13950000000,1998
aut,14050000000,1999
aut,14200000000,2000
aut,15310000000,2001
aut,15770000000,2002
aut,16900000000,2003
aut,16770000000,2004
aut,17070000000,2005
aut,17010000000,2006
aut,16830000000,2007
aut,16970000000,2008
aze,1700000000,1993
aze,360100000,1997
aze,7910000000,1998
aze,9874000000,1999
aze,11280000000,2000
aze,10170000000,2001
aze,10410000000,2002
aze,12080000000,2003
aze,11910000000,2004
aze,11260000000,2005
aze,13800000000,2006
aze,8336000000,2007
aze,7445000000,2008
bhr,1136000000,1984
bhr,1370000000,1985
bhr,1503000000,1986
bhr,1557000000,1987
bhr,1643000000,1988
bhr,1712000000,1989
bhr,1814000000,1990
bhr,1695000000,1991
bhr,1989000000,1992
bhr,2167000000,1993
bhr,2329000000,1994
bhr,2437000000,1995
bhr,2651000000,1996
bhr,2673000000,1997
bhr,2985000000,1998
bhr,3092000000,1999
bhr,3083000000,2000
bhr,3263000000,2001
bhr,3526000000,2002
bhr,3741000000,2003
bhr,3936000000,2004
bhr,4310000000,2005
bhr,5099000000,2006
bhr,5988000000,2007
bhr,5254000000,2008
bgd,131000000,1971
bgd,131000000,1972
bgd,136000000,1973
bgd,179000000,1974
bgd,155000000,1975
bgd,135000000,1976
bgd,147000000,1977
bgd,210000000,1978
bgd,228000000,1979
bgd,228000000,1980
bgd,297100000,1981
bgd,359100000,1982
bgd,463100000,1983
bgd,544100000,1984
bgd,657100000,1985
bgd,743100000,1986
bgd,852200000,1987
bgd,924200000,1988
bgd,1097000000,1989
bgd,1223000000,1990
bgd,1433000000,1991
bgd,1959000000,1992
bgd,2312000000,1993
bgd,2534000000,1994
bgd,2805000000,1995
bgd,3542000000,1996
bgd,3698000000,1997
bgd,3966000000,1998
bgd,4444000000,1999
bgd,5503000000,2000
bgd,6187000000,2001
bgd,6775000000,2002
bgd,7259000000,2003
bgd,8011000000,2004
bgd,8531000000,2005
bgd,9315000000,2006
bgd,9412000000,2007
bgd,10460000000,2008
blr,3486000000,1990
blr,4758000000,1991
blr,4397000000,1992
blr,4505000000,1993
blr,4592000000,1994
blr,4872000000,1995
blr,5078000000,1996
blr,5348000000,1997
blr,5580000000,1998
blr,5832000000,1999
blr,5566000000,2000
blr,5577000000,2001
blr,5779000000,2002
blr,6059000000,2003
blr,6053000000,2004
blr,5960000000,2005
blr,5739000000,2006
blr,6010000000,2007
blr,6326000000,2008
bel,1504000000,1960
bel,1714000000,1961
bel,2003000000,1962
bel,2258000000,1963
bel,2520000000,1964
bel,2877000000,1965
bel,3202000000,1966
bel,3494000000,1967
bel,3923000000,1968
bel,4411000000,1969
bel,4921000000,1970
bel,5441000000,1971
bel,6116000000,1972
bel,7604000000,1973
bel,8334000000,1974
bel,9278000000,1975
bel,10170000000,1976
bel,11050000000,1977
bel,11980000000,1978
bel,12690000000,1979
bel,13110000000,1980
bel,13460000000,1981
bel,13710000000,1982
bel,14200000000,1983
bel,14650000000,1984
bel,15500000000,1985
bel,15970000000,1986
bel,16890000000,1987
bel,17060000000,1988
bel,17720000000,1989
bel,18420000000,1990
bel,19900000000,1991
bel,20250000000,1992
bel,21090000000,1993
bel,21360000000,1994
bel,22110000000,1995
bel,23230000000,1996
bel,22940000000,1997
bel,23390000000,1998
bel,23490000000,1999
bel,23740000000,2000
bel,24400000000,2001
bel,25930000000,2002
bel,26030000000,2003
bel,26550000000,2004
bel,26010000000,2005
bel,22730000000,2006
bel,21860000000,2007
bel,19990000000,2008
ben,5001000,1971
ben,6001000,1972
ben,7001000,1973
ben,8001000,1974
ben,8001000,1975
ben,9002000,1976
ben,6001000,1977
ben,83010000,1978
ben,41010000,1979
ben,47010000,1980
ben,55010000,1981
ben,31010000,1982
ben,67010000,1983
ben,61010000,1984
ben,67010000,1985
ben,69010000,1986
ben,77010000,1987
ben,81010000,1988
ben,82010000,1989
ben,82010000,1990
ben,82010000,1991
ben,81010000,1992
ben,99020000,1993
ben,110000000,1994
ben,119000000,1995
ben,84020000,1996
ben,103000000,1997
ben,105000000,1998
ben,156000000,1999
ben,161000000,2000
ben,173000000,2001
ben,236000000,2002
ben,206000000,2003
ben,225000000,2004
ben,282100000,2005
ben,289100000,2006
ben,302100000,2007
ben,317100000,2008
bol,189000000,1971
bol,190000000,1972
bol,195000000,1973
bol,210000000,1974
bol,224000000,1975
bol,239000000,1976
bol,258000000,1977
bol,289100000,1978
bol,327100000,1979
bol,359100000,1980
bol,396100000,1981
bol,398100000,1982
bol,424100000,1983
bol,466100000,1984
bol,504100000,1985
bol,557100000,1986
bol,616100000,1987
bol,666100000,1988
bol,698100000,1989
bol,722100000,1990
bol,755100000,1991
bol,802100000,1992
bol,857200000,1993
bol,951200000,1994
bol,1036000000,1995
bol,1083000000,1996
bol,1171000000,1997
bol,1251000000,1998
bol,1321000000,1999
bol,1390000000,2000
bol,1401000000,2001
bol,1447000000,2002
bol,1487000000,2003
bol,1550000000,2004
bol,1646000000,2005
bol,1744000000,2006
bol,1833000000,2007
bol,1970000000,2008
bih,3015000000,1990
bih,2754000000,1991
bih,2460000000,1992
bih,1988000000,1993
bih,2413000000,1994
bih,2530000000,1995
bih,2657000000,1996
bih,3193000000,1997
bih,3731000000,1998
bih,3866000000,1999
bih,3663000000,2000
bih,3735000000,2001
bih,3783000000,2002
bih,3865000000,2003
bih,3859000000,2004
bih,4077000000,2005
bih,4119000000,2006
bih,4114000000,2007
bih,4256000000,2008
bwa,29010000,1981
bwa,33010000,1982
bwa,35010000,1983
bwa,40010000,1984
bwa,42010000,1985
bwa,43010000,1986
bwa,43010000,1987
bwa,58010000,1988
bwa,72010000,1989
bwa,79010000,1990
bwa,88020000,1991
bwa,97020000,1992
bwa,124000000,1993
bwa,149000000,1994
bwa,162000000,1995
bwa,174000000,1996
bwa,190000000,1997
bwa,174000000,1998
bwa,190000000,1999
bwa,206000000,2000
bwa,334100000,2001
bwa,367100000,2002
bwa,412100000,2003
bwa,537100000,2004
bwa,566100000,2005
bwa,573100000,2006
bwa,682100000,2007
bwa,745100000,2008
bra,9230000000,1971
bra,9934000000,1972
bra,10940000000,1973
bra,12020000000,1974
bra,13210000000,1975
bra,14880000000,1976
bra,17140000000,1977
bra,18950000000,1978
bra,21020000000,1979
bra,23270000000,1980
bra,25060000000,1981
bra,27080000000,1982
bra,29740000000,1983
bra,30930000000,1984
bra,32640000000,1985
bra,35760000000,1986
bra,38390000000,1987
bra,40540000000,1988
bra,43740000000,1989
bra,48670000000,1990
bra,51050000000,1991
bra,51870000000,1992
bra,53640000000,1993
bra,55960000000,1994
bra,63590000000,1995
bra,69070000000,1996
bra,74080000000,1997
bra,79390000000,1998
bra,81310000000,1999
bra,83510000000,2000
bra,73780000000,2001
bra,72770000000,2002
bra,76160000000,2003
bra,78590000000,2004
bra,83210000000,2005
bra,85830000000,2006
bra,90900000000,2007
bra,95600000000,2008
brn,71010000,1971
brn,71010000,1972
brn,70010000,1973
brn,71010000,1974
brn,71010000,1975
brn,71010000,1976
brn,71010000,1977
brn,71010000,1978
brn,71010000,1979
brn,98020000,1980
brn,135000000,1981
brn,162000000,1982
brn,195000000,1983
brn,214000000,1984
brn,219000000,1985
brn,222000000,1986
brn,298100000,1987
brn,313100000,1988
brn,323100000,1989
brn,334100000,1990
brn,340100000,1991
brn,359100000,1992
brn,388100000,1993
brn,420100000,1994
brn,462100000,1995
brn,485100000,1996
brn,536100000,1997
brn,515100000,1998
brn,500100000,1999
brn,523100000,2000
brn,478100000,2001
brn,389100000,2002
brn,455100000,2003
brn,473100000,2004
brn,394100000,2005
brn,310100000,2006
brn,338100000,2007
brn,1207000000,2008
bgr,2828000000,1971
bgr,3228000000,1972
bgr,3648000000,1973
bgr,4114000000,1974
bgr,4589000000,1975
bgr,5193000000,1976
bgr,5534000000,1977
bgr,5837000000,1978
bgr,6510000000,1979
bgr,6845000000,1980
bgr,7001000000,1981
bgr,8001000000,1982
bgr,8502000000,1983
bgr,9446000000,1984
bgr,9554000000,1985
bgr,8687000000,1986
bgr,9447000000,1987
bgr,9937000000,1988
bgr,10180000000,1989
bgr,10480000000,1990
bgr,10410000000,1991
bgr,10000000000,1992
bgr,10020000000,1993
bgr,9808000000,1994
bgr,10960000000,1995
bgr,11490000000,1996
bgr,9884000000,1997
bgr,10540000000,1998
bgr,10120000000,1999
bgr,9860000000,2000
bgr,9753000000,2001
bgr,9308000000,2002
bgr,9313000000,2003
bgr,8772000000,2004
bgr,9048000000,2005
bgr,9307000000,2006
bgr,9378000000,2007
bgr,10030000000,2008
khm,70010000,1995
khm,122000000,1996
khm,158000000,1997
khm,185000000,1998
khm,165000000,1999
khm,213000000,2000
khm,239000000,2001
khm,263000000,2002
khm,269000000,2003
khm,327100000,2004
khm,382100000,2005
khm,473100000,2006
khm,613100000,2007
khm,742100000,2008
cmr,44010000,1971
cmr,72010000,1972
cmr,79010000,1973
cmr,85020000,1974
cmr,95020000,1975
cmr,108000000,1976
cmr,122000000,1977
cmr,142000000,1978
cmr,164000000,1979
cmr,179000000,1980
cmr,193000000,1981
cmr,232000000,1982
cmr,249000000,1983
cmr,261000000,1984
cmr,310100000,1985
cmr,302100000,1986
cmr,330100000,1987
cmr,330100000,1988
cmr,334100000,1989
cmr,317100000,1990
cmr,319100000,1991
cmr,340100000,1992
cmr,348100000,1993
cmr,295100000,1994
cmr,289100000,1995
cmr,321100000,1996
cmr,350100000,1997
cmr,395100000,1998
cmr,400100000,1999
cmr,387100000,2000
cmr,387100000,2001
cmr,457100000,2002
cmr,496100000,2003
cmr,548100000,2004
cmr,518100000,2005
cmr,803100000,2006
cmr,778100000,2007
cmr,1075000000,2008
can,16480000000,1960
can,18740000000,1961
can,19070000000,1962
can,20070000000,1963
can,22760000000,1964
can,25510000000,1965
can,30040000000,1966
can,31940000000,1967
can,34540000000,1968
can,38480000000,1969
can,42830000000,1970
can,49150000000,1971
can,47970000000,1972
can,51960000000,1973
can,59310000000,1974
can,64140000000,1975
can,70820000000,1976
can,76620000000,1977
can,78940000000,1978
can,80210000000,1979
can,84840000000,1980
can,87260000000,1981
can,90890000000,1982
can,95880000000,1983
can,100500000000,1984
can,103700000000,1985
can,109100000000,1986
can,111600000000,1987
can,120600000000,1988
can,129900000000,1989
can,129900000000,1990
can,129400000000,1991
can,132300000000,1992
can,132400000000,1993
can,132900000000,1994
can,131600000000,1995
can,135300000000,1996
can,134500000000,1997
can,129300000000,1998
can,133300000000,1999
can,138300000000,2000
can,140300000000,2001
can,142700000000,2002
can,148000000000,2003
can,151000000000,2004
can,151000000000,2005
can,147000000000,2006
can,152900000000,2007
can,160700000000,2008
chl,852200000,1971
chl,1053000000,1972
chl,1178000000,1973
chl,1196000000,1974
chl,1275000000,1975
chl,1277000000,1976
chl,1438000000,1977
chl,1565000000,1978
chl,1668000000,1979
chl,1786000000,1980
chl,1910000000,1981
chl,1957000000,1982
chl,1805000000,1983
chl,1641000000,1984
chl,1996000000,1985
chl,2330000000,1986
chl,2501000000,1987
chl,2513000000,1988
chl,2472000000,1989
chl,4332000000,1990
chl,4545000000,1991
chl,4950000000,1992
chl,5378000000,1993
chl,5866000000,1994
chl,6303000000,1995
chl,7043000000,1996
chl,5259000000,1997
chl,5732000000,1998
chl,5975000000,1999
chl,6182000000,2000
chl,6908000000,2001
chl,7163000000,2002
chl,7341000000,2003
chl,7835000000,2004
chl,8285000000,2005
chl,8548000000,2006
chl,8904000000,2007
chl,8751000000,2008
chn,4840000000,1971
chn,5330000000,1972
chn,5833000000,1973
chn,5903000000,1974
chn,6849000000,1975
chn,7104000000,1976
chn,7813000000,1977
chn,8973000000,1978
chn,9861000000,1979
chn,10520000000,1980
chn,11800000000,1981
chn,12050000000,1982
chn,13730000000,1983
chn,15910000000,1984
chn,12250000000,1985
chn,14780000000,1986
chn,16230000000,1987
chn,19440000000,1988
chn,22510000000,1989
chn,48090000000,1990
chn,54370000000,1991
chn,64010000000,1992
chn,73720000000,1993
chn,86710000000,1994
chn,100600000000,1995
chn,113300000000,1996
chn,125300000000,1997
chn,132500000000,1998
chn,148100000000,1999
chn,167200000000,2000
chn,184000000000,2001
chn,200200000000,2002
chn,223800000000,2003
chn,246500000000,2004
chn,282500000000,2005
chn,325200000000,2006
chn,362300000000,2007
chn,439700000000,2008
col,3376000000,1971
col,3579000000,1972
col,3274000000,1973
col,3118000000,1974
col,4103000000,1975
col,4535000000,1976
col,4734000000,1977
col,5520000000,1978
col,6239000000,1979
col,6854000000,1980
col,6965000000,1981
col,7917000000,1982
col,8249000000,1983
col,8821000000,1984
col,9323000000,1985
col,9866000000,1986
col,10550000000,1987
col,11000000000,1988
col,11980000000,1989
col,12570000000,1990
col,13000000000,1991
col,11980000000,1992
col,13210000000,1993
col,14100000000,1994
col,14630000000,1995
col,14750000000,1996
col,14730000000,1997
col,12100000000,1998
col,11600000000,1999
col,11130000000,2000
col,14470000000,2001
col,14410000000,2002
col,15160000000,2003
col,15790000000,2004
col,16260000000,2005
col,16910000000,2006
col,17620000000,2007
col,18150000000,2008
cod,735100000,1976
cod,800100000,1977
cod,800100000,1978
cod,893200000,1979
cod,866200000,1980
cod,950200000,1981
cod,950200000,1982
cod,1064000000,1983
cod,1394000000,1984
cod,1654000000,1985
cod,1699000000,1986
cod,1710000000,1987
cod,1690000000,1988
cod,1579000000,1989
cod,957200000,1990
cod,1176000000,1991
cod,1309000000,1992
cod,1514000000,1993
cod,1052000000,1994
cod,1054000000,1995
cod,1010000000,1996
cod,1012000000,1997
cod,1015000000,1998
cod,1066000000,1999
cod,1232000000,2000
cod,1221000000,2001
cod,1228000000,2002
cod,1323000000,2003
cod,1499000000,2004
cod,1562000000,2005
cod,2631000000,2006
cod,2055000000,2007
cod,2045000000,2008
cog,37010000,1971
cog,39010000,1972
cog,43010000,1973
cog,47010000,1974
cog,52010000,1975
cog,58010000,1976
cog,58010000,1977
cog,60010000,1978
cog,63010000,1979
cog,67010000,1980
cog,43010000,1981
cog,103000000,1982
cog,72010000,1983
cog,147000000,1984
cog,91020000,1985
cog,239000000,1986
cog,173000000,1987
cog,146000000,1988
cog,144000000,1989
cog,141000000,1990
cog,170000000,1991
cog,165000000,1992
cog,143000000,1993
cog,141000000,1994
cog,149000000,1995
cog,163000000,1996
cog,134000000,1997
cog,104000000,1998
cog,67010000,1999
cog,117000000,2000
cog,132000000,2001
cog,142000000,2002
cog,145000000,2003
cog,155000000,2004
cog,179000000,2005
cog,192000000,2006
cog,213000000,2007
cog,220000000,2008
cri,657100000,1971
cri,723100000,1972
cri,763100000,1973
cri,832100000,1974
cri,889200000,1975
cri,971200000,1976
cri,984200000,1977
cri,1066000000,1978
cri,1033000000,1979
cri,1213000000,1980
cri,1314000000,1981
cri,1454000000,1982
cri,1484000000,1983
cri,1578000000,1984
cri,1704000000,1985
cri,1852000000,1986
cri,2016000000,1987
cri,2084000000,1988
cri,1464000000,1989
cri,1561000000,1990
cri,1615000000,1991
cri,1662000000,1992
cri,1792000000,1993
cri,1920000000,1994
cri,1965000000,1995
cri,2043000000,1996
cri,2119000000,1997
cri,2273000000,1998
cri,2381000000,1999
cri,2514000000,2000
cri,2610000000,2001
cri,2749000000,2002
cri,2862000000,2003
cri,2929000000,2004
cri,3060000000,2005
cri,3186000000,2006
cri,3286000000,2007
cri,3347000000,2008
civ,78010000,1971
civ,96020000,1972
civ,124000000,1973
civ,130000000,1974
civ,165000000,1975
civ,188000000,1976
civ,231000000,1977
civ,277000000,1978
civ,386100000,1979
civ,458100000,1980
civ,480100000,1981
civ,544100000,1982
civ,570100000,1983
civ,463100000,1984
civ,475100000,1985
civ,487100000,1986
civ,499100000,1987
civ,511100000,1988
civ,523100000,1989
civ,535100000,1990
civ,547100000,1991
civ,559100000,1992
civ,571100000,1993
civ,583100000,1994
civ,600100000,1995
civ,660100000,1996
civ,927200000,1997
civ,858200000,1998
civ,900200000,1999
civ,939200000,2000
civ,923200000,2001
civ,913200000,2002
civ,921200000,2003
civ,1012000000,2004
civ,965200000,2005
civ,1083000000,2006
civ,1249000000,2007
civ,1293000000,2008
hrv,4466000000,1990
hrv,4462000000,1991
hrv,4049000000,1992
hrv,4147000000,1993
hrv,4210000000,1994
hrv,4622000000,1995
hrv,4899000000,1996
hrv,5190000000,1997
hrv,5268000000,1998
hrv,5743000000,1999
hrv,5730000000,2000
hrv,5560000000,2001
hrv,5955000000,2002
hrv,5695000000,2003
hrv,6073000000,2004
hrv,6334000000,2005
hrv,6521000000,2006
hrv,6393000000,2007
hrv,6712000000,2008
cub,1019000000,1971
cub,1112000000,1972
cub,1166000000,1973
cub,1224000000,1974
cub,1311000000,1975
cub,1401000000,1976
cub,1581000000,1977
cub,1763000000,1978
cub,1975000000,1979
cub,2117000000,1980
cub,2042000000,1981
cub,2229000000,1982
cub,2344000000,1983
cub,2485000000,1984
cub,2682000000,1985
cub,2900000000,1986
cub,2913000000,1987
cub,3065000000,1988
cub,3253000000,1989
cub,3307000000,1990
cub,3246000000,1991
cub,3002000000,1992
cub,2944000000,1993
cub,3286000000,1994
cub,3275000000,1995
cub,3351000000,1996
cub,3636000000,1997
cub,3791000000,1998
cub,3992000000,1999
cub,4247000000,2000
cub,4488000000,2001
cub,4894000000,2002
cub,5124000000,2003
cub,5010000000,2004
cub,5086000000,2005
cub,5595000000,2006
cub,6132000000,2007
cub,6054000000,2008
cyp,154000000,1971
cyp,178000000,1972
cyp,197000000,1973
cyp,177000000,1974
cyp,136000000,1975
cyp,140000000,1976
cyp,157000000,1977
cyp,172000000,1978
cyp,175000000,1979
cyp,183000000,1980
cyp,192000000,1981
cyp,206000000,1982
cyp,228000000,1983
cyp,234000000,1984
cyp,254000000,1985
cyp,270000000,1986
cyp,312100000,1987
cyp,362100000,1988
cyp,407100000,1989
cyp,449100000,1990
cyp,472100000,1991
cyp,587100000,1992
cyp,651100000,1993
cyp,675100000,1994
cyp,759100000,1995
cyp,824100000,1996
cyp,834200000,1997
cyp,904200000,1998
cyp,952200000,1999
cyp,1055000000,2000
cyp,1042000000,2001
cyp,1157000000,2002
cyp,1295000000,2003
cyp,1316000000,2004
cyp,1433000000,2005
cyp,1500000000,2006
cyp,1608000000,2007
cyp,1683000000,2008
cze,3235000000,1971
cze,3625000000,1972
cze,3925000000,1973
cze,4229000000,1974
cze,4611000000,1975
cze,5037000000,1976
cze,5332000000,1977
cze,5876000000,1978
cze,5884000000,1979
cze,6175000000,1980
cze,6367000000,1981
cze,6639000000,1982
cze,7001000000,1983
cze,7518000000,1984
cze,8007000000,1985
cze,8312000000,1986
cze,8732000000,1987
cze,8873000000,1988
cze,9237000000,1989
cze,9625000000,1990
cze,9875000000,1991
cze,10340000000,1992
cze,11400000000,1993
cze,13190000000,1994
cze,14850000000,1995
cze,16010000000,1996
cze,15510000000,1997
cze,14510000000,1998
cze,14050000000,1999
cze,13820000000,2000
cze,14240000000,2001
cze,14120000000,2002
cze,14510000000,2003
cze,14530000000,2004
cze,14720000000,2005
cze,15200000000,2006
cze,14650000000,2007
cze,14710000000,2008
dnk,6601000000,1973
dnk,6264000000,1974
dnk,6571000000,1975
dnk,6701000000,1976
dnk,6901000000,1977
dnk,7271000000,1978
dnk,7681000000,1979
dnk,7441000000,1980
dnk,7373000000,1981
dnk,7421000000,1982
dnk,8041000000,1983
dnk,8464000000,1984
dnk,9138000000,1985
dnk,9583000000,1986
dnk,9967000000,1987
dnk,9944000000,1988
dnk,9903000000,1989
dnk,9672000000,1990
dnk,10140000000,1991
dnk,10210000000,1992
dnk,10330000000,1993
dnk,10430000000,1994
dnk,10300000000,1995
dnk,10600000000,1996
dnk,10320000000,1997
dnk,10260000000,1998
dnk,10290000000,1999
dnk,10220000000,2000
dnk,10160000000,2001
dnk,10190000000,2002
dnk,10260000000,2003
dnk,10330000000,2004
dnk,10450000000,2005
dnk,10570000000,2006
dnk,10350000000,2007
dnk,10330000000,2008
dom,770100000,1971
dom,1049000000,1972
dom,1128000000,1973
dom,1093000000,1974
dom,1244000000,1975
dom,1198000000,1976
dom,1349000000,1977
dom,1325000000,1978
dom,1582000000,1979
dom,1512000000,1980
dom,1570000000,1981
dom,1198000000,1982
dom,1233000000,1983
dom,1372000000,1984
dom,1687000000,1985
dom,1675000000,1986
dom,1850000000,1987
dom,1872000000,1988
dom,1674000000,1989
dom,2488000000,1990
dom,2722000000,1991
dom,2977000000,1992
dom,2856000000,1993
dom,3010000000,1994
dom,2893000000,1995
dom,3602000000,1996
dom,3632000000,1997
dom,3822000000,1998
dom,3912000000,1999
dom,4281000000,2000
dom,2840000000,2001
dom,3171000000,2002
dom,4440000000,2003
dom,4541000000,2004
dom,4218000000,2005
dom,4169000000,2006
dom,4365000000,2007
dom,4328000000,2008
ecu,304100000,1971
ecu,341100000,1972
ecu,356100000,1973
ecu,400100000,1974
ecu,550100000,1975
ecu,600100000,1976
ecu,700100000,1977
ecu,800100000,1978
ecu,884200000,1979
ecu,1035000000,1980
ecu,1116000000,1981
ecu,1209000000,1982
ecu,1337000000,1983
ecu,1337000000,1984
ecu,1395000000,1985
ecu,1419000000,1986
ecu,1663000000,1987
ecu,1686000000,1988
ecu,1721000000,1989
ecu,1870000000,1990
ecu,2016000000,1991
ecu,2136000000,1992
ecu,2200000000,1993
ecu,2427000000,1994
ecu,2573000000,1995
ecu,2895000000,1996
ecu,3250000000,1997
ecu,3403000000,1998
ecu,2945000000,1999
ecu,2795000000,2000
ecu,2898000000,2001
ecu,3096000000,2002
ecu,3331000000,2003
ecu,3534000000,2004
ecu,3702000000,2005
ecu,3896000000,2006
ecu,4104000000,2007
ecu,4385000000,2008
egy,2030000000,1971
egy,2045000000,1972
egy,2055000000,1973
egy,2355000000,1974
egy,2670000000,1975
egy,3019000000,1976
egy,3508000000,1977
egy,3661000000,1978
egy,4026000000,1979
egy,4561000000,1980
egy,5086000000,1981
egy,5485000000,1982
egy,6817000000,1983
egy,7764000000,1984
egy,8852000000,1985
egy,9806000000,1986
egy,10830000000,1987
egy,11440000000,1988
egy,12360000000,1989
egy,13350000000,1990
egy,14150000000,1991
egy,14420000000,1992
egy,15170000000,1993
egy,15950000000,1994
egy,16830000000,1995
egy,17110000000,1996
egy,17920000000,1997
egy,19900000000,1998
egy,21820000000,1999
egy,23550000000,2000
egy,25680000000,2001
egy,27720000000,2002
egy,29830000000,2003
egy,31320000000,2004
egy,33910000000,2005
egy,36600000000,2006
